phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
155.1	Malignant neoplasm of liver, primary	neoplasms	HP_0001402	Hepatocellular carcinoma													58.34123248821063		True	True	True		True	True	True	True
159.2	Malignant neoplasm of small intestine, including duodenum	neoplasms	HP_0002666	Pheochromocytoma													52.10427659993536							True	True	True
164	Cancer of intrathoracic organs	neoplasms	HP_0002666	Pheochromocytoma													60.842261932781255							True	True	True
170	Cancer of bone and connective tissue	neoplasms	HP_0100246	Osteoma													44.045852999448414							True	True	True
170	Cancer of bone and connective tissue	neoplasms	HP_0100242	Sarcoma		True								89.36										True	True	True
170.1	Bone cancer	neoplasms	HP_0002669	Osteosarcoma			True							82.76			35.083009802541774						True	True	True	True
170.2	Cancer of connective tissue	neoplasms	HP_0100242	Sarcoma	True	True	True							100.0			30.917184350121016							True	True	True
172.1	Melanomas of skin, dx or hx	neoplasms	HP_0002861	Melanoma					True			True			86.49	88.89	89.56927467353762	True	True	True	True	True	True	True	True	True
172.11	Melanomas of skin	neoplasms	HP_0002861	Melanoma					True			True			86.49	88.89	89.02561267294695	True	True	True	True	True	True	True	True	True
172.21	Basal cell carcinoma	neoplasms	HP_0002671	Basal cell carcinoma	True	True	True					True		100.0	82.35	89.36								True	True	True
172.22	Squamous cell carcinoma	neoplasms	HP_0030417	Squamous cell carcinoma of the vulva			True																	True	True	True
172.22	Squamous cell carcinoma	neoplasms	HP_0030359	Squamous cell lung carcinoma			True																	True	True	True
172.22	Squamous cell carcinoma	neoplasms	HP_0002860	Squamous cell carcinoma	True	True	True					True		100.0			47.46779365241967							True	True	True
172.22	Squamous cell carcinoma	neoplasms	HP_0012142	Pancreatic squamous cell carcinoma			True																	True	True	True
172.22	Squamous cell carcinoma	neoplasms	HP_0030438	Anal canal squamous cell carcinoma			True																	True	True	True
174	Breast cancer	neoplasms	HP_0003002	Breast carcinoma	True	True	True							100.0	87.18	87.18	63.786433590006645					True	True	True	True	True
174.1	Breast cancer [female]	neoplasms	HP_0030075	Ductal carcinoma in situ													93.59074333769152		True	True	True		True	True	True	True
174.1	Breast cancer [female]	neoplasms	HP_0030076	Lobular carcinoma in situ								True				86.79	79.58787953708745			True	True		True	True	True	True
174.11	Malignant neoplasm of female breast	neoplasms	HP_0003002	Breast carcinoma													55.950612142890215					True	True	True	True	True
174.2	Breast cancer [male]	neoplasms	HP_0003002	Breast carcinoma		True								84.85			19.929099896560174					True		True	True	True
182	Malignant neoplasm of uterus	neoplasms	HP_0012114	Endometrial carcinoma												80.85	85.68383622247545					True	True	True	True	True
185	Cancer of prostate	neoplasms	HP_0012125	Prostate cancer		True								100.0			56.00939061240923	True	True	True	True	True	True	True	True	True
187.2	Malignant neoplasm of testis	neoplasms	HP_0010788	Testicular neoplasm													72.02220387514137	True	True	True	True	True	True	True	True	True
189.1	Cancer of kidney and renal pelvis	neoplasms	HP_0009726	Renal neoplasm													85.8690211732474							True	True	True
189.12	Malignant neoplasm of renal pelvis	neoplasms	HP_0009726	Renal neoplasm													85.8690211732474							True	True	True
189.2	Cancer of bladder	neoplasms	HP_0009725	Bladder neoplasm		True								100.0	82.93	82.93	76.09606225710519					True	True	True	True	True
189.21	Malignant neoplasm of bladder	neoplasms	HP_0009725	Bladder neoplasm										82.93	82.93	82.93	71.39271815177223					True	True	True	True	True
191	Manlignant and unknown neoplasms of brain and nervous system	neoplasms	HP_0030692	Brain neoplasm													49.065507613629656	True	True			True	True	True	True	True
193	Thyroid cancer	neoplasms	HP_0100031	Neoplasm of the thyroid gland											86.79	86.79	48.31180092880979							True	True	True
199.4	Neurofibromatosis	neoplasms	HP_0001067	Neurofibromas	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True	True	True	True
200.1	Polycythemia vera	neoplasms	HP_0001901	Polycythemia		True			True			True		83.87	83.87	83.87	30.29039563180045							True	True	True
201	Hodgkin's disease	neoplasms	HP_0012189	Hodgkin lymphoma							True	True	True	100.0	100.0	100.0	71.58937317281185	True	True	True	True	True	True	True	True	True
202	Cancer of other lymphoid, histiocytic tissue	neoplasms	HP_0012539	Non-Hodgkin lymphoma							True	True	True			100.0	67.90135868396739		True	True	True	True	True	True	True	True
202.2	Non-Hodgkins lymphoma	neoplasms	HP_0012539	Non-Hodgkin lymphoma							True	True	True	100.0		100.0	19.370360998475988		True	True	True	True	True	True	True	True
202.21	Nodular lymphoma	neoplasms	HP_0033125	Follicular lymphoma							True	True	True			100.0	43.719487021544666	True	True	True	True	True	True	True	True	True
202.22	Reticulosarcoma	neoplasms	HP_0012539	Non-Hodgkin lymphoma													64.94719057490062							True	True	True
202.23	Lymphosarcoma	neoplasms	HP_0012539	Non-Hodgkin lymphoma													55.376551293286184							True	True	True
202.24	Large cell lymphoma	neoplasms	HP_0012193	Anaplastic large-cell lymphoma										80.85	100.0	87.5	45.030021643830175	True	True	True	True	True	True	True	True	True
204	Leukemia	neoplasms	HP_0001909	Leukemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	35.829569330414834	True	True	True	True	True	True	True	True	True
204.1	Lymphoid leukemia	neoplasms	HP_0001909	Leukemia													58.0559124744137		True		True		True	True	True	True
204.1	Lymphoid leukemia	neoplasms	HP_0006721	Acute lymphoblastic leukemia			True		True	True		True	True		100.0	100.0		True	True	True	True	True	True	True	True	True
204.1	Lymphoid leukemia	neoplasms	HP_0005526	Lymphoid leukemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True	True	True	True
204.11	Lymphoid leukemia, acute	neoplasms	HP_0006721	Acute lymphoblastic leukemia		True	True		True	True		True		100.0	100.0	100.0	21.071755604627747	True	True	True	True	True	True	True	True	True
204.11	Lymphoid leukemia, acute	neoplasms	HP_0005526	Lymphoid leukemia		True			True															True	True	True
204.12	Lymphoid leukemia, chronic	neoplasms	HP_0005526	Lymphoid leukemia		True			True					81.82	81.82									True	True	True
204.12	Lymphoid leukemia, chronic	neoplasms	HP_0005550	Chronic lymphatic leukemia												81.82	136.12319853762352	True	True	True	True	True	True	True	True	True
204.2	Myeloid leukemia	neoplasms	HP_0002863	Myelodysplasia												100.0	79.9914287858265			True	True		True	True	True	True
204.2	Myeloid leukemia	neoplasms	HP_0012324	Myeloid leukemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True	True	True	True
204.2	Myeloid leukemia	neoplasms	HP_0004808	Acute myeloid leukemia			True		True	True	True	True	True		100.0	100.0		True	True	True	True	True	True	True	True	True
204.21	Myeloid leukemia, acute	neoplasms	HP_0012324	Myeloid leukemia		True			True															True	True	True
204.21	Myeloid leukemia, acute	neoplasms	HP_0004808	Acute myeloid leukemia		True	True		True	True	True	True	True	100.0	100.0	100.0	34.17954840361973	True	True	True	True	True	True	True	True	True
204.22	Myeloid leukemia, chronic	neoplasms	HP_0005506	Chronic myelogenous leukemia		True	True		True	True				100.0	100.0		105.47906697488057	True	True	True	True	True	True	True	True	True
204.3	Monocytic leukemia	neoplasms	HP_0004845	Acute monocytic leukemia			True		True	True			True	87.18	100.0	87.18		True	True	True	True	True	True	True	True	True
204.4	Multiple myeloma	neoplasms	HP_0006775	Multiple myeloma	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	67.60659620001182	True	True	True	True	True	True	True	True	True
209	Neuroendocrine tumors	neoplasms	HP_0100570	Carcinoid tumor													58.7489092916725			True	True	True		True	True	True
213	Benign neoplasm of bone and articular cartilage	neoplasms	HP_0030431	Osteochondroma													51.1351444093013							True	True	True
214	Lipoma	neoplasms	HP_0012032	Lipoma	True	True	True	True	True	True				100.0	100.0		154.80976205943892	True	True	True	True	True		True	True	True
214	Lipoma	neoplasms	HP_0001012	Multiple lipomas													154.80976205943892	True	True	True	True			True	True	True
216	Benign neoplasm of skin	neoplasms	HP_0003764	Nevus													52.205473172619456		True	True	True	True	True	True	True	True
217	Vascular hamartomas and non-neoplastic nevi	neoplasms	HP_0005306	Capillary hemangioma													46.57233136176075			True	True	True		True	True	True
218.1	Uterine leiomyoma	neoplasms	HP_0000131	Uterine leiomyoma	True	True	True	True	True	True				100.0	100.0	84.85	165.53279666950186	True	True	True	True	True	True	True	True	True
225.1	Benign neoplasm of brain, cranial nerves, meninges	neoplasms	HP_0002858	Meningioma													53.93987788393743			True	True	True		True	True	True
225.1	Benign neoplasm of brain, cranial nerves, meninges	neoplasms	HP_0009588	Vestibular Schwannoma													54.30883652752164					True	True	True	True	True
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	neoplasms	HP_0002893	Pituitary adenoma													49.31057321464991						True	True	True	True
228	Hemangioma and lymphangioma, any site	neoplasms	HP_0100026	Arteriovenous malformation													54.56827167578185							True	True	True
228	Hemangioma and lymphangioma, any site	neoplasms	HP_0001028	Hemangioma							True	True	True		81.48	100.0	62.704231138040036	True	True	True	True		True	True	True	True
230	Kaposi's sarcoma	neoplasms	HP_0100726	Kaposi's sarcoma	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	158.4797305183787	True	True	True	True			True	True	True
241	Nontoxic nodular goiter	endocrine/metabolic	HP_0000853	Goiter													104.48732911031428			True	True			True	True	True
241.1	Nontoxic uninodular goiter	endocrine/metabolic	HP_0025388	Thyroid nodule													89.74142081367525					True	True	True	True	True
241.2	Nontoxic multinodular goiter	endocrine/metabolic	HP_0005987	Multinodular goiter		True			True			True		85.11	85.11	85.11								True	True	True
242.1	Graves' disease	endocrine/metabolic	HP_0100647	Graves disease	True	True	True							100.0			50.05246938428253			True	True	True	True	True	True	True
242.2	Toxic multinodular goiter	endocrine/metabolic	HP_0000853	Goiter													44.73972933503882							True	True	True
242.2	Toxic multinodular goiter	endocrine/metabolic	HP_0005987	Multinodular goiter		True			True					86.96	86.96		19.23531912945626							True	True	True
242.3	Exophthalmos	endocrine/metabolic	HP_0000520	Proptosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	66.42909834047452	True	True	True	True	True		True	True	True
244	Hypothyroidism	endocrine/metabolic	HP_0008223	Compensated hypothyroidism			True						True									True	True	True	True	True
244	Hypothyroidism	endocrine/metabolic	HP_0000821	Hypothyroidism	True	True	True				True	True	True	100.0	80.0	100.0		True	True	True	True	True	True	True	True	True
244.1	Secondary hypothyroidism	endocrine/metabolic	HP_0008245	Pituitary hypothyroidism	True	True	True							100.0										True	True	True
244.2	Acquired hypothyroidism	endocrine/metabolic	HP_0000821	Hypothyroidism													48.13504565165826							True	True	True
244.4	Hypothyroidism NOS	endocrine/metabolic	HP_0000821	Hypothyroidism	True	True	True				True	True	True	100.0		100.0	37.238854346279204	True	True	True	True	True	True	True	True	True
244.4	Hypothyroidism NOS	endocrine/metabolic	HP_0008223	Compensated hypothyroidism			True						True									True	True	True	True	True
244.5	Congenital hypothyroidism	endocrine/metabolic	HP_0000851	Congenital hypothyroidism	True	True	True	True	True	True				100.0	100.0		27.44789581772399	True	True	True	True	True	True	True	True	True
245	Thyroiditis	endocrine/metabolic	HP_0000872	Hashimoto thyroiditis				True	True	True					100.0		62.58843471319143	True	True	True	True	True	True	True	True	True
245	Thyroiditis	endocrine/metabolic	HP_0100646	Thyroiditis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	65.15025987134138	True	True	True	True	True	True	True	True	True
245.2	Chronic thyroiditis	endocrine/metabolic	HP_0000872	Hashimoto thyroiditis				True	True	True					100.0		65.65675114688071	True	True	True	True	True	True	True	True	True
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic	HP_0000872	Hashimoto thyroiditis	True	True	True	True	True	True				100.0	100.0		81.25320408828874	True	True	True	True	True	True	True	True	True
246	Other disorders of thyroid	endocrine/metabolic	HP_0000853	Goiter													50.28710273980756							True	True	True
249	Secondary diabetes mellitus	endocrine/metabolic	HP_0001953	Diabetic ketoacidosis													65.64800126108248							True	True	True
250	Diabetes mellitus	endocrine/metabolic	HP_0000819	Diabetes mellitus	True	True	True	True	True	True		True		100.0	100.0		14.10161930210842	True	True	True	True	True	True	True	True	True
250	Diabetes mellitus	endocrine/metabolic	HP_0005978	Type II diabetes mellitus			True			True										True	True	True	True	True	True	True
250	Diabetes mellitus	endocrine/metabolic	HP_0100651	Type I diabetes mellitus			True			True						95.24				True	True	True	True	True	True	True
250.1	Type 1 diabetes	endocrine/metabolic	HP_0100651	Type I diabetes mellitus	True	True	True							100.0		95.24	50.99080669452144			True	True	True	True	True	True	True
250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic	HP_0100651	Type I diabetes mellitus													50.99080669452144							True	True	True
250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic	HP_0100651	Type I diabetes mellitus													50.99080669452144							True	True	True
250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic	HP_0100651	Type I diabetes mellitus													50.99080669452144							True	True	True
250.14	Type 1 diabetes with neurological manifestations	endocrine/metabolic	HP_0100651	Type I diabetes mellitus													50.99080669452144							True	True	True
250.15	Diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic	HP_0100651	Type I diabetes mellitus													50.99080669452144							True	True	True
250.2	Type 2 diabetes	endocrine/metabolic	HP_0005978	Type II diabetes mellitus	True	True	True							100.0			31.20068104491789			True	True	True	True	True	True	True
250.41	Impaired fasting glucose	endocrine/metabolic	HP_0025691	Impaired fasting glucose	True	True	True	True	True	True	True	True	True									True		True	True	True
250.42	Other abnormal glucose	endocrine/metabolic	HP_0003074	Hyperglycemia							True	True	True			100.0	115.2467212728505			True	True	True	True	True	True	True
251.1	Hypoglycemia	endocrine/metabolic	HP_0001943	Hypoglycemia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	68.12974892613946	True	True	True	True	True	True	True	True	True
252.1	Hyperparathyroidism	endocrine/metabolic	HP_0011770	Tertiary hyperparathyroidism			True			True			True							True	True	True		True	True	True
252.1	Hyperparathyroidism	endocrine/metabolic	HP_0008200	Primary hyperparathyroidism			True	True	True	True	True	True	True		100.0	100.0	24.91687042945147	True	True	True	True	True	True	True	True	True
252.1	Hyperparathyroidism	endocrine/metabolic	HP_0000843	Hyperparathyroidism	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	29.451706077404534	True	True	True	True	True		True	True	True
252.2	Hypoparathyroidism	endocrine/metabolic	HP_0000829	Hypoparathyroidism	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	64.04854387487535	True	True	True	True	True	True	True	True	True
253.1	Pituitary hyperfunction	endocrine/metabolic	HP_0033794	Acral overgrowth													44.05593114372207							True	True	True
253.11	Acromegaly and gigantism	endocrine/metabolic	HP_0033794	Acral overgrowth													49.96853914690151							True	True	True
253.3	Diabetes insipidus	endocrine/metabolic	HP_0000863	Central diabetes insipidus			True			True			True				33.44534494300706					True	True	True	True	True
253.3	Diabetes insipidus	endocrine/metabolic	HP_0000873	Diabetes insipidus	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	78.15985971088904	True	True	True	True	True	True	True	True	True
253.5	Pituitary dwarfism	endocrine/metabolic	HP_0000839	Pituitary dwarfism	True	True	True	True	True	True				100.0	100.0			True	True			True		True	True	True
253.7	Other disorders of neurohypophysis	endocrine/metabolic	HP_0031218	Inappropriate antidiuretic hormone secretion								True				90.0	101.48110126484848			True	True			True	True	True
253.7	Other disorders of neurohypophysis	endocrine/metabolic	HP_0002902	Hyponatremia													48.93940173054936							True	True	True
255.1	Adrenal hyperfunction	endocrine/metabolic	HP_0003118	Increased circulating cortisol level											100.0	100.0	56.36062287488093	True	True	True	True	True	True	True	True	True
255.11	Cushing's syndrome	endocrine/metabolic	HP_0003118	Increased circulating cortisol level										100.0	100.0	100.0	73.89714934890087	True	True	True	True	True	True	True	True	True
255.12	Hyperaldosteronism	endocrine/metabolic	HP_0000859	Hyperaldosteronism	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	17.35890781139058	True	True	True	True	True	True	True	True	True
255.12	Hyperaldosteronism	endocrine/metabolic	HP_0011736	Primary hyperaldosteronism			True			True	True	True	True			100.0	45.50918718507064	True	True	True	True	True	True	True	True	True
255.3	Adrenogenital disorders	endocrine/metabolic	HP_0008258	Congenital adrenal hyperplasia													104.56696626221306			True	True			True	True	True
256.4	Polycystic ovaries	endocrine/metabolic	HP_0000147	Polycystic ovaries	True	True	True	True	True	True				100.0	100.0		106.94463380553567	True	True	True	True	True	True	True	True	True
257.1	Testicular hypofunction	endocrine/metabolic	HP_0000026	Male hypogonadism													55.12799012397042			True	True	True	True	True	True	True
259.3	Delay in sexual development and puberty NEC	endocrine/metabolic	HP_0000823	Delayed puberty							True	True	True			100.0	66.91265220059897			True	True	True	True	True	True	True
259.4	Precocious sexual development and puberty NEC	endocrine/metabolic	HP_0000826	Precocious puberty							True	True	True			100.0	87.51217030312388			True	True	True	True	True	True	True
260.1	Cachexia	endocrine/metabolic	HP_0004326	Cachexia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True	True	True	True
260.3	Adult failure to thrive	endocrine/metabolic	HP_0001508	Failure to thrive		True			True			True		82.35	82.35	82.35						True		True	True	True
260.6	Anorexia	endocrine/metabolic	HP_0002039	Anorexia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	57.100847721732606	True	True	True	True			True	True	True
260.7	Polyphagia	endocrine/metabolic	HP_0002591	Polyphagia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	19.061199012706364	True	True	True	True	True	True	True	True	True
260.7	Polyphagia	endocrine/metabolic	HP_0100739	Bulimia													54.23679908643571							True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0008326	Reduced circulating vitamin B6 level			True	True	True	True			True		100.0			True	True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100503	Low levels of vitamin B1			True			True			True						True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100497	Vitamin B3 deficiency			True			True			True							True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100512	Low levels of vitamin D			True	True	True	True	True	True	True		100.0	100.0		True	True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0004905	Low levels of vitamin A			True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100505	Low levels of vitamin B5			True			True			True											True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100513	Low levels of vitamin E			True			True		True	True			100.0				True	True	True	True	True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100504	Low levels of vitamin B2			True			True	True	True	True			100.0		True	True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100507	Reduced blood folate concentration			True			True			True							True	True	True	True	True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100502	Vitamin B12 deficiency			True			True			True							True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100510	Low levels of vitamin C			True			True			True			80.95		True	True	True	True			True	True	True
261	Vitamin deficiency	endocrine/metabolic	HP_0100506	Low levels of vitamin B8			True			True			True											True	True	True
261.1	Vitamin A deficiency	endocrine/metabolic	HP_0004905	Low levels of vitamin A	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True			True	True	True
261.3	Vitamin C deficiencies	endocrine/metabolic	HP_0100510	Low levels of vitamin C										100.0		80.95	15.339874898672102	True	True	True	True			True	True	True
261.4	Vitamin D deficiency	endocrine/metabolic	HP_0002748	Rickets													45.49897957287479			True	True	True	True	True	True	True
261.4	Vitamin D deficiency	endocrine/metabolic	HP_0100512	Low levels of vitamin D	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	20.855772092559306	True	True	True	True			True	True	True
261.41	Rickets or osteomalacia	endocrine/metabolic	HP_0002748	Rickets													45.49897957287479			True	True			True	True	True
264.1	Short stature	endocrine/metabolic	HP_0003502	Mild short stature			True			True						86.49								True	True	True
264.1	Short stature	endocrine/metabolic	HP_0003510	Severe short stature													54.36838350282387		True		True			True	True	True
264.1	Short stature	endocrine/metabolic	HP_0004322	Short stature	True	True	True	True	True	True		True		100.0	100.0		29.04424452721759	True	True	True	True	True		True	True	True
264.3	Delayed milestones	endocrine/metabolic	HP_0001270	Motor delay			True			True														True	True	True
264.3	Delayed milestones	endocrine/metabolic	HP_0001263	Global developmental delay	True	True	True	True	True	True				100.0	100.0							True	True	True	True	True
269	Proteinuria	endocrine/metabolic	HP_0000093	Proteinuria	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	57.32692341579606	True	True	True	True	True	True	True	True	True
269	Proteinuria	endocrine/metabolic	HP_0012595	Mild proteinuria			True			True			True											True	True	True
270.11	Disturbances of sulphur-bearing amino-acid metabolism	endocrine/metabolic	HP_0002156	Homocystinuria							True	True	True			100.0	107.73550404914968			True	True	True	True	True	True	True
270.12	Phenylketonuria [PKU]	endocrine/metabolic	HP_0005982	Reduced phenylalanine hydroxylase level													85.81175326924641		True	True	True			True	True	True
270.2	Disorders of amino-acid metabolism	endocrine/metabolic	HP_0002912	Methylmalonic acidemia							True	True	True			100.0	43.591981374224645			True	True			True	True	True
270.21	Disorders of urea cycle metabolism	endocrine/metabolic	HP_0032397	Citrullinuria													48.729566439406526			True	True	True	True	True	True	True
270.32	Paraproteinemia	endocrine/metabolic	HP_0100778	Cryoglobulinemia							True	True	True			100.0	75.65796864093494			True	True	True	True	True	True	True
270.32	Paraproteinemia	endocrine/metabolic	HP_0031047	Paraproteinemia	True	True	True							100.0	100.0							True	True	True	True	True
270.33	Amyloidosis	endocrine/metabolic	HP_4000041	AA amyloidosis			True			True			True											True	True	True
270.33	Amyloidosis	endocrine/metabolic	HP_0011034	Amyloidosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	35.96792625291911	True	True	True	True	True	True	True	True	True
270.35	Macroglobulinemia	endocrine/metabolic	HP_0005508	Monoclonal immunoglobulin M proteinemia													83.27798867188038	True	True	True	True			True	True	True
270.38	Other specified disorders of plasma protein metabolism	endocrine/metabolic	HP_0003073	Hypoalbuminemia													69.53376039949589					True		True	True	True
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	endocrine/metabolic	HP_0004789	Lactose intolerance							True	True	True			100.0	44.50862856991301			True	True	True	True	True	True	True
272.1	Hyperlipidemia	endocrine/metabolic	HP_0003077	Hyperlipidemia	True	True	True		True		True	True	True	100.0	88.24	100.0				True	True	True		True	True	True
