phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_category	hpo_code	hpo_label	hpo_child	stringMatch_hpo-phecodeXupdated	subStringMatch_hpo-to-phecodeXupdated	subStringMatch_phecodeXupdated-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeXupdated-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0001878	Hemolytic anemia	False															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004802	Episodic hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004804	Congenital hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004814	Fava bean-induced hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004817	Drug-sensitive hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004844	Coombs-positive hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004863	Compensated hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0004870	Chronic hemolytic anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0005511	Heinz body anemia	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0005524	Macrocytic hemolytic disease	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0005525	Spontaneous hemolytic crises	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0005535	Exercise-induced hemolysis	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0008269	Increased red cell hemolysis by shear stress	True															True	True				True	True
BI_161.23	Drug-induced hemolytic anemia*	Blood/Immune	HP_0031484	Cold-induced hemolysis	True															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001908	Hypoplastic anemia	False															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0001915	Aplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0004810	Congenital hypoplastic anemia	True															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0004819	Normocytic hypoplastic anemia	True															True	True				True	True
BI_162	Aplastic anemia	Blood/Immune	HP_0012133	Erythroid hypoplasia	False															True	True				True	True
BI_162.1	Constitutional (hereditary) aplastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_162.1	Constitutional (hereditary) aplastic anemia	Blood/Immune	HP_0004810	Congenital hypoplastic anemia	False															True	True	True	True		True	True
BI_162.2	Acquired pure red cell aplasia [erythroblastopenia]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001876	Pancytopenia	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_162.8	Pancytopenia	Blood/Immune	HP_0001915	Aplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_162.81	Drug-induced pancytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164	Anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164	Anemia	Blood/Immune	HP_0001878	Hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001890	Autoimmune hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001895	Normochromic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001897	Normocytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001903	Anemia	False	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001908	Hypoplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001915	Aplastic anemia	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
BI_164	Anemia	Blood/Immune	HP_0001924	Sideroblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001930	Nonspherocytic hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001931	Hypochromic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001935	Microcytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001937	Microangiopathic hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0001972	Macrocytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0003339	Pyrimidine-responsive megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004802	Episodic hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004804	Congenital hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004810	Congenital hypoplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004814	Fava bean-induced hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004817	Drug-sensitive hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004819	Normocytic hypoplastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004826	Folate-unresponsive megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004840	Hypochromic microcytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004844	Coombs-positive hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004851	Folate-responsive megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004856	Normochromic microcytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004857	Hyperchromic macrocytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004860	Thiamine-responsive megaloblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004861	Refractory macrocytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004863	Compensated hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0004870	Chronic hemolytic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005505	Refractory anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005510	Transient erythroblastopenia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005511	Heinz body anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005522	Pyridoxine-responsive sideroblastic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005524	Macrocytic hemolytic disease	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005525	Spontaneous hemolytic crises	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005532	Macrocytic dyserythropoietic anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0005535	Exercise-induced hemolysis	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0008269	Increased red cell hemolysis by shear stress	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0008346	Increased red cell sickling tendency	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0010972	Anemia of inadequate production	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0011895	Anemia due to reduced life span of red cells	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0012133	Erythroid hypoplasia	False															True	True				True	True
BI_164	Anemia	Blood/Immune	HP_0031484	Cold-induced hemolysis	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0032231	Hypochromia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164	Anemia	Blood/Immune	HP_0033074	Steroid-responsive anemia	True	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001891	Iron deficiency anemia	True				True	True	True	True	True	True		100.0	100.0	True	True	True	True	True	True		True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001931	Hypochromic anemia	True															True	True	True	True		True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0001935	Microcytic anemia	True	True	True	True							100.0							True	True	True	True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0004840	Hypochromic microcytic anemia	True	True	True	True							100.0					True	True	True	True	True	True	True
BI_164.1	Microcytic anemia	Blood/Immune	HP_0004856	Normochromic microcytic anemia	True	True	True	True							100.0							True	True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001889	Megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0001972	Macrocytic anemia	False	True	True	True							100.0								True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0003339	Pyrimidine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0004826	Folate-unresponsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0004851	Folate-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0004857	Hyperchromic macrocytic anemia	True	True	True	True							100.0								True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0004860	Thiamine-responsive megaloblastic anemia	True	True	True	True							100.0					True	True		True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0004861	Refractory macrocytic anemia	True	True	True	True							100.0								True	True	True	True
BI_164.2	Macrocytic anemia	Blood/Immune	HP_0005532	Macrocytic dyserythropoietic anemia	True	True	True	True							100.0								True	True	True	True
BI_164.3	Acute posthemorrhagic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.6	Anemia secondary to chronic diseases and conditions	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.7	Myelophthisis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0001924	Sideroblastic anemia	False	True	True	True	True	True	True				100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_164.8	Sideroblastic anemia	Blood/Immune	HP_0005522	Pyridoxine-responsive sideroblastic anemia	True	True	True	True	True	True	True				100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues	False													True	True						True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001928	Abnormality of coagulation	False													True	True	True	True				True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001929	Reduced factor XI activity	True													True	True	True	True	True	True		True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001976	Reduced antithrombin III activity	True													True	True	True	True	True	True		True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0003125	Reduced factor VIII activity	True													True	True	True	True	True	True		True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0003225	Reduced coagulation factor V activity	True													True	True	True	True	True	True		True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0003256	Abnormality of the coagulation cascade	True													True	True	True	True	True	True		True	True
