ICD9_code	ICD9_label	ICD9_simpleLabel	phecode1.2_codeList	phecodeX_codeList
004	Shigellosis	shigellosis	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.0	Shigella dysenteriae	shigella dysenteriae	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.1	Shigella flexneri	shigella flexneri	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.2	Shigella boydii	shigella boydii	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.3	Shigella sonnei	shigella sonnei	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.8	Other specified shigella infections	other specified shigella infections	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
004.9	Shigellosis, unspecified	shigellosis	['008', '008.5']	['027', '089', '089.1', '526', '526.1', '526.13']
005	Other food poisoning (bacterial)	other food poisoning bacterial	['008', '008.5']	['089', '089.1', '526', '526.1']
005.0	Staphylococcal food poisoning	staphylococcal food poisoning	['008', '008.5']	['002', '089', '089.1', '526', '526.1']
005.1	Botulism food poisoning	botulism food poisoning	['008', '008.5']	['015', '089', '089.1', '526', '526.1']
005.2	Food poisoning due to Clostridium perfringens (C. welchii)	food poisoning due to clostridium perfringens c. welchii	['008', '008.5']	['015', '015.1', '089', '089.1', '526', '526.1', '526.12']
005.3	Food poisoning due to other Clostridia	food poisoning due to other clostridia	['008', '008.5']	['015', '089', '089.1', '526', '526.1']
005.4	Food poisoning due to Vibrio parahaemolyticus	food poisoning due to vibrio parahaemolyticus	['008', '008.5']	['023', '089', '089.1', '526', '526.1']
005.8	Other bacterial food poisoning	other bacterial food poisoning	['008', '008.5']	['089', '089.1', '526', '526.1']
005.81	Food poisoning due to Vibrio vulnificus	food poisoning due to vibrio vulnificus	['008', '008.5']	['023', '089', '089.1', '526', '526.1']
005.89	Other bacterial food poisoning	other bacterial food poisoning	['008', '008.5']	['089', '089.1', '526', '526.1']
005.9	Food poisoning, unspecified	food poisoning	['008']	['526']
006	Amebiasis	amebiasis	['008']	['084', '084.1', '526', '526.3']
006.0	Acute amebic dysentery without mention of abscess	acute amebic dysentery without mention of abscess	['008']	['084', '084.1', '526', '526.3']
006.1	Chronic intestinal amebiasis without mention of abscess	chronic intestinal amebiasis without mention of abscess	['008', '008.7']	['084', '084.1', '526', '526.3']
006.2	Amebic nondysenteric colitis	amebic nondysenteric colitis	['008']	['084', '084.1', '526', '526.3']
006.3	Amebic liver abscess	amebic liver abscess	['008']	['084', '084.1', '546']
006.4	Amebic lung abscess	amebic lung abscess	['008']	['084', '084.1', '482', '482.1', '482.11']
006.5	Amebic brain abscess	amebic brain abscess	['008']	['084', '084.1', '322', '322.4']
006.6	Amebic skin ulceration	amebic skin ulceration	['008']	['084', '084.1']
006.8	Amebic infection of other sites	amebic infection of other sites	['008']	['084', '084.1']
006.9	Amebiasis, unspecified	amebiasis	['008']	['084', '084.1', '526', '526.3']
007	Other protozoal intestinal diseases	other protozoal intestinal diseases	['008']	['084', '526', '526.3']
007.0	Balantidiasis	balantidiasis	['008', '008.7']	['084', '526', '526.3']
007.1	Giardiasis	giardiasis	['008', '008.7']	['084', '084.7', '526', '526.3']
007.2	Coccidiosis	coccidiosis	['008']	['084', '526', '526.3']
007.3	Intestinal trichomoniasis	intestinal trichomoniasis	['008']	['084', '084.4', '526', '526.3']
007.4	Cryptosporidiosis	cryptosporidiosis	['008', '008.7']	['084', '084.8', '526', '526.3']
007.5	Cyclosporiasis	cyclosporiasis	['008']	['084', '526', '526.3']
007.8	Other specified protozoal intestinal diseases	other specified protozoal intestinal diseases	['008', '008.7']	['084', '526', '526.3']
007.9	Unspecified protozoal intestinal disease	protozoal intestinal disease	['008']	['084', '526', '526.3']
008	Intestinal infections due to other organisms	intestinal infections due to other organisms	['008']	['526']
008.0	Intestinal infection due to escherichia coli [E. coli]	intestinal infection due to escherichia coli e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.00	Intestinal infection due to E. coli, unspecified	intestinal infection due to e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.01	Intestinal infection due to enteropathogenic E. coli	intestinal infection due to enteropathogenic e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.02	Intestinal infection due to enterotoxigenic E. coli	intestinal infection due to enterotoxigenic e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.03	Intestinal infection due to enteroinvasive E. coli	intestinal infection due to enteroinvasive e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.04	Intestinal infection due to enterohemorrhagic E. coli	intestinal infection due to enterohemorrhagic e. coli	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.09	Intestinal infection due to other intestinal E. coli infections	intestinal infection due to other intestinal e. coli infections	['008', '008.5', '008.51']	['003', '089', '089.1', '526', '526.1', '526.11']
008.1	Intestinal infection due to arizona group of paracolon bacilli	intestinal infection due to arizona group of paracolon bacilli	['008', '008.5']	['526', '526.1']
008.2	Intestinal infection due to aerobacter aerogenes	intestinal infection due to aerobacter aerogenes	['008', '008.5']	['089', '089.1', '526', '526.1']
008.3	Intestinal infection due to proteus (mirabilis) (morganii)	intestinal infection due to proteus mirabilis morganii	['008', '008.5']	['012', '089', '089.1', '526', '526.1']
008.4	Intestinal infection due to other specified bacteria	intestinal infection due to other specified bacteria	['008', '008.5']	['089', '089.1', '526', '526.1']
008.41	Intestinal infection due to staphylococcus	intestinal infection due to staphylococcus	['008', '008.5']	['002', '089', '089.1', '526', '526.1']
008.42	Intestinal infection due to pseudomonas	intestinal infection due to pseudomonas	['008', '008.5']	['009', '089', '089.1', '526', '526.1']
008.43	Intestinal infection due to campylobacter	intestinal infection due to campylobacter	['008', '008.5']	['030', '089', '089.1', '526', '526.1']
008.44	Intestinal infection due to yersinia enterocolitica	intestinal infection due to yersinia enterocolitica	['008', '008.5']	['032', '089', '089.1', '526', '526.1']
008.45	Intestinal infection due to Clostridium difficile	intestinal infection due to clostridium difficile	['008', '008.5', '008.52']	['015', '015.2', '089', '089.1', '526', '526.1', '526.12']
008.46	Intestinal infection due to other anaerobes	intestinal infection due to other anaerobes	['008', '008.5']	['089', '089.1', '526', '526.1']
008.47	Intestinal infection due to other gram-negative bacteria	intestinal infection due to other gram-negative bacteria	['008', '008.5']	['089', '089.1', '526', '526.1']
008.49	Intestinal infection due to other organisms	intestinal infection due to other organisms	['008', '008.5']	['089', '089.1', '526', '526.1']
008.5	Bacterial enteritis, unspecified	bacterial enteritis	['008', '008.5']	['089', '089.1', '526', '526.1']
008.6	Enteritis due to specified virus	enteritis due to specified virus	['008', '008.6']	['089', '089.2', '526', '526.2']
008.61	Enteritis due to rotavirus	enteritis due to rotavirus	['008', '008.6']	['063', '089', '089.2', '526', '526.2', '526.21']
008.62	Enteritis due to adenovirus	enteritis due to adenovirus	['008', '008.6']	['060', '089', '089.2', '526', '526.2']
008.63	Enteritis due to norwalk virus	enteritis due to norwalk virus	['008', '008.6']	['064', '089', '089.2', '526', '526.2']
008.64	Enteritis due to other small round viruses [SRV's]	enteritis due to other small round viruses srvs	['008', '008.6']	['089', '089.2', '526', '526.2']
008.65	Enteritis due to calicivirus	enteritis due to calicivirus	['008', '008.6']	['069', '089', '089.2', '526', '526.2']
008.66	Enteritis due to astrovirus	enteritis due to astrovirus	['008', '008.6']	['069', '089', '089.2', '526', '526.2']
008.67	Enteritis due to enterovirus nec	enteritis due to enterovirus nec	['008', '008.6']	['050', '089', '089.2', '526', '526.2']
008.69	Enteritis due to other viral enteritis	enteritis due to other viral enteritis	['008', '008.6']	['089', '089.2', '526', '526.2']
008.8	Intestinal infection due to other organism, not elsewhere classified	intestinal infection due to other organism not elsewhere classified	['008', '008.6']	['089', '089.2', '526', '526.2']
009	Ill-defined intestinal infections	ill-defined intestinal infections	['008']	['526']
009.0	Infectious colitis, enteritis, and gastroenteritis	infectious colitis enteritis and gastroenteritis	['008']	['526']
009.1	Colitis, enteritis, and gastroenteritis of presumed infectious origin	colitis enteritis and gastroenteritis of presumed infectious origin	['008']	['526']
009.2	Infectious diarrhea	infectious diarrhea	['008']	['526', '529', '529.1']
009.3	Diarrhea of presumed infectious origin	diarrhea of presumed infectious origin	['008']	['526', '529', '529.1']
010	Primary tuberculous infection	primary tuberculous infection	['010']	['005', '005.1', '089', '089.1', '460']
010.0	Primary tuberculous infection	primary tuberculous infection	['010']	['005', '005.1', '089', '089.1', '460']
010.00	Primary tuberculous infection, unspecified	primary tuberculous infection	['010']	['005', '005.1', '089', '089.1', '460']
010.01	Primary tuberculous infection, bacteriological or histological examination not done	primary tuberculous infection bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
010.02	Primary tuberculous infection, bacteriological or histological examination unknown (at present)	primary tuberculous infection bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
010.03	Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy	primary tuberculous infection tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
010.04	Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	primary tuberculous infection tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
010.05	Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	primary tuberculous infection tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
010.06	Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
010.1	Tuberculous pleurisy in primary progressive tuberculosis	tuberculous pleurisy in primary progressive tuberculosis	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.10	Tuberculous pleurisy in primary progressive tuberculosis, unspecified	tuberculous pleurisy in primary progressive tuberculosis	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.11	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done	tuberculous pleurisy in primary progressive tuberculosis bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.12	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)	tuberculous pleurisy in primary progressive tuberculosis bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.13	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.14	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.15	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.16	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460', '491']
010.8	Other primary progressive tuberculosis	other primary progressive tuberculosis	['010']	['005', '005.1', '089', '089.1', '460']
010.80	Other primary progressive tuberculosis, unspecified	other primary progressive tuberculosis	['010']	['005', '005.1', '089', '089.1', '460']
010.81	Other primary progressive tuberculosis, bacteriological or histological examination not done	other primary progressive tuberculosis bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
010.82	Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)	other primary progressive tuberculosis bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
010.83	Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy	other primary progressive tuberculosis tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
010.84	Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	other primary progressive tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
010.85	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	other primary progressive tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
010.86	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	other primary progressive tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
010.9	Primary tuberculous infection, unspecified type	primary tuberculous infectiontype	['010']	['005', '005.1', '089', '089.1', '460']
010.90	Primary tuberculous infection, unspecified, unspecified	primary tuberculous infection unspecified	['010']	['005', '005.1', '089', '089.1', '460']
010.91	Primary tuberculous infection, unspecified, bacteriological or histological examination not done	primary tuberculous infectionbacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
010.92	Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)	primary tuberculous infectionbacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
010.93	Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy	primary tuberculous infectiontubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
010.94	Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	primary tuberculous infectiontubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
010.95	Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	primary tuberculous infectiontubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
010.96	Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	primary tuberculous infectiontubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011	Pulmonary tuberculosis	pulmonary tuberculosis	['010']	['005', '005.1', '089', '089.1', '460']
011.0	Tuberculosis of lung, infiltrative	tuberculosis of lung infiltrative	['010']	['005', '005.1', '089', '089.1', '460']
011.00	Tuberculosis of lung, infiltrative, unspecified	tuberculosis of lung infiltrative	['010']	['005', '005.1', '089', '089.1', '460']
011.01	Tuberculosis of lung, infiltrative, bacteriological or histological examination not done	tuberculosis of lung infiltrative bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
011.02	Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)	tuberculosis of lung infiltrative bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
011.03	Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy	tuberculosis of lung infiltrative tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
011.04	Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculosis of lung infiltrative tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
011.05	Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculosis of lung infiltrative tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
011.06	Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculosis of lung infiltrative tubercle bacilli not found bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011.1	Tuberculosis of lung, nodular	tuberculosis of lung nodular	['010']	['005', '005.1', '089', '089.1', '460']
011.10	Tuberculosis of lung, nodular, unspecified	tuberculosis of lung nodular	['010']	['005', '005.1', '089', '089.1', '460']
011.11	Tuberculosis of lung, nodular, bacteriological or histological examination not done	tuberculosis of lung nodular bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
011.12	Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)	tuberculosis of lung nodular bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
011.13	Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy	tuberculosis of lung nodular tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
011.14	Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculosis of lung nodular tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
011.15	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculosis of lung nodular tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
011.16	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculosis of lung nodular tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011.2	Tuberculosis of lung with cavitation	tuberculosis of lung with cavitation	['010']	['005', '005.1', '089', '089.1', '460']
011.20	Tuberculosis of lung with cavitation, unspecified	tuberculosis of lung with cavitation	['010']	['005', '005.1', '089', '089.1', '460']
011.21	Tuberculosis of lung with cavitation, bacteriological or histological examination not done	tuberculosis of lung with cavitation bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
011.22	Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)	tuberculosis of lung with cavitation bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
011.23	Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy	tuberculosis of lung with cavitation tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
011.24	Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculosis of lung with cavitation tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
011.25	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
011.26	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculosis of lung with cavitation tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011.3	Tuberculosis of bronchus	tuberculosis of bronchus	['010']	['005', '005.1', '089', '089.1', '460']
011.30	Tuberculosis of bronchus, unspecified	tuberculosis of bronchus	['010']	['005', '005.1', '089', '089.1', '460']
011.31	Tuberculosis of bronchus, bacteriological or histological examination not done	tuberculosis of bronchus bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
011.32	Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)	tuberculosis of bronchus bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
011.33	Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy	tuberculosis of bronchus tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
011.34	Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture	tuberculosis of bronchus tubercle bacilli not found in sputum by microscopy but found in bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
011.35	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculosis of bronchus tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
011.36	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculosis of bronchus tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011.4	Tuberculous fibrosis of lung	tuberculous fibrosis of lung	['010']	['005', '005.1', '089', '089.1', '460']
011.40	Tuberculous fibrosis of lung, unspecified	tuberculous fibrosis of lung	['010']	['005', '005.1', '089', '089.1', '460']
011.41	Tuberculous fibrosis of lung, bacteriological or histological examination not done	tuberculous fibrosis of lung bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460']
011.42	Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)	tuberculous fibrosis of lung bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460']
011.43	Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy	tuberculous fibrosis of lung tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460']
011.44	Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculous fibrosis of lung tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460']
011.45	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculous fibrosis of lung tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460']
011.46	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculous fibrosis of lung tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460']
011.5	Tuberculous bronchiectasis	tuberculous bronchiectasis	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.50	Tuberculous bronchiectasis, unspecified	tuberculous bronchiectasis	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.51	Tuberculous bronchiectasis, bacteriological or histological examination not done	tuberculous bronchiectasis bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.52	Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)	tuberculous bronchiectasis bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.53	Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy	tuberculous bronchiectasis tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.54	Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculous bronchiectasis tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.55	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculous bronchiectasis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.56	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	tuberculous bronchiectasis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals	['010']	['005', '005.1', '089', '089.1', '460', '476']
011.6	Tuberculous pneumonia [any form]	tuberculous pneumonia any form	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.60	Tuberculous pneumonia [any form], unspecified	tuberculous pneumonia any form	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.61	Tuberculous pneumonia [any form], bacteriological or histological examination not done	tuberculous pneumonia any form bacteriological or histological examination not done	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.62	Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)	tuberculous pneumonia any form bacteriological or histological examination unknown at present	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.63	Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy	tuberculous pneumonia any form tubercle bacilli found in sputum by microscopy	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.64	Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	tuberculous pneumonia any form tubercle bacilli not found in sputum by microscopy but found by bacterial culture	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
011.65	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	tuberculous pneumonia any form tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically	['010']	['005', '005.1', '089', '089.1', '460', '468', '468.2', '468.29']
