phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
CA_101.41	Colorectal cancer	colorectal cancer	Neoplasms
CA_101.411	Malignant neoplasm of colon	malignant neoplasm of colon	Neoplasms
CA_101.412	Malignant neoplasm of appendix	malignant neoplasm of appendix	Neoplasms
CA_101.42	Malignant neoplasm of anus	malignant neoplasm of anus	Neoplasms
CA_101.6	Malignant neoplasm of the liver and intrahepatic bile ducts	malignant neoplasm of the liver and intrahepatic bile ducts	Neoplasms
CA_101.61	Malignant neoplasm of the liver	malignant neoplasm of the liver	Neoplasms
CA_101.62	Malignant neoplasm of the intrahepatic bile ducts	malignant neoplasm of the intrahepatic bile ducts	Neoplasms
CA_101.7	Malignant neoplasm of the gallbladder and extrahepatic bile ducts	malignant neoplasm of the gallbladder and extrahepatic bile ducts	Neoplasms
CA_101.71	Malignant neoplasm of the gallbladder	malignant neoplasm of the gallbladder	Neoplasms
CA_101.8	Malignant neoplasm of the pancreas	malignant neoplasm of the pancreas	Neoplasms
CA_102	Malignant neoplasm of the thoracic and respiratory organs	malignant neoplasm of the thoracic and respiratory organs	Neoplasms
CA_102.1	Malignant neoplasm of the of bronchus and lung	malignant neoplasm of the of bronchus and lung	Neoplasms
CA_102.3	Malignant neoplasm of the trachea	malignant neoplasm of the trachea	Neoplasms
CA_102.5	Malignant neoplasm of the heart, mediastinum, thymus, and pleura	malignant neoplasm of the heart mediastinum thymus and pleura	Neoplasms
CA_102.51	Malignant neoplasm of the heart	malignant neoplasm of the heart	Neoplasms
CA_102.52	Malignant neoplasm of the mediastinum	malignant neoplasm of the mediastinum	Neoplasms
CA_102.53	Malignant neoplasm of the of pleura	malignant neoplasm of the of pleura	Neoplasms
CA_102.54	Malignant neoplasm of the thymus	malignant neoplasm of the thymus	Neoplasms
CA_103	Malignant neoplasm of the skin	malignant neoplasm of the skin	Neoplasms
CA_103.1	Melanomas of skin	melanomas of skin	Neoplasms
CA_103.21	Basal cell carcinoma	basal cell carcinoma	Neoplasms
CA_103.22	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	Neoplasms
CA_103.3	Carcinoma in situ of skin	carcinoma in situ of skin	Neoplasms
CA_104	Malignant sarcoma-related cancers	malignant sarcoma-related cancers	Neoplasms
CA_104.1	Malignant neoplam of the bone and/or cartilage	malignant neoplam of the bone andor cartilage	Neoplasms
CA_104.2	Malignant neoplasm of retroperitoneum and peritoneum	malignant neoplasm of retroperitoneum and peritoneum	Neoplasms
CA_104.3	Malignant neoplasm of connective and soft tissue	malignant neoplasm of connective and soft tissue	Neoplasms
CA_104.4	Malignant neoplasm of peripheral nerves*	malignant neoplasm of peripheral nerves	Neoplasms
CA_104.5	Gastrointestinal stromal tumor*	gastrointestinal stromal tumor	Neoplasms
CA_104.6	Kaposi's sarcoma	kaposis sarcoma	Neoplasms
CA_105	Malignant neoplasm of the breast	malignant neoplasm of the breast	Neoplasms
CA_105.1	Malignant neoplasm of the breast, female	malignant neoplasm of the breast female	Neoplasms
CA_105.2	Malignant neoplasm of the breast, male	malignant neoplasm of the breast male	Neoplasms
CA_106	Gynecological malignant neoplasms	gynecological malignant neoplasms	Neoplasms
CA_106.11	Malignant neoplasm of the vulva	malignant neoplasm of the vulva	Neoplasms
CA_106.12	Malignant neoplasm of the vagina	malignant neoplasm of the vagina	Neoplasms
CA_106.13	Malignant neoplasm of the cervix	malignant neoplasm of the cervix	Neoplasms
CA_106.2	Malignant neoplasm of the uterus	malignant neoplasm of the uterus	Neoplasms
CA_106.21	Malignant neoplasm of endometrium	malignant neoplasm of endometrium	Neoplasms
CA_106.3	Malignant neoplasm of the ovary	malignant neoplasm of the ovary	Neoplasms
CA_106.4	Malignant neoplasm of the fallopian tube and uterine adnexa	malignant neoplasm of the fallopian tube and uterine adnexa	Neoplasms
CA_106.6	Malignant neoplasm of the placenta	malignant neoplasm of the placenta	Neoplasms
CA_107	Malignant neoplasm of male genitalia	malignant neoplasm of male genitalia	Neoplasms
CA_107.1	Malignant neoplasm of the penis	malignant neoplasm of the penis	Neoplasms
CA_107.2	Malignant neoplasm of the prostate	malignant neoplasm of the prostate	Neoplasms
CA_107.3	Malignant neoplasm of the testis	malignant neoplasm of the testis	Neoplasms
CA_107.4	Malignant neoplasm of epididymis	malignant neoplasm of epididymis	Neoplasms
CA_107.5	Malignant neoplasm of spermatic cord	malignant neoplasm of spermatic cord	Neoplasms
CA_107.6	Malignant neoplasm of the scrotum	malignant neoplasm of the scrotum	Neoplasms
CA_108	Malignant neoplasm of the urinary tract	malignant neoplasm of the urinary tract	Neoplasms
CA_108.4	Malignant neoplasm of the kidney	malignant neoplasm of the kidney	Neoplasms
CA_108.41	Malignant neoplasm of kidney, except pelvis	malignant neoplasm of kidney except pelvis	Neoplasms
CA_108.42	Malignant neoplasm of renal pelvis	malignant neoplasm of renal pelvis	Neoplasms
CA_108.5	Malignant neoplasm of the bladder	malignant neoplasm of the bladder	Neoplasms
CA_108.6	Malignant neoplasm of urethra	malignant neoplasm of urethra	Neoplasms
CA_108.7	Malignant neoplasm of ureter	malignant neoplasm of ureter	Neoplasms
CA_109	Malignant neoplasm of the eye, brain and other parts of central nervous system	malignant neoplasm of the eye brain and other parts of central nervous system	Neoplasms
CA_109.1	Malignant neoplasm of eye	malignant neoplasm of eye	Neoplasms
CA_109.11	Malignant neoplasm of orbit	malignant neoplasm of orbit	Neoplasms
CA_109.12	Malignant neoplasm of lacrimal gland and duct	malignant neoplasm of lacrimal gland and duct	Neoplasms
CA_109.13	Malignant neoplasm of conjunctiva	malignant neoplasm of conjunctiva	Neoplasms
CA_109.14	Malignant neoplasm of cornea	malignant neoplasm of cornea	Neoplasms
CA_109.15	Malignant neoplasm of retina	malignant neoplasm of retina	Neoplasms
CA_109.16	Malignant neoplasm of choroid	malignant neoplasm of choroid	Neoplasms
CA_109.2	Malignant neoplasm of meninges	malignant neoplasm of meninges	Neoplasms
CA_109.3	Malignant neoplasm of brain	malignant neoplasm of brain	Neoplasms
CA_109.4	Malignant neoplasm of spinal cord	malignant neoplasm of spinal cord	Neoplasms
CA_109.5	Malignant neoplasm of cranial nerve	malignant neoplasm of cranial nerve	Neoplasms
CA_110	Malignant neoplasm of the endocrine glands	malignant neoplasm of the endocrine glands	Neoplasms
CA_110.1	Malignant neoplasm of the thyroid	malignant neoplasm of the thyroid	Neoplasms
CA_110.3	Malignant neoplasm of the parathyroid gland	malignant neoplasm of the parathyroid gland	Neoplasms
CA_110.4	Malignant neoplasm of the pituitary gland and craniopharyngeal duct	malignant neoplasm of the pituitary gland and craniopharyngeal duct	Neoplasms
CA_110.5	Malignant neoplasm of the pineal gland	malignant neoplasm of the pineal gland	Neoplasms
CA_112	Malignant neoplasm of other and ill-defined sites	malignant neoplasm of other and ill-defined sites	Neoplasms
CA_112.1	Mesothelioma*	mesothelioma	Neoplasms
CA_114	Neuroendocrine tumors	neuroendocrine tumors	Neoplasms
CA_114.1	Malignant neuroendocrine tumors	malignant neuroendocrine tumors	Neoplasms
CA_114.11	Exocrine pancreatic cancer	exocrine pancreatic cancer	Neoplasms
CA_114.12	Merkel cell carcinoma	merkel cell carcinoma	Neoplasms
CA_114.2	Benign neuroendocrine tumors	benign neuroendocrine tumors	Neoplasms
CA_114.4	Carcinoid tumors	carcinoid tumors	Neoplasms
CA_114.41	Intestinal carcinoid	intestinal carcinoid	Neoplasms
CA_114.42	Carcinoid tumor of the bronchus and lung	carcinoid tumor of the bronchus and lung	Neoplasms
CA_114.43	Carcinoid tumor of the thymus	carcinoid tumor of the thymus	Neoplasms
CA_114.44	Carcinoid tumor of the stomach	carcinoid tumor of the stomach	Neoplasms
CA_114.45	Carcinoid tumor of the kidney	carcinoid tumor of the kidney	Neoplasms
CA_114.5	Paraganglioma	paraganglioma	Neoplasms
CA_114.6	Pheochromocytoma	pheochromocytoma	Neoplasms
CA_116	Secondary malignant neoplasm	secondary malignant neoplasm	Neoplasms
CA_120	Hemo onc - by cell of origin	hemo onc - by cell of origin	Neoplasms
CA_120.1	Myeloid	myeloid	Neoplasms
CA_120.11	Plasma cell	plasma cell	Neoplasms
CA_120.12	Monocyte	monocyte	Neoplasms
CA_120.13	Erythroid	erythroid	Neoplasms
CA_120.14	Megakaryoblast	megakaryoblast	Neoplasms
CA_120.15	Mast cell	mast cell	Neoplasms
CA_120.2	Lymphoid	lymphoid	Neoplasms
CA_120.21	Mature B-cell	mature b-cell	Neoplasms
CA_120.22	Mature T-Cell	mature t-cell	Neoplasms
CA_120.3	Histocytoces	histocytoces	Neoplasms
CA_121	Leukemia	leukemia	Neoplasms
CA_121.1	Acute leukemia	acute leukemia	Neoplasms
CA_121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms
CA_121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
CA_121.2	Chronic leukemia	chronic leukemia	Neoplasms
CA_121.21	Chronic lymphoid leukemia	chronic lymphoid leukemia	Neoplasms
CA_121.22	Chronic myloid leukemia	chronic myloid leukemia	Neoplasms
CA_121.23	Chronic myelomonocytic (monocytic) leukemia	chronic myelomonocytic monocytic leukemia	Neoplasms
CA_122	Lymphoma	lymphoma	Neoplasms
CA_122.1	Hodgkin lymphoma	hodgkin lymphoma	Neoplasms
CA_122.11	Nodular sclerosis Hodgkin lymphoma	nodular sclerosis hodgkin lymphoma	Neoplasms
CA_122.2	Non-Hodgkin lymphoma	non-hodgkin lymphoma	Neoplasms
CA_122.21	Follicular lymphoma	follicular lymphoma	Neoplasms
CA_122.22	Diffuse large B-cell lymphoma*	diffuse large b-cell lymphoma	Neoplasms
CA_122.23	Burkitt lymphoma	burkitt lymphoma	Neoplasms
CA_122.24	T-cell lymphoma	t-cell lymphoma	Neoplasms
CA_122.25	Anaplastic large cell lymphoma	anaplastic large cell lymphoma	Neoplasms
CA_122.26	Extranodal NK/T-cell lymphoma, nasal type*	extranodal nkt-cell lymphoma nasal type	Neoplasms
CA_123	Multiple myeloma and malignant plasma cell neoplasms	multiple myeloma and malignant plasma cell neoplasms	Neoplasms
CA_123.1	Multiple myeloma	multiple myeloma	Neoplasms
CA_124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms
CA_124.3	Polycythemia vera	polycythemia vera	Neoplasms
CA_124.5	Essential thrombocythemia	essential thrombocythemia	Neoplasms
CA_124.6	Myelodysplastic syndrome	myelodysplastic syndrome	Neoplasms
CA_124.7	Chronic myeloproliferative disease*	chronic myeloproliferative disease	Neoplasms
CA_124.8	Myelofibrosis	myelofibrosis	Neoplasms
CA_125	Other malignant neoplasms of lymphoid, hematopoietic and related tissue	other malignant neoplasms of lymphoid hematopoietic and related tissue	Neoplasms
CA_125.1	Cutaneous mastocytosis*	cutaneous mastocytosis	Neoplasms
CA_128	Estrogen receptor status	estrogen receptor status	Neoplasms
CA_128.1	Estrogen receptor postitive status [ER+]	estrogen receptor postitive status er	Neoplasms
CA_128.2	Estrogen receptor negative status [ER-]	estrogen receptor negative status er-	Neoplasms
CA_130	Cancer (solid tumor, excluding BCC)	cancer solid tumor excluding bcc	Neoplasms
CA_132	Sequelae of cancer	sequelae of cancer	Neoplasms
CA_135	Benign neoplasm of the head and neck	benign neoplasm of the head and neck	Neoplasms
CA_135.1	Benign neoplasm of the oral cavity	benign neoplasm of the oral cavity	Neoplasms
CA_135.11	Benign neoplasm of the lip	benign neoplasm of the lip	Neoplasms
CA_135.12	Benign neoplasm of the tongue	benign neoplasm of the tongue	Neoplasms
CA_135.14	Benign neoplasm of the floor of mouth	benign neoplasm of the floor of mouth	Neoplasms
CA_135.16	Benign neoplasm of the salivary glands	benign neoplasm of the salivary glands	Neoplasms
CA_135.2	Benign neoplasm of the oropharynx	benign neoplasm of the oropharynx	Neoplasms
CA_135.3	Benign neoplasm of the nasopharynx	benign neoplasm of the nasopharynx	Neoplasms
CA_135.4	Benign neoplasm of the hypopharynx	benign neoplasm of the hypopharynx	Neoplasms
CA_135.5	Benign neoplasm of the paranasal sinus and nasal cavity	benign neoplasm of the paranasal sinus and nasal cavity	Neoplasms
CA_135.6	Benign neoplasm of vocal cord or larynx	benign neoplasm of vocal cord or larynx	Neoplasms
CA_136	Benign neoplasm of the digestive organs	benign neoplasm of the digestive organs	Neoplasms
CA_136.1	Benign neoplasm of the esophagus	benign neoplasm of the esophagus	Neoplasms
CA_136.2	Benign neoplasm of stomach	benign neoplasm of stomach	Neoplasms
CA_136.3	Benign neoplasm of the small intestine	benign neoplasm of the small intestine	Neoplasms
CA_136.4	Benign neoplasm of colon, rectum, anus and anal canal	benign neoplasm of colon rectum anus and anal canal	Neoplasms
CA_136.41	Benign neoplasm of the colon	benign neoplasm of the colon	Neoplasms
CA_136.42	Benign neoplasm of rectum and anus	benign neoplasm of rectum and anus	Neoplasms
CA_136.6	Benign neoplasm of the liver and intrahepatic bile ducts	benign neoplasm of the liver and intrahepatic bile ducts	Neoplasms
CA_136.61	Benign neoplasm of the liver*	benign neoplasm of the liver	Neoplasms
CA_136.8	Benign neoplasm of the pancreas	benign neoplasm of the pancreas	Neoplasms
CA_137	Benign neoplasm of the thoracic and respiratory organs	benign neoplasm of the thoracic and respiratory organs	Neoplasms
CA_137.1	Benign neoplasm of the of bronchus and lung	benign neoplasm of the of bronchus and lung	Neoplasms
CA_137.3	Benign neoplasm of the trachea	benign neoplasm of the trachea	Neoplasms
CA_137.51	Benign neoplasm of the heart	benign neoplasm of the heart	Neoplasms
CA_137.52	Benign neoplasm of the mediastinum	benign neoplasm of the mediastinum	Neoplasms
CA_137.53	Benign neoplasm of the of pleura	benign neoplasm of the of pleura	Neoplasms
CA_137.54	Benign neoplasm of the thymus	benign neoplasm of the thymus	Neoplasms
CA_138	Benign neoplasm of the skin	benign neoplasm of the skin	Neoplasms
CA_138.1	Nevus, non-neoplastic	nevus non-neoplastic	Neoplasms
CA_138.2	Melanocytic nevi*	melanocytic nevi	Neoplasms
CA_139.1	Benign neoplams of the bone and/or cartilage	benign neoplams of the bone andor cartilage	Neoplasms
CA_139.2	Benign neoplasm of retroperitoneum and peritoneum	benign neoplasm of retroperitoneum and peritoneum	Neoplasms
CA_139.3	Benign neoplasm of other connective and soft tissue	benign neoplasm of other connective and soft tissue	Neoplasms
CA_139.4	Benign neoplasm of peripheral nerves*	benign neoplasm of peripheral nerves	Neoplasms
CA_139.5	Lipoma	lipoma	Neoplasms
CA_139.51	Lipomatosis*	lipomatosis	Neoplasms
CA_139.52	Lipoma of intrathoracic organs	lipoma of intrathoracic organs	Neoplasms
CA_139.53	Lipoma of skin subcutaneous tissue	lipoma of skin subcutaneous tissue	Neoplasms
CA_139.54	Testicular limpoma	testicular limpoma	Neoplasms
CA_139.6	Hemangioma and lymphangioma	hemangioma and lymphangioma	Neoplasms
CA_139.61	Hemangioma	hemangioma	Neoplasms
CA_139.62	Lymphangioma	lymphangioma	Neoplasms
CA_140	Benign neoplasm of the breast	benign neoplasm of the breast	Neoplasms
CA_142	Lump or mass in breast or nonspecific abnormal breast exam	lump or mass in breast or nonspecific abnormal breast exam	Neoplasms
CA_142.1	Lump or mass in breast	lump or mass in breast	Neoplasms
CA_142.2	Abnormal mammogram	abnormal mammogram	Neoplasms
CA_142.21	Mammographic microcalcification	mammographic microcalcification	Neoplasms
CA_144	Gynecological benign neoplasms	gynecological benign neoplasms	Neoplasms
CA_144.11	Benign neoplasms of the vulva	benign neoplasms of the vulva	Neoplasms
CA_144.12	Benign neoplasms of the vagina	benign neoplasms of the vagina	Neoplasms
CA_144.13	Benign neoplasms of the cervix	benign neoplasms of the cervix	Neoplasms
CA_144.2	Benign neoplasms of the uterus	benign neoplasms of the uterus	Neoplasms
CA_144.21	Leiomyoma of uterus	leiomyoma of uterus	Neoplasms
CA_144.3	Benign neoplasms of the ovary	benign neoplasms of the ovary	Neoplasms
CA_144.4	Benign neoplasm of the fallopian tube and uterine adnexa	benign neoplasm of the fallopian tube and uterine adnexa	Neoplasms
CA_146	Benign neoplasm of male genital organs	benign neoplasm of male genital organs	Neoplasms
CA_146.1	Benign neoplasm of the penis	benign neoplasm of the penis	Neoplasms
CA_146.2	Benign neoplasm of the prostate	benign neoplasm of the prostate	Neoplasms
CA_146.3	Benign neoplasm of the testis	benign neoplasm of the testis	Neoplasms
CA_146.31	Benign neoplasm of epididymis and spermatic cord	benign neoplasm of epididymis and spermatic cord	Neoplasms
CA_146.32	Benign neoplasm of the scrotum	benign neoplasm of the scrotum	Neoplasms
CA_147	Benign neoplasm of kidney and urinary organs	benign neoplasm of kidney and urinary organs	Neoplasms
CA_147.1	Benign neoplasm of the kidney	benign neoplasm of the kidney	Neoplasms
CA_147.2	Benign neoplasm of ureter	benign neoplasm of ureter	Neoplasms
CA_147.3	Benign neoplasm of bladder	benign neoplasm of bladder	Neoplasms
CA_147.4	Benign neoplasm of urethra	benign neoplasm of urethra	Neoplasms
CA_148	Benign neoplasm of the eye, brain and other parts of central nervous system	benign neoplasm of the eye brain and other parts of central nervous system	Neoplasms
CA_148.1	Benign neoplasm of eye	benign neoplasm of eye	Neoplasms
CA_148.11	Benign neoplasm of orbit	benign neoplasm of orbit	Neoplasms
CA_148.12	Benign neoplasm of lacrimal gland and duct	benign neoplasm of lacrimal gland and duct	Neoplasms
CA_148.13	Benign neoplasm of conjunctiva	benign neoplasm of conjunctiva	Neoplasms
CA_148.14	Benign neoplasm of cornea	benign neoplasm of cornea	Neoplasms
CA_148.15	Benign neoplasm of retina	benign neoplasm of retina	Neoplasms
CA_148.16	Benign neoplasm of choroid	benign neoplasm of choroid	Neoplasms
