phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
211	Disorders of adrenal glands	disorders of adrenal glands	Endo
214	Ovarian dysfunction	ovarian dysfunction	Endo
215	Testicular dysfunction	testicular dysfunction	Endo
218	Polyglandular dysfunction	polyglandular dysfunction	Endo
230	Malnutrition and underweight	malnutrition and underweight	Metab
210.4	Alcohol-induced pseudo-Cushing's syndrome*	alcohol-induced pseudo-cushings syndrome	Endo
243	Mucopolysaccharidosis	mucopolysaccharidosis	Metab
243.1	Hurler's syndrome [Mucopolysaccharidosis Ih]*	hurlers syndrome mucopolysaccharidosis ih	Metab
247	Disorders of mineral metabolism and mineral deficiencies	disorders of mineral metabolism and mineral deficiencies	Metab
247.4	Disorders of magnesium metabolism	disorders of magnesium metabolism	Metab
247.5	Disorders of calcium metabolism	disorders of calcium metabolism	Metab
247.6	Hungry bone syndrome	hungry bone syndrome	Metab
802	Throat pain	throat pain	Signs/Symptoms
251	Disorders of bilirubin excretion	disorders of bilirubin excretion	Metab
236	Overweight and obesity	overweight and obesity	Metab
179	Immunodeficiencies	immunodeficiencies	Blood
249	Amyloidosis	amyloidosis	Metab
248.1	Alpha-1-antitrypsin deficiency	alpha-1-antitrypsin deficiency	Metab
256	Disorders of fluid, electrolyte and acid-base balance	disorders of fluid electrolyte and acid-base balance	Metab
177	Abnormality of the lymph nodes	abnormality of the lymph nodes	Blood
168.1	Hypo-coagulability	hypo-coagulability	Blood
168.11	Hereditary hypo-coagulability	hereditary hypo-coagulability	Blood
176	Other diseases of blood and blood-forming organs	other diseases of blood and blood-forming organs	Blood
139.54	Testicular limpoma	testicular limpoma	Neoplasms
112.1	Mesothelioma*	mesothelioma	Neoplasms
280.5	Cocaine related disorders	cocaine related disorders	Mental
287	Psychotic disorder	psychotic disorder	Mental
280.8	Other psychoactive substance related disorders	other psychoactive substance related disorders	Mental
280.7	Hallucinogen related disorders	hallucinogen related disorders	Mental
297	Gender identity disorder	gender identity disorder	Mental
331	Headache	headache	Neuro
293	Eating disorders	eating disorders	Mental
325.11	Abnormal head movements*	abnormal head movements	Neuro
832.5	Acetonuria	acetonuria	Signs/Symptoms
320	Meningitis	meningitis	Neuro
321	Encephalitis, myelitis and encephalomyelitis	encephalitis myelitis and encephalomyelitis	Neuro
322	Other CNS infection	other cns infection	Neuro
346.4	Brain death	brain death	Neuro
114.2	Benign neuroendocrine tumors	benign neuroendocrine tumors	Neoplasms
326	Demyelinating diseases of the central nervous system	demyelinating diseases of the central nervous system	Neuro
512.1	Dysphagia, oropharyngeal phase	dysphagia oropharyngeal phase	GI
326.2	Neuromyelitis optica	neuromyelitis optica	Neuro
552.11	Primary sclerosing cholangitis*	primary sclerosing cholangitis	GI
249.2	Light chain (AL) amyloidosis*	light chain al amyloidosis	Metab
330	Epilepsy, recurrent seizures, convulsions	epilepsy recurrent seizures convulsions	Neuro
904.11	Threatened abortion	threatened abortion	Preg
333.7	Narcolepsy	narcolepsy	Neuro
330.15	Juvenile myoclonic epilepsy*	juvenile myoclonic epilepsy	Neuro
349	Disorder of nervous system	disorder of nervous system	Neuro
121.23	Chronic myelomonocytic (monocytic) leukemia	chronic myelomonocytic monocytic leukemia	Neoplasms
336	Mononeuropathies	mononeuropathies	Neuro
334	Disorders of other cranial nerves	disorders of other cranial nerves	Neuro
335	Nerve root and plexus disorders	nerve root and plexus disorders	Neuro
345	Encephalopathy	encephalopathy	Neuro
337.2	Inflammatory polyneuropathy	inflammatory polyneuropathy	Neuro
346	Brain damage and brain death	brain damage and brain death	Neuro
347	Other disorders of the brain and CNS	other disorders of the brain and cns	Neuro
391.6	Cholesteatoma of middle ear	cholesteatoma of middle ear	Hearing
373	Noninflammatory disorders of choroid	noninflammatory disorders of choroid	Eye
369	Noninflammatory disorders of the cornea	noninflammatory disorders of the cornea	Eye
375	Abnormal intraocular pressure	abnormal intraocular pressure	Eye
371	Cataract	cataract	Eye
387	Disorders of refraction and accommodation	disorders of refraction and accommodation	Eye
386	Visual disturbances	visual disturbances	Eye
379	Infection of the eye	infection of the eye	Eye
367	Inflammation of the eye	inflammation of the eye	Eye
360	Inflammation of eyelids	inflammation of eyelids	Eye
366	Noninflammatory disorders of conjunctiva	noninflammatory disorders of conjunctiva	Eye
361	Disorders of eyelid function	disorders of eyelid function	Eye
363	Disorders of lacrimal system	disorders of lacrimal system	Eye
380	Disorders of optic nerve and visual pathways	disorders of optic nerve and visual pathways	Eye
380.3	Optic atrophy	optic atrophy	Eye
381	Strabismus	strabismus	Eye
390	Disorders of external ear	disorders of external ear	Hearing
391	Disorders of the middle ear	disorders of the middle ear	Hearing
393	Mastoiditis and related conditions	mastoiditis and related conditions	Hearing
397.2	Noise effects on inner ear	noise effects on inner ear	Hearing
395	Other diseases of inner ear	other diseases of inner ear	Hearing
395.2	Labyrinthine fistula	labyrinthine fistula	Hearing
394.23	Central origin vertigo	central origin vertigo	Hearing
394.22	Vestibular neuronitis	vestibular neuronitis	Hearing
398	Other disorders of ear	other disorders of ear	Hearing
468.13	Pneumonia due to parainfluenza virus	pneumonia due to parainfluenza virus	Resp
164.61	Anemia in chronic kidney disease	anemia in chronic kidney disease	Blood
401	Hypertension	hypertension	Cardio
411	Other diseases of pericardium	other diseases of pericardium	Cardio
406	Chronic pulmonary heart disease	chronic pulmonary heart disease	Cardio
419	Presence of cardiac device	presence of cardiac device	Cardio
414	Cardiomyopathy	cardiomyopathy	Cardio
417.1	Palpitations	palpitations	Cardio
416	Cardiac arrhythmia and conduction disorders	cardiac arrhythmia and conduction disorders	Cardio
416.1	Paroxysmal tachycardia	paroxysmal tachycardia	Cardio
416.3	Ventricular fibrillation and flutter	ventricular fibrillation and flutter	Cardio
424	Heart failure	heart failure	Cardio
430	Nontraumatic Intracranial hemorrhage	nontraumatic intracranial hemorrhage	Cardio
433	Other cerebrovascular disease	other cerebrovascular disease	Cardio
433.4	Moyamoya disease	moyamoya disease	Cardio
436	Atherosclerosis [ASCVD]	atherosclerosis ascvd	Cardio
437	Vascular insufficiency of intestine	vascular insufficiency of intestine	Cardio
438	Aneurysm or ectasia	aneurysm or ectasia	Cardio
448	Peripheral vascular disease	peripheral vascular disease	Cardio
530.4	Stenosis of anus and rectum	stenosis of anus and rectum	GI
442	Disease of capillaries	disease of capillaries	Cardio
438.43	Coronary artery dissection	coronary artery dissection	Cardio
444	Venous insufficiency	venous insufficiency	Cardio
439	Hemorrhoids	hemorrhoids	Cardio
524	Functional intestinal disorder	functional intestinal disorder	GI
524.2	Neurogenic bowel	neurogenic bowel	GI
465	Pharyngitis	pharyngitis	Resp
471	Other disorders of nose and nasal sinuses	other disorders of nose and nasal sinuses	Resp
470	Acute bronchiolitis	acute bronchiolitis	Resp
472	Diseases of vocal cords and larynx, not elsewhere classified	diseases of vocal cords and larynx not elsewhere classified	Resp
473	Other diseases of upper respiratory tract	other diseases of upper respiratory tract	Resp
471.5	Nasal polyps	nasal polyps	Resp
474	Chronic obstructive pulmonary disease [COPD]	chronic obstructive pulmonary disease copd	Resp
475	Asthma	asthma	Resp
476	Bronchiectasis	bronchiectasis	Resp
477	Inhalation lung injury	inhalation lung injury	Resp
479	Pulmonary insufficiency and acute respiratory distress syndrome	pulmonary insufficiency and acute respiratory distress syndrome	Resp
481.1	Pulmonary eosinophilia	pulmonary eosinophilia	Resp
482	Suppurative and necrotic conditions of the lower respiratory tract	suppurative and necrotic conditions of the lower respiratory tract	Resp
484	Pneumothorax and air leak	pneumothorax and air leak	Resp
463.5	Postnasal drip	postnasal drip	Resp
486.41	Hiccough	hiccough	Resp
296.1	Paranoid personality disorder	paranoid personality disorder	Mental
296.2	Schizoid personality disorder	schizoid personality disorder	Mental
286	Mood [affective] disorders	mood affective disorders	Mental
232.5	Vitamin E deficiency*	vitamin e deficiency	Metab
520	Hernia	hernia	GI
523	Diverticular disease [Bowel diverticulosis]	diverticular disease bowel diverticulosis	GI
503	Diseases of pulp and periapical tissues	diseases of pulp and periapical tissues	GI
504	Periodontal diseases	periodontal diseases	GI
733	Dentofacial anomalies, including malocclusion	dentofacial anomalies including malocclusion	Musc/Skel
770.5	Congenital malformations of vagina	congenital malformations of vagina	Cong
734	Diseases of the jaws	diseases of the jaws	Musc/Skel
770.33	Bicornate uterus	bicornate uterus	Cong
507.12	Cancrum oris	cancrum oris	GI
507.3	Oral leukoplakia	oral leukoplakia	GI
766.1	Biliary atresia	biliary atresia	Cong
765.7	Persistent cloaca*	persistent cloaca	Cong
540	Hepatitis	hepatitis	GI
751.2	Craniorachischisis	craniorachischisis	Cong
750.14	Septo-optic dysplasia of brain*	septo-optic dysplasia of brain	Cong
514.3	Ileus	ileus	GI
530.1	Anal fissure	anal fissure	GI
537	Abnormality of the peritoneum	abnormality of the peritoneum	GI
559	Other disease of digestive system, NOS	other disease of digestive system	GI
554.3	Exocrine pancreatic insufficiency*	exocrine pancreatic insufficiency	GI
525.2	Pancreatic steatorrhea	pancreatic steatorrhea	GI
555	Ascites	ascites	GI
546	Other disorders of liver	other disorders of liver	GI
550.1	Gallstones [Cholelithiasis]	gallstones cholelithiasis	GI
912.2	Thrombotic conditions of pregnancy	thrombotic conditions of pregnancy	Preg
557	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	GI
556	Other symptoms involving the digestive system and abdomen	other symptoms involving the digestive system and abdomen	GI
580	Glomerular diseases	glomerular diseases	Genitourinary
585	Kidney stone disease	kidney stone disease	Genitourinary
586	Other disorders of the kidney and ureters	other disorders of the kidney and ureters	Genitourinary
588	Disorders and findings from impaired renal function	disorders and findings from impaired renal function	Genitourinary
589	Pathological lesions of kidney	pathological lesions of kidney	Genitourinary
591	Urinary tract infection	urinary tract infection	Genitourinary
592	Cystitis and urethritis	cystitis and urethritis	Genitourinary
593	Hematuria	hematuria	Genitourinary
596	Other disorders of bladder	other disorders of bladder	Genitourinary
597	Other disorders of urethra and urinary tract	other disorders of urethra and urinary tract	Genitourinary
C935	Urinary complications, not elsewhere classified	urinary complications not elsewhere classified	Complications of care
598	Abnormal findings on radiological and other examination of genitourinary organs	abnormal findings on radiological and other examination of genitourinary organs	Genitourinary
599	Other symptoms/disorders or the urinary system	other symptomsdisorders or the urinary system	Genitourinary
600	Benign prostatic hyperplasia	benign prostatic hyperplasia	Genitourinary
601	Inflammatory diseases of prostate	inflammatory diseases of prostate	Genitourinary
602	Other disorders of prostate	other disorders of prostate	Genitourinary
603	Disorders and symptoms of testis	disorders and symptoms of testis	Genitourinary
604	Disorders of penis	disorders of penis	Genitourinary
605	Male sexual dysfuction	male sexual dysfuction	Genitourinary
608	Other disorders of male genital organs	other disorders of male genital organs	Genitourinary
610	Benign mammary dysplasias	benign mammary dysplasias	Genitourinary
614	Inflammatory diseases of female pelvic organs	inflammatory diseases of female pelvic organs	Genitourinary
615	Endometriosis	endometriosis	Genitourinary
618.1	Prolapse of vaginal walls	prolapse of vaginal walls	Genitourinary
617	Fistula involving female genital tract	fistula involving female genital tract	Genitourinary
618	Genital prolapse	genital prolapse	Genitourinary
619	Noninflammatory female genital disorders	noninflammatory female genital disorders	Genitourinary
620	Dysplasia of female genital organs	dysplasia of female genital organs	Genitourinary
621	Endometrial hyperplasia	endometrial hyperplasia	Genitourinary
622	Polyp of female genital organs	polyp of female genital organs	Genitourinary
623	Hypertrophy of female genital organs	hypertrophy of female genital organs	Genitourinary
624	Symptoms involving female genital tract	symptoms involving female genital tract	Genitourinary
625	Pain and other symptoms associated with female genital organs	pain and other symptoms associated with female genital organs	Genitourinary
626	Disorders of menstruation and other abnormal bleeding from female genital tract	disorders of menstruation and other abnormal bleeding from female genital tract	Genitourinary
627	Menopausal and postmenopausal disorders	menopausal and postmenopausal disorders	Genitourinary
628	Ovarian cyst	ovarian cyst	Genitourinary
901	Abnormal products of conception	abnormal products of conception	Preg
165.5	Hereditary persistence of fetal hemoglobin [HPFH]*	hereditary persistence of fetal hemoglobin hpfh	Blood
908.2	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	pre-existing hypertension complicating pregnancy childbirth and the puerperium	Preg
908	Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium	edema proteinuria and hypertensive disorders in pregnancy childbirth and the puerperium	Preg
916	Infections and carrier state in pregnancy	infections and carrier state in pregnancy	Preg
911	Excessive vomiting in pregnancy	excessive vomiting in pregnancy	Preg
909	Diabetes mellitus or abnormal glucose in pregnancy, childbirth, and the puerperium	diabetes mellitus or abnormal glucose in pregnancy childbirth and the puerperium	Preg
910	Obesity or excessive weight gain in pregnancy	obesity or excessive weight gain in pregnancy	Preg
938	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	other conditions or status of the mother complicating pregnancy childbirth or the puerperium	Preg
937	Abnormal findings on antenatal screening of mother	abnormal findings on antenatal screening of mother	Preg
930	Maternal care for abnormality of pelvic organs	maternal care for abnormality of pelvic organs	Preg
932	Known or suspected fetal abnormality affecting management of mother	known or suspected fetal abnormality affecting management of mother	Preg
935	Rhesus isoimmunization affecting management of mother	rhesus isoimmunization affecting management of mother	Preg
874	Neonatal obstruction of nasolacrimal duct	neonatal obstruction of nasolacrimal duct	Neonate
920	Problems associated with amniotic cavity and membranes	problems associated with amniotic cavity and membranes	Preg
499.1	Acute chest syndrome	acute chest syndrome	Resp
941	Abnormal forces of labor	abnormal forces of labor	Preg
947	Umbilical cord complications	umbilical cord complications	Preg
240.5	Disorders of urea cycle metabolism	disorders of urea cycle metabolism	Metab
240.11	Hyperphenylalaninemias	hyperphenylalaninemias	Metab
949	Complications of labor and delivery NEC	complications of labor and delivery nec	Preg
240.4	Disturbances of sulphur-bearing amino-acid metabolism	disturbances of sulphur-bearing amino-acid metabolism	Metab
952	Other complications of the puerperium NEC	other complications of the puerperium nec	Preg
954	Other disorders of the breast associated with childbirth and disorders of lactation	other disorders of the breast associated with childbirth and disorders of lactation	Preg
240.3	Disorders of fatty-acid metabolism	disorders of fatty-acid metabolism	Metab
666	Urticaria	urticaria	Derm
670	Seborrheic keratosis	seborrheic keratosis	Derm
674	Disorders of pigmentation	disorders of pigmentation	Derm
675	Atrophic conditions of skin	atrophic conditions of skin	Derm
676	Hypertrophic conditions of skin	hypertrophic conditions of skin	Derm
678	Other skin and subcutaneous disorders	other skin and subcutaneous disorders	Derm
680	Epidermal thickening	epidermal thickening	Derm
681	Localized swelling, mass and lump of skin and subcutaneous tissue	localized swelling mass and lump of skin and subcutaneous tissue	Derm
682	Other follicular disorders	other follicular disorders	Derm
684.13	Scarring hair loss*	scarring hair loss	Derm
683	Nail disorders	nail disorders	Derm
684	Diseases of hair and hair follicles	diseases of hair and hair follicles	Derm
685	Disorders of sweat glands	disorders of sweat glands	Derm
686	Chronic ulcer of skin	chronic ulcer of skin	Derm
700	Diffuse diseases of connective tissue	diffuse diseases of connective tissue	Musc/Skel
701	Osteomyelitis, periostitis, and other infections involving bone	osteomyelitis periostitis and other infections involving bone	Musc/Skel
702	Infective and reactive arthropathies	infective and reactive arthropathies	Musc/Skel
705	Rheumatoid arthritis and other inflammatory polyarthropathies	rheumatoid arthritis and other inflammatory polyarthropathies	Musc/Skel
706	Other inflammatory spondylopathies	other inflammatory spondylopathies	Musc/Skel
707	Other arthropathies	other arthropathies	Musc/Skel
708	Osteoarthritis	osteoarthritis	Musc/Skel
431.12	Hemorrhagic stroke	hemorrhagic stroke	Cardio
723.52	Posterior tibial tendinitis	posterior tibial tendinitis	Musc/Skel
717.1	Cervicocranial syndrome	cervicocranial syndrome	Musc/Skel
807.21	Muscle weakness (generalized)	muscle weakness generalized	Signs/Symptoms
726	Osteoporosis and low bone density	osteoporosis and low bone density	Musc/Skel
727	Other disorders of bone	other disorders of bone	Musc/Skel
728	Chondropathies	chondropathies	Musc/Skel
729	Other acquired musculoskeletal deformity	other acquired musculoskeletal deformity	Musc/Skel
730	Other disorders and symptoms of the musculoskeletal system	other disorders and symptoms of the musculoskeletal system	Musc/Skel
753.83	Congenital malformation of optic disc	congenital malformation of optic disk	Cong
753.84	Congenital malformation of choroid	congenital malformation of choroid	Cong
757	Oral cleft	oral cleft	Cong
757.1	Cleft palate	cleft palate	Cong
762	Congenital malformations of esophagus	congenital malformations of esophagus	Cong
725.1	Nontraumatic slipped upper femoral epiphysis	nontraumatic slipped upper femoral epiphysis	Musc/Skel
463.2	Allergic rhinitis	allergic rhinitis	Resp
781.1	Arteriovenous malformation, congenital	arteriovenous malformation congenital	Cong
764.1	Congenital anomalies of pharynx	congenital anomalies of pharynx	Cong
768	Other congenital malformations of digestive system	other congenital malformations of digestive system	Cong
240.2	Disturbances of branched-chain amino-acid metabolism	disturbances of branched-chain amino-acid metabolism	Metab
122.1	Hodgkin lymphoma	hodgkin lymphoma	Neoplasms
122.2	Non-Hodgkin lymphoma	non-hodgkin lymphoma	Neoplasms
122	Lymphoma	lymphoma	Neoplasms
787.1	Klippel-Feil syndrome	klippel-feil syndrome	Cong
787.2	Congenital scoliosis*	congenital scoliosis	Cong
784.3	Congenital pes planus	congenital pes planus	Cong
832.4	Hemoglobinuria	hemoglobinuria	Signs/Symptoms
885.11	Extremely preterm, <24 weeks	extremely preterm 24 weeks	Neonate
856	Infections in newborn	infections in newborn	Neonate
854.91	Primary sleep apnea of newborn	primary sleep apnea of newborn	Neonate
853	Cardiovascular disorders originating in the perinatal period	cardiovascular disorders originating in the perinatal period	Neonate
853.1	Neonatal cardiac failure	neonatal cardiac failure	Neonate
854	Respiratory conditions of fetus and newborn	respiratory conditions of fetus and newborn	Neonate
861	Transitory disorders of carbohydrate metabolism specific to newborn	transitory disorders of carbohydrate metabolism specific to newborn	Neonate
862	Transitory neonatal disorders of calcium and magnesium metabolism	transitory neonatal disorders of calcium and magnesium metabolism	Neonate
889	Nonspecific symptoms peculiar to infancy	nonspecific symptoms peculiar to infancy	Neonate
731	Symptoms involving musculoskeletal systems	symptoms involving musculoskeletal systems	Musc/Skel
805	Fever of unknown origin	fever of unknown origin	Signs/Symptoms
527	Abdominal pain	abdominal pain	GI
808	Syncope and collapse	syncope and collapse	Signs/Symptoms
528	Nausea and vomiting	nausea and vomiting	GI
829	Nonspecific findings on examination of blood	nonspecific findings on examination of blood	Signs/Symptoms
751.5	Hydromyelia	hydromyelia	Cong
831	Glycosuria	glycosuria	Signs/Symptoms
122.22	Diffuse large B-cell lymphoma*	diffuse large b-cell lymphoma	Neoplasms
822	Other and nonspecific abnormal cytological, histological and immunological findings	other and nonspecific abnormal cytological histological and immunological findings	Signs/Symptoms
179.9	Immunodeficiency NOS	immunodeficiency	Blood
810	Shock	shock	Signs/Symptoms
807	Malaise and fatigue	malaise and fatigue	Signs/Symptoms
807.1	Chronic fatigue syndrome	chronic fatigue syndrome	Signs/Symptoms
820	Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	elevated erythrocyte sedimentation rate and abnormality of plasma viscosity	Signs/Symptoms
827	Toxicology findings	toxicology findings	Signs/Symptoms
823	Abnormal serum enzyme levels	abnormal serum enzyme levels	Signs/Symptoms
826.3	Raised antibody titer*	raised antibody titer	Signs/Symptoms
T823	Torus fracture	torus fracture	Trauma
T830	Dislocation	dislocation	Trauma
T840	Sprains and strains	sprains and strains	Trauma
T817	Fracture of ribs	fracture of ribs	Trauma
T818	Traumatic fracture of vertebrae	traumatic fracture of vertebrae	Trauma
T854	Injury to other and unspecified intrathoracic organs	injury to other andintrathoracic organs	Trauma
T851	Intracranial injury	intracranial injury	Trauma
T870	Open wounds of head; neck; and trunk	open wounds of head neck and trunk	Trauma
179.6	Selective deficiency of immunoglobulin G [IgG] subclasses*	selective deficiency of immunoglobulin g igg subclasses	Blood
T821	Fracture of pelvis	fracture of pelvis	Trauma
T909	Injury, other and unspecified	injury other and	Trauma
T910	Effects of reduced temperature	effects of reduced temperature	Trauma
C930	Central nervous system complications, not elsewhere classified	central nervous system complications not elsewhere classified	Complications of care
C938	Complication, hypertension	complication hypertension	Complications of care
C939	Complications affecting other specified body systems, not elsewhere classified	complications affecting other specified body systems not elsewhere classified	Complications of care
179.7	Common variable immunodeficiency [CVID]	common variable immunodeficiency cvid	Blood
T896	Injury to cranial nerve	injury to cranial nerve	Trauma
704.2	Wegener's granulomatosis	wegeners granulomatosis	Musc/Skel
704	Systemic vasculitis	systemic vasculitis	Musc/Skel
704.11	Polyarteritis nodosa	polyarteritis nodosa	Musc/Skel
841.5	Allergy to serum and vaccine	allergy to serum and vaccine	Signs/Symptoms
841.1	Allergy to other anti-infective agents	allergy to other anti-infective agents	Signs/Symptoms
R952	Toxic effects of nonmedical substances	toxic effects of nonmedical substances	Complications of care
960	Adverse effect of antibiotics and anti-infectives	adverse effect of antibiotics and anti-infectives	Rx
841.13	Allergy to sulfonamides	allergy to sulfonamides	Signs/Symptoms
961	Hormones and synthetic substitutes causing adverse effects in therapeutic use	hormones and synthetic substitutes causing adverse effects in therapeutic use	Rx
841	Drug and medical agent allergy	drug and medical agent allergy	Signs/Symptoms
962	Adverse effects of agents primary affecting blood constituents	adverse effects of agents primary affecting blood constituents	Rx
963	Analgesics, antipyretics, and antirheumatics causing adverse effects in therapeutic use	analgesics antipyretics and antirheumatics causing adverse effects in therapeutic use	Rx
964	Adverse effect of antiepileptic, sedative- hypnotic and antiparkinsonism drugs	adverse effect of antiepileptic sedative- hypnotic and antiparkinsonism drugs	Rx
165.4	Methemoglobinemia	methemoglobinemia	Blood
965	Psychotropic agents causing adverse effects in therapeutic use	psychotropic agents causing adverse effects in therapeutic use	Rx
969	Adverse effects of agents primarily affecting gastrointestinal system	adverse effects of agents primarily affecting gastrointestinal system	Rx
971	Adverse effects of agents primarily acting on the smooth and skeletal muscles and respiratory system	adverse effects of agents primarily acting on the smooth and skeletal muscles and respiratory system	Rx
972	Adverse effects of agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, dental	adverse effects of agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological dental	Rx
973	Adverse effect of other drug	adverse effect of other drug	Rx
974	Adverse effect of vaccine	adverse effect of vaccine	Rx
975	Primarily systemic agents causing adverse effects in therapeutic use	primarily systemic agents causing adverse effects in therapeutic use	Rx
889.3	Colic (infantile)	colic infantile	Neonate
840	Allergy	allergy	Signs/Symptoms
092	Bacteremia, Sepsis, and SIRS	bacteremia sepsis and sirs	ID
C946	Infusion and transfusion reaction	infusion and transfusion reaction	Complications of care
284.2	Suicide and self-inflicted harm	suicide and self-inflicted harm	Mental
236.11	Morbid obesity	morbid obesity	Metab
765.6	Ectopic anus*	ectopic anus	Cong
812	Edema	edema	Signs/Symptoms
684.1	Alopecia	alopecia	Derm
684.2	Hypertrichosis and hirsutism	hypertrichosis and hirsutism	Derm
200.4	Thyroiditis	thyroiditis	Endo
822.8	Abnormal tumor markers	abnormal tumor markers	Signs/Symptoms
328.3	Cerebral degeneration	cerebral degeneration	Neuro
172.3	Hemophagocytic syndromes	hemophagocytic syndromes	Blood
594.1	Retention of urine	retention of urine	Genitourinary
346.1	Postconcussion syndrome	postconcussion syndrome	Neuro
B239.31	Body mass index [BMI] 25, adult	body mass index bmi 25 adult	Stat
472.5	Stenosis of larynx	stenosis of larynx	Resp
B239.3	Body mass index [BMI] 25-30, adult	body mass index bmi 25-30 adult	Stat
848.2	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echo)	nonspecific abnormal findings on radiological and other examination of other intrathoracic organs echo	Signs/Symptoms
732	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	nonspecific abnormal findings on radiological and other examination of musculoskeletal system	Musc/Skel
