hpo_code	hpo_label	hpo_simpleLabel	hpo_original
HP_0000024	Inflammation of the prostate	inflammation of the prostate	False
HP_0008775	Abnormal prostate morphology	abnormal prostate morphology	True
HP_0008775	Abnormality of the prostate	abnormality of the prostate	False
HP_0012649	Increased inflammatory response	increased inflammatory response	True
HP_0000025	Functional abnormality of male internal genitalia	functional abnormality of male internal genitalia	True
HP_0012874	Abnormal male reproductive system physiology	abnormal male reproductive system physiology	True
HP_0000026	Male hypogonadism	male hypogonadism	True
HP_0000026	Decreased function of male gonad	decreased function of male gonad	False
HP_0000135	Hypogonadism	hypogonadism	True
HP_0000135	Decreased activity of gonads	decreased activity of gonads	False
HP_0000027	Azoospermia	azoospermia	True
HP_0000027	Absent sperm in semen	absent sperm in semen	False
HP_0008669	Abnormal spermatogenesis	abnormal spermatogenesis	True
HP_0008669	Impaired spermatogenesis	impaired spermatogenesis	False
HP_0000028	Cryptorchidism	cryptorchidism	True
HP_0000028	Cryptorchism	cryptorchism	False
HP_0000028	Undescended testes	undescended testes	False
HP_0000028	Undescended testis	undescended testis	False
HP_0000035	Abnormal testis morphology	abnormal testis morphology	True
HP_0000035	Abnormality of the testis	abnormality of the testis	False
HP_0000035	Anomaly of the testes	anomaly of the testes	False
HP_0000029	Testicular atrophy	testicular atrophy	True
HP_0000029	Testicular degeneration	testicular degeneration	False
HP_0000030	Testicular gonadoblastoma	testicular gonadoblastoma	True
HP_0000150	Gonadoblastoma	gonadoblastoma	True
HP_0010788	Testicular neoplasm	testicular neoplasm	True
HP_0010788	Testicular tumor	testicular tumor	False
HP_0010788	Testicular tumour	testicular tumor	False
HP_0000031	Epididymitis	epididymitis	True
HP_0009714	Abnormality of the epididymis	abnormality of the epididymis	True
HP_0000032	Abnormality of male external genitalia	abnormality of male external genitalia	True
HP_0000811	Abnormal external genitalia	abnormal external genitalia	True
HP_0000033	Ambiguous genitalia, male	ambiguous genitalia male	True
HP_0000033	Ambiguous genitalia in males	ambiguous genitalia in males	False
HP_0000062	Ambiguous genitalia	ambiguous genitalia	True
HP_0000062	Ambiguous external genitalia	ambiguous external genitalia	False
HP_0000062	Ambiguous external genitalia at birth	ambiguous external genitalia at birth	False
HP_0000062	Intersex genitalia	intersex genitalia	False
HP_0000034	Hydrocele testis	hydrocele testis	True
HP_0000034	Testicular hydrocele	testicular hydrocele	False
HP_0000036	Abnormal penis morphology	abnormal penis morphology	True
HP_0000036	Abnormality of the penis	abnormality of the penis	False
HP_0000037	Male pseudohermaphroditism	male pseudohermaphroditism	True
HP_0000039	Epispadias	epispadias	True
HP_0100627	Displacement of the urethral meatus	displacement of the urethral meatus	True
HP_0100627	Displacement of the external urethral orifice	displacement of the external urethral orifice	False
HP_0100627	Displacement of the male external urethral orifice	displacement of the male external urethral orifice	False
HP_0000040	Long penis	long penis	True
HP_0000040	Enlarged penis	enlarged penis	False
HP_0000041	Chordee	chordee	True
HP_0000042	Absent external genitalia	absent external genitalia	True
HP_0000044	Hypogonadotropic hypogonadism	hypogonadotropic hypogonadism	True
HP_0000044	Hypogonadotrophic hypogonadism	hypogonadotrophic hypogonadism	False
HP_0000044	Low gonadotropins (secondary hypogonadism)	low gonadotropins secondary hypogonadism	False
HP_0000045	Abnormality of the scrotum	abnormality of the scrotum	True
HP_0000046	Small scrotum	small scrotum	True
HP_0000046	Hypoplastic scrotum	hypoplastic scrotum	False
HP_0000046	Scrotal hypoplasia	scrotal hypoplasia	False
HP_0000046	Smaller than typical growth of scrotum	smaller than typical growth of scrotum	False
HP_0000046	Underdeveloped scrotum	underdeveloped scrotum	False
HP_0000050	Hypoplastic male external genitalia	hypoplastic male external genitalia	True
HP_0000050	Hypoplastic male genitalia	hypoplastic male genitalia	False
HP_0000050	Small male external genitalia	small male external genitalia	False
HP_0000050	Underdeveloped male genitalia	underdeveloped male genitalia	False
HP_0000047	Hypospadias	hypospadias	True
HP_0000047	Hypospadia	hypospadia	False
HP_0000048	Bifid scrotum	bifid scrotum	True
HP_0000048	Cleft of scrotum	cleft of scrotum	False
HP_0000048	Scrotal cleft	scrotal cleft	False
HP_0000049	Shawl scrotum	shawl scrotum	True
HP_0000049	Overriding scrotum	overriding scrotum	False
HP_0000049	Scrotum surrounds penis	scrotum surrounds penis	False
HP_0003241	External genital hypoplasia	external genital hypoplasia	True
HP_0003241	Hypogenitalism	hypogenitalism	False
HP_0003241	Small genitalia	small genitalia	False
HP_0003241	Underdevelopment of external reproductive organs	underdevelopment of external reproductive organs	False
HP_0000051	Perineal hypospadias	perineal hypospadias	True
HP_0000052	Urethral atresia, male	urethral atresia male	True
HP_0000068	Urethral atresia	urethral atresia	True
HP_0000068	Absent urethral opening	absent urethral opening	False
HP_0000068	Urethral opening absent	urethral opening absent	False
HP_0000053	Macroorchidism	macroorchidism	True
HP_0000053	Large testicles	large testicles	False
HP_0000053	Large testis	large testis	False
HP_0045058	Abnormality of the testis size	abnormality of the testis size	True
HP_0000054	Micropenis	micropenis	True
HP_0000054	Short penis	short penis	False
HP_0000054	Small penis	small penis	False
HP_0008736	Hypoplasia of penis	hypoplasia of penis	True
HP_0008736	Underdeveloped penis	underdeveloped penis	False
HP_0000055	Abnormality of female external genitalia	abnormality of female external genitalia	True
HP_0000055	Abnormal female external genitalia	abnormal female external genitalia	False
HP_0000056	Abnormality of the clitoris	abnormality of the clitoris	True
HP_0000056	Abnormality of the clit	abnormality of the clit	False
HP_0000057	obsolete Clitoromegaly	obsolete clitoromegaly	True
HP_0000058	Abnormal labia morphology	abnormal labia morphology	True
HP_0000058	Abnormality of the labia	abnormality of the labia	False
HP_0000059	Hypoplastic labia majora	hypoplastic labia majora	True
HP_0000059	Hypoplasia of labia majora	hypoplasia of labia majora	False
HP_0000059	Small labia majora	small labia majora	False
HP_0000059	Underdeveloped vaginal lips	underdeveloped vaginal lips	False
HP_0000066	Labial hypoplasia	labial hypoplasia	True
HP_0000066	Hypoplastic labia	hypoplastic labia	False
HP_0000066	Underdeveloped labia	underdeveloped labia	False
HP_0012881	Abnormal labia majora morphology	abnormal labia majora morphology	True
HP_0012881	Abnormality of the labia majora	abnormality of the labia majora	False
HP_0012881	Abnormality of vaginal lips	abnormality of vaginal lips	False
HP_0000060	Clitoral hypoplasia	clitoral hypoplasia	True
HP_0000060	Hypoplastic clitoris	hypoplastic clitoris	False
HP_0000060	Small clitoris	small clitoris	False
HP_0000060	Underdeveloped clit	underdeveloped clit	False
HP_0012815	Hypoplastic female external genitalia	hypoplastic female external genitalia	True
HP_0012815	Underdeveloped female external genitalia	underdeveloped female external genitalia	False
HP_0040255	Aplasia/Hypoplasia of the clitoris	aplasiahypoplasia of the clitoris	True
HP_0000061	Ambiguous genitalia, female	ambiguous genitalia female	True
HP_0000061	Atypical appearance of female genitals	atypical appearance of female genitals	False
HP_0000063	Fused labia minora	fused labia minora	True
HP_0000063	Fused inner lips	fused inner lips	False
HP_0012880	Abnormal labia minora morphology	abnormal labia minora morphology	True
HP_0012880	Abnormality of the inner vaginal lips	abnormality of the inner vaginal lips	False
HP_0012880	Abnormality of the labia minora	abnormality of the labia minora	False
HP_0000064	Hypoplastic labia minora	hypoplastic labia minora	True
HP_0000064	Underdeveloped inner lips	underdeveloped inner lips	False
HP_0000065	Labial hypertrophy	labial hypertrophy	True
HP_0000065	Enlarged vaginal lips	enlarged vaginal lips	False
HP_0000065	Enlargement of the labia	enlargement of the labia	False
HP_0000065	Enlargement of the vaginal lips	enlargement of the vaginal lips	False
HP_0000067	Urethral atresia, female	urethral atresia female	True
HP_0000795	Abnormality of the urethra	abnormality of the urethra	True
HP_0000795	Urethra issue	urethra issue	False
HP_0000069	Abnormality of the ureter	abnormality of the ureter	True
HP_0000069	Abnormality of the ureters	abnormality of the ureters	False
HP_0000069	Ureter issue	ureter issue	False
HP_0000069	Ureteral anomalies	ureteral anomalies	False
HP_0010935	Abnormality of the upper urinary tract	abnormality of the upper urinary tract	True
HP_0000070	Ureterocele	ureterocele	True
HP_0025633	Abnormal ureter morphology	abnormal ureter morphology	True
HP_0000071	Ureteral stenosis	ureteral stenosis	True
HP_0000071	Narrowing of the ureter	narrowing of the ureter	False
HP_0006000	Ureteral obstruction	ureteral obstruction	True
HP_0000072	Hydroureter	hydroureter	True
HP_0000072	Dilated ureter	dilated ureter	False
HP_0000072	Megaureter	megaureter	False
HP_0000072	Swelling of ureter	swelling of ureter	False
HP_0000072	Ureteral dilatation	ureteral dilatation	False
HP_0000072	Wide ureter	wide ureter	False
HP_0000073	Ureteral duplication	ureteral duplication	True
HP_0000073	Double ureter	double ureter	False
HP_0000074	Ureteropelvic junction obstruction	ureteropelvic junction obstruction	True
HP_0000074	Pelviureteric junction obstruction	pelviureteric junction obstruction	False
HP_0000074	Ureteropelvic junction stenosis	ureteropelvic junction stenosis	False
HP_0000075	Renal duplication	renal duplication	True
HP_0000075	Extra kidney	extra kidney	False
HP_0012210	Abnormal renal morphology	abnormal renal morphology	True
HP_0012210	Abnormal kidney morphology	abnormal kidney morphology	False
HP_0012210	Abnormally shaped kidney	abnormally shaped kidney	False
HP_0012210	Kidney malformation	kidney malformation	False
HP_0012210	Kidney structure issue	kidney structure issue	False
HP_0012210	Renal malformation	renal malformation	False
HP_0012210	Structural anomalies of the renal tract	structural anomalies of the renal tract	False
HP_0012210	Structural kidney abnormalities	structural kidney abnormalities	False
HP_0012210	Structural renal anomalies	structural renal anomalies	False
HP_0000076	Vesicoureteral reflux	vesicoureteral reflux	True
HP_0000076	Ureteral reflux	ureteral reflux	False
HP_0000076	Ureteric reflux	ureteric reflux	False
HP_0000076	Vesico-ureteral reflux	vesico-ureteral reflux	False
HP_0000076	Vesicoureteric reflux	vesicoureteric reflux	False
HP_0025634	Abnormal ureter physiology	abnormal ureter physiology	True
HP_0000077	Abnormality of the kidney	abnormality of the kidney	True
HP_0000077	Abnormal kidney	abnormal kidney	False
HP_0000077	Renal anomalies	renal anomalies	False
HP_0000077	Renal anomaly	renal anomaly	False
HP_0000078	Abnormality of the genital system	abnormality of the genital system	True
HP_0000078	Genital abnormalities	genital abnormalities	False
HP_0000078	Genital abnormality	genital abnormality	False
HP_0000078	Genital anomalies	genital anomalies	False
HP_0000078	Genital defects	genital defects	False
HP_0000119	Abnormality of the genitourinary system	abnormality of the genitourinary system	True
HP_0000119	Abnormality of the GU system	abnormality of the gu system	False
HP_0000119	Genitourinary abnormality	genitourinary abnormality	False
HP_0000119	Genitourinary tract anomalies	genitourinary tract anomalies	False
HP_0000119	Genitourinary tract malformation	genitourinary tract malformation	False
HP_0000119	Urogenital abnormalities	urogenital abnormalities	False
HP_0000119	Urogenital anomalies	urogenital anomalies	False
HP_0000079	Abnormality of the urinary system	abnormality of the urinary system	True
HP_0000079	Urinary tract abnormalities	urinary tract abnormalities	False
HP_0000079	Urinary tract abnormality	urinary tract abnormality	False
HP_0000079	Urinary tract anomalies	urinary tract anomalies	False
HP_0000080	Abnormality of reproductive system physiology	abnormality of reproductive system physiology	True
HP_0000080	Genital functional abnormality	genital functional abnormality	False
HP_0000081	Duplicated collecting system	duplicated collecting system	True
HP_0000081	Double collecting system	double collecting system	False
HP_0000081	Double urinary collecting systems on intravenous pyelography	double urinary collecting systems on intravenous pyelography	False
HP_0000081	Duplex collecting system	duplex collecting system	False
HP_0000081	Duplicated renal collecting system	duplicated renal collecting system	False
HP_0004742	Abnormal renal collecting system morphology	abnormal renal collecting system morphology	True
HP_0004742	Abnormal collecting system	abnormal collecting system	False
HP_0004742	Abnormality of the renal collecting system	abnormality of the renal collecting system	False
HP_0004742	Renal collecting system anomalies	renal collecting system anomalies	False
HP_0000083	Renal insufficiency	renal insufficiency	True
HP_0000083	Renal failure	renal failure	False
HP_0000083	Renal failure in adulthood	renal failure in adulthood	False
HP_0012211	Abnormal renal physiology	abnormal renal physiology	True
HP_0012211	Abnormal kidney function	abnormal kidney function	False
HP_0012211	Abnormal renal function	abnormal renal function	False
HP_0012211	Abnormality of renal physiology	abnormality of renal physiology	False
HP_0012211	Kidney function issue	kidney function issue	False
HP_0012211	Renal functional abnormality	renal functional abnormality	False
HP_0000085	Horseshoe kidney	horseshoe kidney	True
HP_0000085	Horseshoe kidneys	horseshoe kidneys	False
HP_0100542	Abnormal localization of kidney	abnormal localization of kidney	True
HP_0100542	Abnormal localisation of kidneys	abnormal localisation of kidneys	False
HP_0000086	Ectopic kidney	ectopic kidney	True
HP_0000086	Abnormal kidney location	abnormal kidney location	False
HP_0000086	Displaced kidney	displaced kidney	False
HP_0000086	Ectopic kidneys	ectopic kidneys	False
HP_0000086	Renal ectopia	renal ectopia	False
HP_0000089	Renal hypoplasia	renal hypoplasia	True
HP_0000089	Hypoplastic kidney	hypoplastic kidney	False
HP_0000089	Hypoplastic kidneys	hypoplastic kidneys	False
HP_0000089	Small kidneys	small kidneys	False
HP_0000089	Underdeveloped kidneys	underdeveloped kidneys	False
HP_0008678	Renal hypoplasia/aplasia	renal hypoplasiaaplasia	True
HP_0008678	Absent/small kidney	absentsmall kidney	False
HP_0008678	Absent/underdeveloped kidney	absentunderdeveloped kidney	False
HP_0008678	Renal agenesis/hypoplasia	renal agenesishypoplasia	False
HP_0008678	Renal aplasia/hypoplasia	renal aplasiahypoplasia	False
HP_0000090	Nephronophthisis	nephronophthisis	True
HP_0000090	juvenile nephronophthisis	juvenile nephronophthisis	False
HP_0100957	Abnormal renal medulla morphology	abnormal renal medulla morphology	True
HP_0100957	Abnormality of the renal medulla	abnormality of the renal medulla	False
HP_0000091	Abnormal renal tubule morphology	abnormal renal tubule morphology	True
HP_0000091	Abnormality of the renal tubule	abnormality of the renal tubule	False
HP_0000091	Morphologic abnormality of the renal tubules	morphologic abnormality of the renal tubules	False
HP_0012575	Abnormal nephron morphology	abnormal nephron morphology	True
HP_0012575	Abnormality of the nephron	abnormality of the nephron	False
HP_0000092	Renal tubular atrophy	renal tubular atrophy	True
HP_0000092	Renal tubular cell atrophy	renal tubular cell atrophy	False
HP_0000092	Tubular atrophy	tubular atrophy	False
HP_0032599	Abnormal renal tubular epithelial morphology	abnormal renal tubular epithelial morphology	True
HP_0000093	Proteinuria	proteinuria	True
HP_0000093	High urine protein levels	high urine protein levels	False
HP_0000093	Protein in urine	protein in urine	False
HP_0020129	Abnormal urine protein level	abnormal urine protein level	True
HP_0000095	Abnormal renal glomerulus morphology	abnormal renal glomerulus morphology	True
HP_0000095	Abnormality of renal glomerulus morphology	abnormality of renal glomerulus morphology	False
HP_0000095	Morphologic abnormality of the renal glomerulus	morphologic abnormality of the renal glomerulus	False
HP_0031263	Abnormal renal corpuscle morphology	abnormal renal corpuscle morphology	True
HP_0000096	Glomerular sclerosis	glomerular sclerosis	True
HP_0000096	Glomerulosclerosis	glomerulosclerosis	False
HP_0000097	Focal segmental glomerulosclerosis	focal segmental glomerulosclerosis	True
HP_0000097	Focal and segmental glomerular sclerosis	focal and segmental glomerular sclerosis	False
HP_0000097	Focal and segmental glomerulosclerosis	focal and segmental glomerulosclerosis	False
HP_0000097	focal glomerulosclerosis	focal glomerulosclerosis	False
HP_0000098	Tall stature	tall stature	True
HP_0000098	Accelerated linear growth	accelerated linear growth	False
HP_0000098	Increased body height	increased body height	False
HP_0000098	Increased linear growth	increased linear growth	False
HP_0000099	Glomerulonephritis	glomerulonephritis	True
HP_0000099	Glomerular nephritis	glomerular nephritis	False
HP_0000123	Nephritis	nephritis	True
HP_0000123	Kidney inflammation	kidney inflammation	False
HP_0000100	Nephrotic syndrome	nephrotic syndrome	True
HP_0000100	Nephrosis	nephrosis	False
HP_0000103	Polyuria	polyuria	True
HP_0000103	Increased urine output	increased urine output	False
HP_0012590	Abnormal urine output	abnormal urine output	True
HP_0000104	Renal agenesis	renal agenesis	True
HP_0000104	Absent kidney	absent kidney	False
HP_0000104	Missing kidney	missing kidney	False
HP_0000104	Renal aplasia	renal aplasia	False
HP_0000105	Enlarged kidney	enlarged kidney	True
HP_0000105	Large kidneys	large kidneys	False
HP_0000105	Nephromegaly	nephromegaly	False
HP_0000105	Renal enlargement	renal enlargement	False
HP_0000108	Renal corticomedullary cysts	renal corticomedullary cysts	True
HP_0000108	Corticomedullary renal cysts	corticomedullary renal cysts	False
HP_0011035	Abnormal renal cortex morphology	abnormal renal cortex morphology	True
HP_0011035	Abnormality of renal cortex morphology	abnormality of renal cortex morphology	False
HP_0000110	Renal dysplasia	renal dysplasia	True
HP_0000110	Dysplastic kidneys	dysplastic kidneys	False
HP_0000110	Renal adysplasia	renal adysplasia	False
HP_0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	renal juxtaglomerular cell hypertrophyhyperplasia	True
HP_0000112	Nephropathy	nephropathy	True
HP_0000113	Polycystic kidney dysplasia	polycystic kidney dysplasia	True
HP_0000113	Enlarged polycystic kidneys	enlarged polycystic kidneys	False
HP_0000113	Polycystic kidneys	polycystic kidneys	False
HP_0000114	Proximal tubulopathy	proximal tubulopathy	True
HP_0000114	Proximal renal tubule defect	proximal renal tubule defect	False
HP_0000114	Proximal renal tubulopathy	proximal renal tubulopathy	False
HP_0000114	Proximal tubular defect	proximal tubular defect	False
HP_0000114	Proximal tubule dysfunction	proximal tubule dysfunction	False
HP_0000114	Selective proximal tubular damage	selective proximal tubular damage	False
HP_0000124	Renal tubular dysfunction	renal tubular dysfunction	True
HP_0000124	Abnormal function of filtrating structures in kidney	abnormal function of filtrating structures in kidney	False
HP_0000124	Renal tubular defect	renal tubular defect	False
HP_0000117	Renal phosphate wasting	renal phosphate wasting	True
HP_0000117	Decreased renal tubular phosphate reabsorption	decreased renal tubular phosphate reabsorption	False
HP_0000117	Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	False
HP_0000117	Tubular phosphate reabsorption low	tubular phosphate reabsorption low	False
HP_0012599	Abnormal urine phosphate concentration	abnormal urine phosphate concentration	True
HP_0000121	Nephrocalcinosis	nephrocalcinosis	True
HP_0000121	Too much calcium deposited in kidneys	too much calcium deposited in kidneys	False
HP_0000122	Unilateral renal agenesis	unilateral renal agenesis	True
HP_0000122	Absent kidney on one side	absent kidney on one side	False
HP_0000122	Missing one kidney	missing one kidney	False
HP_0000122	Single kidney	single kidney	False
HP_0000122	Unilateral kidney agenesis	unilateral kidney agenesis	False
HP_0000125	Pelvic kidney	pelvic kidney	True
HP_0000125	Sacral kidney	sacral kidney	False
HP_0000126	Hydronephrosis	hydronephrosis	True
HP_0010946	Dilatation of the renal pelvis	dilatation of the renal pelvis	True
HP_0000127	Renal salt wasting	renal salt wasting	True
HP_0000127	Loss of salt in urine	loss of salt in urine	False
HP_0000127	Renal salt-wasting	renal salt-wasting	False
HP_0000127	Salt wasting	salt wasting	False
HP_0000127	Salt-wasting	salt-wasting	False
HP_0012591	Abnormal urinary electrolyte concentration	abnormal urinary electrolyte concentration	True
HP_0012591	Urinary electrolyte imbalance	urinary electrolyte imbalance	False
HP_0000128	Renal potassium wasting	renal potassium wasting	True
HP_0000128	Renal K wasting	renal k wasting	False
HP_0012598	Abnormal urine potassium concentration	abnormal urine potassium concentration	True
HP_0012598	Abnormal urine K concentration	abnormal urine k concentration	False
HP_0000130	Abnormality of the uterus	abnormality of the uterus	True
HP_0000130	Uterine abnormalities	uterine abnormalities	False
HP_0000130	Uterine malformations	uterine malformations	False
HP_0000131	Uterine leiomyoma	uterine leiomyoma	True
HP_0000131	Benign uterine leiomyomas	benign uterine leiomyomas	False
HP_0000131	Uterine fibroid	uterine fibroid	False
HP_0010784	Uterine neoplasm	uterine neoplasm	True
HP_0010784	Uterine tumor	uterine tumor	False
HP_0010784	Uterine tumour	uterine tumor	False
HP_0000132	Menorrhagia	menorrhagia	True
HP_0000132	Abnormally heavy bleeding during menstruation	abnormally heavy bleeding during menstruation	False
HP_0000132	Abnormally heavy periods	abnormally heavy periods	False
HP_0000132	Hypermenorrhea	hypermenorrhea	False
HP_0000140	Abnormality of the menstrual cycle	abnormality of the menstrual cycle	True
HP_0001892	Abnormal bleeding	abnormal bleeding	True
HP_0001892	Bleeding diathesis	bleeding diathesis	False
HP_0001892	Bleeding tendency	bleeding tendency	False
HP_0001892	Hemorrhagic diathesis	hemorrhagic diathesis	False
HP_0000133	Gonadal dysgenesis	gonadal dysgenesis	True
HP_0000133	Mixed gonadal dysgenesis	mixed gonadal dysgenesis	False
HP_0000133	Pure gonadal dysgenesis	pure gonadal dysgenesis	False
HP_0000134	Female hypogonadism	female hypogonadism	True
HP_0000134	Hypogonadism, female	hypogonadism female	False
HP_0031066	Abnormal ovarian physiology	abnormal ovarian physiology	True
HP_0008373	Puberty and gonadal disorders	puberty and gonadal disorders	True
HP_0000136	Bifid uterus	bifid uterus	True
HP_0031105	Abnormal uterus morphology	abnormal uterus morphology	True
HP_0000137	Abnormality of the ovary	abnormality of the ovary	True
HP_0000137	Abnormality of the ovaries	abnormality of the ovaries	False
HP_0000138	Ovarian cyst	ovarian cyst	True
HP_0000138	Cystic abnormalities of the ovaries	cystic abnormalities of the ovaries	False
HP_0000138	Cystic ovaries	cystic ovaries	False
HP_0000138	Ovarian cystic abnormality	ovarian cystic abnormality	False
HP_0031065	Abnormal ovarian morphology	abnormal ovarian morphology	True
HP_0000139	Uterine prolapse	uterine prolapse	True
HP_0000139	Sagging uterus	sagging uterus	False
HP_0100823	Genital hernia	genital hernia	True
HP_0030012	Abnormal female reproductive system physiology	abnormal female reproductive system physiology	True
HP_0000141	Amenorrhea	amenorrhea	True
HP_0000141	Abnormal absence of menstruation	abnormal absence of menstruation	False
HP_0000142	Abnormal vagina morphology	abnormal vagina morphology	True
HP_0000142	Vaginal malformation	vaginal malformation	False
HP_0000143	Rectovaginal fistula	rectovaginal fistula	True
HP_0000143	Abnormal connection between rectum and vagina	abnormal connection between rectum and vagina	False
HP_0004320	Vaginal fistula	vaginal fistula	True
HP_0100590	Rectal fistula	rectal fistula	True
HP_0000144	Decreased fertility	decreased fertility	True
HP_0000144	Abnormal fertility	abnormal fertility	False
HP_0000145	Transverse vaginal septum	transverse vaginal septum	True
HP_0000145	Transverse vaginal membrane	transverse vaginal membrane	False
HP_0001153	Septate vagina	septate vagina	True
HP_0001153	Double vagina	double vagina	False
HP_0000147	Polycystic ovaries	polycystic ovaries	True
HP_0000147	Polycystic ovary	polycystic ovary	False
HP_0000147	Sclerocystic ovaries	sclerocystic ovaries	False
HP_0000148	Vaginal atresia	vaginal atresia	True
HP_0000148	Abnormally closed or absent vagina	abnormally closed or absent vagina	False
HP_0001827	Genital tract atresia	genital tract atresia	True
HP_0000149	Ovarian gonadoblastoma	ovarian gonadoblastoma	True
HP_0000149	Gonadoblastoma, female	gonadoblastoma female	False
HP_0100615	Ovarian neoplasm	ovarian neoplasm	True
HP_0100615	Neoplasm of the ovaries	neoplasm of the ovaries	False
HP_0100615	Neoplasm of the ovary	neoplasm of the ovary	False
HP_0100615	Ovarian tumor	ovarian tumor	False
HP_0100615	Ovarian tumour	ovarian tumor	False
HP_0100728	Germ cell neoplasia	germ cell neoplasia	True
HP_0000151	Aplasia of the uterus	aplasia of the uterus	True
HP_0000151	Absent uterus	absent uterus	False
HP_0000151	uterus absent	uterus absent	False
HP_0000152	Abnormality of head or neck	abnormality of head or neck	True
HP_0000152	Head and neck abnormality	head and neck abnormality	False
HP_0000153	Abnormality of the mouth	abnormality of the mouth	True
HP_0000153	Abnormal mouth	abnormal mouth	False
HP_0000271	Abnormality of the face	abnormality of the face	True
HP_0000271	Abnormal face	abnormal face	False
HP_0000271	Facial abnormality	facial abnormality	False
HP_0000154	Wide mouth	wide mouth	True
HP_0000154	Broad mouth	broad mouth	False
HP_0000154	Large mouth	large mouth	False
HP_0000154	Large oral aperture	large oral aperture	False
HP_0000154	Macrostomia	macrostomia	False
HP_0011337	Abnormality of mouth size	abnormality of mouth size	True
