phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
112.3	Candidiasis of skin and nails	candidiasis of skin and nails	infectious diseases
117	Mycoses	mycoses	infectious diseases
117.1	Histoplasmosis	histoplasmosis	infectious diseases
117.2	Coccidioidomycosis	coccidioidomycosis	infectious diseases
117.3	Blastomycotic infection	blastomycotic infection	infectious diseases
117.4	Aspergillosis	aspergillosis	infectious diseases
130	Spirochetal infection	spirochetal infection	infectious diseases
130.1	Lyme disease	lyme disease	infectious diseases
131	Protozoan infection	protozoan infection	infectious diseases
132	Infestation (lice, mites)	infestation lice mites	infectious diseases
132.1	Pediculosis and phthirus infestation	pediculosis and phthirus infestation	infectious diseases
133	Arthropod-borne diseases	arthropod-borne diseases	infectious diseases
134	Helminthiases	helminthiases	infectious diseases
134.1	Intestinal helminthiases	intestinal helminthiases	infectious diseases
136	Other infectious and parasitic diseases	other infectious and parasitic diseases	infectious diseases
145	Cancer of mouth	cancer of mouth	neoplasms
145.1	Cancer of lip	cancer of lip	neoplasms
145.2	Cancer of tongue	cancer of tongue	neoplasms
145.3	Cancer of major salivary glands	cancer of major salivary glands	neoplasms
145.4	Cancer of the gums	cancer of the gums	neoplasms
145.5	Cancer of the mouth floor	cancer of the mouth floor	neoplasms
149	Cancer of larynx, pharynx, nasal cavities	cancer of larynx pharynx nasal cavities	neoplasms
149.1	Cancer of oropharynx	cancer of oropharynx	neoplasms
149.2	Cancer of nasopharynx	cancer of nasopharynx	neoplasms
149.3	Cancer of hypopharynx	cancer of hypopharynx	neoplasms
149.4	Cancer of larynx	cancer of larynx	neoplasms
149.5	Hx of malignant neoplasm of oral cavity and pharynx	hx of malignant neoplasm of oral cavity and pharynx	neoplasms
149.9	Cancer of of nasal cavities	cancer of of nasal cavities	neoplasms
150	Cancer of esophagus	cancer of esophagus	neoplasms
151	Cancer of stomach	cancer of stomach	neoplasms
153	Colorectal cancer	colorectal cancer	neoplasms
153.2	Colon cancer	colon cancer	neoplasms
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	malignant neoplasm of rectum rectosigmoid junction and anus	neoplasms
155	Cancer of liver and intrahepatic bile duct	cancer of liver and intrahepatic bile duct	neoplasms
155.1	Malignant neoplasm of liver, primary	malignant neoplasm of liver primary	neoplasms
157	Pancreatic cancer	pancreatic cancer	neoplasms
158	Neoplasm of unspecified nature of digestive system	neoplasm ofnature of digestive system	neoplasms
159	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	neoplasms
159.2	Malignant neoplasm of small intestine, including duodenum	malignant neoplasm of small intestine including duodenum	neoplasms
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	malignant neoplasm of gallbladder and extrahepatic bile ducts	neoplasms
159.4	Malignant neoplasm of retroperitoneum and peritoneum	malignant neoplasm of retroperitoneum and peritoneum	neoplasms
164	Cancer of intrathoracic organs	cancer of intrathoracic organs	neoplasms
165	Cancer within the respiratory system	cancer within the respiratory system	neoplasms
165.1	Cancer of bronchus; lung	cancer of bronchus lung	neoplasms
170	Cancer of bone and connective tissue	cancer of bone and connective tissue	neoplasms
170.1	Bone cancer	bone cancer	neoplasms
170.2	Cancer of connective tissue	cancer of connective tissue	neoplasms
172	Skin cancer	skin cancer	neoplasms
172.1	Melanomas of skin, dx or hx	melanomas of skin dx or hx	neoplasms
172.11	Melanomas of skin	melanomas of skin	neoplasms
172.2	Other non-epithelial cancer of skin	other non-epithelial cancer of skin	neoplasms
172.21	Basal cell carcinoma	basal cell carcinoma	neoplasms
172.22	Squamous cell carcinoma	squamous cell carcinoma	neoplasms
172.3	Carcinoma in situ of skin	carcinoma in situ of skin	neoplasms
173	Neoplasm of uncertain behavior of skin	neoplasm of uncertain behavior of skin	neoplasms
174	Breast cancer	breast cancer	neoplasms
174.1	Breast cancer [female]	breast cancer female	neoplasms
174.11	Malignant neoplasm of female breast	malignant neoplasm of female breast	neoplasms
174.2	Breast cancer [male]	breast cancer male	neoplasms
174.3	Neoplasm of uncertain behavior of breast	neoplasm of uncertain behavior of breast	neoplasms
175	Acquired absence of breast	acquired absence of breast	neoplasms
180	Cervical cancer and dysplasia	cervical cancer and dysplasia	neoplasms
180.1	Cervical cancer	cervical cancer	neoplasms
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	cervical intraepithelial neoplasia cin cervical dysplasia	neoplasms
182	Malignant neoplasm of uterus	malignant neoplasm of uterus	neoplasms
184	Cancer of other female genital organs	cancer of other female genital organs	neoplasms
184.1	Malignant neoplasm of ovary and other uterine adnexa	malignant neoplasm of ovary and other uterine adnexa	neoplasms
184.11	Malignant neoplasm of ovary	malignant neoplasm of ovary	neoplasms
184.2	Cancer of other female genital organs (excluding uterus and ovary)	cancer of other female genital organs excluding uterus and ovary	neoplasms
185	Cancer of prostate	cancer of prostate	neoplasms
187	Cancer of other male genital organs	cancer of other male genital organs	neoplasms
187.1	Malignant neoplasm of unspecified male genital organ	malignant neoplasm ofmale genital organ	neoplasms
187.2	Malignant neoplasm of testis	malignant neoplasm of testis	neoplasms
187.8	Neoplasm of uncertain behavior of male genital organs	neoplasm of uncertain behavior of male genital organs	neoplasms
189	Cancer of urinary organs (incl. kidney and bladder)	cancer of urinary organs incl. kidney and bladder	neoplasms
189.1	Cancer of kidney and renal pelvis	cancer of kidney and renal pelvis	neoplasms
189.11	Malignant neoplasm of kidney, except pelvis	malignant neoplasm of kidney except pelvis	neoplasms
189.12	Malignant neoplasm of renal pelvis	malignant neoplasm of renal pelvis	neoplasms
189.2	Cancer of bladder	cancer of bladder	neoplasms
189.21	Malignant neoplasm of bladder	malignant neoplasm of bladder	neoplasms
189.4	Malignant neoplasm of other urinary organs	malignant neoplasm of other urinary organs	neoplasms
190	Cancer of eye	cancer of eye	neoplasms
191	Manlignant and unknown neoplasms of brain and nervous system	manlignant and unknown neoplasms of brain and nervous system	neoplasms
191.1	Cancer of brain and nervous system	cancer of brain and nervous system	neoplasms
191.11	Cancer of brain	cancer of brain	neoplasms
193	Thyroid cancer	thyroid cancer	neoplasms
194	Cancer of other endocrine glands	cancer of other endocrine glands	neoplasms
195	Cancer, suspected or other	cancer suspected or other	neoplasms
195.1	Malignant neoplasm, other	malignant neoplasm other	neoplasms
195.3	Malignant neoplasm of head, face, and neck	malignant neoplasm of head face and neck	neoplasms
196	Radiotherapy	radiotherapy	neoplasms
197	Chemotherapy	chemotherapy	neoplasms
198	Secondary malignant neoplasm	secondary malignant neoplasm	neoplasms
198.1	Secondary malignancy of lymph nodes	secondary malignancy of lymph nodes	neoplasms
198.2	Secondary malignancy of respiratory organs	secondary malignancy of respiratory organs	neoplasms
198.3	Secondary malignant neoplasm of digestive systems	secondary malignant neoplasm of digestive systems	neoplasms
198.4	Secondary malignant neoplasm of liver	secondary malignant neoplasm of liver	neoplasms
198.5	Secondary malignancy of brain/spine	secondary malignancy of brainspine	neoplasms
198.6	Secondary malignancy of bone	secondary malignancy of bone	neoplasms
198.7	Secondary malignant neoplasm of skin	secondary malignant neoplasm of skin	neoplasms
199	Neoplasm of uncertain behavior	neoplasm of uncertain behavior	neoplasms
199.4	Neurofibromatosis	neurofibromatosis	neoplasms
200	Myeloproliferative disease	myeloproliferative disease	neoplasms
200.1	Polycythemia vera	polycythemia vera	neoplasms
201	Hodgkin's disease	hodgkins disease	neoplasms
202	Cancer of other lymphoid, histiocytic tissue	cancer of other lymphoid histiocytic tissue	neoplasms
202.2	Non-Hodgkins lymphoma	non-hodgkins lymphoma	neoplasms
202.21	Nodular lymphoma	nodular lymphoma	neoplasms
202.22	Reticulosarcoma	reticulosarcoma	neoplasms
202.23	Lymphosarcoma	lymphosarcoma	neoplasms
202.24	Large cell lymphoma	large cell lymphoma	neoplasms
204	Leukemia	leukemia	neoplasms
204.1	Lymphoid leukemia	lymphoid leukemia	neoplasms
204.11	Lymphoid leukemia, acute	lymphoid leukemia acute	neoplasms
204.12	Lymphoid leukemia, chronic	lymphoid leukemia chronic	neoplasms
204.2	Myeloid leukemia	myeloid leukemia	neoplasms
204.21	Myeloid leukemia, acute	myeloid leukemia acute	neoplasms
204.22	Myeloid leukemia, chronic	myeloid leukemia chronic	neoplasms
204.3	Monocytic leukemia	monocytic leukemia	neoplasms
204.4	Multiple myeloma	multiple myeloma	neoplasms
208	Benign neoplasm of colon	benign neoplasm of colon	neoplasms
209	Neuroendocrine tumors	neuroendocrine tumors	neoplasms
210	Benign neoplasm of lip, oral cavity, and pharynx	benign neoplasm of lip oral cavity and pharynx	neoplasms
211	Benign neoplasm of other parts of digestive system	benign neoplasm of other parts of digestive system	neoplasms
212	Benign neoplasm of respiratory and intrathoracic organs	benign neoplasm of respiratory and intrathoracic organs	neoplasms
213	Benign neoplasm of bone and articular cartilage	benign neoplasm of bone and articular cartilage	neoplasms
214	Lipoma	lipoma	neoplasms
214.1	Lipoma of skin and subcutaneous tissue	lipoma of skin and subcutaneous tissue	neoplasms
215	Other benign neoplasm of connective and other soft tissue	other benign neoplasm of connective and other soft tissue	neoplasms
216	Benign neoplasm of skin	benign neoplasm of skin	neoplasms
216.1	Screening for malignant neoplasms of the skin	screening for malignant neoplasms of the skin	neoplasms
217	Vascular hamartomas and non-neoplastic nevi	vascular hamartomas and non-neoplastic nevi	neoplasms
217.1	Nevus, non-neoplastic	nevus non-neoplastic	neoplasms
218	Benign neoplasm of uterus	benign neoplasm of uterus	neoplasms
218.1	Uterine leiomyoma	uterine leiomyoma	neoplasms
218.2	Other benign neoplasm of uterus	other benign neoplasm of uterus	neoplasms
220	Benign neoplasm of ovary	benign neoplasm of ovary	neoplasms
221	Benign neoplasm of other female genital organs	benign neoplasm of other female genital organs	neoplasms
222	Benign neoplasm of male genital organs	benign neoplasm of male genital organs	neoplasms
223	Benign neoplasm of kidney and other urinary organs	benign neoplasm of kidney and other urinary organs	neoplasms
224	Benign neoplasm of eye	benign neoplasm of eye	neoplasms
224.1	Benign neoplasm of eye, uveal	benign neoplasm of eye uveal	neoplasms
225	Benign neoplasm of brain and other parts of nervous system	benign neoplasm of brain and other parts of nervous system	neoplasms
225.1	Benign neoplasm of brain, cranial nerves, meninges	benign neoplasm of brain cranial nerves meninges	neoplasms
225.2	Benign neoplasm of spinal cord, meninges	benign neoplasm of spinal cord meninges	neoplasms
226	Benign neoplasm of thyroid glands	benign neoplasm of thyroid glands	neoplasms
227	Benign neoplasm of other endocrine glands and related structures	benign neoplasm of other endocrine glands and related structures	neoplasms
227.1	Benign neoplasm of adrenal gland	benign neoplasm of adrenal gland	neoplasms
227.2	Benign neoplasm of parathyroid gland	benign neoplasm of parathyroid gland	neoplasms
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	benign neoplasm of pituitary gland and craniopharyngeal duct pouch	neoplasms
228	Hemangioma and lymphangioma, any site	hemangioma and lymphangioma any site	neoplasms
228.1	Hemangioma of skin and subcutaneous tissue	hemangioma of skin and subcutaneous tissue	neoplasms
229	Benign neoplasm of unspecified sites	benign neoplasm ofsites	neoplasms
229.1	Benign neoplasm of lymph nodes	benign neoplasm of lymph nodes	neoplasms
230	Kaposi's sarcoma	kaposis sarcoma	neoplasms
240	Simple and unspecified goiter	simple andgoiter	endocrine/metabolic
241	Nontoxic nodular goiter	nontoxic nodular goiter	endocrine/metabolic
241.1	Nontoxic uninodular goiter	nontoxic uninodular goiter	endocrine/metabolic
241.2	Nontoxic multinodular goiter	nontoxic multinodular goiter	endocrine/metabolic
242	Thyrotoxicosis with or without goiter	thyrotoxicosis with or without goiter	endocrine/metabolic
242.1	Graves' disease	graves disease	endocrine/metabolic
242.2	Toxic multinodular goiter	toxic multinodular goiter	endocrine/metabolic
242.3	Exophthalmos	exophthalmos	endocrine/metabolic
242.31	Thyrotoxic exophthalmos	thyrotoxic exophthalmos	endocrine/metabolic
244	Hypothyroidism	hypothyroidism	endocrine/metabolic
244.1	Secondary hypothyroidism	secondary hypothyroidism	endocrine/metabolic
244.2	Acquired hypothyroidism	acquired hypothyroidism	endocrine/metabolic
244.3	Iodine hypothyroidism	iodine hypothyroidism	endocrine/metabolic
244.4	Hypothyroidism NOS	hypothyroidism	endocrine/metabolic
244.5	Congenital hypothyroidism	congenital hypothyroidism	endocrine/metabolic
245	Thyroiditis	thyroiditis	endocrine/metabolic
245.1	Thyroiditis, acute and subacute	thyroiditis acute and subacute	endocrine/metabolic
245.2	Chronic thyroiditis	chronic thyroiditis	endocrine/metabolic
245.21	Chronic lymphocytic thyroiditis	chronic lymphocytic thyroiditis	endocrine/metabolic
246	Other disorders of thyroid	other disorders of thyroid	endocrine/metabolic
246.2	Thyroid cyst	thyroid cyst	endocrine/metabolic
246.7	Abnormal results of function study of thyroid	abnormal results of function study of thyroid	endocrine/metabolic
249	Secondary diabetes mellitus	secondary diabetes mellitus	endocrine/metabolic
250	Diabetes mellitus	diabetes mellitus	endocrine/metabolic
250.1	Type 1 diabetes	type 1 diabetes	endocrine/metabolic
250.11	Type 1 diabetes with ketoacidosis	type 1 diabetes with ketoacidosis	endocrine/metabolic
250.12	Type 1 diabetes with renal manifestations	type 1 diabetes with renal manifestations	endocrine/metabolic
250.13	Type 1 diabetes with ophthalmic manifestations	type 1 diabetes with ophthalmic manifestations	endocrine/metabolic
250.14	Type 1 diabetes with neurological manifestations	type 1 diabetes with neurological manifestations	endocrine/metabolic
250.15	Diabetes type 1 with peripheral circulatory disorders	diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic
250.2	Type 2 diabetes	type 2 diabetes	endocrine/metabolic
250.21	Type 2 diabetes with ketoacidosis	type 2 diabetes with ketoacidosis	endocrine/metabolic
250.22	Type 2 diabetes with renal manifestations	type 2 diabetes with renal manifestations	endocrine/metabolic
250.23	Type 2 diabetes with ophthalmic manifestations	type 2 diabetes with ophthalmic manifestations	endocrine/metabolic
250.24	Type 2 diabetes with neurological manifestations	type 2 diabetes with neurological manifestations	endocrine/metabolic
250.25	Diabetes type 2 with peripheral circulatory disorders	diabetes type 2 with peripheral circulatory disorders	endocrine/metabolic
250.3	Insulin pump user	insulin pump user	endocrine/metabolic
250.4	Abnormal glucose	abnormal glucose	endocrine/metabolic
250.41	Impaired fasting glucose	impaired fasting glucose	endocrine/metabolic
250.42	Other abnormal glucose	other abnormal glucose	endocrine/metabolic
250.5	Glycosuria or Acetonuria	glycosuria or acetonuria	endocrine/metabolic
250.6	Polyneuropathy in diabetes	polyneuropathy in diabetes	endocrine/metabolic
250.7	Diabetic retinopathy	diabetic retinopathy	endocrine/metabolic
251	Other disorders of pancreatic internal secretion	other disorders of pancreatic internal secretion	endocrine/metabolic
251.1	Hypoglycemia	hypoglycemia	endocrine/metabolic
251.8	Abnormality of secretion of glucagon or gastrin	abnormality of secretion of glucagon or gastrin	endocrine/metabolic
252	Disorders of parathyroid gland	disorders of parathyroid gland	endocrine/metabolic
252.1	Hyperparathyroidism	hyperparathyroidism	endocrine/metabolic
252.2	Hypoparathyroidism	hypoparathyroidism	endocrine/metabolic
253	Disorders of the pituitary gland and its hypothalamic control	disorders of the pituitary gland and its hypothalamic control	endocrine/metabolic
253.1	Pituitary hyperfunction	pituitary hyperfunction	endocrine/metabolic
253.11	Acromegaly and gigantism	acromegaly and gigantism	endocrine/metabolic
253.2	Pituitary hypofunction	pituitary hypofunction	endocrine/metabolic
253.3	Diabetes insipidus	diabetes insipidus	endocrine/metabolic
253.4	Anterior pituitary disorders	anterior pituitary disorders	endocrine/metabolic
253.5	Pituitary dwarfism	pituitary dwarfism	endocrine/metabolic
253.7	Other disorders of neurohypophysis	other disorders of neurohypophysis	endocrine/metabolic
254	Diseases of thymus gland	diseases of thymus gland	endocrine/metabolic
255	Disorders of adrenal glands	disorders of adrenal glands	endocrine/metabolic
255.1	Adrenal hyperfunction	adrenal hyperfunction	endocrine/metabolic
255.11	Cushing's syndrome	cushings syndrome	endocrine/metabolic
255.12	Hyperaldosteronism	hyperaldosteronism	endocrine/metabolic
255.13	Medulloadrenal hyperfunction	medulloadrenal hyperfunction	endocrine/metabolic
255.2	Adrenal hypofunction	adrenal hypofunction	endocrine/metabolic
255.21	Glucocorticoid deficiency	glucocorticoid deficiency	endocrine/metabolic
255.22	Mineralocorticoid deficiency	mineralocorticoid deficiency	endocrine/metabolic
255.3	Adrenogenital disorders	adrenogenital disorders	endocrine/metabolic
256	Ovarian dysfunction	ovarian dysfunction	endocrine/metabolic
256.1	Hyperestrogenism	hyperestrogenism	endocrine/metabolic
256.4	Polycystic ovaries	polycystic ovaries	endocrine/metabolic
257	Testicular dysfunction	testicular dysfunction	endocrine/metabolic
257.1	Testicular hypofunction	testicular hypofunction	endocrine/metabolic
258	Iatrogenic endocrine disorders	iatrogenic endocrine disorders	endocrine/metabolic
258.1	Postablative ovarian failure	postablative ovarian failure	endocrine/metabolic
259	Other endocrine disorders	other endocrine disorders	endocrine/metabolic
259.1	Nonspecific abnormal results of other endocrine function study	nonspecific abnormal results of other endocrine function study	endocrine/metabolic
259.2	Carcinoid syndrome	carcinoid syndrome	endocrine/metabolic
259.3	Delay in sexual development and puberty NEC	delay in sexual development and puberty nec	endocrine/metabolic
259.4	Precocious sexual development and puberty NEC	precocious sexual development and puberty nec	endocrine/metabolic
259.8	Polyglandular activity in multiple endocrine adenomatosis	polyglandular activity in multiple endocrine adenomatosis	endocrine/metabolic
260	Protein-calorie malnutrition	protein-calorie malnutrition	endocrine/metabolic
260.1	Cachexia	cachexia	endocrine/metabolic
260.2	severe protein-calorie malnutrition	severe protein-calorie malnutrition	endocrine/metabolic
260.21	Kwashiorkor	kwashiorkor	endocrine/metabolic
260.22	Nutritional marasmus	nutritional marasmus	endocrine/metabolic
260.3	Adult failure to thrive	adult failure to thrive	endocrine/metabolic
260.6	Anorexia	anorexia	endocrine/metabolic
260.7	Polyphagia	polyphagia	endocrine/metabolic
261	Vitamin deficiency	vitamin deficiency	endocrine/metabolic
261.1	Vitamin A deficiency	vitamin a deficiency	endocrine/metabolic
261.2	Vitamin B-complex deficiencies	vitamin b-complex deficiencies	endocrine/metabolic
261.3	Vitamin C deficiencies	vitamin c deficiencies	endocrine/metabolic
261.4	Vitamin D deficiency	vitamin d deficiency	endocrine/metabolic
261.41	Rickets or osteomalacia	rickets or osteomalacia	endocrine/metabolic
262	Mineral deficiency NEC	mineral deficiency nec	endocrine/metabolic
263	Other nutritional deficiency	other nutritional deficiency	endocrine/metabolic
264	Lack of normal physiological development	lack of normal physiological development	endocrine/metabolic
264.1	Short stature	short stature	endocrine/metabolic
264.2	Failure to thrive (childhood)	failure to thrive childhood	endocrine/metabolic
264.3	Delayed milestones	delayed milestones	endocrine/metabolic
264.9	Lack of normal physiological development, unspecified	lack of normal physiological development	endocrine/metabolic
269	Proteinuria	proteinuria	endocrine/metabolic
270	Disorders of protein plasma/amino-acid transport and metabolism	disorders of protein plasmaamino-acid transport and metabolism	endocrine/metabolic
270.1	Disturbances of amino-acid transport	disturbances of amino-acid transport	endocrine/metabolic
270.11	Disturbances of sulphur-bearing amino-acid metabolism	disturbances of sulphur-bearing amino-acid metabolism	endocrine/metabolic
270.12	Phenylketonuria [PKU]	phenylketonuria pku	endocrine/metabolic
270.2	Disorders of amino-acid metabolism	disorders of amino-acid metabolism	endocrine/metabolic
270.21	Disorders of urea cycle metabolism	disorders of urea cycle metabolism	endocrine/metabolic
270.3	Disorders of plasma protein metabolism	disorders of plasma protein metabolism	endocrine/metabolic
270.31	Polyclonal hypergammaglobulinemia	polyclonal hypergammaglobulinemia	endocrine/metabolic
270.32	Paraproteinemia	paraproteinemia	endocrine/metabolic
270.33	Amyloidosis	amyloidosis	endocrine/metabolic
270.34	Alpha-1-antitrypsin deficiency	alpha-1-antitrypsin deficiency	endocrine/metabolic
270.35	Macroglobulinemia	macroglobulinemia	endocrine/metabolic
270.38	Other specified disorders of plasma protein metabolism	other specified disorders of plasma protein metabolism	endocrine/metabolic
271	Disorders of carbohydrate transport and metabolism	disorders of carbohydrate transport and metabolism	endocrine/metabolic
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	intestinal disaccharidase deficiencies and disaccharide malabsorption	endocrine/metabolic
271.9	Other disorders of carbohydrate transport and metabolism	other disorders of carbohydrate transport and metabolism	endocrine/metabolic
272	Disorders of lipoid metabolism	disorders of lipoid metabolism	endocrine/metabolic
272.1	Hyperlipidemia	hyperlipidemia	endocrine/metabolic
272.11	Hypercholesterolemia	hypercholesterolemia	endocrine/metabolic
272.12	Hyperglyceridemia	hyperglyceridemia	endocrine/metabolic
272.13	Mixed hyperlipidemia	mixed hyperlipidemia	endocrine/metabolic
272.14	Hyperchylomicronemia	hyperchylomicronemia	endocrine/metabolic
272.9	Unspecified disorder of lipoid metabolism	disorder of lipoid metabolism	endocrine/metabolic
274	Gout and other crystal arthropathies	gout and other crystal arthropathies	endocrine/metabolic
274.1	Gout	gout	endocrine/metabolic
274.11	Gouty arthropathy	gouty arthropathy	endocrine/metabolic
274.2	Crystal arthropathies	crystal arthropathies	endocrine/metabolic
274.21	Chondrocalcinosis	chondrocalcinosis	endocrine/metabolic
275	Disorders of mineral metabolism	disorders of mineral metabolism	endocrine/metabolic
275.1	Disorders of iron metabolism	disorders of iron metabolism	hematopoietic
275.11	Hereditary hemochromatosis	hereditary hemochromatosis	hematopoietic
275.2	Disorders of copper metabolism	disorders of copper metabolism	endocrine/metabolic
275.3	Disorders of magnesium metabolism	disorders of magnesium metabolism	endocrine/metabolic
275.5	Disorders of calcium/phosphorus metabolism	disorders of calciumphosphorus metabolism	endocrine/metabolic
275.51	Hypocalcemia	hypocalcemia	endocrine/metabolic
275.53	Disorders of phosphorus metabolism	disorders of phosphorus metabolism	endocrine/metabolic
275.6	Hypercalcemia	hypercalcemia	endocrine/metabolic
276	Disorders of fluid, electrolyte, and acid-base balance	disorders of fluid electrolyte and acid-base balance	endocrine/metabolic
276.1	Electrolyte imbalance	electrolyte imbalance	endocrine/metabolic
276.11	Hyperosmolality and/or hypernatremia	hyperosmolality andor hypernatremia	endocrine/metabolic
276.12	Hyposmolality and/or hyponatremia	hyposmolality andor hyponatremia	endocrine/metabolic
276.13	Hyperpotassemia	hyperpotassemia	endocrine/metabolic
276.14	Hypopotassemia	hypopotassemia	endocrine/metabolic
276.4	Acid-base balance disorder	acid-base balance disorder	endocrine/metabolic
276.41	Acidosis	acidosis	endocrine/metabolic
276.42	Alkalosis	alkalosis	endocrine/metabolic
276.5	Hypovolemia	hypovolemia	endocrine/metabolic
276.6	Fluid overload	fluid overload	endocrine/metabolic
276.8	Polydipsia	polydipsia	endocrine/metabolic
277	Other disorders of metabolism	other disorders of metabolism	endocrine/metabolic
277.1	Disorders of porphyrin metabolism	disorders of porphyrin metabolism	endocrine/metabolic
277.2	Other disorders of purine and pyrimidine metabolism	other disorders of purine and pyrimidine metabolism	endocrine/metabolic
277.4	Disorders of bilirubin excretion	disorders of bilirubin excretion	endocrine/metabolic
277.5	Other disorders of lipoid metabolism	other disorders of lipoid metabolism	endocrine/metabolic
277.51	Lipoprotein disorders	lipoprotein disorders	endocrine/metabolic
277.6	Other deficiencies of circulating enzymes	other deficiencies of circulating enzymes	endocrine/metabolic
277.7	Dysmetabolic syndrome X	dysmetabolic syndrome x	endocrine/metabolic
277.8	Carnitine deficiencies	carnitine deficiencies	endocrine/metabolic
278	Overweight, obesity and other hyperalimentation	overweight obesity and other hyperalimentation	endocrine/metabolic
278.1	Obesity	obesity	endocrine/metabolic
