narrower,phecode1.2_label,hpo_label,phecode1.2_code,hpo_code
P,Chronic pancreatitis,Pancreatitis,577.2,HP_0001733
P,Myeloid leukemia,Myeloproliferative disorder,204.2,HP_0005547
H,Congenital anomalies of male genital organs,Bilateral cryptorchidism,751.12,HP_0008689
0,Complications of surgical and medical procedures,Abnormality of the gastrointestinal tract,1011,HP_0011024
M,Blood in stool,Bloody diarrhea,578.2,HP_0025085
0,Digestive congenital anomalies,Pulmonary arterial hypertension,750,HP_0002092
H,Corneal degenerations,Band-shaped corneal dystrophy,364.4,HP_0007709
0,Other disorders of testis,Fallopian tube torsion,603,HP_0012884
H,Other hypertrophic and atrophic conditions of skin,Keratosis pilaris,701,HP_0032152
H,Other conditions of brain,Cerebral ischemia,348,HP_0002637
H,Aneurysm and dissection of heart,Coronary artery dissection,411.41,HP_0006702
H,Congenital anomalies of mouth/tongue,Furrowed tongue,750.13,HP_0000221
H,Other and unspecified congenital anomalies,Sirenomelia,759,HP_0010497
0,Congenital osteodystrophies,Bowing of the legs,756.5,HP_0002979
H,Neurological disorders,Aphasia,292,HP_0002381
H,Congenital deformities of feet,Talipes calcaneovalgus,755.1,HP_0001884
0,Congenital anomalies of peripheral vascular system,Varicose veins,747.2,HP_0002619
H,Lack of coordination,Dyskinesia,350.3,HP_0100660
H,Genitourinary congenital anomalies,Atretic vas deferens,751,HP_0030997
H,Hearing loss,Congenital sensorineural hearing impairment,389,HP_0008527
H,Sensorineural hearing loss,Hearing impairment,389.1,HP_0000365
H,Congenital anomalies of face and neck,Concave nasal ridge,749,HP_0011120
0,Inflammatory diseases of prostate,Orchitis,601,HP_0100796
M,Other venous embolism and thrombosis,Venous thrombosis,452,HP_0004936
0,Nephritis and nephropathy without mention of glomerulonephritis,Glomerulopathy,580.3,HP_0100820
H,"Injury, NOS",Achilles tendonitis,1009,HP_0025273
M,Stricture and stenosis of esophagus,Esophageal stricture,530.3,HP_0002043
0,Pneumonia,Chronic mucocutaneous candidiasis,480,HP_0002728
H,Neural tube defects,Occipital encephalocele,752.1,HP_0002085
0,Diseases of hard tissues of teeth,Abnormality of the gastrointestinal tract,521,HP_0011024
M,Atherosclerosis,Atherosclerosis,440,HP_0002621
H,Disorders of lipoid metabolism,Increased circulating chylomicron concentration,272,HP_0012238
H,Visual disturbances,Photophobia,368,HP_0000613
H,Inflammation of the eye,Chemosis,371,HP_0012375
H,Cardiac congenital anomalies,Truncus arteriosus,747.1,HP_0001660
P,Pseudoexfoliation glaucoma,Glaucoma,365.5,HP_0000501
M,Fracture of tibia and fibula,Fractured tibia,800.3,HP_0041143
M,Cholelithiasis and cholecystitis,Cholecystitis,574,HP_0001082
0,Abnormal chest sounds,Abnormal thorax morphology,512.3,HP_0000765
0,Other tests,Viral hepatitis,1010,HP_0006562
H,Retinal vascular changes and abnomalities,Branch retinal artery occlusion,362.4,HP_0020161
P,Abdominal hernia,Abnormality of the gastrointestinal tract,550,HP_0011024
0,Other degenerative diseases of the basal ganglia,Olivopontocerebellar atrophy,333.8,HP_0002542
M,Mental retardation,"Intellectual disability, severe",315.3,HP_0010864
0,Jaw disease NOS,Abnormality of the gastrointestinal tract,526.9,HP_0011024
0,Diseases of the jaws,Fibrous dysplasia of the bones,526,HP_0010734
H,Encephalitis,Herpes simplex encephalitis,323,HP_0012302
H,Disorders of plasma protein metabolism,Paraproteinemia,270.3,HP_0031047
M,Learning disorder,Specific learning disability,315.1,HP_0001328
H,Other symptoms of respiratory system,Orthopnea,512,HP_0012764
H,Other conditions of brain,Porencephalic cyst,348,HP_0002132
0,Cancer of larynx,Neoplasm of the nose,149.4,HP_0012720
M,Sinoatrial node dysfunction (Bradycardia),Sinus bradycardia,427.8,HP_0001688
H,Occlusion and stenosis of precerebral arteries,Transient ischemic attack,433.1,HP_0002326
M,Orthopnea,Orthopnea,513.32,HP_0012764
M,Nausea and vomiting,Vomiting,789,HP_0002013
H,Genitourinary congenital anomalies,Aplasia of the vagina,751,HP_0003250
0,Respiratory conditions of fetus and newborn,Sleep apnea,656.2,HP_0010535
H,Cardiac and circulatory congenital anomalies,Tricuspid atresia,747,HP_0011662
H,Congenital anomalies of limbs,Sprengel anomaly,755,HP_0000912
H,Other symptoms/disorders or the urinary system,Urinary hesitancy,599,HP_0000019
H,Cataract,Anterior subcapsular cataract,366,HP_0010923
P,Laxity of ligament or hypermobility syndrome,Arthropathy,728.2,HP_0003040
0,Other demyelinating diseases of central nervous system,Narcolepsy,341,HP_0030050
0,Functional digestive disorders,Diarrhea,564,HP_0002014
P,Benign neoplasm of parathyroid gland,Neoplasm,227.2,HP_0002664
M,Acute pancreatitis,Acute pancreatitis,577.1,HP_0001735
H,Neural tube defects,Meningoencephalocele,752.1,HP_0006888
M,Atrial flutter,Atrial fibrillation,427.22,HP_0005110
H,Myoneural disorders,Infantile muscular hypotonia,358,HP_0008947
0,Colorectal cancer,Malignant neoplasm of the central nervous system,153,HP_0100836
P,Fracture of neck of femur,Bone fracture,800.1,HP_0020110
0,"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",Xanthomatosis,528,HP_0000991
H,Other diseases of the teeth and supporting structures,Premature loss of teeth,525,HP_0006480
0,Inflammation of the eye,Chalazion,371,HP_0010605
H,Other perinatal conditions of fetus or newborn,Disseminated intravascular coagulation,656,HP_0005521
M,Extrapyramidal disease and abnormal movement disorders,Progressive extrapyramidal movement disorder,333,HP_0007153
H,Cardiac shunt/ heart septal defect,Gerbode ventricular septal defect,747.11,HP_0011621
M,Gastric ulcer,Peptic ulcer,531.2,HP_0004398
H,Lipoprotein disorders,Decreased HDL cholesterol concentration,277.51,HP_0003233
H,Disorders of tooth development,Mesiodens,520,HP_0011067
M,Septicemia,Bacteremia,038,HP_0031864
H,Noninflammatory female genital disorders,Clitoral hypertrophy,619,HP_0008665
H,Dyschromia and Vitiligo,Few cafe-au-lait spots,694,HP_0007429
M,"Osteoporosis, osteopenia and pathological fracture",Osteoporosis,743,HP_0000939
0,Contracture of tendon (sheath),Skeletal myopathy,727.7,HP_0003756
M,Acute bronchospasm,Bronchospasm,498,HP_0025428
M,Corneal dystrophy,Corneal dystrophy,364.5,HP_0001131
H,Sleep related movement disorders,Confusional arousal,327.7,HP_0025237
M,Ectopic pregnancy,Ectopic pregnancy,634.3,HP_0031456
H,Peripheral vascular disease,Gangrene,443,HP_0100758
H,Lung disease due to external agents,Aspiration pneumonia,500,HP_0011951
H,Congenital anomalies of face and neck,Preauricular skin tag,749,HP_0000384
0,Nephritis and nephropathy without mention of glomerulonephritis,Autoimmunity,580.3,HP_0002960
M,"Malignant neoplasm of liver, primary",Neoplasm of the liver,155.1,HP_0002896
H,Respiratory abnormalities,Diaphragmatic paralysis,513,HP_0006597
H,Other acquired deformities of limbs,Genu recurvatum,736,HP_0002816
H,Late effects of cerebrovascular disease,Dysarthria,433.8,HP_0001260
H,Other disorders of lipoid metabolism,Lipogranulomatosis,277.5,HP_0040139
H,Diseases of sebaceous glands,Cystic acne,706,HP_0033188
H,Retinal vascular changes and abnomalities,Branch retinal vein occlusion,362.4,HP_0020165
H,Disorders of protein plasma/amino-acid transport and metabolism,Ochronosis,270,HP_0030764
H,Nonspecific abnormal findings in cerebrospinal fluid,Abnormal CSF homocarnosine concentration,346.3,HP_0500241
M,Epiphora,Epiphora,375.2,HP_0009926
H,Cardiac and circulatory congenital anomalies,P mitrale,747,HP_0031599
H,"Anomalies of respiratory system, congenital",Subglottic stenosis,748,HP_0001607
0,Neurological disorders,Echolalia,292,HP_0010529
H,Visual disturbances,Bitemporal hemianopia,368,HP_0030521
H,Cardiac shunt/ heart septal defect,Intermediate atrioventricular canal defect,747.11,HP_0011576
H,Other disorders of lipoid metabolism,Hypolipidemia,277.5,HP_0045014
H,Osteoarthrosis,Osteoarthritis of the first carpometacarpal joint,740,HP_0006226
P,Vascular dementia,Dementia,290.16,HP_0000726
H,Other local infections of skin and subcutaneous tissue,Carbuncle,686,HP_0020084
M,Postinflammatory pulmonary fibrosis,Pulmonary fibrosis,502,HP_0002206
P,Cancer of bronchus; lung,Carcinoma,165.1,HP_0030731
P,Cancer of of nasal cavities,Neoplasm,149.9,HP_0002664
H,Bacterial infection NOS,Vaginitis,041,HP_0030683
H,"Disorders of muscle, ligament, and fascia",Fetal akinesia sequence,728,HP_0001989
H,Cancer of other endocrine glands,Parathyroid carcinoma,194,HP_0006780
M,"Nevus, non-neoplastic",Nevus,217.1,HP_0003764
M,Color vision deficiencies,Deuteranopia,368.5,HP_0011521
H,Urticaria,Vibratory urticaria,947,HP_0410138
H,Visual disturbances,Hemianopia,368,HP_0012377
H,Vitamin deficiency,Low levels of vitamin B1,261,HP_0100503
M,Extrapyramidal disease and abnormal movement disorders,Dystonia,333,HP_0001332
H,Gram positive septicemia,Methicillin-resistant Staphylococcus aureus infection,038.2,HP_0032326
P,Nerve plexus lesions,Abnormal peripheral nervous system morphology,353.1,HP_0000759
0,Nervous system congenital anomalies,Myelodysplasia,752,HP_0002863
H,Nervous system congenital anomalies,Hydromyelia,752,HP_0100565
0,Late effects of cerebrovascular disease,Feeding difficulties,433.8,HP_0011968
0,Pituitary hypofunction,Male hypogonadism,253.2,HP_0000026
P,Nephritis and nephropathy in diseases classified elsewhere,Autoimmunity,580.31,HP_0002960
M,Alcoholism,Alcoholism,317.1,HP_0030955
P,Noninfectious dermatoses of eyelid,Eczematoid dermatitis,371.33,HP_0000976
P,Skin cancer,Neoplasm,172,HP_0002664
H,Aseptic necrosis of bone,Avascular necrosis of the capital femoral epiphysis,733.4,HP_0005743
0,Neural tube defects,Spondylolisthesis,752.1,HP_0003302
M,Erythema nodosum,Erythema nodosum,695.81,HP_0012219
P,Urinary tract infection,Urinary bladder inflammation,591,HP_0100577
0,Secondary malignancy of lymph nodes,Neuroendocrine neoplasm,198.1,HP_0100634
H,Disorders of parathyroid gland,Hypoparathyroidism,252,HP_0000829
M,Superficial cellulitis and abscess,Abscess,681,HP_0025615
H,Congenital anomalies of the eye,Primary congenital glaucoma,753,HP_0008007
0,Lymphoid leukemia,Follicular lymphoma,204.1,HP_0033125
0,Hepatitis NOS,Hepatic fibrosis,070.9,HP_0001395
0,Other disorders of metabolism,Leukemia,277,HP_0001909
0,Cardiomyopathy,Endocardial fibrosis,425,HP_0006685
0,Alcohol-related disorders,Abnormality of the liver,317,HP_0001392
0,Lupus (localized and systemic),Abnormality of the skin,695.4,HP_0000951
0,Lipoma of skin and subcutaneous tissue,Carcinoma,214.1,HP_0030731
H,Other perinatal conditions of fetus or newborn,Cerebral ischemia,656,HP_0002637
0,Other disorders of eyelids,Hypertrichosis,374,HP_0000998
H,Abnormal movement,Abnormal reflex,350,HP_0031826
0,Diabetes mellitus,Peripheral neuropathy,250,HP_0009830
H,Strabismus and other disorders of binocular eye movements,Alternating esotropia,378,HP_0001137
,Sexual and gender identity disorders,Anorgasmia,302,HP_0046502
,Hyperlipidemia,obsolete Combined hyperlipidemia,272.1,HP_0008356
,Eosinophilia,Leukemia,288.3,HP_0001909
,Keratitis,Corneal perforation,370,HP_0100583
,Congenital factor VIII disorder,Abnormality of blood and blood-forming tissues,286.13,HP_0001871
,Neurological disorders,Delayed speech and language development,292,HP_0000750
,Nervous system congenital anomalies,Diastomatomyelia,752,HP_0100563
,Cancer of liver and intrahepatic bile duct,Neoplasm,155,HP_0002664
,Chorioretinal scars,Small yellow foveal lesion with surrounding gray zone,363.3,HP_0031420
,Systemic sclerosis,Bilateral basilar pulmonary fibrosis,709.3,HP_0550005
,Degenerative disease of the spinal cord,Telangiectasia,334,HP_0001009
,Cardiac shunt/ heart septal defect,Unbalanced atrioventricular canal defect,747.11,HP_0011579
,Disorders of protein plasma/amino-acid transport and metabolism,Glutaric aciduria,270,HP_0003150
,Broken tooth,Abnormality of dental morphology,873,HP_0006482
,Digestive congenital anomalies,Esophageal atresia,750,HP_0002032
,Pancreatic cancer,Glucagonoma,157,HP_0030404
,Congenital coagulation defects,Reduced factor VIII activity,286.1,HP_0003125
,Hereditary disturbances in tooth structure,Macrodontia,520.1,HP_0001572
,Insomnia,Insomnia,327.4,HP_0100785
,Cerebrovascular disease,Vertical supranuclear gaze palsy,433,HP_0000511
,Urethritis and urethral syndrome,Abnormality of the genitourinary system,592.2,HP_0000119
,Congenital anomalies of posterior segment of eye,Capillary malformation,753.2,HP_0025104
,Vitamin A deficiency,Dry skin,261.1,HP_0000958
,Congenital anomalies of face and neck,Prominent ear helix,749,HP_0009904
,Hypertensive chronic kidney disease,Nephropathy,401.22,HP_0000112
,Congenital anomalies of the eye,Iris coloboma,753,HP_0000612
,Other specified erythematous conditions,Skin-picking,695.8,HP_0012166
,Allergic conjunctivitis,Allergic conjunctivitis,371.21,HP_0007879
,Torticollis,Rhinorrhea,723.1,HP_0031417
,Fracture of tibia and fibula,Fractured lower leg,800.3,HP_0041081
,Benign neoplasm of uterus,Benign neoplasm of the central nervous system,218,HP_0100835
,Other paralytic syndromes,Spastic paraplegia,344,HP_0001258
,Urticaria,Chronic idiopathic urticaria,947,HP_0410133
,Atherosclerosis of renal artery,Renal artery stenosis,440.1,HP_0001920
,Other specified nonpsychotic and/or transient mental disorders,Reduced consciousness/confusion,291,HP_0004372
,Congenital anomalies of genital organs,Aplasia of the ovary,751.1,HP_0010463
,Abnormal movement,Fasciculations,350,HP_0002380
,Extrapyramidal disease and abnormal movement disorders,Hemiballismus,333,HP_0100248
,Benign neoplasm of ovary,Dermoid cyst,220,HP_0025247
,Other disorders of bone and cartilage,Increased bone mineral density,733,HP_0011001
,Speech and language disorder,Delayed speech and language development,315.2,HP_0000750
,Electrolyte imbalance,Hyponatremia,276.1,HP_0002902
,Chronic ulcer of unspecified site,Abnormality of the skin,707.3,HP_0000951
,Unspecified osteomyelitis,Osteomyelitis,710.19,HP_0002754
,Myalgia and myositis unspecified,Myopathy,770,HP_0003198
,Cancer of bone and connective tissue,Rhabdomyosarcoma,170,HP_0002859
,Hypertrophy of breast (Gynecomastia),Breast hypertrophy,612.2,HP_0010313
,Perinatal disorders of digestive system,Intestinal obstruction,656.6,HP_0005214
,Disorders of vitreous body,Vitreous floaters,379.2,HP_0100832
,Benign neoplasm of skin,Pilomatrixoma,216,HP_0030434
,Anomalies of tooth position/malocclusion,Anterior open-bite malocclusion,524.3,HP_0009102
,Other perinatal conditions of fetus or newborn,Neonatal seizure,656,HP_0032807
,Eating disorder,Anorexia,305.2,HP_0002039
,"Other congenital anomalies of lower limb, including pelvic girdle",Congenital bilateral hip dislocation,755.6,HP_0008780
,"Conjunctivitis, noninfectious",Chronic irritative conjunctivitis,371.2,HP_0007717
,Disorders of tooth development,Abnormality of the gastrointestinal tract,520,HP_0011024
,Acute reaction to stress,Reduced consciousness/confusion,300.8,HP_0004372
,Abnormal movement,Dysgraphia,350,HP_0010526
,Disorders of refraction and accommodation; blindness and low vision,Irregular astigmatism,367,HP_0031792
,Digestive congenital anomalies,Bifid tongue,750,HP_0010297
,Digestive congenital anomalies,Microgastria,750,HP_0100841
,Amyloidosis,AA amyloidosis,270.33,HP_4000041
,Alcoholism,Abnormal peripheral nervous system morphology,317.1,HP_0000759
,"Melanomas of skin, dx or hx",Superficial spreading melanoma,172.1,HP_0012057
,Hypothyroidism,Thyroid agenesis,244,HP_0008191
,Atopic/contact dermatitis due to other or unspecified,Inflammatory abnormality of the skin,939,HP_0011123
,Other disorders of the kidney and ureters,Glomerular sclerosis,586,HP_0000096
,Nodular lymphoma,Carcinoma,202.21,HP_0030731
,Interstitial emphysema and related conditions of newborn,Congenital lobar overinflation,656.22,HP_0033255
,Helminthiases,Chylothorax,134,HP_0010310
,Sexually transmitted infections (not HIV or hepatitis),Urethritis,090,HP_0500006
,Organic or persistent insomnia,Sleep disturbance,327.41,HP_0002360
,Gastritis and duodenitis,Duodenal ulcer,535,HP_0002588
,Late effects of cerebrovascular disease,Facial paralysis,433.8,HP_0007209
,Inflammatory bowel disease and other gastroenteritis and colitis,Jejunitis,555,HP_0033143
,Spinocerebellar disease,Ataxia,334.1,HP_0001251
,Myopathy,Abnormal joint morphology,359.2,HP_0001367
,Alcohol-related disorders,Abnormal peripheral nervous system morphology,317,HP_0000759
,Shock,Hypovolemic shock,797,HP_0031274
,Abnormal movement,Unsteady gait,350,HP_0002317
,Diseases of the jaws,Mandibular prognathia,526,HP_0000303
,Urinary incontinence,Stress urinary incontinence,599.4,HP_0010992
,Genitourinary congenital anomalies,Glandular hypospadias,751,HP_0000807
,Cataract,Cortical cataract,366,HP_0100019
,Paranoid disorders,Psychosis,295.2,HP_0000709
,Cleft palate,Unilateral cleft lip,749.1,HP_0100333
,Respiratory conditions of fetus and newborn,Neonatal respiratory distress,656.2,HP_0002643
,Chronic lymphocytic thyroiditis,Hashimoto thyroiditis,245.21,HP_0000872
,Chronic ulcer of skin,Skin ulcer,707,HP_0200042
,Hemorrhage of fetus or newborn,Subarachnoid hemorrhage,656.4,HP_0002138
,Other acquired deformities of limbs,Coxa vara,736,HP_0002812
,Nerve root and plexus disorders,Peripheral neuropathy,353,HP_0009830
,Encephalitis,Myelitis,323,HP_0012486
,Anomalies of tooth position/malocclusion,Increased overbite,524.3,HP_0011094
,Diseases of the larynx and vocal cords,Laryngeal edema,473,HP_0012027
,Degenerative disease of the spinal cord,Spastic paraplegia,334,HP_0001258
,Other acute and subacute forms of ischemic heart disease,Coronary artery atherosclerosis,411.9,HP_0001677
