phecodeX_label	hpo_label	phecodeX_code	hpo_code
Other psychoactive substance dependence	Drug addiction	280.82	HP_0033511
Wrist drop (acquired)	Wrist drop	710.11	HP_0031189
Irregular menstrual bleeding	Irregular menstruation	626.14	HP_0000858
Other disorders of glossopharyngeal [9th] nerve	Neuritis	334.5	HP_0031002
Microtia	Microtia	755.11	HP_0008551
Fasciopathy	Fasciitis	722	HP_0100537
Cardiac arrest	Cardiac arrest	420	HP_0001695
Achondroplasia*	Severe short stature	788.14	HP_0003510
Pyoderma	Abnormality of the skin	679.5	HP_0000951
Chronic fatigue syndrome	Chronic fatigue	807.1	HP_0012432
Allergy	Rhinitis	840	HP_0012384
Congenital tracheoesophageal fistula, esophageal atresia and stenosis	Esophageal web	762.1	HP_0100594
Cancer (solid tumor, excluding BCC)	Pinealoma	130	HP_0010799
Abnormal head movements*	Abnormal head movements	325.11	HP_0002457
Hemo onc - by cell of origin	Histiocytosis	120	HP_0100727
Streptococcus	Erysipelas	004	HP_0001055
Corneal degenerations	Band-shaped corneal dystrophy	369.4	HP_0007709
Platelet defects	Thrombocytopenia	169	HP_0001873
Trigeminal nerve disorders [CN5]	Abnormal cranial nerve morphology	334.1	HP_0001291
Hearing impairment	Bilateral sensorineural hearing impairment	396	HP_0008619
Intestinal perforation	Colon perforation	532.2	HP_0031369
Chlamydia trachomatis	Cervicitis	016.1	HP_0030160
Acute cystitis	Abnormality of the genitourinary system	592.11	HP_0000119
Visual disturbances	Protanomaly	386	HP_0200018
Stridor	Stridor	488.5	HP_0010307
Glomerular diseases	Abnormality of the genitourinary system	580	HP_0000119
Visual disturbances	Heteronymous hemianopia	386	HP_0030517
Mycobacteria	Acute otitis media	005	HP_0000371
Headache	Focal sensory seizure with visual features	331	HP_0011165
Dissociative, conversion and factitious disorders	Pseudoseizure	291	HP_0033053
Cancer (solid tumor, excluding BCC)	Superficial spreading melanoma	130	HP_0012057
Cancer (solid tumor, excluding BCC)	Nephroblastoma	130	HP_0002667
Specific developmental disorders of scholastic skills	Dysgraphia	891.2	HP_0010526
Immunodeficiencies	Decreased circulating IgG level	179	HP_0004315
Heberden's or Bouchard's nodes*	Bouchard's node	708.9	HP_0012314
Melanomas of skin	Superficial spreading melanoma	103.1	HP_0012057
Cardiac arrhythmia and conduction disorders	Permanent atrial fibrillation	416	HP_0004754
Lesions of mouth	Stomatitis	507	HP_0010280
Uninodular goiter [single thyroid nodule]	Abnormality of the thyroid gland	200.22	HP_0000820
Central origin vertigo	Congenital nystagmus	394.23	HP_0006934
Mitral valve disorders	Mitral valve prolapse	413.1	HP_0001634
Carcinoid tumors	Neoplasm	114.4	HP_0002664
Atrial flutter	Reverse typical atrial flutter	416.22	HP_0031672
Leukemia	Sideroblastic anemia	121	HP_0001924
Paralytic strabismus [Neurogenic strabismus]	Superior oblique muscle weakness	381.1	HP_0025592
Infections	Recurrent pneumonia	089	HP_0006532
Acquired deformities of the forearm and hand	Wrist drop	710.1	HP_0031189
Ehlers-Danlos syndrome	Cutis laxa	730.2	HP_0000973
Infections	Clostridium difficile enteritis	089	HP_0032167
Heavy chain disease*	IgG heavy chain paraproteinemia	180.34	HP_0020195
Fasciculation*	Muscle fibrillation	325.12	HP_0010546
Congenital malformation of optic disc	Iris coloboma	753.83	HP_0000612
Diseases of salivary glands	Xerostomia	506	HP_0000217
Cytology and pathology findings	Abnormal CSF homocarnosine concentration	835	HP_0500241
Congenital non-neoplastic nevus	Capillary hemangioma	790.41	HP_0005306
Glomerular diseases	Abnormal tubulointerstitial morphology	580	HP_0001969
Hydromyelia	Syringomyelia	751.5	HP_0003396
Bacterial infections	Sepsis	089.1	HP_0100806
Esophageal obstruction (Stricture and stenosis of esophagus)	Esophageal stenosis	514.1	HP_0010450
Symptoms and signs related to movement disorders	Infantile muscular hypotonia	325	HP_0008947
Atrial septal defect	Primum atrial septal defect	780.42	HP_0010445
Anaphylactic reaction	Idiopathic anaphylaxis	840.9	HP_0410148
Histoplasmosis	Pulmonary histoplasmosis	072	HP_0032258
Acquired deformities of limbs	Pes planus	710	HP_0001763
Fracture of pelvis	Bone fracture	T821	HP_0020110
Mononeuropathies	Acroparesthesia	336	HP_0031006
Viral infections	Viral hepatitis	089.2	HP_0006562
Polycystic kidney	Polycystic kidney dysplasia	773.32	HP_0000113
Inflammation of the eye	Corneal ulceration	367	HP_0012804
Hemo onc - by cell of origin	Abnormality of blood and blood-forming tissues	120	HP_0001871
Congenital osteodystrophies	Short stature	788	HP_0004322
Endomyocardial (eosinophilic) disease [Endomyocardial fibrosis]	Myopathy	414.6	HP_0003198
Disorders of eyelid function	Ankyloblepharon	361	HP_0009755
Disorders of the retina	Rhegmatogenous retinal detachment	374	HP_0012230
Congenital malformations of corpus callosum*	Dysplastic corpus callosum	750.2	HP_0006989
Chrystal arthropathies	Nephropathy	703	HP_0000112
Overweight and obesity	Overweight	236	HP_0025502
Genetic torsion dystonia	Torsion dystonia	324.32	HP_0001304
Increased white blood cell count	Plasmacytosis	171	HP_0030150
Myasthenia gravis and other myoneural disorders	Polyneuropathy	338	HP_0001271
Dermatomyositis	Heliotrope rash	700.42	HP_0040324
Tricuspid value stenosis*	Tricuspid stenosis	413.31	HP_0010446
Abnormal results of function studies of eye	Abnormality of visual evoked potentials	385	HP_0000649
Plasmacytosis	Plasmacytosis	171.3	HP_0030150
Tricuspid valve disorders	Pulmonary insufficiency	413.3	HP_0010444
Other lesion of femoral, lateral popliteal, or medial popliteal nerve	Peripheral neuropathy	336.53	HP_0009830
Malignant neoplasm of the nasopharynx	Neoplasia of the nasopharynx	100.3	HP_0100630
Disorders of the gallbladder	Acholic stools	550	HP_0011985
Other CNS infection	Abscess	322	HP_0025615
Urethral syndrome	Abnormality of the genitourinary system	592.21	HP_0000119
Acquired deformities of limbs	Scapular winging	710	HP_0003691
Macroglobulinemia [Waldenstrom macroglobulinemia]	Hematological neoplasm	180.33	HP_0004377
Multiple myeloma and malignant plasma cell neoplasms	Hematological neoplasm	123	HP_0004377
Neonatal disorders of coagulation	Disseminated intravascular coagulation	860.1	HP_0005521
Coxa vara	Coxa vara	710.22	HP_0002812
Torticollis	Retrocollis	324.34	HP_0002544
Megalencephaly*	Megalencephaly	750.3	HP_0001355
Situs inversus	Abdominal situs inversus	796.11	HP_0003363
Somatoform disorders	Writer's cramp	292	HP_0002356
Hematological disorders of newborn	Neonatal alloimmune thrombocytopenia	860	HP_0004809
Disorders of the pituitary gland and its hypothalamic control	Hyperpituitarism	209	HP_0010514
Inflammatory diseases of female pelvic organs	Abdominal adhesions	614	HP_0033134
Pectus deformity	Abnormal sternum morphology	786	HP_0000766
Pterygium of eye	Pterygium	366.1	HP_0001059
Oral cleft	obsolete Cleft of uvula	757	HP_0410032
Epilepsy, recurrent seizures, convulsions	Generalized non-convulsive status epilepticus without coma	330	HP_0032860
Goiter	Uninodular goiter	200.2	HP_0011773
Tonsillitis and adenoiditis	Increased size of nasopharyngeal adenoids	466	HP_0040261
Meralgia paresthetica	Peripheral neuropathy	336.52	HP_0009830
Malignant neoplasm of retroperitoneum and peritoneum	Neoplasm	104.2	HP_0002664
Atrophy of tongue papillae	Smooth tongue	509.4	HP_0010298
Congenital malformations of respiratory system	Tracheal atresia	777	HP_0100682
Erythematous conditions	Erythema	667	HP_0010783
Intracranial and intraspinal abscess	Brain abscess	322.4	HP_0030049
Bacterial infections	Abnormal peripheral nervous system morphology	089.1	HP_0000759
Mitral valve stenosis	Mitral stenosis	413.13	HP_0001718
Dementia in conditions classified elsewhere	Dementia	328.8	HP_0000726
Gynecological benign neoplasms	Abnormality of the genitourinary system	144	HP_0000119
Dermatomyositis	Autoimmunity	700.42	HP_0002960
Other inflammatory spondylopathies	Polyarticular arthritis	706	HP_0005764
Dyspnea [Shortness of breath]	Exertional dyspnea	488.1	HP_0002875
Sedative, hypnotic, or anxiolytic related disorders	Benzodiazepine addiction	280.4	HP_0033516
Paraproteinemias	IgA heavy chain paraproteinemia	180.3	HP_0020194
Megakaryoblast	Leukemia	120.14	HP_0001909
Myeloid	Myeloid leukemia	120.1	HP_0012324
Disorders of pigmentation	Abnormality of nail color	674	HP_0100643
Acute prostatitis	Abnormality of the genitourinary system	601.11	HP_0000119
Acute upper respiratory infection	Rhinitis	460.1	HP_0012384
Hereditary deficiency of other clotting factors	Reduced coagulation factor V activity	168.3	HP_0003225
Chronic hepatitis	Abnormality of the gastrointestinal tract	540.1	HP_0011024
Cancer (solid tumor, excluding BCC)	Ependymoma	130	HP_0002888
Benign neoplasm of the digestive organs	Intestinal polyposis	136	HP_0200008
Disturbances of sulphur-bearing amino-acid metabolism	Homocystinuria	240.4	HP_0002156
Persistent atrial fibrillation*	Atrial fibrillation	416.212	HP_0005110
Infections	Histoplasmosis	089	HP_0032256
Congenital cataract	Nuclear cataract	753.23	HP_0100018
Hearing impairment	Severe sensorineural hearing impairment	396	HP_0008625
Congenital malformations of breast	Breast aplasia	791	HP_0100783
Endometrial hyperplasia	Abnormality of the genitourinary system	621	HP_0000119
Sacral dimple*	Sacral dimple	790.5	HP_0000960
Fungal infections	Invasive fungal infection	089.3	HP_0020101
Disorders of newborn related to slow fetal growth and fetal malnutrition	Intrauterine growth retardation	850	HP_0001511
Retinopathy of prematurity	Retinopathy of prematurity zone I	873	HP_0500059
Irregular menstrual bleeding	Abnormality of the genitourinary system	626.14	HP_0000119
Disorders and findings from impaired renal function	Pseudohypoaldosteronism	588	HP_0008242
Malignant neoplasm of the pharynx	Neoplasm	100.7	HP_0002664
Congenital malformations of female genitalia	Transverse vaginal septum	770	HP_0000145
Hemoglobinopathies	HbH hemoglobin	165	HP_0011903
Atrial fibrillation	Permanent atrial fibrillation	416.21	HP_0004754
Hemo onc - by cell of origin	Acute lymphoblastic leukemia	120	HP_0006721
Congenital malformations of ureter and renal pelvis	Ureteral agenesis	774	HP_0012300
Pneumococcal pneumonia	Recurrent pneumonia	468.21	HP_0006532
Hereditary ataxia	Spastic paraplegia	323.1	HP_0001258
Epilepsy	Lafora bodies	330.1	HP_0100318
Common arterial trunk [Truncus arteriosus]	Aortopulmonary window	778.1	HP_0011604
Vascular disorders of the skin	Vasculitis in the skin	687	HP_0200029
Functional dyspepsia	Abdominal pain	527.3	HP_0002027
Congenital atresia and stenosis of aorta	Aortic valve stenosis	778.43	HP_0001650
Congenital malformations of pancreas	Pancreas divisum	767	HP_0030994
Multiple fractures	Paradoxical respiration	T828	HP_0030207
Paralytic ileus	Ileus	514.31	HP_0002595
Infection of the skin	Abscess	660	HP_0025615
Male infertility	Abnormality of the genitourinary system	609	HP_0000119
Chronic leukemia	Juvenile myelomonocytic leukemia	121.2	HP_0012209
Spina bifida	Spinal dysraphism	751.1	HP_0010301
Venous complications in pregnancy	Varicose veins	912	HP_0002619
Infections	Disseminated dermatophytosis	089	HP_0032518
Embolism and thrombosis	Renal vein thrombosis	440	HP_0034239
Amebiasis [Entamoeba histolytica]	Lung abscess	084.1	HP_0025044
Thyrotoxicosis [hyperthyroidism]	Thyrotoxicosis with diffuse goiter	200.3	HP_0011784
Disorders of lacrimal system	Lacrimal duct stenosis	363	HP_0007678
Inflammation of the eye	Keratitis	367	HP_0000491
Aplastic anemia	Pure red cell aplasia	162	HP_0012410
Benign neoplasm of the skin	Atypical nevus	138	HP_0001062
Thrombocytopenia	Heparin-induced thrombocytopenia	169.1	HP_0011874
Atrophy of testis	Testicular atrophy	603.4	HP_0000029
Type 2 diabetes	Diabetes mellitus	202.2	HP_0000819
Benign neoplasm of the head and neck	Neoplasia of the nasopharynx	135	HP_0100630
Hemo onc - by cell of origin	Cutaneous T-cell lymphoma	120	HP_0012192
Strabismus	Microtropia	381	HP_0031724
Heart block	Trifascicular block	416.4	HP_0011715
Heberden's or Bouchard's nodes*	Heberden's node	708.9	HP_0012313
Monocyte	Leukemia	120.12	HP_0001909
Substance related disorders	Alcoholism	280	HP_0030955
Benign prostatic hyperplasia	Hypoplasia of the prostate	600	HP_0008687
Hernia of the abdominal wall	Rectocele	520.1	HP_0100822
Atrial septal defect	Patent foramen ovale	780.42	HP_0001655
Hypothermia	Hypothermia	T910.2	HP_0002045
Meralgia paresthetica	Abnormal peripheral nervous system morphology	336.52	HP_0000759
Hyperglyceridemia	Hyperlipidemia	239.2	HP_0003077
Disturbances of skin sensation	Hyperesthesia	351	HP_0100963
Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]	Elevated hepatic transaminase	823.1	HP_0002910
Monocyte	Acute promyelocytic leukemia	120.12	HP_0004836
Pyogenic granuloma of skin and subcutaneous tissue	Cellulitis	688.3	HP_0100658
Malignant sarcoma-related cancers	Angiosarcoma	104	HP_0200058
Other deficiency anemia	Iron deficiency anemia	160.4	HP_0001891
Coagulation defects, purpura and other hemorrhagic conditions	Dysfibrinogenemia	168	HP_0011901
Malignant neoplasm of the endocrine glands	Pituitary macroadenoma	110	HP_0025693
Cardiac arrhythmia and conduction disorders	Mobitz I atrioventricular block	416	HP_0011707
Congenital malformations of male genital organs	Retractile testis	771	HP_0012646
Malignant neoplasm of the larynx	Neoplasm of the nose	100.6	HP_0012720
Weakness	Asthenia	807.2	HP_0025406
Absent or infrequent menstruation	Abnormality of the genitourinary system	626.11	HP_0000119
Benign neoplasm of the genitourinary system	Neoplasm	146	HP_0002664
Mucocutaneous lymph node syndrome [Kawasaki]	Autoimmunity	704.12	HP_0002960
Noninflammatory disorders of the cornea	Opacification of the corneal stroma	369	HP_0007759
Annular pancreas	Annular pancreas	767.1	HP_0001734
Osteoporosis and low bone density	Fractured shoulder	726	HP_0041217
Congenital deformities of skull, face, and jaw	Cloverleaf skull	758	HP_0002676
Disorders of amino-acid transport and metabolism	Hypersarcosinemia	240	HP_0010896
Chorioretinal scars	Small yellow foveal lesion with surrounding gray zone	373.1	HP_0031420
Other congenital malformations of circulatory system	Congenital malformation of the great arteries	781	HP_0011603
Cancer (solid tumor, excluding BCC)	Ewing sarcoma	130	HP_0012254
Cutaneous lupus erythematosus	Discoid lupus rash	700.12	HP_0007417
Club foot	Talipes equinovarus	710.42	HP_0001762
Hydrocele	Abnormality of the genitourinary system	603.1	HP_0000119
Anemia	Microangiopathic hemolytic anemia	164	HP_0001937
Respiratory failure of newborn	Respiratory failure	854.6	HP_0002878
Alcoholic polyneuropathy	Polyneuropathy	337.32	HP_0001271
Disturbances of skin sensation	Somatic sensory dysfunction	351	HP_0003474
Cytology and pathology findings	Abnormality of the cerebrospinal fluid	835	HP_0002921
Disorders of muscle	Proximal muscle weakness	719	HP_0003701
Diseases of salivary glands	Parotitis	506	HP_0011850
Abnormal cardiac sounds	Heart murmur	423	HP_0030148
Extrapyramidal and movement disorders	Postural tremor	324	HP_0002174
Cancer (solid tumor, excluding BCC)	Anaplastic thyroid carcinoma	130	HP_0011779
Polyarteritis nodosa and related conditions	Vasculitis	704.1	HP_0002633
Noninflammatory disorders of the cornea	Corneal neovascularization	369	HP_0011496
Hypepigmentation	Hypopigmentation of the skin	674.2	HP_0001010
Behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Hyperactivity	893	HP_0000752
Hypertrophic conditions of skin	Keloids	676	HP_0010562
Immobility syndrome (paraplegic)*	Myopathy	730.3	HP_0003198
Benign neoplasm of eye	Benign neoplasm of the central nervous system	148.1	HP_0100835
Specific developmental disorders	Receptive aphasia	891	HP_0033848
Malignant neoplasm of the gums	Carcinoma	100.13	HP_0030731
Specific developmental disorders	Dyscalculia	891	HP_0002442
Retinal detachments and breaks	Retinal detachment	374.1	HP_0000541
Malignant neoplasm of the breast, female	Breast carcinoma	105.1	HP_0003002
Congenital malformations of great arteries	Ascending aorta hypoplasia	778	HP_0031935
Systemic atrophies primarily affecting the central nervous system	Amyotrophic lateral sclerosis	323	HP_0007354
Ankylosing hyperostosis [Forestier]	Vertebral hyperostosis	715.5	HP_0008442
Allergies related to other diseases/symptoms	Gastrointestinal eosinophilia	840.8	HP_0032064
Congenital malformations of larynx	Laryngeal atresia	777.1	HP_0008750
Diseases of tongue	Tongue pain	509	HP_0030811
Carcinoid tumor of the stomach	Carcinoid tumor	114.44	HP_0100570
Disorders of adrenal glands	Primary hyperaldosteronism	211	HP_0011736
Benign neoplasm of cranial nerve	Carcinoma	148.5	HP_0030731
Decreased white blood cell count	Abnormality of blood and blood-forming tissues	170	HP_0001871
Benign neoplasm of the scrotum	Benign neoplasm of the central nervous system	146.32	HP_0100835
Congenital malformations of great arteries	Double outlet right ventricle with subpulmonary ventricular septal defect without pulmonary stenosis	778	HP_0011658
Hyperkalemia [Hyperpotassemia]	Hyperkalemia	256.4	HP_0002153
Dermatitis [eczema]	Seborrheic keratosis	668	HP_0031287
Complex regional pain syndrome	Neuritis	343.3	HP_0031002
Malignant neoplasm of the breast, male	Neoplasm	105.2	HP_0002664
Anomalies of great veins, congenital	Total anomalous pulmonary venous return	781.4	HP_0005160
Hypersplenism	Abnormality of blood and blood-forming tissues	174.21	HP_0001871
Osteoarthritis	Heberden's node	708	HP_0012313
Malignant neoplasm of the liver	Hepatocellular carcinoma	101.61	HP_0001402
Poxvirus	Molluscum contagiosum	055	HP_0032163
Disorders of plasma-protein metabolism, NEC	Hypoproteinemia	248	HP_0003075
Disorders and symptoms of testis	Spermatocele	603	HP_0033808
Abnormalities of breathing	Exertional dyspnea	488	HP_0002875
Abnormalities of breathing	Acute respiratory distress syndrome	488	HP_0033677
Substance abuse, dependence, and withdrawl	Stimulant addiction	281	HP_0033512
Foreign body granuloma	Myopathy	688.2	HP_0003198
Congenital malformations of posterior segment of eye	Iris coloboma	753.8	HP_0000612
Congenital malformations of mouth	Wide mouth	756.4	HP_0000154
Deforming dorsopathies	Spinal deformities	714	HP_0008443
Breast conditions, congenital or relating to hormones	Gynecomastia	612	HP_0000771
Cerebral palsy and other paralytic syndromes	Paralysis	341	HP_0003470
Atrial fibrillation and flutter	Atrial fibrillation	416.2	HP_0005110
Intestinal obstruction of newborn	Functional intestinal obstruction	865.1	HP_0005249
Stenosis of larynx	Laryngotracheal stenosis	472.5	HP_0004894
Malignant neoplasm of the esophagus	Neoplasm	101.1	HP_0002664
Inflammation of the eye	Hypopyon	367	HP_0031615
Pigmentary retinal dystrophy	Fundus albipunctatus	374.71	HP_0030642
Double inlet ventricle	Abnormal cardiac septum morphology	780.3	HP_0001671
Malignant neoplasm of the liver and intrahepatic bile ducts	Cholangiocarcinoma	101.6	HP_0030153
Aneurysm of heart	Coronary artery atherosclerosis	438.7	HP_0001677
Lipid storage disorders	Histiocytosis	242	HP_0100727
Congenital anomalies of aorta	Postductal coarctation of the aorta	778.4	HP_0011647
Dilated cardiomyopathy*	Cardiomyopathy	414.2	HP_0001638
Alzheimer's disease	Cerebral degeneration	328.1	HP_0007313
Trigeminal neuralgia	Peripheral neuropathy	334.11	HP_0009830
Umbilical hernia	Umbilical hernia	520.13	HP_0001537
Other congenital malformations of urinary system	Exstrophy	775	HP_0100548
Chills (without fever)	Shivering	806	HP_0025144
Dilated cardiomyopathy*	Myofibrillar myopathy	414.2	HP_0003715
Epilepsy, recurrent seizures, convulsions	Status epilepticus	330	HP_0002133
Congenital malformations of cardiac septa	obsolete Congenital septal defect	780.4	HP_0004760
Neuroendocrine tumors	Glucagonoma	114	HP_0030404
Behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Motor stereotypy	893	HP_0000733
Hypertension	Right ventricular failure	401	HP_0001708
Malignant neoplasm of brain	Pilocytic astrocytoma	109.3	HP_0033680
Lymphoma	Follicular lymphoma	122	HP_0033125
Rectal prolapse	Rectal prolapse	530.3	HP_0002035
Nail dystrophy*	Nail dystrophy	683.2	HP_0008404
Major anomalies of jaw size	Hyperplasia of the maxilla	733.1	HP_0430028
Food allergy	Abnormality of the skin	840.1	HP_0000951
Polyneuropathy in diseases classified elsewhere	Polyneuropathy	337.8	HP_0001271
Craniofacial dysostosis*	Craniofacial dysostosis	758.3	HP_0004439
Hemo onc - by cell of origin	Polycythemia	120	HP_0001901
Respiratory conditions of fetus and newborn	Pulmonary hemorrhage	854	HP_0040223
Malignant neoplasm of the digestive organs	Neoplasm of the small intestine	101	HP_0100833
Malignant neoplasm of the eye, brain and other parts of central nervous system	Malignant neoplasm of the central nervous system	109	HP_0100836
Lymphedema	Lymphangiectasis	177.4	HP_0031842
Hypopituitarism NOS	Male hypogonadism	209.22	HP_0000026
Sudden or transient visual loss	Scotoma	386.8	HP_0000575
Bacterial infections	Jejunitis	089.1	HP_0033143
Congenital anomalies of limbs	Sirenomelia	785	HP_0010497
Male erectile dysfunction	Impotence	605.1	HP_0000802
Reduction defects of limb	Phocomelia	785.2	HP_0009829
Glossitis	Strawberry tongue	509.1	HP_0031042
Glomerular diseases	Glomerulopathy	580	HP_0100820
Congenital deformities of feet	Talipes calcaneovarus	784	HP_0008124
Biliary cirrhosis	Decreased liver function	544	HP_0001410
Congenital malformations of ear	Abnormality of the ear	755	HP_0000598
Vitiligo	Hyperpigmentation of eyelids	674.11	HP_0007406
Bradycardia*	Bradycardia	417.3	HP_0001662
Sleep apnea	Insomnia	333.1	HP_0100785
Benign neoplasm of the breast	Neoplasm of the breast	140	HP_0100013
Hypothyroidism	Thyroid agenesis	200.1	HP_0008191
Contracture of muscle*	Joint contracture of the hand	719.93	HP_0009473
Diaphragmatic hernia [Hiatal hernia]	Abnormality of the gastrointestinal tract	520.2	HP_0011024
Other congenital anomalies of heart	Congenital hip dislocation	780	HP_0001374
Symptoms involving digestive system	Bowel urgency	529	HP_0012701
Congenital malformation of the skin	Nevus	790	HP_0003764
Nail disorders	Abnormality of the skin	683	HP_0000951
Congenital deformities of hip	Hip dislocation	783	HP_0002827
Hypertrophy of female genital organs	Clitoral hypertrophy	623	HP_0008665
Gross hematuria	Macroscopic hematuria	593.1	HP_0012587
Borderline personality disorder	Borderline personality disorder	296.4	HP_0012076
Hemolytic anemias	Abnormality of blood and blood-forming tissues	161	HP_0001871
Strabismus	Distance esotropia	381	HP_0031762
Cancer (solid tumor, excluding BCC)	Intestinal polyposis	130	HP_0200008
Diseases of vocal cords and larynx, not elsewhere classified	Subglottic stenosis	472	HP_0001607
Contact dermatitis	Egg allergy	668.3	HP_0410328
Strabismus	Duane anomaly	381	HP_0009921
Neonatal disorders of digestive system	Paralytic ileus	865	HP_0002590
Hernia	Aplasia of the right hemidiaphragm	520	HP_0032592
Nausea	Projectile vomiting	528.1	HP_0002587
Infection of the skin	Pilonidal fistula	660	HP_0010770
Portal hypertension	Portal hypertension	542.4	HP_0001409
Disorders of amino-acid transport and metabolism	Sulfite oxidase deficiency	240	HP_0003643
Congenital malformations of intestine	Meckel diverticulum	765	HP_0002245
Respiratory conditions of fetus and newborn	Neonatal respiratory distress	854	HP_0002643
Symptoms and signs involving cognitive functions and awareness	Retrograde memory impairment	329	HP_0033690
Fracture of patella	Fractured patella	T820.3	HP_0041237
Malaise and fatigue	Generalized muscle weakness	807	HP_0003324
Substance dependence	Cocaine addiction	281.2	HP_0033513
Transplated organ	Status post organ transplantation	979	HP_0032444
Idiopathic orofacial dystonia	Orofacial dyskinesia	324.35	HP_0002310
Instability of joint	Arthropathy	712.6	HP_0003040
Heart block	Mobitz II atrioventricular block	416.4	HP_0011708
Perinatal jaundice	Kernicterus	859	HP_0001343
Malignant neoplasm of the parathyroid gland	Neoplasm	110.3	HP_0002664
Cord entanglement complicating labor and delivery	Nuchal cord	947.4	HP_0012498
Congenital agranulocytosis	Abnormality of blood and blood-forming tissues	170.11	HP_0001871
Hypoplasia and dysplasia of spinal cord	Amyelia	751.4	HP_0100566
Senile entropion	Upper eyelid entropion	361.11	HP_0025607
Hyperglyceridemia	Xanthelasma	239.2	HP_0001114
Heart failure	Right ventricular failure	424	HP_0001708
Degenerative disc disease	Intervertebral disc degeneration	716.2	HP_0008419
Disorders of eyelid function	Lower eyelid retraction	361	HP_0030802
Adhesions and disruptions of iris and ciliary body	Abnormal pupil morphology	370.4	HP_0000615
Malignant neoplasm of the urinary tract	Urinary tract neoplasm	108	HP_0010786
Primary osteoarthritis	Osteoarthritis of the first carpometacarpal joint	708.1	HP_0006226
Myeloproliferative disorder	Hematological neoplasm	124	HP_0004377
Disorders of hypoglossal [12th] nerve	Peripheral neuropathy	334.8	HP_0009830
Other symptoms involving nervous & musculoskeletal system	Decorticate rigidity	350	HP_0011444
Dementias and cerebral degeneration	Frontotemporal dementia	328	HP_0002145
Oligohydramnios	Oligohydramnios	920.2	HP_0001562
Congenital malformations of lung	Bronchiectasis	777.3	HP_0002110
Hereditary hypo-coagulability	Reduced factor XI activity	168.11	HP_0001929
Microscopic hematuria	Microscopic hematuria	593.2	HP_0002907
Pyogenic arthritis [Septic arthritis]	Septic arthritis	702.1	HP_0003095
Dentofacial anomalies, including malocclusion	Hypoplasia of the maxilla	733	HP_0000327
