phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Disorders of amino-acid metabolism	Methylmalonic acidemia	270.2	HP_0002912
Diverticulosis and diverticulitis	Small bowel diverticula	562	HP_0002256
Disorders of sweat glands	Hyperhidrosis	705	HP_0000975
Genitourinary congenital anomalies	Renal duplication	751	HP_0000075
Pain in joint	Elbow pain	745	HP_0030835
Other specified gastritis	Gastric hypertrophy	535.8	HP_0005207
Nephritis and nephropathy without mention of glomerulonephritis	Abnormal tubulointerstitial morphology	580.3	HP_0001969
Strabismus and other disorders of binocular eye movements	Oculomotor nerve palsy	378	HP_0012246
Thyrotoxicosis with or without goiter	Uninodular goiter	242	HP_0011773
Diseases of esophagus	Esophageal diverticulum	530	HP_0100628
Other retinal disorders	Macular edema	362	HP_0040049
Other diseases of lung	Autoimmunity	510	HP_0002960
Acquired hemolytic anemias	Microangiopathic hemolytic anemia	283	HP_0001937
Osteoarthrosis	Hip osteoarthritis	740	HP_0008843
Cancer of other female genital organs	Ovarian carcinoma	184	HP_0025318
Hereditary disturbances in tooth structure	Fused teeth	520.1	HP_0011090
Subdural hemorrhage	Subdural hemorrhage	430.3	HP_0100309
Hypertensive heart disease	Increased blood pressure	401.21	HP_0032263
Phlebitis and thrombophlebitis	Deep venous thrombosis	451	HP_0002625
Congenital anomalies of the eye	Blue sclerae	753	HP_0000592
Retinopathy of prematurity	Retinopathy of prematurity stage 5b	362.1	HP_0500058
Corneal opacity and other disorders of cornea	Corneal degeneration	364	HP_0007705
Diabetes or abnormal glucose tolerance complicating pregnancy	Diabetes mellitus	649.1	HP_0000819
Symptoms involving skin and other integumentary tissue	Hot flashes	782	HP_0031217
Other upper respiratory disease	Nasal ulcer	479	HP_0033361
Hypertensive chronic kidney disease	Nephrosclerosis	401.22	HP_0009741
Liver abscess and sequelae of chronic liver disease	Hepatic failure	571.8	HP_0001399
Choroidal degenerations	obsolete Choroidal sclerosis	363.4	HP_0001150
Disorders of phosphorus metabolism	Hypercalciuria	275.53	HP_0002150
Enthesopathy	Arthropathy	726.1	HP_0003040
Other disorders of carbohydrate transport and metabolism	Hyperoxaluria	271.9	HP_0003159
Perinatal jaundice	Jaundice	656.8	HP_0000952
Cancer of larynx	Neoplasm of the larynx	149.4	HP_0100605
Abnormal movement	Gait disturbance	350	HP_0001288
Barrett's esophagus	Abnormality of the gastrointestinal tract	530.13	HP_0011024
Disorders of fluid, electrolyte, and acid-base balance	Metabolic alkalosis	276	HP_0200114
Diseases of hair and hair follicles	Poliosis	704	HP_0002290
Congenital anomalies of skull and face bones	Cyclopia	749.2	HP_0009914
Purpura and other hemorrhagic conditions	Abnormality of coagulation	287	HP_0001928
Viral infection	Parotitis	079	HP_0011850
Disorders of protein plasma/amino-acid transport and metabolism	Intervertebral disk calcification	270	HP_0005645
Disorders of phosphorus metabolism	Hyperphosphaturia	275.53	HP_0003109
Symptoms and disorders of the joints	Elbow ankylosis	741	HP_0003070
Acute gastritis	Gastritis	535.1	HP_0005263
Postmenopausal bleeding	Abnormality of the genitourinary system	627.1	HP_0000119
Congenital anomalies of skin	Palmoplantar hyperkeratosis	691	HP_0000972
Anomalies of jaw size/symmetry	Retrognathia	526.3	HP_0000278
Cardiac dysrhythmias	Fourth heart sound	427	HP_0031659
Acute upper respiratory infections of multiple or unspecified sites	Rhinitis	465	HP_0012384
Vertiginous syndromes and other disorders of vestibular system	Nystagmus	386	HP_0000639
Purpura and other hemorrhagic conditions	Abnormality of blood and blood-forming tissues	287	HP_0001871
Epilepsy, recurrent seizures, convulsions	Generalized myoclonic-atonic seizure	345	HP_0011170
Cerebrovascular disease	Dysphasia	433	HP_0002357
Myoneural disorders	Rigidity	358	HP_0002063
Other disorders of eye	Abnormality of the eye	379	HP_0000478
Hematological disorders of newborn	Neonatal alloimmune thrombocytopenia	656.5	HP_0004809
Fracture of upper limb	Fractured radius	803	HP_0003978
Menopausal and postmenopausal disorders	Hot flashes	627	HP_0031217
Epilepsy, recurrent seizures, convulsions	Generalized non-motor (absence) seizure	345	HP_0002121
Bundle branch block	Left anterior fascicular block	426.3	HP_0011711
Other specified congenital anomalies of kidney	Renal malrotation	751.22	HP_0004712
Symptoms involving nervous and musculoskeletal systems	Falls	781	HP_0002527
Infertility, male	Male infertility	609.1	HP_0003251
Abnormal heart sounds	Third heart sound	396	HP_0031658
Vitamin B-complex deficiencies	Complement deficiency	261.2	HP_0004431
Disorders of lacrimal system	Punctal stenosis	375	HP_0025572
Other specified congenital anomalies of nervous system	Schizencephaly	752.2	HP_0010636
Fracture of neck of femur	Fractured head of femur	800.1	HP_0041221
Muscle weakness	Generalized muscle weakness	772.3	HP_0003324
Lower gastrointestinal congenital anomalies	Biliary atresia	750.2	HP_0005912
Obesity	Obesity	278.1	HP_0001513
Congenital anomalies of face and neck	Hypertelorism	749	HP_0000316
Ptosis of eyelid	Dermatochalasis	374.3	HP_0010750
Congenital anomalies of limbs	Accessory carpal bones	755	HP_0004232
Paralysis/spasm of vocal cords or larynx	Vocal cord dysfunction	473.3	HP_0031801
Abnormal involuntary movements	Pill-rolling tremor	350.1	HP_0025387
Vesicoureteral reflux	Vesicoureteral reflux	586.12	HP_0000076
Injury, NOS	Shoulder pain	1009	HP_0030834
Aneurysm of other specified artery	Carotid artery dissection	442.8	HP_0012158
Disorders of protein plasma/amino-acid transport and metabolism	Hyperlysinemia	270	HP_0002161
Cardiac congenital anomalies	Hypoplastic right heart	747.1	HP_0010954
Disorders of tooth development	Talon cusp	520	HP_0011087
Hearing loss	Moderate conductive hearing impairment	389	HP_0012716
Abdominal hernia	Hiatus hernia	550	HP_0002036
Other disorders of eyelids	Sparse eyelashes	374	HP_0000653
Folate-deficiency anemia	Macrocytic anemia	281.13	HP_0001972
Other CNS infection and poliomyelitis	Cutaneous abscess	324	HP_0031292
Skull and face fracture and other intercranial injury	Fractured facial bone	819	HP_0041220
Ingrowing nail	Ingrown nail	703.1	HP_0012710
Psychogenic and somatoform disorders	Psychogenic non-epileptic seizure	303	HP_0033052
Intestinal infection	Bloody diarrhea	008	HP_0025085
Disorders of amino-acid metabolism	Glutaric aciduria	270.2	HP_0003150
Contracture of tendon (sheath)	Myopathy	727.7	HP_0003198
Overweight, obesity and other hyperalimentation	Abdominal obesity	278	HP_0012743
Congenital anomalies of esophagus	Esophageal diverticulum	750.14	HP_0100628
Vesicoureteral reflux	Grade V vesicoureteral reflux	586.12	HP_0033740
Other arthropathies	Diabetes mellitus	716	HP_0000819
Corneal dystrophy	Central corneal dystrophy	364.5	HP_0007881
Chronic pancreatitis	Pancreatitis	577.2	HP_0001733
Myeloid leukemia	Myeloproliferative disorder	204.2	HP_0005547
Congenital anomalies of male genital organs	Bilateral cryptorchidism	751.12	HP_0008689
Complications of surgical and medical procedures	Abnormality of the gastrointestinal tract	1011	HP_0011024
Blood in stool	Bloody diarrhea	578.2	HP_0025085
Digestive congenital anomalies	Pulmonary arterial hypertension	750	HP_0002092
Corneal degenerations	Band-shaped corneal dystrophy	364.4	HP_0007709
Other disorders of testis	Fallopian tube torsion	603	HP_0012884
Other hypertrophic and atrophic conditions of skin	Keratosis pilaris	701	HP_0032152
Other conditions of brain	Cerebral ischemia	348	HP_0002637
Aneurysm and dissection of heart	Coronary artery dissection	411.41	HP_0006702
Congenital anomalies of mouth/tongue	Furrowed tongue	750.13	HP_0000221
Other and unspecified congenital anomalies	Sirenomelia	759	HP_0010497
Congenital osteodystrophies	Bowing of the legs	756.5	HP_0002979
Neurological disorders	Aphasia	292	HP_0002381
Congenital deformities of feet	Talipes calcaneovalgus	755.1	HP_0001884
Congenital anomalies of peripheral vascular system	Varicose veins	747.2	HP_0002619
Lack of coordination	Dyskinesia	350.3	HP_0100660
Genitourinary congenital anomalies	Atretic vas deferens	751	HP_0030997
Hearing loss	Congenital sensorineural hearing impairment	389	HP_0008527
Sensorineural hearing loss	Hearing impairment	389.1	HP_0000365
Congenital anomalies of face and neck	Concave nasal ridge	749	HP_0011120
Inflammatory diseases of prostate	Orchitis	601	HP_0100796
Other venous embolism and thrombosis	Venous thrombosis	452	HP_0004936
Nephritis and nephropathy without mention of glomerulonephritis	Glomerulopathy	580.3	HP_0100820
Injury, NOS	Achilles tendonitis	1009	HP_0025273
Stricture and stenosis of esophagus	Esophageal stricture	530.3	HP_0002043
Pneumonia	Chronic mucocutaneous candidiasis	480	HP_0002728
Neural tube defects	Occipital encephalocele	752.1	HP_0002085
Diseases of hard tissues of teeth	Abnormality of the gastrointestinal tract	521	HP_0011024
Atherosclerosis	Atherosclerosis	440	HP_0002621
Disorders of lipoid metabolism	Increased circulating chylomicron concentration	272	HP_0012238
Visual disturbances	Photophobia	368	HP_0000613
Inflammation of the eye	Chemosis	371	HP_0012375
Cardiac congenital anomalies	Truncus arteriosus	747.1	HP_0001660
Pseudoexfoliation glaucoma	Glaucoma	365.5	HP_0000501
Fracture of tibia and fibula	Fractured tibia	800.3	HP_0041143
Cholelithiasis and cholecystitis	Cholecystitis	574	HP_0001082
Abnormal chest sounds	Abnormal thorax morphology	512.3	HP_0000765
Other tests	Viral hepatitis	1010	HP_0006562
Retinal vascular changes and abnomalities	Branch retinal artery occlusion	362.4	HP_0020161
Abdominal hernia	Abnormality of the gastrointestinal tract	550	HP_0011024
Other degenerative diseases of the basal ganglia	Olivopontocerebellar atrophy	333.8	HP_0002542
Mental retardation	Intellectual disability, severe	315.3	HP_0010864
Jaw disease NOS	Abnormality of the gastrointestinal tract	526.9	HP_0011024
Diseases of the jaws	Fibrous dysplasia of the bones	526	HP_0010734
Encephalitis	Herpes simplex encephalitis	323	HP_0012302
Disorders of plasma protein metabolism	Paraproteinemia	270.3	HP_0031047
Learning disorder	Specific learning disability	315.1	HP_0001328
Congenital anomalies of limbs	1-5 finger syndactyly	755	HP_0010708
Other symptoms of respiratory system	Orthopnea	512	HP_0012764
Other conditions of brain	Porencephalic cyst	348	HP_0002132
Cancer of larynx	Neoplasm of the nose	149.4	HP_0012720
Sinoatrial node dysfunction (Bradycardia)	Sinus bradycardia	427.8	HP_0001688
Occlusion and stenosis of precerebral arteries	Transient ischemic attack	433.1	HP_0002326
Orthopnea	Orthopnea	513.32	HP_0012764
Nausea and vomiting	Vomiting	789	HP_0002013
Genitourinary congenital anomalies	Aplasia of the vagina	751	HP_0003250
Respiratory conditions of fetus and newborn	Sleep apnea	656.2	HP_0010535
Cardiac and circulatory congenital anomalies	Tricuspid atresia	747	HP_0011662
Congenital anomalies of limbs	Sprengel anomaly	755	HP_0000912
Other symptoms/disorders or the urinary system	Urinary hesitancy	599	HP_0000019
Cataract	Anterior subcapsular cataract	366	HP_0010923
Laxity of ligament or hypermobility syndrome	Arthropathy	728.2	HP_0003040
Other demyelinating diseases of central nervous system	Narcolepsy	341	HP_0030050
Functional digestive disorders	Diarrhea	564	HP_0002014
Benign neoplasm of parathyroid gland	Neoplasm	227.2	HP_0002664
Acute pancreatitis	Acute pancreatitis	577.1	HP_0001735
Neural tube defects	Meningoencephalocele	752.1	HP_0006888
Atrial flutter	Atrial fibrillation	427.22	HP_0005110
Myoneural disorders	Infantile muscular hypotonia	358	HP_0008947
Colorectal cancer	Malignant neoplasm of the central nervous system	153	HP_0100836
Fracture of neck of femur	Bone fracture	800.1	HP_0020110
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	Xanthomatosis	528	HP_0000991
Other diseases of the teeth and supporting structures	Premature loss of teeth	525	HP_0006480
Inflammation of the eye	Chalazion	371	HP_0010605
Other perinatal conditions of fetus or newborn	Disseminated intravascular coagulation	656	HP_0005521
Extrapyramidal disease and abnormal movement disorders	Progressive extrapyramidal movement disorder	333	HP_0007153
Cardiac shunt/ heart septal defect	Gerbode ventricular septal defect	747.11	HP_0011621
Gastric ulcer	Peptic ulcer	531.2	HP_0004398
Lipoprotein disorders	Decreased HDL cholesterol concentration	277.51	HP_0003233
Disorders of tooth development	Mesiodens	520	HP_0011067
Septicemia	Bacteremia	038	HP_0031864
Noninflammatory female genital disorders	Clitoral hypertrophy	619	HP_0008665
Dyschromia and Vitiligo	Few cafe-au-lait spots	694	HP_0007429
Osteoporosis, osteopenia and pathological fracture	Osteoporosis	743	HP_0000939
Contracture of tendon (sheath)	Skeletal myopathy	727.7	HP_0003756
Acute bronchospasm	Bronchospasm	498	HP_0025428
Corneal dystrophy	Corneal dystrophy	364.5	HP_0001131
Sleep related movement disorders	Confusional arousal	327.7	HP_0025237
Ectopic pregnancy	Ectopic pregnancy	634.3	HP_0031456
Peripheral vascular disease	Gangrene	443	HP_0100758
Lung disease due to external agents	Aspiration pneumonia	500	HP_0011951
Congenital anomalies of face and neck	Preauricular skin tag	749	HP_0000384
Nephritis and nephropathy without mention of glomerulonephritis	Autoimmunity	580.3	HP_0002960
Malignant neoplasm of liver, primary	Neoplasm of the liver	155.1	HP_0002896
Respiratory abnormalities	Diaphragmatic paralysis	513	HP_0006597
Other acquired deformities of limbs	Genu recurvatum	736	HP_0002816
Late effects of cerebrovascular disease	Dysarthria	433.8	HP_0001260
Other disorders of lipoid metabolism	Lipogranulomatosis	277.5	HP_0040139
Diseases of sebaceous glands	Cystic acne	706	HP_0033188
Retinal vascular changes and abnomalities	Branch retinal vein occlusion	362.4	HP_0020165
Disorders of protein plasma/amino-acid transport and metabolism	Ochronosis	270	HP_0030764
Nonspecific abnormal findings in cerebrospinal fluid	Abnormal CSF homocarnosine concentration	346.3	HP_0500241
Epiphora	Epiphora	375.2	HP_0009926
Cardiac and circulatory congenital anomalies	P mitrale	747	HP_0031599
Anomalies of respiratory system, congenital	Subglottic stenosis	748	HP_0001607
Neurological disorders	Echolalia	292	HP_0010529
Visual disturbances	Bitemporal hemianopia	368	HP_0030521
Cardiac shunt/ heart septal defect	Intermediate atrioventricular canal defect	747.11	HP_0011576
Other disorders of lipoid metabolism	Hypolipidemia	277.5	HP_0045014
Osteoarthrosis	Osteoarthritis of the first carpometacarpal joint	740	HP_0006226
Vascular dementia	Dementia	290.16	HP_0000726
Other local infections of skin and subcutaneous tissue	Carbuncle	686	HP_0020084
Postinflammatory pulmonary fibrosis	Pulmonary fibrosis	502	HP_0002206
Cancer of bronchus; lung	Carcinoma	165.1	HP_0030731
Cancer of of nasal cavities	Neoplasm	149.9	HP_0002664
Bacterial infection NOS	Vaginitis	041	HP_0030683
Disorders of muscle, ligament, and fascia	Fetal akinesia sequence	728	HP_0001989
Cancer of other endocrine glands	Parathyroid carcinoma	194	HP_0006780
Nevus, non-neoplastic	Nevus	217.1	HP_0003764
Color vision deficiencies	Deuteranopia	368.5	HP_0011521
Urticaria	Vibratory urticaria	947	HP_0410138
Visual disturbances	Hemianopia	368	HP_0012377
Vitamin deficiency	Low levels of vitamin B1	261	HP_0100503
Extrapyramidal disease and abnormal movement disorders	Dystonia	333	HP_0001332
Gram positive septicemia	Methicillin-resistant Staphylococcus aureus infection	038.2	HP_0032326
Nerve plexus lesions	Abnormal peripheral nervous system morphology	353.1	HP_0000759
Nervous system congenital anomalies	Myelodysplasia	752	HP_0002863
Nervous system congenital anomalies	Hydromyelia	752	HP_0100565
Late effects of cerebrovascular disease	Feeding difficulties	433.8	HP_0011968
Pituitary hypofunction	Male hypogonadism	253.2	HP_0000026
Nephritis and nephropathy in diseases classified elsewhere	Autoimmunity	580.31	HP_0002960
Alcoholism	Alcoholism	317.1	HP_0030955
Noninfectious dermatoses of eyelid	Eczematoid dermatitis	371.33	HP_0000976
Skin cancer	Neoplasm	172	HP_0002664
Aseptic necrosis of bone	Avascular necrosis of the capital femoral epiphysis	733.4	HP_0005743
Acute pulmonary heart disease	Pulmonary air embolism	415.1	HP_0033426
Neural tube defects	Spondylolisthesis	752.1	HP_0003302
Erythema nodosum	Erythema nodosum	695.81	HP_0012219
Urinary tract infection	Urinary bladder inflammation	591	HP_0100577
Secondary malignancy of lymph nodes	Neuroendocrine neoplasm	198.1	HP_0100634
Disorders of parathyroid gland	Hypoparathyroidism	252	HP_0000829
Superficial cellulitis and abscess	Abscess	681	HP_0025615
Congenital anomalies of the eye	Primary congenital glaucoma	753	HP_0008007
Lymphoid leukemia	Follicular lymphoma	204.1	HP_0033125
Hepatitis NOS	Hepatic fibrosis	070.9	HP_0001395
Other disorders of metabolism	Leukemia	277	HP_0001909
Cardiomyopathy	Endocardial fibrosis	425	HP_0006685
Alcohol-related disorders	Abnormality of the liver	317	HP_0001392
Lupus (localized and systemic)	Abnormality of the skin	695.4	HP_0000951
Lipoma of skin and subcutaneous tissue	Carcinoma	214.1	HP_0030731
Other perinatal conditions of fetus or newborn	Cerebral ischemia	656	HP_0002637
Other disorders of eyelids	Hypertrichosis	374	HP_0000998
Abnormal movement	Abnormal reflex	350	HP_0031826
Diabetes mellitus	Peripheral neuropathy	250	HP_0009830
Strabismus and other disorders of binocular eye movements	Alternating esotropia	378	HP_0001137
Other non-epithelial cancer of skin	Neoplasm	172.2	HP_0002664
Congenital anomalies of limbs	Bowing of the legs	755	HP_0002979
Mitral valve disease	Mitral atresia	394.2	HP_0011560
Complications of cardiac/vascular device, implant, and graft	Ventricular ectopy	854	HP_0034041
Hydrocele	Hydrocele testis	603.1	HP_0000034
Fibroadenosis of breast	Fibroadenoma of the breast	610.2	HP_0010619
Chronic airway obstruction	Bronchiolitis obliterans	496	HP_0011946
Hypoventilation	Hypoventilation	513.3	HP_0002791
Diffuse diseases of connective tissue	Telangiectasia	709	HP_0001009
Polyneuropathy in diabetes	Diabetes mellitus	250.6	HP_0000819
Disorders of mineral metabolism	Hyperphosphatemia	275	HP_0002905
Congenital anomaly of fingers/toes	Macrodactyly of toe	755.3	HP_0100747
Anal and rectal conditions	Anal fissure	565	HP_0012390
Cancer of liver and intrahepatic bile duct	Cholangiocarcinoma	155	HP_0030153
Congestive heart failure; nonhypertensive	Paroxysmal dyspnea	428	HP_0012763
Hallucinations	Visual hallucinations	292.6	HP_0002367
Atrial flutter	Reverse typical atrial flutter	427.22	HP_0031672
Hyperlipidemia	Increased circulating chylomicron concentration	272.1	HP_0012238
Stricture and stenosis of esophagus	Gastroesophageal reflux	530.3	HP_0002020
Congenital osteodystrophies	Diaphyseal dysplasia	756.5	HP_0100252
Acute laryngitis and tracheitis	Laryngeal obstruction	465.4	HP_0005945
Postoperative infection	Abnormality of the gastrointestinal tract	080	HP_0011024
Secondary malignancy of bone	Neoplasm	198.6	HP_0002664
Partial epilepsy	Abnormality of brain morphology	345.12	HP_0012443
Other disorders of eye	Miosis	379	HP_0000616
Psychogenic and somatoform disorders	Bruxism	303	HP_0003763
Corneal dystrophy	Polymorphous posterior corneal dystrophy	364.5	HP_0007915
Diseases of white blood cells	Leukocytosis	288	HP_0001974
Polyp of corpus uteri	Metrorrhagia	622.1	HP_0100608
Alcohol-related disorders	Decreased liver function	317	HP_0001410
Benign neoplasm of breast	Fibroadenoma of the breast	610.4	HP_0010619
Acne	Acne	706.1	HP_0001061
Other symptoms involving abdomen and pelvis	Hepatosplenomegaly	579	HP_0001433
Lack of coordination	Ataxia	350.3	HP_0001251
Superficial injury without mention of infection	Bruising susceptibility	915	HP_0000978
Breast conditions, congenital or relating to hormones	Supernumerary nipple	612	HP_0002558
Acute laryngitis and tracheitis	Subglottic laryngitis	465.4	HP_0033000
Acquired toe deformities	Abnormal joint morphology	735.2	HP_0001367
Nervous system congenital anomalies	Marcus Gunn jaw winking synkinesis	752	HP_0025186
Other chronic nonalcoholic liver disease	Macronodular cirrhosis	571.5	HP_0006577
Candidiasis	Vaginitis	112	HP_0030683
Other peripheral nerve disorders	Acroparesthesia	351	HP_0031006
Rupture of tendon, nontraumatic	Rotator cuff tear	727.6	HP_0032201
Eating disorder	Bulimia	305.2	HP_0100739
Neoplasm of uncertain behavior of skin	Neoplasm	173	HP_0002664
Malignant neoplasm of retroperitoneum and peritoneum	Neoplasm	159.4	HP_0002664
Dyschromia and Vitiligo	Hemangioma	694	HP_0001028
Hereditary retinal dystrophies	Pigmentary retinopathy	362.7	HP_0000580
Glossodynia	Abnormality of the gastrointestinal tract	529.6	HP_0011024
Noninfectious gastroenteritis	Abnormality of the gastrointestinal tract	558	HP_0011024
Congenital anomalies of genital organs	Streak ovary	751.1	HP_0010464
Diseases of nail, NOS	Yellow nails	703	HP_0011367
Sexually transmitted infections (not HIV or hepatitis)	Urethritis	090	HP_0500006
Inflammatory bowel disease and other gastroenteritis and colitis	Crohn's disease	555	HP_0100280
Congenital anomalies of genital organs	Fallopian tube cyst	751.1	HP_0012883
Iron deficiency anemias, unspecified or not due to blood loss	Iron deficiency anemia	280.1	HP_0001891
Juvenile osteochondrosis	Avascular necrosis of the capital femoral epiphysis	732.1	HP_0005743
Congenital deformities of feet	Pes cavus	755.1	HP_0001761
Other perinatal conditions of fetus or newborn	Hypotonia	656	HP_0001252
Retinal edema	Macular edema	362.9	HP_0040049
Cardiac congenital anomalies	Double inlet right ventricle	747.1	HP_0011556
Diseases of the larynx and vocal cords	Tracheal stenosis	473	HP_0002777
Keratitis	Corneal erosion	370	HP_0200020
Cushing's syndrome	Primary hypercortisolism	255.11	HP_0001579
Eye infection, viral	Keratoconjunctivitis	369.2	HP_0001096
Paranoid disorders	Schizophrenia	295.2	HP_0100753
Abdominal hernia	Morgagni diaphragmatic hernia	550	HP_0025194
Congenital cataract and lens anomalies	Anterior subcapsular cataract	753.1	HP_0010923
Other retinal disorders	Bull's eye maculopathy	362	HP_0011504
Abnormality of gait	Tip-toe gait	350.2	HP_0030051
Lung disease due to external agents	Pleural thickening	500	HP_0031944
Cardiac congenital anomalies	Pulmonary artery stenosis	747.1	HP_0004415
Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	Neoplasm	159	HP_0002664
Other diseases of lung	Abnormal pulmonary interstitial morphology	510	HP_0006530
Blindness and low vision	Severely reduced visual acuity	367.9	HP_0001141
Substance addiction and disorders	Psychosis	316	HP_0000709
Atopic/contact dermatitis due to other or unspecified	Skin rash	939	HP_0000988
Congenital anomalies of face and neck	Premature closure of fontanelles	749	HP_0005458
Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	Autoimmunity	446.2	HP_0002960
Cardiomegaly	Right ventricular hypertrophy	416	HP_0001667
Congenital anomaly of fingers/toes	Macrodactyly of finger	755.3	HP_0100746
Iron deficiency anemias	Iron deficiency anemia	280	HP_0001891
Other disorders of eye	Vitreous floaters	379	HP_0100832
Benign neoplasm of skin	Pilomatrixoma	216	HP_0030434
Intestinal malabsorption (non-celiac)	Steatorrhea	557	HP_0002570
Congenital anomalies of the eye	Deeply set eye	753	HP_0000490
Other dyspnea	Abnormality of the respiratory system	512.9	HP_0002086
Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	Ranula	528	HP_0030706
Premature menopause and other ovarian failure	Premature ovarian insufficiency	627.5	HP_0008209
Acute and subacute necrosis of liver	Abnormality of the liver	573.4	HP_0001392
Right bundle branch block	Bundle branch block	426.31	HP_0011710
Hemorrhage of gastrointestinal tract	Gastrointestinal hemorrhage	578.9	HP_0002239
Retinal detachments and defects	Rhegmatogenous retinal detachment	361	HP_0012230
Cardiac congenital anomalies	Situs inversus with levocardia	747.1	HP_0031592
Polycythemia vera	Hematological neoplasm	200.1	HP_0004377
Unspecified monoarthritis	Arthropathy	716.2	HP_0003040
Congenital anomalies of mouth/tongue	Microglossia	750.13	HP_0000171
Coagulation defects	Resistance to activated protein C	286	HP_0012175
Fracture of vertebral column without mention of spinal cord injury	Fractured coccyx	805	HP_0041146
Macular degeneration, dry	Macular degeneration	362.21	HP_0000608
Hypertrophic obstructive cardiomyopathy	Dilated cardiomyopathy	425.11	HP_0001644
Disorders of adrenal glands	Secondary hyperaldosteronism	255	HP_0011741
Hypothyroidism NOS	Compensated hypothyroidism	244.4	HP_0008223
Disorders of optic nerve and visual pathways	Coloboma	377	HP_0000589
Epilepsy, recurrent seizures, convulsions	Febrile seizure (within the age range of 3 months to 6 years)	345	HP_0002373
Suppurative and unspecified otitis media	Glue ear	381.11	HP_0040262
Malignant neoplasm of ovary	Ovarian carcinoma	184.11	HP_0025318
Pectus and other congenital anomalies of ribs/sternum	Pectus excavatum	756.2	HP_0000767
Acute and subacute necrosis of liver	Fulminant hepatic failure	573.4	HP_0004448
Injury, NOS	Fractured skull	1009	HP_0041082
Congenital anomalies of face and neck	Iris coloboma	749	HP_0000612
Spina bifida	Neural tube defect	752.11	HP_0045005
Neutropenia	Abnormality of blood and blood-forming tissues	288.11	HP_0001871
Aphasia/speech disturbance	Anomic aphasia	292.1	HP_0030784
