phecodeX_label	hpo_label	phecodeX_code	hpo_code
Dislocation of finger	Elbow dislocation	T830.5	HP_0003042
Hypothyroidism, not specified as secondary	Abnormal circulating T4 level	200.14	HP_0031505
Benign neoplasm of the pituitary gland and craniopharyngeal duct	Neoplasm of the anterior pituitary	149.4	HP_0011750
Hemangioma and lymphangioma	Nevus sebaceus	139.6	HP_0025511
Malignant neoplasm of the lip	Astrocytoma	100.8	HP_0009592
Abnormal results of function studies of eye	Enlarged flash visual evoked potentials	385	HP_0008045
Hypepigmentation	Nevus flammeus	674.2	HP_0001052
Allergic rhinitis	Allergic rhinitis	463.2	HP_0003193
Other diseases of blood and blood-forming organs	IgM heavy chain paraproteinemia	176	HP_0020196
Ectopic anus*	Posteriorly placed anus	765.6	HP_0012890
Testicular hypofunction	Hypoplastic female external genitalia	215.1	HP_0012815
Infection of the skin	Blepharochalasis	660	HP_0010749
Neuroendocrine tumors	Macroprolactinoma	114	HP_0012342
Abnormalities of ear ossicles	Abnormality of the stapes	391.5	HP_0008628
Pulmonary insufficiency and acute respiratory distress syndrome	Respiratory failure	479	HP_0002878
Postoperative shock	Hypovolemia	C940	HP_0011106
Lesion of sciatic nerve	Progressive peripheral neuropathy	336.51	HP_0007133
Other congenital malformations of circulatory system	Single umbilical artery	781	HP_0001195
Secondary hypertension	Hypertension	401.6	HP_0000822
Interstitial pneumonitis	Lymphocytic interstitial pneumonia	481.43	HP_0006527
Pain	Abnormal peripheral nervous system morphology	809	HP_0000759
Juvenile rheumatoid arthritis [JRA/JIA]	Abnormal joint morphology	705.2	HP_0001367
Neonatal disorders of coagulation	Acute disseminated intravascular coagulation	860.1	HP_0011880
Other abnormal findings in urine	Myoglobinuria	832	HP_0002913
Infections	Enanthema	089	HP_0030249
Arterial dissection	Coronary artery dissection	438.4	HP_0006702
Articular cartilage disorder	Polyarticular arthritis	712.3	HP_0005764
Chondrodystrophy	Severe short-limb dwarfism	788.1	HP_0008890
Qualitative platelet defects	Impaired thromboxane A2 agonist-induced platelet aggregation	169.2	HP_0011894
Sequelae of cancer	Entrapment neuropathy of suprascapular nerve	132	HP_0012216
Hypoesthesia of skin*	Distal sensory impairment	351.2	HP_0002936
Acute myeloid leukemia	Sideroblastic anemia	121.12	HP_0001924
Myeloid	Myeloproliferative disorder	120.1	HP_0005547
Allergic and dietetic gastroenteritis and colitis	Eosinophilic liver infiltration	522.5	HP_0032021
Fasciopathy	Camptodactyly	722	HP_0012385
Speech disturbance	Scanning speech	356	HP_0002168
Diverticulum of esophagus	Esophageal diverticulum	510.6	HP_0100628
Abnormal digit morphology	Complete duplication of the middle phalanx of the 2nd finger	785.1	HP_0009952
Allergic and dietetic gastroenteritis and colitis	Abnormality of the gastrointestinal tract	522.5	HP_0011024
Congenital anomalies of limbs	Complete duplication of the distal phalanx of the 4th finger	785	HP_0009978
Chronic leukemia	Carcinoma	121.2	HP_0030731
Acute lymphoid leukemia	Single lineage myelodysplasia	121.11	HP_0012150
Disorders of lens (excluding cataracts)	Lentiglobus	372	HP_0011527
Behavioral and emotional disorders with onset usually occurring in childhood and adolescence	Eye poking	893	HP_0001483
Disorders of muscle	Frontalis muscle weakness	719	HP_0004661
Vesicoureteral reflux	Recurrent pyelonephritis	581.34	HP_0012787
Hemangioma	Neoplasm	139.61	HP_0002664
Other congenital malformations of circulatory system	Tetralogy of Fallot	781	HP_0001636
Aplasia/Hypoplasia of the external ear	Focal absence of the external ear	755.1	HP_0400003
Visual field defects	Arcuate scotoma	386.4	HP_0030530
Autoimmune disease	Decreased serum complement factor I	181	HP_0005356
Lipoma of intrathoracic organs	Retinal capillary hemangioma	139.52	HP_0009711
Abnormal involuntary movements	Chin myoclonus	325.1	HP_0012462
Heart failure	Abnormal left ventricular function	424	HP_0005162
Spinal osteochondrosis	Osteochondrosis	714.4	HP_0040188
Epilepsy	Focal aware autonomic seizure	330.1	HP_0032740
Coagulation defects, purpura and other hemorrhagic conditions	Fetal intracranial hemorrhage	168	HP_0034208
Myxedema*	Thyroid C cell hyperplasia	200.16	HP_0011781
Mesenteric lymphadenitis	Abnormality of blood and blood-forming tissues	177.11	HP_0001871
Other and unspecified dorsopathies	Occipital neuralgia	717	HP_0012318
Esotropia	Alternating hypertropia	381.3	HP_0500076
Congenital malformation of the skin	Hair-nail ectodermal dysplasia	790	HP_0007436
Myotonic muscular dystrophy	Sensory ataxic neuropathy	339.21	HP_0003434
Hypopigmentation	Achromatic retinal patches	674.1	HP_0009727
Hemoglobin E disease	Increased red cell hemolysis by shear stress	165.24	HP_0008269
Congenital anomalies of aorta	Right aortic arch with left descending aorta and left ductus arteriosus	778.4	HP_0011597
Symptoms and signs related to movement disorders	Progressive gait ataxia	325	HP_0007240
Short stature due to endocrine disorder	Delayed adrenarche	217.4	HP_0025453
Spasm of muscle	Exercise-induced muscle cramps	719.11	HP_0003710
Hemangioma	Glabellar hemangioma	139.61	HP_0001076
Hypoesthesia of skin*	Positive Romberg sign	351.2	HP_0002403
Heavy chain disease*	Non-Hodgkin lymphoma	180.34	HP_0012539
Other specified cognitive deficit	Long term memory impairment	329.4	HP_0033688
Sudden or transient visual loss	Arcuate scotoma	386.8	HP_0030530
Cancer (solid tumor, excluding BCC)	Pituitary prolactin cell adenoma	130	HP_0006767
Sudden or transient visual loss	Scotoma	386.8	HP_0000575
Hemo onc - by cell of origin	Monoclonal immunoglobulin M proteinemia	120	HP_0005508
Iodine-deficiency related thyroid disorders*	Nodular goiter	200.7	HP_0005994
Signs and symptoms involving emotional state	Aggressive behavior	308	HP_0000718
Merkel cell carcinoma	Neuroendocrine neoplasm	114.12	HP_0100634
Neuroendocrine tumors	Adrenal pheochromocytoma	114	HP_0006748
Congenital malformations of spine and bony thorax	Congenital kyphoscoliosis	787	HP_0008453
Cortical, lamellar, or zonular nonsenile cataract	Pseudophakia	371.4	HP_0500081
Benign neoplasm of the colon	Colorectal polyposis	136.41	HP_0200063
Hereditary motor and sensory neuropathy	Chronic sensorineural polyneuropathy	337.11	HP_0001301
Disorders of other cranial nerves	Unilateral facial palsy	334	HP_0012799
Myasthenia gravis and other myoneural disorders	Peripheral neuropathy	338	HP_0009830
Retinal vascular changes and occlusions	Spider hemangioma	374.3	HP_0012522
Chronic myloid leukemia	B-cell lymphoma	121.22	HP_0012191
Hyperventilation	Intermittent hyperpnea at rest	488.2	HP_0005941
Short stature	Decreased serum complement factor H	890.3	HP_0005369
Epilepsy	Focal non-convulsive status epilepticus with impairment of consciousness	330.1	HP_0032861
Malignant neoplasm of the penis	Olfactory esthesioneuroblastoma	107.1	HP_0030068
Congenital anomaly of middle ear	Abnormality of the malleus	755.7	HP_0011454
Gynecological benign neoplasms	Spinal hemangioblastoma	144	HP_0009713
Hemangioma and lymphangioma	Connective tissue nevi	139.6	HP_0100898
Epilepsy	Focal aware cognitive seizure with neglect	330.1	HP_0032848
Viral infections	Enanthema	089.2	HP_0030249
Benign neoplasm of the colon	Abnormality of the gastrointestinal tract	136.41	HP_0011024
Autoimmune disease	Chronic hemolytic anemia	181	HP_0004870
Other congenital malformations of circulatory system	Bilateral superior vena cava with bridging vein	781	HP_0011667
Disorders of mineral metabolism and mineral deficiencies	Hypocalcemic seizures	247	HP_0002199
Primary disorders of muscles	Cold-sensitive myotonia	339	HP_0012904
Other congenital malformations of circulatory system	Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	781	HP_0011655
Benign neoplasm of the heart	Tubulonodular pericallosal lipoma	137.51	HP_0034014
Infections	Cryptococcal meningitis	089	HP_0032160
Cortical, lamellar, or zonular nonsenile cataract	Age-related nuclear cataract	371.4	HP_0011142
Pure hyperglyceridemia	Lactescent serum	239.21	HP_0031028
Acute pyelonephritis	Tubulointerstitial nephritis	581.11	HP_0001970
Other diseases of pericardium	Cardiac tamponade	411	HP_0033415
Hypo-coagulability	Prolonged prothrombin time	168.1	HP_0008151
Hemarthrosis	Polyarticular arthritis	713.1	HP_0005764
Polyneuropathies	Polyarticular arthropathy	337	HP_0005195
Multiple fractures	Fractured distal phalanx of manual digit 5	T828	HP_0041179
Acute thyroiditis	Thyroid follicular adenoma	200.42	HP_0011774
Congenital malformation of ribs and sternum	Rib fusion	787.5	HP_0000902
Nodular sclerosis Hodgkin lymphoma	Hematological neoplasm	122.11	HP_0004377
Hereditary motor and sensory neuropathy	Chronic axonal neuropathy	337.11	HP_0007267
Congenital anomalies of eye	Inferior retinal coloboma	753	HP_0031614
Dysplasia of anus	Anal intraepithelial neoplasia	530.5	HP_0032187
Cryoglobulinemia*	Decreased serum complement factor I	180.4	HP_0005356
Adverse effect of other drug	Activating thyroid-stimulating hormone receptor defect	973	HP_0011790
Sleep disorders	Sleep apnea	333	HP_0010535
Malignant neoplasm of the digestive organs	Pleomorphic xanthoastrocytoma	101	HP_0033682
Other disorders of the intestines	Rectourethral fistula	532	HP_0025407
Stroke and transient cerebral ischemic attacks	Nasal regurgitation	431	HP_0011469
Contractures	Plantar flexion contractures	719.9	HP_0008112
Other specific joint derangements	Finger joint hypermobility	712	HP_0006094
Other deficiency anemia	Abnormality of blood and blood-forming tissues	160.4	HP_0001871
Hypermobility syndrome	Knee joint hypermobility	712.51	HP_0045086
Anaplastic large cell lymphoma	Single lineage myelodysplasia	122.25	HP_0012150
Other symptoms involving nervous & musculoskeletal system	Proximal hyperreflexia	350	HP_0007054
Abnormal electrocardiogram [ECG] [EKG]	Decreased QRS voltage	418.1	HP_0025077
Critical illness myopathy	Demyelinating motor neuropathy	340.1	HP_0007220
Benign neoplasm of meninges (Meningioma)	Midline central nervous system lipomas	148.2	HP_0006866
Epilepsy, recurrent seizures, convulsions	Generalized non-motor (absence) seizure	330	HP_0002121
Abnormal findings on diagnostic test of central nervous system	EEG with central sharp slow waves	349.1	HP_0011291
Congenital malformations of brain	Basal ganglia cysts	750	HP_0006799
Benign neoplasm of the liver*	Midline central nervous system lipomas	136.61	HP_0006866
Instability of joint	Anterior atlanto-occipital dislocation	712.6	HP_0005678
Other congenital malformations of urinary system	Congenital posterior urethral valve	775	HP_0010957
Diffuse goiter	Hyperthyroidism	200.21	HP_0000836
Abnormal skull shape*	Sagittal craniosynostosis	758.2	HP_0004442
Disorders of thyrocalcitonin secretion	Absent TSH response to thyrotrophin-releasing hormone stimulation test	200.5	HP_0033081
Congenital anomalies of uterus	Longitudinal vaginal septum	770.3	HP_0008740
Hypertensive chronic kidney disease	Isolated systolic hypertension	401.3	HP_0500106
Myasthenia gravis	Multiple mononeuropathy	338.1	HP_0032018
Hereditary and idiopathic neuropathy	Sensory neuropathy	337.1	HP_0000763
Congenital reduction deformities of brain	Microlissencephaly	750.13	HP_0045028
Decreased white blood cell count	Drug-induced agranulocytosis	170	HP_0012235
Congenital malformation of the skin	Hamartomatous polyposis	790	HP_0004390
Malignant neoplasm of the eye, brain and other parts of central nervous system	Localized neuroblastoma	109	HP_0006768
Benign neoplasm of orbit	Cerebral hamartoma	148.11	HP_0009731
Abnormal echoencephalogram	EEG with frontal focal spikes	349.11	HP_0012015
Lesion of median, ulnar, radial nerve	Motor axonal neuropathy	336.2	HP_0007002
Spinal muscular atrophy	Proximal upper limb amyotrophy	323.2	HP_0008948
Congenital anomalies of limbs	1-2 toe syndactyly	785	HP_0010711
Retained placenta or membranes	Placenta increta	949.1	HP_0025655
Hepatovirus	Chronic hepatitis due to cryptosporidium infection	054	HP_0200124
Other disorders of bone	Osteochondritis dissecans	727	HP_0010886
Malaise and fatigue	Postexertional malaise	807	HP_0030973
Congenital malformation of the skin	Bilateral single transverse palmar creases	790	HP_0007598
Tremor	Vocal tremor	324.4	HP_0012477
Lymphocytopenia	Absent circulating B cells	170.2	HP_0030252
Abnormal digit morphology	2-3 finger syndactyly	785.1	HP_0001233
Benign neoplasm of the endocrine glands	Spinal meningioma	149	HP_0100010
Congenital malformation of the skin	Combined hamartoma of the retinal pigment epithelium and retina	790	HP_0030510
Memory loss	Psychosis	329.1	HP_0000709
Spinal stenosis	Spinal stenosis with reduced interpedicular distance	715.4	HP_0005733
Histocytoces	Cutaneous T-cell lymphoma	120.3	HP_0012192
Inflammatory myopathy	Acute episodes of neuropathic symptoms	700.4	HP_0003489
Sleep disorders	Terminal insomnia	333	HP_0031356
Primary ovarian failure	Hypogonadotropic hypogonadism	214.1	HP_0000044
Trigeminal neuralgia	Episodic peripheral neuropathy	334.11	HP_0006949
Essential hypertension	Elevated mean arterial pressure	401.1	HP_0004972
Malignant neoplasm of the colon and rectum	Olfactory esthesioneuroblastoma	101.4	HP_0030068
Basophilia	Increased basophil count	171.5	HP_0031807
Cardiomyopathy	Apical hypertrophic cardiomyopathy	414	HP_0031992
Disorders of the middle ear	Chronic otitis media	391	HP_0000389
Syndactyly	Osseous finger syndactyly	785.12	HP_0010492
Dyspnea [Shortness of breath]	Intermittent hyperpnea at rest	488.1	HP_0005941
Convulsions	Focal aware tonic seizure	330.3	HP_0032722
Noninflammatory disorders of the cornea	Corneal degeneration	369	HP_0007705
Achondroplasia*	Rhizomelia	788.14	HP_0008905
Bacterial infections	Hyperparakeratosis	089.1	HP_0040009
Exostosis	Exostoses of the radius	724.5	HP_0003986
Keratoderma	Hyperkeratosis lenticularis perstans	680.2	HP_0007570
Hearing impairment	Bilateral sensorineural hearing impairment	396	HP_0008619
Monocyte	B Acute Lymphoblastic Leukemia	120.12	HP_0004812
Leiomyoma of uterus	Carcinoma	144.21	HP_0030731
Hypertrophic cardiomyopathy	Noncompaction cardiomyopathy	414.1	HP_0012817
Adverse effect of other drug	Abnormality of the thyroid gland	973	HP_0000820
Disorders of menstruation and other abnormal bleeding from female genital tract	Dysmenorrhea	626	HP_0100607
Reaction to severe stress, and adjustment disorders	Paroxysmal lethargy	290	HP_0011973
Benign neoplasm of the fallopian tube and uterine adnexa	Intracranial meningioma	144.4	HP_0100009
Chondropathies	Abnormal joint morphology	728	HP_0001367
Disorders of vestibular function	Nystagmus	394	HP_0000639
Malignant neoplasm of retina	Carcinoma	109.15	HP_0030731
Spinal muscular atrophy	Quadriceps muscle atrophy	323.2	HP_0009050
Benign neoplasm of the colon	Adenocarcinoma of the colon	136.41	HP_0040276
Lymphedema	Orthokeratotic hyperkeratosis	177.4	HP_0025080
Combined immunity deficiency	Severe combined immunodeficiency	179.3	HP_0004430
Allergy to insects	Bacteria allergy	840.2	HP_0410322
Skin symptoms	Chilblains	679	HP_0009710
Paralysis of vocal cords and larynx	Bilateral vocal cord paralysis	472.1	HP_0012820
Vaginal enterocele, congenital or acquired	Vaginal hernia	618.6	HP_0100672
Malignant neoplasm of the heart, mediastinum, thymus, and pleura	Inferior mediastinal mass	102.5	HP_0033826
Congenital malformations of eyelid	Cicatricial entropion	754.1	HP_0031737
Congenital malformations of abdominal wall	Gastroschisis	789.2	HP_0001543
Qualitative platelet defects	Decreased platelet glycoprotein IIb-IIIa	169.2	HP_0001975
Corneal scars and opacities	Opacification of the corneal stroma	369.1	HP_0007759
Gingivitis	Gingivitis	504.1	HP_0000230
Subacute thyroiditis	Thyroglossal cyst	200.43	HP_0010518
Congenital anomalies of eyelids, lacrimal system, and orbit	Epiblepharon	754	HP_0011225
Vesicoureteral reflux	Low-grade vesicoureteral reflux	581.34	HP_0033733
Retinal vascular changes and occlusions	Central retinal vein occlusion	374.3	HP_0020166
Pheochromocytoma (including adrenal gland neoplasms)	Neoplasm of the adrenal gland	114.6	HP_0100631
Central pain syndrome	Hand pain	809.22	HP_0046505
Stroke and transient cerebral ischemic attacks	Oral-pharyngeal dysphagia	431	HP_0200136
Inflammation of the eye	Decreased serum complement C8	367	HP_0004434
Female infertility	Female infertility	629	HP_0008222
Other arthropathies	Complement deficiency	707	HP_0004431
Goiter	Thyroid C cell hyperplasia	200.2	HP_0011781
Osteoporosis and low bone density	Osteolytic defects of the distal phalanges of the toes	726	HP_0010189
Coronary artery dissection	Gastric arteriovenous malformation	438.43	HP_0031341
Fasciopathy	Flexion contracture of digit	722	HP_0030044
Mycobacterium tuberculosis	Acute otitis media	005.1	HP_0000371
Epidermal thickening	Hyperparakeratosis	680	HP_0040009
Diabetes mellitus	Transient neonatal diabetes mellitus	202	HP_0008255
Other diseases of blood and blood-forming organs	Polyclonal elevation of circulating IgG	176	HP_0032288
Interstitial pulmonary diseases	Nodular-perilymphatic pattern on pulmonary HRCT	481	HP_0025398
Macroglobulinemia [Waldenstrom macroglobulinemia]	Chronic leukemia	180.33	HP_0005558
Cardiac arrhythmia and conduction disorders	Antidromic atrioventricular reentrant tachycardia	416	HP_0031674
Fracture of femur	Bone fracture	T820.1	HP_0020110
Nausea	Nausea and vomiting	528.1	HP_0002017
Myopia	Mild hypermetropia	387.2	HP_0031728
Convulsions	Focal impaired awareness perseverative automatism seizure	330.3	HP_0032922
Other disorders of the kidney and ureters	Unilateral renal hypoplasia	586	HP_0012583
Spina bifida	Parietal encephalocele	751.1	HP_0011816
Epilepsy	Focal impaired awareness emotional seizure with agitation	330.1	HP_0032753
Benign neoplasm of the skin	Painful subcutaneous lipomas	138	HP_0007596
Disturbances of cerebral status of newborn	Bilateral asymmetric neonatal sequential seizure	870	HP_0032837
Volume depletion	Abnormal magnesium concentration	256.7	HP_0004921
Cafe au lait spots*	Hemangioma	674.21	HP_0001028
Palmar fascial fibromatosis [Dupuytren]	Joint contracture of the 3rd finger	722.4	HP_0009319
Dislocation of jaw	Congenital bilateral hip dislocation	T830.1	HP_0008780
Pain	Foot pain	809	HP_0025238
Acquired clawhand	Polyarticular arthropathy	710.12	HP_0005195
Epilepsy	Focal impaired awareness motor seizure with negative myoclonus	330.1	HP_0032858
Rheumatoid arthritis and other inflammatory polyarthropathies	Desquamative interstitial pneumonitis	705	HP_0005942
Arteriovenous malformation	Colonic arteriovenous malformation	441	HP_0031345
Benign neoplasm of cranial nerve	Subependymal nodules	148.5	HP_0009716
Complications of trauma	Restricted neck movement due to contractures	T900	HP_0005997
Cyst of prostate	Abnormality of the genitourinary system	602.2	HP_0000119
Myxedema*	Multinodular goiter	200.16	HP_0005987
Epilepsy, recurrent seizures, convulsions	Focal impaired awareness head nodding automatism seizure	330	HP_0032926
Congenital anomalies of limbs	Clinodactyly	785	HP_0030084
Short stature	Rhizomelia	890.3	HP_0008905
Partial epilepsy	Focal impaired awareness head nodding automatism seizure	330.12	HP_0032926
Disorders of the circulation of the cerebrospinal fluid	Normal pressure hydrocephalus	344	HP_0002343
Macrotia	Large fleshy ears	755.2	HP_0002265
Shared psychotic disorder	Psychotic mentation	287.41	HP_0001345
Abnormal thyroid function studies	Abnormal T3/T4 ratio	200.9	HP_0012558
Aneurysm or ectasia	Rectal arteriovenous malformation	438	HP_0031346
Phlebitis and thrombophlebitis	Decreased liver function	440.13	HP_0001410
Nevus, non-neoplastic	Atypical nevus	138.1	HP_0001062
Dislocation	Arthropathy	T830	HP_0003040
Malignant neoplasm of the digestive organs	Multiple biliary hamartomas	101	HP_0025519
Other symptoms and disorders of the respiratory system	Chronic hemolytic anemia	499	HP_0004870
Abdominal pain	Abdominal cramps	527	HP_0032155
Chronic obstructive pulmonary disease [COPD]	Bronchitis	474	HP_0012387
Cancer (solid tumor, excluding BCC)	Papillary renal cell carcinoma type 2	130	HP_0006732
Complications of trauma	Congenital foot contraction deformities	T900	HP_0005853
Hypertrophy of breast (Gynecomastia)	Abnormality of the genitourinary system	612.2	HP_0000119
Mononeuritis of upper limb	Neuritis	336.4	HP_0031002
Congenital malformations of iris	Macular coloboma	753.5	HP_0001116
Malaise and fatigue	Episodic fatigue	807	HP_0012431
Other abnormal immunological findings in serum	Polyclonal elevation of circulating IgG	826	HP_0032288
Dementias and cerebral degeneration	Pallidal degeneration	328	HP_0007132
Benign neoplasm of colon, rectum, anus and anal canal	Neoplasm	136.4	HP_0002664
Postinfectious hypothyroidism*	Ectopic thyroid	200.15	HP_0100028
Disorders of mitochondrial metabolism	Decreased activity of mitochondrial complex III	246	HP_0011924
Diaphragmatic hernia [Hiatal hernia]	Vaginal hernia	520.2	HP_0100672
Acute kidney failure with acute cortical necrosis	Acute kidney injury	582.2	HP_0001919
Abnormal echoencephalogram	Focal EEG discharges with secondary generalization	349.11	HP_0011188
Congenital viral diseases	History of congenital CMV infection	856.1	HP_0033624
Chronic thyroiditis	Thyroid hyperplasia	200.44	HP_0008249
Acute myeloid leukemia	Juvenile myelomonocytic leukemia	121.12	HP_0012209
Extrapyramidal and movement disorders	Focal myoclonic seizure	324	HP_0011166
Glaucoma	Primary congenital glaucoma	375.1	HP_0008007
Age-related nuclear cataract	Lenticonus	371.31	HP_0001142
Other abnormal findings in urine	Medication crystalluria	832	HP_0033068
Treponema	Hyperkeratosis lenticularis perstans	019	HP_0007570
Lambert-Eaton syndrome	Peripheral neuropathy	338.3	HP_0009830
Other disorders of the brain and CNS	Porencephalic cyst	347	HP_0002132
Other congenital anomalies of nervous system	Craniorachischisis	752	HP_0030770
