narrower,phecodeX_label,hpo_label,phecodeX_code,hpo_code
M,Pure hyperglyceridemia,Lactescent serum,239.21,HP_0031028
0,Acute pyelonephritis,Tubulointerstitial nephritis,581.11,HP_0001970
H,Other diseases of pericardium,Cardiac tamponade,411,HP_0033415
H,Hypo-coagulability,Prolonged prothrombin time,168.1,HP_0008151
0,Hemarthrosis,Polyarticular arthritis,713.1,HP_0005764
0,Polyneuropathies,Polyarticular arthropathy,337,HP_0005195
0,Multiple fractures,Fractured distal phalanx of manual digit 5,T828,HP_0041179
0,Acute thyroiditis,Thyroid follicular adenoma,200.42,HP_0011774
H,Congenital malformation of ribs and sternum,Rib fusion,787.5,HP_0000902
P,Nodular sclerosis Hodgkin lymphoma,Hematological neoplasm,122.11,HP_0004377
P,Hereditary motor and sensory neuropathy,Chronic axonal neuropathy,337.11,HP_0007267
H,Congenital anomalies of eye,Inferior retinal coloboma,753,HP_0031614
H,Dysplasia of anus,Anal intraepithelial neoplasia,530.5,HP_0032187
0,Cryoglobulinemia*,Decreased serum complement factor I,180.4,HP_0005356
0,Adverse effect of other drug,Activating thyroid-stimulating hormone receptor defect,973,HP_0011790
H,Sleep disorders,Sleep apnea,333,HP_0010535
0,Malignant neoplasm of the digestive organs,Pleomorphic xanthoastrocytoma,101,HP_0033682
H,Other disorders of the intestines,Rectourethral fistula,532,HP_0025407
0,Stroke and transient cerebral ischemic attacks,Nasal regurgitation,431,HP_0011469
H,Contractures,Plantar flexion contractures,719.9,HP_0008112
H,Other specific joint derangements,Finger joint hypermobility,712,HP_0006094
P,Other deficiency anemia,Abnormality of blood and blood-forming tissues,160.4,HP_0001871
H,Hypermobility syndrome,Knee joint hypermobility,712.51,HP_0045086
0,Anaplastic large cell lymphoma,Single lineage myelodysplasia,122.25,HP_0012150
H,Other symptoms involving nervous & musculoskeletal system,Proximal hyperreflexia,350,HP_0007054
H,Abnormal electrocardiogram [ECG] [EKG],Decreased QRS voltage,418.1,HP_0025077
0,Critical illness myopathy,Demyelinating motor neuropathy,340.1,HP_0007220
0,Benign neoplasm of meninges (Meningioma),Midline central nervous system lipomas,148.2,HP_0006866
H,"Epilepsy, recurrent seizures, convulsions",Generalized non-motor (absence) seizure,330,HP_0002121
H,Abnormal findings on diagnostic test of central nervous system,EEG with central sharp slow waves,349.1,HP_0011291
H,Congenital malformations of brain,Basal ganglia cysts,750,HP_0006799
0,Benign neoplasm of the liver*,Midline central nervous system lipomas,136.61,HP_0006866
H,Instability of joint,Anterior atlanto-occipital dislocation,712.6,HP_0005678
H,Other congenital malformations of urinary system,Congenital posterior urethral valve,775,HP_0010957
0,Diffuse goiter,Hyperthyroidism,200.21,HP_0000836
H,Abnormal skull shape*,Sagittal craniosynostosis,758.2,HP_0004442
0,Disorders of thyrocalcitonin secretion,Absent TSH response to thyrotrophin-releasing hormone stimulation test,200.5,HP_0033081
H,Congenital anomalies of uterus,Longitudinal vaginal septum,770.3,HP_0008740
0,Hypertensive chronic kidney disease,Isolated systolic hypertension,401.3,HP_0500106
0,Myasthenia gravis,Multiple mononeuropathy,338.1,HP_0032018
H,Hereditary and idiopathic neuropathy,Sensory neuropathy,337.1,HP_0000763
H,Congenital reduction deformities of brain,Microlissencephaly,750.13,HP_0045028
H,Decreased white blood cell count,Drug-induced agranulocytosis,170,HP_0012235
0,Congenital malformation of the skin,Hamartomatous polyposis,790,HP_0004390
0,"Malignant neoplasm of the eye, brain and other parts of central nervous system",Localized neuroblastoma,109,HP_0006768
0,Benign neoplasm of orbit,Cerebral hamartoma,148.11,HP_0009731
H,Abnormal echoencephalogram,EEG with frontal focal spikes,349.11,HP_0012015
0,"Lesion of median, ulnar, radial nerve",Motor axonal neuropathy,336.2,HP_0007002
0,Spinal muscular atrophy,Proximal upper limb amyotrophy,323.2,HP_0008948
H,Congenital anomalies of limbs,1-2 toe syndactyly,785,HP_0010711
H,Retained placenta or membranes,Placenta increta,949.1,HP_0025655
0,Hepatovirus,Chronic hepatitis due to cryptosporidium infection,054,HP_0200124
H,Other disorders of bone,Osteochondritis dissecans,727,HP_0010886
H,Malaise and fatigue,Postexertional malaise,807,HP_0030973
H,Congenital malformation of the skin,Bilateral single transverse palmar creases,790,HP_0007598
M,Tremor,Vocal tremor,324.4,HP_0012477
H,Lymphocytopenia,Absent circulating B cells,170.2,HP_0030252
H,Abnormal digit morphology,2-3 finger syndactyly,785.1,HP_0001233
0,Benign neoplasm of the endocrine glands,Spinal meningioma,149,HP_0100010
0,Congenital malformation of the skin,Combined hamartoma of the retinal pigment epithelium and retina,790,HP_0030510
0,Memory loss,Psychosis,329.1,HP_0000709
P,Spinal stenosis,Spinal stenosis with reduced interpedicular distance,715.4,HP_0005733
0,Histocytoces,Cutaneous T-cell lymphoma,120.3,HP_0012192
0,Inflammatory myopathy,Acute episodes of neuropathic symptoms,700.4,HP_0003489
H,Sleep disorders,Terminal insomnia,333,HP_0031356
0,Primary ovarian failure,Hypogonadotropic hypogonadism,214.1,HP_0000044
0,Trigeminal neuralgia,Episodic peripheral neuropathy,334.11,HP_0006949
P,Essential hypertension,Elevated mean arterial pressure,401.1,HP_0004972
0,Malignant neoplasm of the colon and rectum,Olfactory esthesioneuroblastoma,101.4,HP_0030068
M,Basophilia,Increased basophil count,171.5,HP_0031807
H,Cardiomyopathy,Apical hypertrophic cardiomyopathy,414,HP_0031992
H,Disorders of the middle ear,Chronic otitis media,391,HP_0000389
M,Syndactyly,Osseous finger syndactyly,785.12,HP_0010492
0,Dyspnea [Shortness of breath],Intermittent hyperpnea at rest,488.1,HP_0005941
H,Convulsions,Focal aware tonic seizure,330.3,HP_0032722
H,Noninflammatory disorders of the cornea,Corneal degeneration,369,HP_0007705
0,Achondroplasia*,Rhizomelia,788.14,HP_0008905
0,Bacterial infections,Hyperparakeratosis,089.1,HP_0040009
H,Exostosis,Exostoses of the radius,724.5,HP_0003986
0,Keratoderma,Hyperkeratosis lenticularis perstans,680.2,HP_0007570
H,Hearing impairment,Bilateral sensorineural hearing impairment,396,HP_0008619
0,Monocyte,B Acute Lymphoblastic Leukemia,120.12,HP_0004812
0,Leiomyoma of uterus,Carcinoma,144.21,HP_0030731
0,Hypertrophic cardiomyopathy,Noncompaction cardiomyopathy,414.1,HP_0012817
0,Adverse effect of other drug,Abnormality of the thyroid gland,973,HP_0000820
M,Disorders of menstruation and other abnormal bleeding from female genital tract,Dysmenorrhea,626,HP_0100607
0,"Reaction to severe stress, and adjustment disorders",Paroxysmal lethargy,290,HP_0011973
0,Benign neoplasm of the fallopian tube and uterine adnexa,Intracranial meningioma,144.4,HP_0100009
0,Chondropathies,Abnormal joint morphology,728,HP_0001367
H,Disorders of vestibular function,Nystagmus,394,HP_0000639
0,Malignant neoplasm of retina,Carcinoma,109.15,HP_0030731
0,Spinal muscular atrophy,Quadriceps muscle atrophy,323.2,HP_0009050
0,Benign neoplasm of the colon,Adenocarcinoma of the colon,136.41,HP_0040276
0,Lymphedema,Orthokeratotic hyperkeratosis,177.4,HP_0025080
M,Combined immunity deficiency,Severe combined immunodeficiency,179.3,HP_0004430
0,Allergy to insects,Bacteria allergy,840.2,HP_0410322
H,Skin symptoms,Chilblains,679,HP_0009710
M,Paralysis of vocal cords and larynx,Bilateral vocal cord paralysis,472.1,HP_0012820
,Central origin vertigo,Upbeat nystagmus,394.23,HP_0011477
,Congenital hypertonia*,Spastic paraparetic gait,872.11,HP_0031958
,Congenital osteodystrophies,Multiple skeletal anomalies,788,HP_0005775
,Aplasia/Hypoplasia of the brain,Olivopontocerebellar hypoplasia,750.1,HP_0006955
,Abnormal findings on diagnostic test of central nervous system,Continuous spike and waves during slow sleep,349.1,HP_0031491
,Complications of trauma,Distal arthrogryposis,T900,HP_0005684
,Cardiac arrhythmia and conduction disorders,Ventricular flutter,416,HP_0011841
,Benign neoplasm of the thoracic and respiratory organs,Neoplasm,137,HP_0002664
,Diffuse diseases of connective tissue,Heliotrope rash,700,HP_0040324
,Male sexual dysfuction,Retrograde ejaculation,605,HP_0012877
,Parkinsonism,Symmetric lesions of the basal ganglia,324.1,HP_0007039
,"Dentofacial anomalies, including malocclusion",Asymmetry of the maxilla,733,HP_0010755
,Acquired deformities of limbs,Flexion contracture of the hallux,710,HP_0010212
,Benign neoplasm of the oropharynx,Cerebral germinoma,135.2,HP_0100312
,Other disorders of liver,Abnormality of the liver,546,HP_0001392
,Syndactyly,Finger syndactyly,785.12,HP_0006101
,Benign neoplasm of the endocrine glands,Pituitary spindle cell oncocytoma,149,HP_0011764
,Retinal vascular changes and occlusions,Retinal arteritis,374.3,HP_0008030
,Bronchopneumonia,Acute aspiration pneumonia,468.8,HP_0011952
,Disorder of nervous system,EEG with spike-wave complexes (2.5-3.5 Hz),349,HP_0010848
,Syndactyly,Distal/middle symphalangism of 3rd finger,785.12,HP_0009426
,Complications of labor and delivery NEC,Complete breech presentation,949,HP_0010860
,Inflammation of the eye,Juvenile epithelial corneal dystrophy,367,HP_0007755
,Thyroiditis,Thyroid lymphangiectasia,200.4,HP_0008229
,Other psychoactive substance dependence,Excessive daytime somnolence,280.82,HP_0001262
,Aphakia,Dense posterior cortical cataract,372.1,HP_0007948
,Infections,Distal peripheral sensory neuropathy,089,HP_0007067
,Complex regional pain syndrome,Demyelinating peripheral neuropathy,343.3,HP_0007108
,Convulsions of newborn,Neonatal bilateral symmetric tonic seizure,870.1,HP_0032828
,Acute lower respiratory infection,Recurrent viral pneumonia,460.2,HP_0033214
,Benign neoplasm of orbit,Cerebral germinoma,148.11,HP_0100312
,Pleural effusion,Pleuritis,483,HP_0002102
,Congenital deformity of knee,Genu valgum,785.3,HP_0002857
,Arterial tortuosity syndrome*,Generalized arterial tortuosity,781.6,HP_0004955
,Abnormal involuntary movements,Tongue tremor,325.1,HP_0031947
,Dislocation of finger,Dislocated radial head,T830.5,HP_0003083
,Essential hypertension,Increased blood pressure,401.1,HP_0032263
,Other symptoms involving nervous & musculoskeletal system,Areflexia of upper limbs,350,HP_0012046
,Acute chest syndrome,Cold-induced hemolysis,499.1,HP_0031484
,Anaplastic large cell lymphoma,T-cell acute lymphoblastic leukemias,122.25,HP_0006727
,Convulsions,Focal impaired awareness clonic seizure,330.3,HP_0032725
,Allergy,Bacteria allergy,840,HP_0410322
,Posterior subcapsular polar cataract,Microspherophakia,371.22,HP_0030961
,Congenital non-neoplastic nevus,Cavernous hemangioma,790.41,HP_0001048
,Disorders of mineral metabolism and mineral deficiencies,Hypophosphatemic rickets,247,HP_0004912
,Acute pain,Gastrocnemius myalgia,809.1,HP_0031921
,Bacterial infections,Hyperkeratotic papule,089.1,HP_0045059
,Follicular lymphoma,T-cell lymphoma/leukemia,122.21,HP_0005517
,Lipoma,Multiple meningiomata,139.5,HP_0033714
,Myasthenia gravis,Motor axonal neuropathy,338.1,HP_0007002
,Paraganglioma,Hypothalamic hamartoma,114.5,HP_0002444
,Renal dysplasia,Multicystic kidney dysplasia,773.2,HP_0000003
,"Primary osteoarthritis of knee, lower leg",Osteoarthritis,708.12,HP_0002758
,Ventricular tachycardia,Paroxysmal ventricular tachycardia,416.12,HP_0004751
,Inflammatory diseases of prostate,Abnormality of the genitourinary system,601,HP_0000119
,Infections,Cardiomyopathy,089,HP_0001638
,Disorders of adrenal glands,Ectopic adrenal gland,211,HP_0011742
,Other symptoms involving nervous & musculoskeletal system,Hyperreflexia,350,HP_0001347
,Contracture of tendon,Contracture of proximal interphalangeal joints of 2nd-5th fingers,719.91,HP_0030675
,"Benign neoplasm of the eye, brain and other parts of central nervous system",Neoplasm,148,HP_0002664
,Anodontia,Agenesis of incisor,500.1,HP_0006485
,Abnormal digit morphology,Triphalangeal thumb,785.1,HP_0001199
,Spina bifida,Open neural tube defect,751.1,HP_0034237
,Nerve root and plexus disorders,Entrapment neuropathy of suprascapular nerve,335,HP_0012216
,Myeloid,Hodgkin lymphoma,120.1,HP_0012189
,Alzheimer's disease,Granulovacuolar degeneration,328.1,HP_0002528
,Instability of joint,Abnormal joint morphology,712.6,HP_0001367
,Secondary parkinsonism,Parkinsonism with favorable response to dopaminergic medication,324.12,HP_0002548
,Aneurysm of iliac or artery of lower extremity,Iliac artery aneurysm,438.2,HP_4000067
,Acute respiratory infection,Recurrent lower respiratory tract infections,460,HP_0002783
,Cardiomyopathy,Right ventricular cardiomyopathy,414,HP_0011663
,Malignant neoplasm of the gums,Subependymal giant-cell astrocytoma,100.13,HP_0009718
