"phecode","phecode_string","LB_cat"
210.4,"Alcohol-induced pseudo-Cushing's syndrome*","Endo"
243,"Mucopolysaccharidosis","Metab"
243.1,"Hurler's syndrome [Mucopolysaccharidosis Ih]*","Metab"
247,"Disorders of mineral metabolism and mineral deficiencies","Metab"
247.4,"Disorders of magnesium metabolism","Metab"
247.5,"Disorders of calcium metabolism","Metab"
247.6,"Hungry bone syndrome","Metab"
802,"Throat pain","Signs/Symptoms"
251,"Disorders of bilirubin excretion","Metab"
236,"Overweight and obesity","Metab"
179,"Immunodeficiencies","Blood"
249,"Amyloidosis","Metab"
248.1,"Alpha-1-antitrypsin deficiency","Metab"
256,"Disorders of fluid, electrolyte and acid-base balance","Metab"
177,"Abnormality of the lymph nodes","Blood"
168.1,"Hypo-coagulability","Blood"
168.11,"Hereditary hypo-coagulability","Blood"
176,"Other diseases of blood and blood-forming organs","Blood"
139.54,"Testicular limpoma","Neoplasms"
112.1,"Mesothelioma*","Neoplasms"
"N293","Symptoms involving head and neck",""
280.5,"Cocaine related disorders","Mental"
287,"Psychotic disorder","Mental"
280.8,"Other psychoactive substance related disorders","Mental"
280.7,"Hallucinogen related disorders","Mental"
297,"Gender identity disorder","Mental"
331,"Headache","Neuro"
293,"Eating disorders","Mental"
325.11,"Abnormal head movements*","Neuro"
832.5,"Acetonuria","Signs/Symptoms"
320,"Meningitis","Neuro"
321,"Encephalitis, myelitis and encephalomyelitis","Neuro"
322,"Other CNS infection","Neuro"
346.4,"Brain death","Neuro"
"N","","Neonate"
327,"","Neuro"
114.2,"Benign neuroendocrine tumors","Neoplasms"
326,"Demyelinating diseases of the central nervous system","Neuro"
512.1,"Dysphagia, oropharyngeal phase","GI"
326.2,"Neuromyelitis optica","Neuro"
552.11,"Primary sclerosing cholangitis*","GI"
249.2,"Light chain (AL) amyloidosis*","Metab"
330,"Epilepsy, recurrent seizures, convulsions","Neuro"
904.11,"Threatened abortion","Preg"
333.7,"Narcolepsy","Neuro"
330.15,"Juvenile myoclonic epilepsy*","Neuro"
349,"Disorder of nervous system","Neuro"
121.23,"Chronic myelomonocytic (monocytic) leukemia","Neoplasms"
336,"Mononeuropathies","Neuro"
334,"Disorders of other cranial nerves","Neuro"
335,"Nerve root and plexus disorders","Neuro"
345,"Encephalopathy","Neuro"
337.2,"Inflammatory polyneuropathy","Neuro"
346,"Brain damage and brain death","Neuro"
347,"Other disorders of the brain and CNS","Neuro"
391.6,"Cholesteatoma of middle ear","Hearing"
373,"Noninflammatory disorders of choroid","Eye"
369,"Noninflammatory disorders of the cornea","Eye"
375,"Abnormal intraocular pressure","Eye"
371,"Cataract","Eye"
387,"Disorders of refraction and accommodation","Eye"
386,"Visual disturbances","Eye"
379,"Infection of the eye","Eye"
367,"Inflammation of the eye","Eye"
360,"Inflammation of eyelids","Eye"
366,"Noninflammatory disorders of conjunctiva","Eye"
361,"Disorders of eyelid function","Eye"
363,"Disorders of lacrimal system","Eye"
380,"Disorders of optic nerve and visual pathways","Eye"
380.3,"Optic atrophy","Eye"
381,"Strabismus","Eye"
390,"Disorders of external ear","Hearing"
391,"Disorders of the middle ear","Hearing"
393,"Mastoiditis and related conditions","Hearing"
397.2,"Noise effects on inner ear","Hearing"
395,"Other diseases of inner ear","Hearing"
395.2,"Labyrinthine fistula","Hearing"
394.23,"Central origin vertigo","Hearing"
394.22,"Vestibular neuronitis","Hearing"
398,"Other disorders of ear","Hearing"
468.13,"Pneumonia due to parainfluenza virus","Resp"
164.61,"Anemia in chronic kidney disease","Blood"
401,"Hypertension","Cardio"
411,"Other diseases of pericardium","Cardio"
406,"Chronic pulmonary heart disease","Cardio"
419,"Presence of cardiac device","Cardio"
414,"Cardiomyopathy","Cardio"
417.1,"Palpitations","Cardio"
416,"Cardiac arrhythmia and conduction disorders","Cardio"
416.1,"Paroxysmal tachycardia","Cardio"
416.3,"Ventricular fibrillation and flutter","Cardio"
424,"Heart failure","Cardio"
430,"Nontraumatic Intracranial hemorrhage","Cardio"
433,"Other cerebrovascular disease","Cardio"
433.4,"Moyamoya disease","Cardio"
436,"Atherosclerosis [ASCVD]","Cardio"
437,"Vascular insufficiency of intestine","Cardio"
438,"Aneurysm or ectasia","Cardio"
448,"Peripheral vascular disease","Cardio"
530.4,"Stenosis of anus and rectum","GI"
442,"Disease of capillaries","Cardio"
438.43,"Coronary artery dissection","Cardio"
444,"Venous insufficiency","Cardio"
439,"Hemorrhoids","Cardio"
524,"Functional intestinal disorder","GI"
524.2,"Neurogenic bowel","GI"
465,"Pharyngitis","Resp"
471,"Other disorders of nose and nasal sinuses","Resp"
470,"Acute bronchiolitis","Resp"
472,"Diseases of vocal cords and larynx, not elsewhere classified","Resp"
473,"Other diseases of upper respiratory tract","Resp"
471.5,"Nasal polyps","Resp"
474,"Chronic obstructive pulmonary disease [COPD]","Resp"
475,"Asthma","Resp"
476,"Bronchiectasis","Resp"
477,"Inhalation lung injury","Resp"
479,"Pulmonary insufficiency and acute respiratory distress syndrome","Resp"
481.1,"Pulmonary eosinophilia","Resp"
482,"Suppurative and necrotic conditions of the lower respiratory tract","Resp"
484,"Pneumothorax and air leak","Resp"
463.5,"Postnasal drip","Resp"
486.41,"Hiccough","Resp"
296.1,"Paranoid personality disorder","Mental"
296.2,"Schizoid personality disorder","Mental"
286,"Mood [affective] disorders","Mental"
232.5,"Vitamin E deficiency*","Metab"
520,"Hernia","GI"
523,"Diverticular disease [Bowel diverticulosis]","GI"
503,"Diseases of pulp and periapical tissues","GI"
504,"Periodontal diseases","GI"
733,"Dentofacial anomalies, including malocclusion","Musc/Skel"
770.5,"Congenital malformations of vagina","Cong"
734,"Diseases of the jaws","Musc/Skel"
770.33,"Bicornate uterus","Cong"
507.12,"Cancrum oris","GI"
507.3,"Oral leukoplakia","GI"
766.1,"Biliary atresia","Cong"
765.7,"Persistent cloaca*","Cong"
540,"Hepatitis","GI"
751.2,"Craniorachischisis","Cong"
750.14,"Septo-optic dysplasia of brain*","Cong"
514.3,"Ileus","GI"
530.1,"Anal fissure","GI"
537,"Abnormality of the peritoneum","GI"
559,"Other disease of digestive system, NOS","GI"
554.3,"Exocrine pancreatic insufficiency*","GI"
525.2,"Pancreatic steatorrhea","GI"
555,"Ascites","GI"
546,"Other disorders of liver","GI"
550.1,"Gallstones [Cholelithiasis]","GI"
912.2,"Thrombotic conditions of pregnancy","Preg"
557,"Gastrointestinal hemorrhage","GI"
556,"Other symptoms involving the digestive system and abdomen","GI"
580,"Glomerular diseases","Genitourinary"
585,"Kidney stone disease","Genitourinary"
586,"Other disorders of the kidney and ureters","Genitourinary"
588,"Disorders and findings from impaired renal function","Genitourinary"
589,"Pathological lesions of kidney","Genitourinary"
591,"Urinary tract infection","Genitourinary"
592,"Cystitis and urethritis","Genitourinary"
593,"Hematuria","Genitourinary"
596,"Other disorders of bladder","Genitourinary"
597,"Other disorders of urethra and urinary tract","Genitourinary"
"C935","Urinary complications, not elsewhere classified","Complications of care"
598,"Abnormal findings on radiological and other examination of genitourinary organs","Genitourinary"
599,"Other symptoms/disorders or the urinary system","Genitourinary"
600,"Benign prostatic hyperplasia","Genitourinary"
601,"Inflammatory diseases of prostate","Genitourinary"
602,"Other disorders of prostate","Genitourinary"
603,"Disorders and symptoms of testis","Genitourinary"
604,"Disorders of penis","Genitourinary"
605,"Male sexual dysfuction","Genitourinary"
608,"Other disorders of male genital organs","Genitourinary"
610,"Benign mammary dysplasias","Genitourinary"
614,"Inflammatory diseases of female pelvic organs","Genitourinary"
615,"Endometriosis","Genitourinary"
618.1,"Prolapse of vaginal walls","Genitourinary"
617,"Fistula involving female genital tract","Genitourinary"
618,"Genital prolapse","Genitourinary"
619,"Noninflammatory female genital disorders","Genitourinary"
620,"Dysplasia of female genital organs","Genitourinary"
621,"Endometrial hyperplasia","Genitourinary"
622,"Polyp of female genital organs","Genitourinary"
623,"Hypertrophy of female genital organs","Genitourinary"
624,"Symptoms involving female genital tract","Genitourinary"
625,"Pain and other symptoms associated with female genital organs","Genitourinary"
626,"Disorders of menstruation and other abnormal bleeding from female genital tract","Genitourinary"
627,"Menopausal and postmenopausal disorders","Genitourinary"
628,"Ovarian cyst","Genitourinary"
901,"Abnormal products of conception","Preg"
165.5,"Hereditary persistence of fetal hemoglobin [HPFH]*","Blood"
908.2,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium","Preg"
908,"Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium","Preg"
916,"Infections and carrier state in pregnancy","Preg"
911,"Excessive vomiting in pregnancy","Preg"
909,"Diabetes mellitus or abnormal glucose in pregnancy, childbirth, and the puerperium","Preg"
910,"Obesity or excessive weight gain in pregnancy","Preg"
938,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium","Preg"
937,"Abnormal findings on antenatal screening of mother","Preg"
930,"Maternal care for abnormality of pelvic organs","Preg"
932,"Known or suspected fetal abnormality affecting management of mother","Preg"
935,"Rhesus isoimmunization affecting management of mother","Preg"
874,"Neonatal obstruction of nasolacrimal duct","Neonate"
920,"Problems associated with amniotic cavity and membranes","Preg"
499.1,"Acute chest syndrome","Resp"
941,"Abnormal forces of labor","Preg"
947,"Umbilical cord complications","Preg"
240.5,"Disorders of urea cycle metabolism","Metab"
240.11,"Hyperphenylalaninemias","Metab"
949,"Complications of labor and delivery NEC","Preg"
240.4,"Disturbances of sulphur-bearing amino-acid metabolism","Metab"
952,"Other complications of the puerperium NEC","Preg"
954,"Other disorders of the breast associated with childbirth and disorders of lactation","Preg"
240.3,"Disorders of fatty-acid metabolism","Metab"
666,"Urticaria","Derm"
670,"Seborrheic keratosis","Derm"
674,"Disorders of pigmentation","Derm"
675,"Atrophic conditions of skin","Derm"
676,"Hypertrophic conditions of skin","Derm"
678,"Other skin and subcutaneous disorders","Derm"
680,"Epidermal thickening","Derm"
681,"Localized swelling, mass and lump of skin and subcutaneous tissue","Derm"
682,"Other follicular disorders","Derm"
684.13,"Scarring hair loss*","Derm"
683,"Nail disorders","Derm"
684,"Diseases of hair and hair follicles","Derm"
685,"Disorders of sweat glands","Derm"
686,"Chronic ulcer of skin","Derm"
700,"Diffuse diseases of connective tissue","Musc/Skel"
701,"Osteomyelitis, periostitis, and other infections involving bone","Musc/Skel"
702,"Infective and reactive arthropathies","Musc/Skel"
705,"Rheumatoid arthritis and other inflammatory polyarthropathies","Musc/Skel"
706,"Other inflammatory spondylopathies","Musc/Skel"
707,"Other arthropathies","Musc/Skel"
708,"Osteoarthritis","Musc/Skel"
431.12,"Hemorrhagic stroke","Cardio"
723.52,"Posterior tibial tendinitis","Musc/Skel"
717.1,"Cervicocranial syndrome","Musc/Skel"
807.21,"Muscle weakness (generalized)","Signs/Symptoms"
726,"Osteoporosis and low bone density","Musc/Skel"
727,"Other disorders of bone","Musc/Skel"
728,"Chondropathies","Musc/Skel"
729,"Other acquired musculoskeletal deformity","Musc/Skel"
730,"Other disorders and symptoms of the musculoskeletal system","Musc/Skel"
753.83,"Congenital malformation of optic disc","Cong"
753.84,"Congenital malformation of choroid","Cong"
757,"Oral cleft","Cong"
757.1,"Cleft palate","Cong"
762,"Congenital malformations of esophagus","Cong"
725.1,"Nontraumatic slipped upper femoral epiphysis","Musc/Skel"
463.2,"Allergic rhinitis","Resp"
781.1,"Arteriovenous malformation, congenital","Cong"
764.1,"Congenital anomalies of pharynx","Cong"
768,"Other congenital malformations of digestive system","Cong"
240.2,"Disturbances of branched-chain amino-acid metabolism","Metab"
122.1,"Hodgkin lymphoma","Neoplasms"
122.2,"Non-Hodgkin lymphoma","Neoplasms"
122,"Lymphoma","Neoplasms"
787.1,"Klippel-Feil syndrome","Cong"
787.2,"Congenital scoliosis*","Cong"
784.3,"Congenital pes planus","Cong"
832.4,"Hemoglobinuria","Signs/Symptoms"
885.11,"Extremely preterm, <24 weeks","Neonate"
856,"Infections in newborn","Neonate"
854.91,"Primary sleep apnea of newborn","Neonate"
853,"Cardiovascular disorders originating in the perinatal period","Neonate"
853.1,"Neonatal cardiac failure","Neonate"
854,"Respiratory conditions of fetus and newborn","Neonate"
861,"Transitory disorders of carbohydrate metabolism specific to newborn","Neonate"
862,"Transitory neonatal disorders of calcium and magnesium metabolism","Neonate"
889,"Nonspecific symptoms peculiar to infancy","Neonate"
731,"Symptoms involving musculoskeletal systems","Musc/Skel"
805,"Fever of unknown origin","Signs/Symptoms"
527,"Abdominal pain","GI"
808,"Syncope and collapse","Signs/Symptoms"
528,"Nausea and vomiting","GI"
829,"Nonspecific findings on examination of blood","Signs/Symptoms"
751.5,"Hydromyelia","Cong"
831,"Glycosuria","Signs/Symptoms"
122.22,"Diffuse large B-cell lymphoma*","Neoplasms"
822,"Other and nonspecific abnormal cytological, histological and immunological findings","Signs/Symptoms"
179.9,"Immunodeficiency NOS","Blood"
810,"Shock","Signs/Symptoms"
807,"Malaise and fatigue","Signs/Symptoms"
807.1,"Chronic fatigue syndrome","Signs/Symptoms"
820,"Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity","Signs/Symptoms"
827,"Toxicology findings","Signs/Symptoms"
823,"Abnormal serum enzyme levels","Signs/Symptoms"
826.3,"Raised antibody titer*","Signs/Symptoms"
"T823","Torus fracture","Trauma"
"T830","Dislocation","Trauma"
"T840","Sprains and strains","Trauma"
"T817","Fracture of ribs","Trauma"
"T818","Traumatic fracture of vertebrae","Trauma"
"T854","Injury to other and unspecified intrathoracic organs","Trauma"
"T851","Intracranial injury","Trauma"
"T870","Open wounds of head; neck; and trunk","Trauma"
179.6,"Selective deficiency of immunoglobulin G [IgG] subclasses*","Blood"
"T821","Fracture of pelvis","Trauma"
"T909","Injury, other and unspecified","Trauma"
"T910","Effects of reduced temperature","Trauma"
"C930","Central nervous system complications, not elsewhere classified","Complications of care"
"C938","Complication, hypertension","Complications of care"
"C939","Complications affecting other specified body systems, not elsewhere classified","Complications of care"
179.7,"Common variable immunodeficiency [CVID]","Blood"
"T896","Injury to cranial nerve","Trauma"
704.2,"Wegener's granulomatosis","Musc/Skel"
704,"Systemic vasculitis","Musc/Skel"
704.11,"Polyarteritis nodosa","Musc/Skel"
841.5,"Allergy to serum and vaccine","Signs/Symptoms"
841.1,"Allergy to other anti-infective agents","Signs/Symptoms"
"R952","Toxic effects of nonmedical substances","Complications of care"
960,"Adverse effect of antibiotics and anti-infectives","Rx"
841.13,"Allergy to sulfonamides","Signs/Symptoms"
961,"Hormones and synthetic substitutes causing adverse effects in therapeutic use","Rx"
841,"Drug and medical agent allergy","Signs/Symptoms"
962,"Adverse effects of agents primary affecting blood constituents","Rx"
963,"Analgesics, antipyretics, and antirheumatics causing adverse effects in therapeutic use","Rx"
964,"Adverse effect of antiepileptic, sedative- hypnotic and antiparkinsonism drugs","Rx"
165.4,"Methemoglobinemia","Blood"
965,"Psychotropic agents causing adverse effects in therapeutic use","Rx"
969,"Adverse effects of agents primarily affecting gastrointestinal system","Rx"
971,"Adverse effects of agents primarily acting on the smooth and skeletal muscles and respiratory system","Rx"
972,"Adverse effects of agents primarily affecting skin and mucous membrane, ophthalmological, otorhinolaryngological, dental","Rx"
973,"Adverse effect of other drug","Rx"
974,"Adverse effect of vaccine","Rx"
975,"Primarily systemic agents causing adverse effects in therapeutic use","Rx"
889.3,"Colic (infantile)","Neonate"
840,"Allergy","Signs/Symptoms"
"092","Bacteremia, Sepsis, and SIRS","ID"
"C946","Infusion and transfusion reaction","Complications of care"
284.2,"Suicide and self-inflicted harm","Mental"
236.11,"Morbid obesity","Metab"
765.6,"Ectopic anus*","Cong"
812,"Edema","Signs/Symptoms"
684.1,"Alopecia","Derm"
684.2,"Hypertrichosis and hirsutism","Derm"
200.4,"Thyroiditis","Endo"
822.8,"Abnormal tumor markers","Signs/Symptoms"
328.3,"Cerebral degeneration","Neuro"
172.3,"Hemophagocytic syndromes","Blood"
594.1,"Retention of urine","Genitourinary"
346.1,"Postconcussion syndrome","Neuro"
"B239.31","Body mass index [BMI] 25, adult","Stat"
472.5,"Stenosis of larynx","Resp"
"B239.3","Body mass index [BMI] 25-30, adult","Stat"
848.2,"Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echo)","Signs/Symptoms"
732,"Nonspecific abnormal findings on radiological and other examination of musculoskeletal system","Musc/Skel"
826,"Other abnormal immunological findings in serum","Signs/Symptoms"
"T873","Broken tooth","Trauma"
"T871","Open wounds of extremities","Trauma"
"T870.2","Open wound of ear","Trauma"
"T911","Effects of heat and light","Trauma"
"T912","Effects of air pressure","Trauma"
"T913","Effects of other external causes","Trauma"
387.1,"Hypermetropia","Eye"
387.2,"Myopia","Eye"
387.4,"Presbyopia","Eye"
177.2,"Enlargement of lymph nodes [Lymphadenopathy]","Blood"
700.2,"Sicca syndrome [Sjogren syndrome]","Musc/Skel"
390.4,"Impacted cerumen","Hearing"
701.1,"Osteomyelitis","Musc/Skel"
103.1,"Melanomas of skin","Neoplasms"
105.1,"Malignant neoplasm of the breast, female","Neoplasms"
106.1,"Malignant neoplasm of external female genital organs and cervix","Neoplasms"
107.1,"Malignant neoplasm of the penis","Neoplasms"
205,"Hypoglycemia","Endo"
109.5,"Malignant neoplasm of cranial nerve","Neoplasms"
239.4,"Hyperchylomicronemia","Metab"
120.1,"Myeloid","Neoplasms"
135.6,"Benign neoplasm of vocal cord or larynx","Neoplasms"
102.1,"Malignant neoplasm of the of bronchus and lung","Neoplasms"
764,"Other specified congenital malformations of upper alimentary tract","Cong"
592.1,"Cystitis","Genitourinary"
416.6,"Long QT syndrome","Cardio"
542,"Chronic liver disease and sequelae","GI"
540.4,"Alcoholic hepatitis","GI"
544,"Biliary cirrhosis","GI"
540.3,"Viral hepatitits","GI"
381.31,"Alternating esotropia","Eye"
522.13,"Inflammatory polyps of colon [Pseudopolyposis of colon]","GI"
440.4,"Septic embolism","Cardio"
443.1,"Stricture of artery [Arterial stenosis]","Cardio"
420,"Cardiac arrest","Cardio"
417.3,"Bradycardia*","Cardio"
416.11,"Supraventricular tachycardia","Cardio"
416.2,"Atrial fibrillation and flutter","Cardio"
280.6,"Other stimulant related disorders","Mental"
390.1,"Otitis externa","Hearing"
161.23,"Drug-induced hemolytic anemia*","Blood"
214.4,"Postprocedural ovarian failure","Endo"
401.2,"Hypertensive heart disease","Cardio"
401.1,"Essential hypertension","Cardio"
371.1,"Cortical age-related cataract","Eye"
172.2,"Genetic anomalies of leukocytes","Blood"
172.1,"Functional disorders of polymorphonuclear neutrophils","Blood"
682.1,"Cutaneous cyst","Derm"
468.12,"Pneumonia due to respiratory syncytial virus","Resp"
468.11,"Pneumonia due to adenovirus","Resp"
"T870.1","Open wound or laceration of eye or eyelid","Trauma"
205.3,"Drug-induced hypoglycemia*","Endo"
200.6,"Atrophy of thyroid*","Endo"
375.11,"Open angle glaucoma","Eye"
375.12,"Angle-Closure Glaucoma","Eye"
386.1,"Amblyopia","Eye"
386.2,"Diplopia","Eye"
386.5,"Color vision deficiencies","Eye"
468.27,"Pneumonia due to escherichia coli","Resp"
620.1,"Dysplasia of cervix","Genitourinary"
135.5,"Benign neoplasm of the paranasal sinus and nasal cavity","Neoplasms"
114.4,"Carcinoid tumors","Neoplasms"
913,"Obstetrical embolism","Preg"
914,"Anemia in pregnancy","Preg"
161,"Hemolytic anemias","Blood"
106.2,"Malignant neoplasm of the uterus","Neoplasms"
107.2,"Malignant neoplasm of the prostate","Neoplasms"
700.4,"Inflammatory myopathy","Musc/Skel"
700.3,"Systemic sclerosis","Musc/Skel"
684.11,"Alopecia Areata","Derm"
685.1,"Dyshidrosis","Derm"
705.1,"Rheumatoid arthritis","Musc/Skel"
706.1,"Sacroiliitis NEC","Musc/Skel"
885.212,"Very preterm, 30 weeks*","Neonate"
416.31,"Ventricular fibrillation","Cardio"
416.32,"Ventricular flutter","Cardio"
448.9,"Peripheral vascular disease NOS [includes PAD]","Cardio"
770.34,"Unicornate uterus","Cong"
770.35,"Arcuate uterus","Cong"
770.4,"Congenital malformations of cervix","Cong"
726.1,"Osteoporosis","Musc/Skel"
726.2,"Pathologic fracture","Musc/Skel"
705.2,"Juvenile rheumatoid arthritis [JRA/JIA]","Musc/Skel"
229.1,"Ectopic hormone secretion, not elsewhere classified","Endo"
202.1,"Type 1 diabetes","Endo"
206.1,"Abnormality of secretion of glucagon","Endo"
256.31,"Acidosis","Metab"
168.15,"Acquired coagulation factor deficiency","Blood"
397.11,"Pulsatile tinnitus*","Hearing"
361.36,"Brow ptosis*","Eye"
389.2,"Leucocoria","Eye"
380.1,"Optic neuropathy","Eye"
373.3,"Hereditary choroidal dystrophy","Eye"
373.2,"Choroidal degenerations","Eye"
361.3,"Ptosis of eyelid","Eye"
361.1,"Entropion and trichiasis of eyelid","Eye"
626.1,"Irregular menstrual cycle/bleeding","Genitourinary"
626.11,"Absent or infrequent menstruation","Genitourinary"
626.12,"Excessive or frequent menstruation","Genitourinary"
601.1,"Prostatitis","Genitourinary"
610.1,"Cystic mastopathy","Genitourinary"
622.1,"Polyp of corpus uteri","Genitourinary"
627.2,"Symptomatic menopause","Genitourinary"
666.1,"Allergic urticaria","Derm"
683.1,"Ingrowing nail","Derm"
436.1,"Atherosclerosis of renal artery","Cardio"
381.1,"Paralytic strabismus [Neurogenic strabismus]","Eye"
395.3,"Noise effects on inner ear","Hearing"
394,"Disorders of vestibular function","Hearing"
394.1,"Meniere disease","Hearing"
414.6,"Endomyocardial (eosinophilic) disease [Endomyocardial fibrosis]","Cardio"
414.7,"Endocardial fibroelastosis","Cardio"
411.2,"Pericardial effusion (noninflammatory)*","Cardio"
436.3,"Atherosclerosis of aorta","Cardio"
436.2,"Atherosclerosis of the extremities","Cardio"
530.3,"Rectal prolapse","GI"
627.3,"Postmenopausal atrophic vaginitis","Genitourinary"
446,"Hypotension","Cardio"
168.4,"Abnormal coagulation profile","Blood"
523.2,"Diverticula of colon","GI"
537.1,"Peritonitis","GI"
522.12,"Ulcerative colitis","GI"
503.1,"Pulpitis","GI"
503.5,"Periapical abscess","GI"
504.3,"Periodontitis","GI"
504.1,"Gingivitis","GI"
733.3,"Anomalies of tooth position","Musc/Skel"
763.2,"Congenital hiatus hernia","Cong"
762.11,"Esophageal web*","Cong"
762.3,"Congenital diverticulum of esophagus","Cong"
819,"General symptoms and other findings","Signs/Symptoms"
815,"Symptoms and signs concerning food and fluid intake","Signs/Symptoms"
812.1,"Generalized edema*","Signs/Symptoms"
554.1,"Pancreatitis","GI"
554,"Diseases of the pancreas","GI"
912.1,"Varicose veins in pregnancy","Preg"
550.4,"Cholesterolosis of gallbladder","GI"
557.1,"Hematemesis","GI"
557.2,"Blood in stool","GI"
202,"Diabetes mellitus","Endo"
588.1,"Disorders resulting from impaired renal function","Genitourinary"
588.2,"Abnormal results of function study of kidney","Genitourinary"
592.2,"Urethritis and urethral syndrome","Genitourinary"
592.3,"Urethral stricture due to infecton","Genitourinary"
627.1,"Postmenopausal bleeding","Genitourinary"
593.2,"Microscopic hematuria","Genitourinary"
596.1,"Bladder neck obstruction","Genitourinary"
596.5,"Neuromuscular dysfunction of bladder","Genitourinary"
474.11,"Unilateral pulmonary emphysema [MacLeod's syndrome]*","Resp"
474.12,"Panlobular emphysema*","Resp"
702.1,"Pyogenic arthritis [Septic arthritis]","Musc/Skel"
"076","Pneumocystosis","ID"
157.2,"Multiple endocrine neoplasia [MEN] type IIA","Neoplasms"
546.3,"Hepatomegaly","GI"
157,"Multiple endocrine neoplasia [MEN] syndromes","Neoplasms"
217.1,"Delayed puberty","Endo"
230.2,"Abnormal loss of weight and underweight","Metab"
218.21,"Autoimmune polyglandular failure*","Endo"
238.1,"Hypervitaminosis A","Metab"
546.4,"Chronic passive congestion of liver","GI"
242.1,"Cerebral lipidoses","Metab"
165.2,"Thalassemia","Blood"
165,"Hemoglobinopathies","Blood"
103.2,"Keratinocyte carcinoma","Neoplasms"
103.3,"Carcinoma in situ of skin","Neoplasms"
105.2,"Malignant neoplasm of the breast, male","Neoplasms"
106.11,"Malignant neoplasm of the vulva","Neoplasms"
108.41,"Malignant neoplasm of kidney, except pelvis","Neoplasms"
108.42,"Malignant neoplasm of renal pelvis","Neoplasms"
146.2,"Benign neoplasm of the prostate","Neoplasms"
135.14,"Benign neoplasm of the floor of mouth","Neoplasms"
135,"Benign neoplasm of the head and neck","Neoplasms"
135.1,"Benign neoplasm of the oral cavity","Neoplasms"
135.11,"Benign neoplasm of the lip","Neoplasms"
135.12,"Benign neoplasm of the tongue","Neoplasms"
101.62,"Malignant neoplasm of the intrahepatic bile ducts","Neoplasms"
177.13,"Acute lymphadenitis","Blood"
177.11,"Mesenteric lymphadenitis","Blood"
100.1,"Malignant neoplasm of the oral cavity","Neoplasms"
