phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_category	hpo_code	hpo_label	stringMatch_hpo-phecodeXupdated	subStringMatch_hpo-to-phecodeXupdated	subStringMatch_phecodeXupdated-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecodeXupdated-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10	StrongEvidenceSpecific	StrongEvidenceBroad	AnyEvidence
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0100724	Hypercoagulability																	True				True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0003256	Abnormality of the coagulation cascade													True	True	True	True	True	True		True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001976	Reduced antithrombin III activity																		True			True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001892	Abnormal bleeding														True		True					True
BI_168	Coagulation defects, purpura and other hemorrhagic conditions	Blood/Immune	HP_0001928	Abnormality of coagulation													True	True	True	True				True	True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0008169	Reduced factor VII activity															True	True				True	True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0011901	Dysfibrinogenemia																		True			True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0011900	Hypofibrinogenemia																		True			True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0031365	Macular purpura																	True	True			True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0003225	Reduced coagulation factor V activity																True					True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0001892	Abnormal bleeding																	True	True			True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0001929	Reduced factor XI activity													True	True	True	True				True	True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0001928	Abnormality of coagulation													True	True	True	True				True	True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0000979	Purpura																	True	True			True
BI_168.1	Hypo-coagulability	Blood/Immune	HP_0003125	Reduced factor VIII activity														True		True					True
BI_168.12	Hemorrhagic disorder due to intrinsic circulating anticoagulants	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.15	Acquired coagulation factor deficiency	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.18	Other nonthrombocytopenic purpura	Blood/Immune	HP_0000979	Purpura															True	True				True	True
BI_168.18	Other nonthrombocytopenic purpura	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.2	Hyper-coagulability	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.2	Hyper-coagulability	Blood/Immune	HP_0003613	Antiphospholipid antibody positivity																		True			True
BI_168.2	Hyper-coagulability	Blood/Immune	HP_0100724	Hypercoagulability								True		88.0		100.0						True		True	True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0100724	Hypercoagulability															True	True		True		True	True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0005543	Reduced protein C activity															True	True	True	True		True	True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0025343	Lupus anticoagulant																	True				True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0001976	Reduced antithrombin III activity															True	True	True			True	True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.21	Primary thrombophilia	Blood/Immune	HP_0004855	Reduced protein S activity															True	True				True	True
BI_168.211	Activated protein C resistance*	Blood/Immune	HP_0012175	Resistance to activated protein C	True	True	True				True	True	True	100.0		100.0			True	True			True	True	True
BI_168.213	Lupus anticoagulant syndrome*	Blood/Immune	HP_0025343	Lupus anticoagulant		True						True		80.0		80.0							True	True	True
BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]	Blood/Immune	HP_0003256	Abnormality of the coagulation cascade																		True			True
BI_168.22	Disseminated intravascular coagulation [Defibrination syndrome]	Blood/Immune	HP_0005521	Disseminated intravascular coagulation					True			True			88.24	88.24	True	True	True	True	True	True		True	True
BI_168.3	Spontaneous ecchymoses	Blood/Immune	HP_0000967	Petechiae															True	True	True	True		True	True
BI_168.4	Abnormal coagulation profile	Blood/Immune	HP_0001928	Abnormality of coagulation										80.0	80.0	80.0									True
BI_168.4	Abnormal coagulation profile	Blood/Immune	HP_0003010	Prolonged bleeding time															True	True				True	True
BI_168.4	Abnormal coagulation profile	Blood/Immune	HP_0005542	Prolonged whole-blood clotting time															True	True				True	True
BI_169.1	Thrombocytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.1	Thrombocytopenia	Blood/Immune	HP_0001873	Thrombocytopenia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_169.1	Thrombocytopenia	Blood/Immune	HP_0001973	Autoimmune thrombocytopenia			True			True			True										True	True	True
BI_169.1	Thrombocytopenia	Blood/Immune	HP_0004809	Neonatal alloimmune thrombocytopenia																	True	True			True
BI_169.11	Immune thrombocytopenic purpura [ITP]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.11	Immune thrombocytopenic purpura [ITP]	Blood/Immune	HP_0001973	Autoimmune thrombocytopenia											80.77	80.77	True	True	True	True	True	True		True	True
BI_169.12	Evans syndrome	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.13	Congenital and hereditary thrombocytopenic purpura	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.13	Congenital and hereditary thrombocytopenic purpura	Blood/Immune	HP_0001905	Congenital thrombocytopenia															True	True				True	True
BI_169.14	Secondary thrombocytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.14	Secondary thrombocytopenia	Blood/Immune	HP_0004813	Post-transfusion thrombocytopenia													True	True	True	True				True	True
BI_169.14	Secondary thrombocytopenia	Blood/Immune	HP_0011874	Heparin-induced thrombocytopenia																		True			True
BI_169.15	Heparin-induced thrombocytopenia [HIT]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_169.15	Heparin-induced thrombocytopenia [HIT]	Blood/Immune	HP_0011874	Heparin-induced thrombocytopenia		True			True					93.94	93.94	93.94	True	True	True	True	True		True	True	True
BI_169.2	Qualitative platelet defects	Blood/Immune	HP_0001975	Decreased platelet glycoprotein IIb-IIIa															True	True				True	True
BI_169.2	Qualitative platelet defects	Blood/Immune	HP_0001872	Abnormality of thrombocytes															True	True				True	True
BI_169.2	Qualitative platelet defects	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170	Decreased white blood cell count	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170	Decreased white blood cell count	Blood/Immune	HP_0001882	Leukopenia											84.62		True	True	True	True	True			True	True
BI_170	Decreased white blood cell count	Blood/Immune	HP_0012312	Monocytopenia															True	True	True			True	True
BI_170	Decreased white blood cell count	Blood/Immune	HP_0020060	Decreased red blood cell count										83.33	83.33	83.33									True
BI_170.1	Neutropenia	Blood/Immune	HP_0410255	Transient neutropenia					True			True			86.27	86.27									True
BI_170.1	Neutropenia	Blood/Immune	HP_0410252	Chronic neutropenia																	True	True			True
BI_170.1	Neutropenia	Blood/Immune	HP_0031160	Myelokathexis																	True	True			True
BI_170.1	Neutropenia	Blood/Immune	HP_0012234	Agranulocytosis															True	True	True	True		True	True
BI_170.1	Neutropenia	Blood/Immune	HP_0001904	Neutropenia in presence of anti-neutropil antibodies																	True				True
BI_170.1	Neutropenia	Blood/Immune	HP_0005541	Congenital agranulocytosis							True	True	True			100.0								True	True
BI_170.1	Neutropenia	Blood/Immune	HP_0001875	Neutropenia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True		True	True	True	True	True	True
BI_170.1	Neutropenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170.1	Neutropenia	Blood/Immune	HP_0005549	obsolete Congenital neutropenia						True					84.0		True	True	True	True				True	True
BI_170.12	Drug induced neutropenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170.12	Drug induced neutropenia	Blood/Immune	HP_0012235	Drug-induced agranulocytosis								True				100.0	True	True						True	True
BI_170.13	Neutropenia due to infection	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170.14	Cyclic neutropenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170.14	Cyclic neutropenia	Blood/Immune	HP_0040289	Cyclic neutropenia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True		True	True	True
BI_170.2	Lymphocytopenia	Blood/Immune	HP_0010976	B lymphocytopenia			True			True			True										True	True	True
BI_170.2	Lymphocytopenia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_170.2	Lymphocytopenia	Blood/Immune	HP_0001888	Lymphopenia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True			True	True	True
BI_170.2	Lymphocytopenia	Blood/Immune	HP_0005403	T lymphocytopenia			True			True			True										True	True	True
BI_171	Elevated white blood cell count [Leukocytosis]	Blood/Immune	HP_0001974	Leukocytosis				True	True	True		True		93.33	100.0	90.2	True	True	True	True				True	True
BI_171	Elevated white blood cell count [Leukocytosis]	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.1	Lymphocytosis (symptomatic)	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.2	Monocytosis (symptomatic)	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.3	Plasmacytosis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.3	Plasmacytosis	Blood/Immune	HP_0030150	Plasmacytosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0					True		True	True	True
BI_171.4	Leukemoid reaction	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.5	Basophilia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.5	Basophilia	Blood/Immune	HP_0031807	Increased basophil count	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True		True			True	True	True
BI_171.6	Bandemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.7	Eosinophilia	Blood/Immune	HP_0032064	Gastrointestinal eosinophilia			True			True			True										True	True	True
BI_171.7	Eosinophilia	Blood/Immune	HP_0032061	Hypereosinophilia																	True	True			True
BI_171.7	Eosinophilia	Blood/Immune	HP_0006685	Endocardial fibrosis																	True	True			True
BI_171.7	Eosinophilia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_171.7	Eosinophilia	Blood/Immune	HP_0001880	Eosinophilia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True	True	True	True	True	True
BI_171.7	Eosinophilia	Blood/Immune	HP_0001974	Leukocytosis																	True				True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0012311	Monocytosis																	True	True			True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0100827	Lymphocytosis																	True	True			True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0005403	T lymphocytopenia																	True	True			True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0001882	Leukopenia																		True			True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0001888	Lymphopenia																	True	True			True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_172	Other disorders of white blood cells	Blood/Immune	HP_0001974	Leukocytosis																		True			True
BI_172.1	Functional disorders of polymorphonuclear neutrophils	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_172.3	Hemophagocytic syndromes	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_172.3	Hemophagocytic syndromes	Blood/Immune	HP_0100727	Histiocytosis																		True			True
BI_174	Diseases of spleen	Blood/Immune	HP_0001746	Asplenia																	True				True
BI_174	Diseases of spleen	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_174	Diseases of spleen	Blood/Immune	HP_0001878	Hemolytic anemia															True	True				True	True
BI_174.1	Hyposplenism*	Blood/Immune	HP_0001746	Asplenia																		True			True
BI_174.2	Splenomegaly	Blood/Immune	HP_0001971	Hypersplenism																	True	True			True
BI_174.2	Splenomegaly	Blood/Immune	HP_0001433	Hepatosplenomegaly															True	True		True		True	True
BI_174.2	Splenomegaly	Blood/Immune	HP_0001744	Splenomegaly	True	True	True	True	True	True				100.0	100.0		True	True	True	True	True	True	True	True	True
BI_174.21	Hypersplenism	Blood/Immune	HP_0001971	Hypersplenism	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	True	True	True	True			True	True	True
BI_174.21	Hypersplenism	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_174.22	Chronic congestive splenomegaly	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_174.23	Neutropenic splenomegaly	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_174.5	Abscess of spleen*	Blood/Immune	HP_0025059	Splenic abscess										83.87		83.87			True	True				True	True
BI_174.6	Cyst of spleen*	Blood/Immune	HP_0030423	Splenic cyst										100.0		100.0			True	True			True	True	True
BI_175	Polycythemias	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_175	Polycythemias	Blood/Immune	HP_0001901	Polycythemia					True			True		100.0	83.87	83.87					True	True	True	True	True
BI_175	Polycythemias	Blood/Immune	HP_0002664	Neoplasm													True	True	True	True				True	True
BI_175	Polycythemias	Blood/Immune	HP_0005547	Myeloproliferative disorder																	True				True
BI_175	Polycythemias	Blood/Immune	HP_0030731	Carcinoma														True		True					True
BI_175.2	Secondary polycythemia	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_175.2	Secondary polycythemia	Blood/Immune	HP_0001901	Polycythemia															True	True	True	True		True	True
BI_176	Other diseases of blood and blood-forming organs	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True	True	True				True	True
BI_176	Other diseases of blood and blood-forming organs	Blood/Immune	HP_0001894	Thrombocytosis																	True				True
BI_176	Other diseases of blood and blood-forming organs	Blood/Immune	HP_0005547	Myeloproliferative disorder																	True				True
BI_176	Other diseases of blood and blood-forming organs	Blood/Immune	HP_0010702	Increased circulating antibody level																	True				True
BI_176.1	Thrombocytosis*	Blood/Immune	HP_0001894	Thrombocytosis	True	True	True							100.0									True	True	True
BI_177	Abnormality of the lymph nodes	Blood/Immune	HP_0002733	Abnormality of the lymph nodes	True	True	True							100.0									True	True	True
BI_177	Abnormality of the lymph nodes	Blood/Immune	HP_0010310	Chylothorax																	True	True			True
BI_177	Abnormality of the lymph nodes	Blood/Immune	HP_0012281	Chylous ascites															True	True				True	True
BI_177.1	Lymphadenitis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_177.1	Lymphadenitis	Blood/Immune	HP_0002716	Lymphadenopathy																	True	True			True
BI_177.1	Lymphadenitis	Blood/Immune	HP_0002840	Lymphadenitis	True	True	True							100.0					True	True	True	True	True	True	True
BI_177.11	Mesenteric lymphadenitis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_177.12	Chronic lymphadenitis	Blood/Immune	HP_0001871	Abnormality of blood and blood-forming tissues													True	True						True	True
BI_177.12	Chronic lymphadenitis	Blood/Immune	HP_0002716	Lymphadenopathy																	True				True
BI_177.12	Chronic lymphadenitis	Blood/Immune	HP_0002840	Lymphadenitis															True	True	True			True	True
BI_177.13	Acute lymphadenitis	Blood/Immune	HP_0000951	Abnormality of the skin														True		True					True
