phecode1.2_code	phecode1.2_label	phecode1.2_category	hpo_code	hpo_label	stringMatch_hpo-phecode1.2	subStringMatch_hpo-to-phecode1.2	subStringMatch_phecode1.2-to-hpo	stringMatch_hpo-ICD9	subStringMatch_hpo-to-ICD9	subStringMatch_ICD9-to-hpo	stringMatch_hpo-ICD10	subStringMatch_hpo-to-ICD10	subStringMatch_ICD10-to-hpo	SORTA_phecode1.2-to-hpo	SORTA_ICD9-to-hpo	SORTA_ICD10-to-hpo	PheMap_phecode1.2-hpo	sharedUMLSCUI_ICD9-hpo	sharedUMLSCUIplusRel_ICD9-hpo	sharedUMLSCUI_ICD10-hpo	sharedUMLSCUIplusRel_ICD10-hpo	wikiMedMap_hpo-to-ICD9	wikiMedMap_hpo-to-ICD10
008.52	Intestinal infection due to C. difficile	infectious diseases	HP_0032168	Clostridium difficile colitis																	True	True	True
008.52	Intestinal infection due to C. difficile	infectious diseases	HP_0032167	Clostridium difficile enteritis												83.87							
008.52	Intestinal infection due to C. difficile	infectious diseases	HP_0004387	Enterocolitis																			True
010	Tuberculosis	infectious diseases	HP_0031353	Otitis media with effusion																		True	
010	Tuberculosis	infectious diseases	HP_0040262	Glue ear																		True	
010	Tuberculosis	infectious diseases	HP_0012219	Erythema nodosum																		True	
010	Tuberculosis	infectious diseases	HP_0000388	Otitis media																		True	
010	Tuberculosis	infectious diseases	HP_0000371	Acute otitis media																		True	
010	Tuberculosis	infectious diseases	HP_0032262	Pulmonary tuberculosis				True	True	True					100.0			True	True	True	True	True	
031	Diseases due to other mycobacteria	infectious diseases	HP_0011274	Recurrent mycobacterial infections												84.44							
038	Septicemia	infectious diseases	HP_0100806	Sepsis														True	True	True	True		True
038	Septicemia	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	82.11							
038	Septicemia	infectious diseases	HP_0031864	Bacteremia				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	
038.1	Gram negative septicemia	infectious diseases	HP_0100806	Sepsis																			True
038.2	Gram positive septicemia	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection											81.25	82.11							
038.3	Bacteremia	infectious diseases	HP_0031864	Bacteremia	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	64.01594118190121	True	True	True	True	True	
041	Bacterial infection NOS	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection												93.88				True	True		
041	Bacterial infection NOS	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract																True	True		
041	Bacterial infection NOS	infectious diseases	HP_0002740	Recurrent E. coli infections														True	True	True	True		
041	Bacterial infection NOS	infectious diseases	HP_0005202	Helicobacter pylori infection																		True	
041	Bacterial infection NOS	infectious diseases	HP_0031247	Whooping cough				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
041	Bacterial infection NOS	infectious diseases	HP_0020174	Refractory drug response																True	True		
041	Bacterial infection NOS	infectious diseases	HP_0100758	Gangrene											84.21	84.21						True	
041	Bacterial infection NOS	infectious diseases	HP_0001367	Abnormal joint morphology																True	True		
041	Bacterial infection NOS	infectious diseases	HP_0030683	Vaginitis																			True
041	Bacterial infection NOS	infectious diseases	HP_0100658	Cellulitis			True						True	85.71		85.71							
041	Bacterial infection NOS	infectious diseases	HP_0031180	Erythema migrans																True	True		
041	Bacterial infection NOS	infectious diseases	HP_0031864	Bacteremia																			True
041	Bacterial infection NOS	infectious diseases	HP_0003040	Arthropathy																True	True		
041	Bacterial infection NOS	infectious diseases	HP_4000054	Exanthem																		True	True
041.1	Staphylococcus infections	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection												93.88				True	True		
041.1	Staphylococcus infections	infectious diseases	HP_0001367	Abnormal joint morphology																True	True		
041.1	Staphylococcus infections	infectious diseases	HP_0003040	Arthropathy																True	True		
041.11	Methicillin sensitive Staphylococcus aureus	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection										80.0		82.83	33.8645910588917						
041.12	Methicillin resistant Staphylococcus aureus	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection										91.76		93.88	96.36601830107605			True	True		
041.2	Streptococcus infection	infectious diseases	HP_0020096	Recurrent streptococcal infections										82.61									
041.2	Streptococcus infection	infectious diseases	HP_4000054	Exanthem																		True	True
041.21	Rheumatic fever / chorea	infectious diseases	HP_0002072	Chorea													36.71689080806252						
041.4	E. coli	infectious diseases	HP_0002740	Recurrent E. coli infections													34.200052292963456	True	True	True	True		
041.4	E. coli	infectious diseases	HP_0005575	Hemolytic-uremic syndrome													15.328253618245087						
041.8	H. pylori	infectious diseases	HP_0005202	Helicobacter pylori infection													35.65831020434165					True	
041.9	Infection with drug-resistant microorganisms	infectious diseases	HP_0020174	Refractory drug response																True	True		
041.9	Infection with drug-resistant microorganisms	infectious diseases	HP_0032326	Methicillin-resistant Staphylococcus aureus infection													100.22949141695395						
053	Herpes zoster	infectious diseases	HP_0410017	Otitis externa																		True	
054	Herpes simplex	infectious diseases	HP_0410017	Otitis externa																		True	
070	Viral hepatitis	infectious diseases	HP_0006562	Viral hepatitis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True	True	True
070	Viral hepatitis	infectious diseases	HP_0001396	Cholestasis																			True
070	Viral hepatitis	infectious diseases	HP_0200119	Acute hepatitis								True				91.67				True	True		True
070	Viral hepatitis	infectious diseases	HP_0001394	Cirrhosis																			True
070	Viral hepatitis	infectious diseases	HP_0012115	Hepatitis															True	True	True		True
070	Viral hepatitis	infectious diseases	HP_0001395	Hepatic fibrosis																			True
070	Viral hepatitis	infectious diseases	HP_0200120	Chronic active hepatitis									True										True
070	Viral hepatitis	infectious diseases	HP_0001410	Decreased liver function																True	True		
070	Viral hepatitis	infectious diseases	HP_0001406	Intrahepatic cholestasis																			True
070	Viral hepatitis	infectious diseases	HP_0001392	Abnormality of the liver																True	True		
070	Viral hepatitis	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract														True	True	True	True		
070	Viral hepatitis	infectious diseases	HP_0004787	Fulminant hepatitis																			True
070	Viral hepatitis	infectious diseases	HP_0100626	Chronic hepatic failure																			True
070	Viral hepatitis	infectious diseases	HP_0200123	Chronic hepatitis							True	True	True			100.0				True	True		True
070.1	Viral hepatitis A	infectious diseases	HP_0012115	Hepatitis													15.937024440097845				True		
070.1	Viral hepatitis A	infectious diseases	HP_0006562	Viral hepatitis		True								100.0						True	True		
070.2	Viral hepatitis B	infectious diseases	HP_0200119	Acute hepatitis								True				91.67							
070.2	Viral hepatitis B	infectious diseases	HP_0006562	Viral hepatitis		True						True		92.31		92.31				True	True		
070.2	Viral hepatitis B	infectious diseases	HP_0012115	Hepatitis																	True		
070.3	Viral hepatitis C	infectious diseases	HP_0200119	Acute hepatitis								True				91.67							
070.3	Viral hepatitis C	infectious diseases	HP_0006562	Viral hepatitis		True			True			True		92.31	92.31	92.31				True	True		
070.3	Viral hepatitis C	infectious diseases	HP_0012115	Hepatitis																	True		
070.3	Viral hepatitis C	infectious diseases	HP_0200123	Chronic hepatitis								True											
070.4	Chronic hepatitis	infectious diseases	HP_0001410	Decreased liver function																True	True		
070.4	Chronic hepatitis	infectious diseases	HP_0200120	Chronic active hepatitis			True			True			True						True				
070.4	Chronic hepatitis	infectious diseases	HP_0001394	Cirrhosis													16.10077071655737						
070.4	Chronic hepatitis	infectious diseases	HP_0001392	Abnormality of the liver																True	True		
070.4	Chronic hepatitis	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract														True	True	True	True		
070.4	Chronic hepatitis	infectious diseases	HP_0200123	Chronic hepatitis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0		True	True	True	True		
070.9	Hepatitis NOS	infectious diseases	HP_0006562	Viral hepatitis															True		True		
070.9	Hepatitis NOS	infectious diseases	HP_0001410	Decreased liver function																True	True		
070.9	Hepatitis NOS	infectious diseases	HP_0200123	Chronic hepatitis																		True	True
070.9	Hepatitis NOS	infectious diseases	HP_0001392	Abnormality of the liver																True	True		
070.9	Hepatitis NOS	infectious diseases	HP_0100626	Chronic hepatic failure																			True
070.9	Hepatitis NOS	infectious diseases	HP_0200119	Acute hepatitis																		True	True
070.9	Hepatitis NOS	infectious diseases	HP_0001406	Intrahepatic cholestasis																			True
070.9	Hepatitis NOS	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract														True	True	True	True		
070.9	Hepatitis NOS	infectious diseases	HP_0004787	Fulminant hepatitis																		True	True
070.9	Hepatitis NOS	infectious diseases	HP_0001395	Hepatic fibrosis																			True
070.9	Hepatitis NOS	infectious diseases	HP_0001394	Cirrhosis																			True
070.9	Hepatitis NOS	infectious diseases	HP_0001396	Cholestasis																			True
070.9	Hepatitis NOS	infectious diseases	HP_0200120	Chronic active hepatitis																		True	True
070.9	Hepatitis NOS	infectious diseases	HP_0012115	Hepatitis	True	True	True	True	True	True				100.0	100.0		24.08329553850245	True	True	True	True	True	True
078	Viral warts & HPV	infectious diseases	HP_0550004	Verruca plana																True	True	True	True
078	Viral warts & HPV	infectious diseases	HP_0033005	Plantar warts											100.0	100.0	18.27474957815848	True	True	True	True	True	
078	Viral warts & HPV	infectious diseases	HP_0032301	Genital warts													44.821437668653545	True	True	True	True	True	True
078	Viral warts & HPV	infectious diseases	HP_0200043	Verrucae													96.47395006220884	True	True	True	True	True	True
079	Viral infection	infectious diseases	HP_0032249	Coccidioidomycosis								True				83.87							
079	Viral infection	infectious diseases	HP_0031693	Severe Epstein Barr virus infection						True			True		85.71	85.71							
079	Viral infection	infectious diseases	HP_0001271	Polyneuropathy					True			True			85.71	85.71							
079	Viral infection	infectious diseases	HP_0032163	Molluscum contagiosum				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
079	Viral infection	infectious diseases	HP_0031691	Severe viral infection			True			True			True	81.25	81.25	81.25							
079	Viral infection	infectious diseases	HP_0031694	Severe adenovirus infection									True			85.0							
079	Viral infection	infectious diseases	HP_0020071	Viremia				True	True	True					100.0			True	True	True	True	True	True
079	Viral infection	infectious diseases	HP_0030249	Enanthema																			True
079	Viral infection	infectious diseases	HP_4000054	Exanthem																		True	True
079	Viral infection	infectious diseases	HP_0011850	Parotitis																		True	True
079	Viral infection	infectious diseases	HP_0001638	Cardiomyopathy								True				83.33							
079	Viral infection	infectious diseases	HP_0000951	Abnormality of the skin																	True		
079.2	Infectious mononucleosis	infectious diseases	HP_0025439	Pharyngitis													22.92538225253743						
079.2	Infectious mononucleosis	infectious diseases	HP_0031693	Severe Epstein Barr virus infection			True			True			True	85.71	85.71	85.71							
079.9	Viremia, NOS	infectious diseases	HP_0031691	Severe viral infection									True			81.25							
079.9	Viremia, NOS	infectious diseases	HP_0020071	Viremia	True	True	True	True	True	True				100.0	100.0			True	True	True	True	True	True
080	Postoperative infection	infectious diseases	HP_0100806	Sepsis																			True
080	Postoperative infection	infectious diseases	HP_0000119	Abnormality of the genitourinary system																True	True		
080	Postoperative infection	infectious diseases	HP_0011024	Abnormality of the gastrointestinal tract														True	True	True	True		
081	Infection/inflammation of internal prosthetic device; implant; and graft	infectious diseases	HP_0004431	Complement deficiency																True	True		
081.1	Graft-versus-host disease	infectious diseases	HP_0004431	Complement deficiency																True	True		
081.11	Acute graft-versus-host disease	infectious diseases	HP_0004431	Complement deficiency																True	True		
081.12	Chronic graft-versus-host disease	infectious diseases	HP_0004431	Complement deficiency																True	True		
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0011120	Concave nasal ridge																		True	
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0500006	Urethritis																		True	
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0100654	Retrobulbar optic neuritis											81.63								
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0033782	Semilunar tooth																True	True		
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0001269	Hemiparesis																		True	
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0002301	Hemiplegia																		True	
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0000119	Abnormality of the genitourinary system																True	True		
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0030160	Cervicitis																		True	
090	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	HP_0002821	Neuropathic arthropathy												80.0							
090.2	Gonococcal infections	infectious diseases	HP_0030160	Cervicitis																		True	
090.3	Venereal diseases due to Chlamydia trachomatis	infectious diseases	HP_0030160	Cervicitis																		True	
1001	Foreign body injury		HP_0041082	Fractured skull																	True		
1001	Foreign body injury		HP_0002092	Pulmonary arterial hypertension													15.492967518659658						
1002	Symptoms concerning nutrition, metabolism, and development		HP_0004395	Malnutrition													34.118645090569515						
1002	Symptoms concerning nutrition, metabolism, and development		HP_0011968	Feeding difficulties							True	True	True			100.0				True	True		
1002	Symptoms concerning nutrition, metabolism, and development		HP_0004325	Decreased body weight														True	True				
1002	Symptoms concerning nutrition, metabolism, and development		HP_0001824	Weight loss				True	True	True					100.0			True	True			True	True
1003	Sudden death		HP_0001699	Sudden death	True	True	True							100.0									
1004	Other signs and symptoms involving emotional state		HP_0000720	Mood swings														True	True	True	True		
1004	Other signs and symptoms involving emotional state		HP_0000712	Emotional lability				True	True	True	True	True	True		100.0	100.0		True	True	True	True		
1004	Other signs and symptoms involving emotional state		HP_0000737	Irritability				True	True	True					100.0							True	True
1004	Other signs and symptoms involving emotional state		HP_0100710	Impulsivity											100.0	100.0							
1004	Other signs and symptoms involving emotional state		HP_0001575	obsolete Mood changes														True	True	True	True		
1004	Other signs and symptoms involving emotional state		HP_0031589	Suicidal ideation																			True
1004	Other signs and symptoms involving emotional state		HP_0031473	Hostility																			True
1005	Other symptoms		HP_0012154	Anhedonia							True	True	True			100.0				True	True		
1005	Other symptoms		HP_0011848	Abdominal colic														True	True	True	True		
1005	Other symptoms		HP_0002045	Hypothermia													52.52043095465066						
1005	Other symptoms		HP_0003546	Exercise intolerance																			True
1005	Other symptoms		HP_0033842	Early satiety				True	True	True	True	True	True					True	True	True	True		
1005	Other symptoms		HP_0002354	Memory impairment																		True	
1005	Other symptoms		HP_0033687	Short term memory impairment																		True	
1005	Other symptoms		HP_0033690	Retrograde memory impairment																		True	
1006	Crushing injury		HP_0041082	Fractured skull																	True		
1008	Crushing or internal injury to organs		HP_0012151	Hemothorax																		True	True
1008	Crushing or internal injury to organs		HP_0012223	Splenic rupture													23.503405892191648					True	True
1008	Crushing or internal injury to organs		HP_0001919	Acute kidney injury											84.85	84.85							
1008	Crushing or internal injury to organs		HP_0002107	Pneumothorax																		True	True
1008	Crushing or internal injury to organs		HP_0031369	Colon perforation																		True	
1008	Crushing or internal injury to organs		HP_0002108	Spontaneous pneumothorax																		True	True
1008	Crushing or internal injury to organs		HP_0011851	Hemopericardium																		True	True
1008	Crushing or internal injury to organs		HP_0031368	Intestinal perforation																		True	
1009	Injury, NOS		HP_0031364	Ecchymosis																	True		
1009	Injury, NOS		HP_0030834	Shoulder pain																			True
1009	Injury, NOS		HP_0032201	Rotator cuff tear																			True
1009	Injury, NOS		HP_0025273	Achilles tendonitis												81.25							
1009	Injury, NOS		HP_0041082	Fractured skull															True		True		
1009	Injury, NOS		HP_0020110	Bone fracture																True	True		
1010	Other tests		HP_0200123	Chronic hepatitis								True											
1010	Other tests		HP_0012115	Hepatitis																	True		
1010	Other tests		HP_0006562	Viral hepatitis																True	True		
1011	Complications of surgical and medical procedures		HP_0032934	Spontaneous cerebrospinal fluid leak																			True
1011	Complications of surgical and medical procedures		HP_0020172	Adverse drug response																True	True		True
1011	Complications of surgical and medical procedures		HP_0011024	Abnormality of the gastrointestinal tract														True	True	True	True		
1011	Complications of surgical and medical procedures		HP_0003040	Arthropathy																True	True		
1011	Complications of surgical and medical procedures		HP_0100251	Multiple central nervous system lipomas											81.36								
1011	Complications of surgical and medical procedures		HP_0000951	Abnormality of the skin																	True		
1011	Complications of surgical and medical procedures		HP_0410323	Drug allergy													22.202870342222692			True	True		
1011	Complications of surgical and medical procedures		HP_0000119	Abnormality of the genitourinary system																True	True		
1011	Complications of surgical and medical procedures		HP_0002047	Malignant hyperthermia												93.94	41.742596188333614			True	True		True
1011	Complications of surgical and medical procedures		HP_0100806	Sepsis																			True
1011	Complications of surgical and medical procedures		HP_0002045	Hypothermia																			True
1011	Complications of surgical and medical procedures		HP_0001367	Abnormal joint morphology																True	True		
1013	Asphyxia and hypoxemia		HP_0012418	Hypoxemia				True	True	True	True	True	True		100.0	100.0		True	True	True	True		
1014	Effects of heat, cold and air pressure		HP_0009710	Chilblains				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
1015	Effects of other external causes		HP_0000670	Carious teeth												82.76							
1015	Effects of other external causes		HP_0002527	Falls												100.0				True	True		
1019	Other ill-defined and unknown causes of morbidity and mortality		HP_0000722	Obsessive-compulsive behavior							True	True	True			100.0				True	True		
110	Dermatophytosis / Dermatomycosis	infectious diseases	HP_0032518	Disseminated dermatophytosis																True	True	True	True
110	Dermatophytosis / Dermatomycosis	infectious diseases	HP_0032515	Deep dermatophytosis					True	True			True		88.89	85.71		True	True				
110	Dermatophytosis / Dermatomycosis	infectious diseases	HP_0012203	Onychomycosis															True	True	True	True	True
110.1	Dermatophytosis	infectious diseases	HP_0032515	Deep dermatophytosis			True		True				True	85.71	88.89	85.71		True	True				
110.1	Dermatophytosis	infectious diseases	HP_0012203	Onychomycosis															True	True	True	True	True
110.1	Dermatophytosis	infectious diseases	HP_0032518	Disseminated dermatophytosis																True	True	True	True
110.11	Dermatophytosis of nail	infectious diseases	HP_0012203	Onychomycosis													102.29188677337416		True	True	True	True	True
110.2	Dermatomycoses	infectious diseases	HP_0032518	Disseminated dermatophytosis																			True
1100	Family history		HP_0032316	Family history	True	True	True							100.0									
1100	Family history		HP_0000939	Osteoporosis													25.90738621694027						
112	Candidiasis	infectious diseases	HP_0002728	Chronic mucocutaneous candidiasis																			True
112	Candidiasis	infectious diseases	HP_0410017	Otitis externa											80.0	80.0						True	
112	Candidiasis	infectious diseases	HP_0033351	Candida esophagitis											90.32	90.32	24.217441857023893	True	True	True	True	True	
112	Candidiasis	infectious diseases	HP_0030683	Vaginitis																			True
112.3	Candidiasis of skin and nails	infectious diseases	HP_0002728	Chronic mucocutaneous candidiasis													20.576562348526892						True
117	Mycoses	infectious diseases	HP_0020103	Invasive pulmonary aspergillosis							True	True	True			100.0				True	True		
117	Mycoses	infectious diseases	HP_0032256	Histoplasmosis				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
117	Mycoses	infectious diseases	HP_0032249	Coccidioidomycosis				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
117	Mycoses	infectious diseases	HP_0032160	Cryptococcal meningitis																		True	True
117	Mycoses	infectious diseases	HP_0032257	Disseminated histoplasmosis								True				82.14				True	True		
117	Mycoses	infectious diseases	HP_0032258	Pulmonary histoplasmosis								True				82.76							
117.1	Histoplasmosis	infectious diseases	HP_0032249	Coccidioidomycosis													29.342139773893933						
117.1	Histoplasmosis	infectious diseases	HP_0032256	Histoplasmosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	18.82101096118217	True	True	True	True	True	True
117.1	Histoplasmosis	infectious diseases	HP_0032257	Disseminated histoplasmosis								True				82.14				True	True		
117.1	Histoplasmosis	infectious diseases	HP_0032258	Pulmonary histoplasmosis								True				82.76							
117.2	Coccidioidomycosis	infectious diseases	HP_0032256	Histoplasmosis													18.820684106674907						
117.2	Coccidioidomycosis	infectious diseases	HP_0032249	Coccidioidomycosis	True	True	True	True	True	True	True	True	True	100.0	100.0	100.0	29.341630204527146	True	True	True	True	True	True
117.3	Blastomycotic infection	infectious diseases	HP_0032249	Coccidioidomycosis											85.0	85.0							
117.4	Aspergillosis	infectious diseases	HP_0032249	Coccidioidomycosis													29.342089768008048						
117.4	Aspergillosis	infectious diseases	HP_0020103	Invasive pulmonary aspergillosis							True	True	True			100.0				True	True		
117.4	Aspergillosis	infectious diseases	HP_0032256	Histoplasmosis													18.820978885766614						
130	Spirochetal infection	infectious diseases	HP_0031180	Erythema migrans																		True	True
130	Spirochetal infection	infectious diseases	HP_0001271	Polyneuropathy																True	True		
130	Spirochetal infection	infectious diseases	HP_0000962	Hyperkeratosis												87.5							
130	Spirochetal infection	infectious diseases	HP_0009830	Peripheral neuropathy																	True		
130	Spirochetal infection	infectious diseases	HP_0001954	Recurrent fever															True	True	True		
130	Spirochetal infection	infectious diseases	HP_0031002	Neuritis																	True		
130	Spirochetal infection	infectious diseases	HP_0000759	Abnormal peripheral nervous system morphology																	True		
130.1	Lyme disease	infectious diseases	HP_0009830	Peripheral neuropathy																	True		
130.1	Lyme disease	infectious diseases	HP_0000759	Abnormal peripheral nervous system morphology																	True		
130.1	Lyme disease	infectious diseases	HP_0001271	Polyneuropathy																True	True		
130.1	Lyme disease	infectious diseases	HP_0031002	Neuritis																	True		
130.1	Lyme disease	infectious diseases	HP_0031180	Erythema migrans																		True	True
131	Protozoan infection	infectious diseases	HP_0020104	Unusual protozoan infection			True							85.0									
131	Protozoan infection	infectious diseases	HP_0020105	Severe toxoplasmosis											81.25	81.25							
131	Protozoan infection	infectious diseases	HP_0030683	Vaginitis																			True
134	Helminthiases	infectious diseases	HP_0020107	Unusual helminthic infection											84.21								
134	Helminthiases	infectious diseases	HP_0030724	Central nervous system cyst												83.87							
134	Helminthiases	infectious diseases	HP_0001128	Trichiasis											81.82	81.82							
134	Helminthiases	infectious diseases	HP_0010310	Chylothorax																			True
134.1	Intestinal helminthiases	infectious diseases	HP_0030724	Central nervous system cyst												83.87							
134.1	Intestinal helminthiases	infectious diseases	HP_0001128	Trichiasis											81.82	81.82							
136	Other infectious and parasitic diseases	infectious diseases	HP_0031009	Ainhum				True	True	True	True	True	True		100.0	100.0		True	True	True	True	True	True
136	Other infectious and parasitic diseases	infectious diseases	HP_0000951	Abnormality of the skin																	True		
145	Cancer of mouth	neoplasms	HP_0100836	Malignant neoplasm of the central nervous system											82.05	82.05							
145	Cancer of mouth	neoplasms	HP_0030731	Carcinoma															True		True		
145	Cancer of mouth	neoplasms	HP_0100684	Salivary gland neoplasm											87.27			True	True		True	True	True
145	Cancer of mouth	neoplasms	HP_0002664	Neoplasm														True	True	True	True	True	True
145	Cancer of mouth	neoplasms	HP_0012720	Neoplasm of the nose																		True	True
145.1	Cancer of lip	neoplasms	HP_0030731	Carcinoma															True		True		
145.1	Cancer of lip	neoplasms	HP_0002664	Neoplasm														True	True	True	True	True	True
145.1	Cancer of lip	neoplasms	HP_0100836	Malignant neoplasm of the central nervous system											82.05	82.05							
145.1	Cancer of lip	neoplasms	HP_0012720	Neoplasm of the nose																		True	
145.2	Cancer of tongue	neoplasms	HP_0030731	Carcinoma															True		True		
145.2	Cancer of tongue	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
145.3	Cancer of major salivary glands	neoplasms	HP_0012720	Neoplasm of the nose																			True
145.3	Cancer of major salivary glands	neoplasms	HP_0100684	Salivary gland neoplasm											87.27			True	True		True	True	True
145.3	Cancer of major salivary glands	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
145.3	Cancer of major salivary glands	neoplasms	HP_0030731	Carcinoma															True		True		
145.4	Cancer of the gums	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
145.4	Cancer of the gums	neoplasms	HP_0100836	Malignant neoplasm of the central nervous system											82.05	82.05							
145.4	Cancer of the gums	neoplasms	HP_0030731	Carcinoma															True		True		
145.5	Cancer of the mouth floor	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
145.5	Cancer of the mouth floor	neoplasms	HP_0030731	Carcinoma															True		True		
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0030731	Carcinoma															True		True		
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0030076	Lobular carcinoma in situ											80.0	80.0							
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0100630	Neoplasia of the nasopharynx											85.71	85.71							
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0100637	obsolete Neoplasia of the nose															True		True		
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0100799	Neoplasm of the middle ear												84.44							
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0100638	Neoplasm of the pharynx											82.93	82.93							
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0012720	Neoplasm of the nose															True		True	True	True
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0100605	Neoplasm of the larynx											82.05	82.05							
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0012118	Laryngeal carcinoma																		True	True
149	Cancer of larynx, pharynx, nasal cavities	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
149.1	Cancer of oropharynx	neoplasms	HP_0030731	Carcinoma															True		True		
149.1	Cancer of oropharynx	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
149.2	Cancer of nasopharynx	neoplasms	HP_0030731	Carcinoma															True		True		
149.2	Cancer of nasopharynx	neoplasms	HP_0002664	Neoplasm														True	True	True	True		
149.2	Cancer of nasopharynx	neoplasms	HP_0100630	Neoplasia of the nasopharynx											85.71	85.71							
