phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category	hpo_code	hpo_label	SORTA_score
109.14	Malignant neoplasm of cornea	malignant neoplasm of cornea	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	80.95
109.3	Malignant neoplasm of brain	malignant neoplasm of brain	Neoplasms	HP_0100836	Malignant neoplasm of the central nervous system	82.93
110.3	Malignant neoplasm of the parathyroid gland	malignant neoplasm of the parathyroid gland	Neoplasms	HP_0100733	Neoplasm of the parathyroid gland	88.52
114	Neuroendocrine tumors	neuroendocrine tumors	Neoplasms	HP_0030447	Merkel cell skin cancer	88.89
114.1	Malignant neuroendocrine tumors	malignant neuroendocrine tumors	Neoplasms	HP_0030447	Merkel cell skin cancer	80.77
114.2	Benign neuroendocrine tumors	benign neuroendocrine tumors	Neoplasms	HP_0030447	Merkel cell skin cancer	80.77
114.4	Carcinoid tumors	carcinoid tumors	Neoplasms	HP_0100570	Carcinoid tumor	100.0
114.41	Intestinal carcinoid	intestinal carcinoid	Neoplasms	HP_0006723	Intestinal carcinoid	100.0
114.42	Carcinoid tumor of the bronchus and lung	carcinoid tumor of the bronchus and lung	Neoplasms	HP_0030445	Pulmonary carcinoid tumor	84.0
114.43	Carcinoid tumor of the thymus	carcinoid tumor of the thymus	Neoplasms	HP_0100570	Carcinoid tumor	84.21
114.44	Carcinoid tumor of the stomach	carcinoid tumor of the stomach	Neoplasms	HP_0100570	Carcinoid tumor	80.0
114.45	Carcinoid tumor of the kidney	carcinoid tumor of the kidney	Neoplasms	HP_0100570	Carcinoid tumor	82.05
114.5	Paraganglioma	paraganglioma	Neoplasms	HP_0002668	Paraganglioma	100.0
121	Leukemia	leukemia	Neoplasms	HP_0001909	Leukemia	100.0
121.1	Acute leukemia	acute leukemia	Neoplasms	HP_0002488	Acute leukemia	100.0
121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms	HP_0006721	Acute lymphoblastic leukemia	100.0
121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms	HP_0004808	Acute myeloid leukemia	100.0
121.2	Chronic leukemia	chronic leukemia	Neoplasms	HP_0005558	Chronic leukemia	100.0
121.21	Chronic lymphoid leukemia	chronic lymphoid leukemia	Neoplasms	HP_0005526	Lymphoid leukemia	81.82
121.22	Chronic myloid leukemia	chronic myloid leukemia	Neoplasms	HP_0005506	Chronic myelogenous leukemia	93.88
121.23	Chronic myelomonocytic (monocytic) leukemia	chronic myelomonocytic monocytic leukemia	Neoplasms	HP_0012325	Chronic myelomonocytic leukemia	88.24
122	Lymphoma	lymphoma	Neoplasms	HP_0002665	Lymphoma	100.0
122.1	Hodgkin lymphoma	hodgkin lymphoma	Neoplasms	HP_0012189	Hodgkin lymphoma	100.0
122.2	Non-Hodgkin lymphoma	non-hodgkin lymphoma	Neoplasms	HP_0012539	Non-Hodgkin lymphoma	100.0
122.21	Follicular lymphoma	follicular lymphoma	Neoplasms	HP_0033125	Follicular lymphoma	100.0
122.23	Burkitt lymphoma	burkitt lymphoma	Neoplasms	HP_0030080	Burkitt lymphoma	100.0
122.24	T-cell lymphoma	t-cell lymphoma	Neoplasms	HP_0012190	T-cell lymphoma	100.0
122.25	Anaplastic large cell lymphoma	anaplastic large cell lymphoma	Neoplasms	HP_0012193	Anaplastic large-cell lymphoma	100.0
123.1	Multiple myeloma	multiple myeloma	Neoplasms	HP_0006775	Multiple myeloma	100.0
124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms	HP_0005547	Myeloproliferative disorder	100.0
124.3	Polycythemia vera	polycythemia vera	Neoplasms	HP_0001901	Polycythemia	83.87
124.6	Myelodysplastic syndrome	myelodysplastic syndrome	Neoplasms	HP_0002863	Myelodysplasia	100.0
124.8	Myelofibrosis	myelofibrosis	Neoplasms	HP_0011974	Myelofibrosis	100.0
125.1	Cutaneous mastocytosis*	cutaneous mastocytosis	Neoplasms	HP_0200151	Cutaneous mastocytosis	100.0
135	Benign neoplasm of the head and neck	benign neoplasm of the head and neck	Neoplasms	HP_0012288	Neoplasm of head and neck	84.44
135.1	Benign neoplasm of the oral cavity	benign neoplasm of the oral cavity	Neoplasms	HP_0100649	Neoplasm of the oral cavity	85.71
135.11	Benign neoplasm of the lip	benign neoplasm of the lip	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	82.05
135.12	Benign neoplasm of the tongue	benign neoplasm of the tongue	Neoplasms	HP_0006778	Benign genitourinary tract neoplasm	80.85
135.16	Benign neoplasm of the salivary glands	benign neoplasm of the salivary glands	Neoplasms	HP_0100684	Salivary gland neoplasm	87.27
135.3	Benign neoplasm of the nasopharynx	benign neoplasm of the nasopharynx	Neoplasms	HP_0100630	Neoplasia of the nasopharynx	85.71
136.2	Benign neoplasm of stomach	benign neoplasm of stomach	Neoplasms	HP_0006753	Neoplasm of the stomach	82.93
136.3	Benign neoplasm of the small intestine	benign neoplasm of the small intestine	Neoplasms	HP_0100833	Neoplasm of the small intestine	87.27
136.41	Benign neoplasm of the colon	benign neoplasm of the colon	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	87.8
136.8	Benign neoplasm of the pancreas	benign neoplasm of the pancreas	Neoplasms	HP_0002894	Neoplasm of the pancreas	82.93
137.3	Benign neoplasm of the trachea	benign neoplasm of the trachea	Neoplasms	HP_0100551	Neoplasm of the trachea	82.93
138	Benign neoplasm of the skin	benign neoplasm of the skin	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	85.0
138.2	Melanocytic nevi*	melanocytic nevi	Neoplasms	HP_0000995	Melanocytic nevus	100.0
139.5	Lipoma	lipoma	Neoplasms	HP_0012032	Lipoma	100.0
139.61	Hemangioma	hemangioma	Neoplasms	HP_0001028	Hemangioma	100.0
139.62	Lymphangioma	lymphangioma	Neoplasms	HP_0100764	Lymphangioma	100.0
140	Benign neoplasm of the breast	benign neoplasm of the breast	Neoplasms	HP_0100013	Neoplasm of the breast	82.05
142.1	Lump or mass in breast	lump or mass in breast	Neoplasms	HP_0032408	Breast mass	82.93
144.11	Benign neoplasms of the vulva	benign neoplasms of the vulva	Neoplasms	HP_0030416	Vulvar neoplasm	81.08
144.13	Benign neoplasms of the cervix	benign neoplasms of the cervix	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	80.95
144.21	Leiomyoma of uterus	leiomyoma of uterus	Neoplasms	HP_0000131	Uterine leiomyoma	84.85
144.3	Benign neoplasms of the ovary	benign neoplasms of the ovary	Neoplasms	HP_0100615	Ovarian neoplasm	81.08
146	Benign neoplasm of the genitourinary system	benign neoplasm of the genitourinary system	Neoplasms	HP_0006778	Benign genitourinary tract neoplasm	82.19
146.1	Benign neoplasm of the penis	benign neoplasm of the penis	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	80.0
146.2	Benign neoplasm of the prostate	benign neoplasm of the prostate	Neoplasms	HP_0100787	Prostate neoplasm	82.93
146.32	Benign neoplasm of the scrotum	benign neoplasm of the scrotum	Neoplasms	HP_0100849	Neoplasm of the scrotum	82.93
146.5	Benign neoplasm of the bladder	benign neoplasm of the bladder	Neoplasms	HP_0009725	Bladder neoplasm	82.93
146.51	Benign neoplasm of urethra	benign neoplasm of urethra	Neoplasms	HP_0100517	Neoplasm of the urethra	82.93
146.52	Benign neoplasm of ureter	benign neoplasm of ureter	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	80.0
148	Benign neoplasm of the eye, brain and other parts of central nervous system	benign neoplasm of the eye brain and other parts of central nervous system	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	84.44
148.1	Benign neoplasm of eye	benign neoplasm of eye	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	84.21
148.14	Benign neoplasm of cornea	benign neoplasm of cornea	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	80.95
148.3	Benign neoplasm of brain	benign neoplasm of brain	Neoplasms	HP_0100835	Benign neoplasm of the central nervous system	82.93
149.3	Benign neoplasm of the parathyroid gland	benign neoplasm of the parathyroid gland	Neoplasms	HP_0100733	Neoplasm of the parathyroid gland	88.52
158	Neurofibromatosis	neurofibromatosis	Neoplasms	HP_0001067	Neurofibromas	100.0
158.1	Neurofibromatosis, type 1	neurofibromatosis type 1	Neoplasms	HP_0001067	Neurofibromas	82.93
158.2	Neurofibromatosis, type 2	neurofibromatosis type 2	Neoplasms	HP_0001067	Neurofibromas	82.93
160.1	Iron deficiency anemia	iron deficiency anemia	Blood	HP_0001891	Iron deficiency anemia	100.0
160.2	Megaloblastic anemia	megaloblastic anemia	Blood	HP_0001889	Megaloblastic anemia	100.0
160.4	Other deficiency anemia	other deficiency anemia	Blood	HP_0001891	Iron deficiency anemia	84.85
161	Hemolytic anemias	hemolytic anemias	Blood	HP_0001878	Hemolytic anemia	100.0
161.21	Autoimmune hemolytic anemias [AIHA]	autoimmune hemolytic anemias aiha	Blood	HP_0001890	Autoimmune hemolytic anemia	90.91
161.22	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	Blood	HP_0005575	Hemolytic-uremic syndrome	100.0
162	Aplastic anemia	aplastic anemia	Blood	HP_0001915	Aplastic anemia	100.0
162.6	Sideroblastic anemia	sideroblastic anemia	Blood	HP_0001924	Sideroblastic anemia	100.0
162.7	Congenital dyserythropoietic anemia*	congenital dyserythropoietic anemia	Blood	HP_0004810	Congenital hypoplastic anemia	100.0
162.8	Pancytopenia	pancytopenia	Blood	HP_0001876	Pancytopenia	100.0
164	Anemia	anemia	Blood	HP_0001903	Anemia	100.0
164.1	Microcytic anemia	microcytic anemia	Blood	HP_0001935	Microcytic anemia	100.0
164.2	Macrocytic anemia	macrocytic anemia	Blood	HP_0001972	Macrocytic anemia	100.0
164.61	Anemia in chronic kidney disease	anemia in chronic kidney disease	Blood	HP_0012622	Chronic kidney disease	86.27
165.4	Methemoglobinemia	methemoglobinemia	Blood	HP_0012119	Methemoglobinemia	100.0
168.2	Hyper-coagulability	hyper-coagulability	Blood	HP_0100724	Hypercoagulability	88.0
168.211	Activated protein C resistance*	activated protein c resistance	Blood	HP_0012175	Resistance to activated protein C	100.0
168.213	Lupus anticoagulant syndrome*	lupus anticoagulant syndrome	Blood	HP_0025343	Lupus anticoagulant	80.0
168.4	Abnormal coagulation profile	abnormal coagulation profile	Blood	HP_0001928	Abnormality of coagulation	80.0
169	Platelet defects	platelet defects	Blood	HP_0003540	Impaired platelet aggregation	82.05
169.1	Thrombocytopenia	thrombocytopenia	Blood	HP_0001873	Thrombocytopenia	100.0
169.15	Heparin-induced thrombocytopenia [HIT]	heparin-induced thrombocytopenia hit	Blood	HP_0011874	Heparin-induced thrombocytopenia	93.94
170	Decreased white blood cell count	decreased white blood cell count	Blood	HP_0020060	Decreased red blood cell count	83.33
170.1	Neutropenia	neutropenia	Blood	HP_0001875	Neutropenia	100.0
170.11	Congenital agranulocytosis	congenital agranulocytosis	Blood	HP_0005541	Congenital agranulocytosis	100.0
170.14	Cyclic neutropenia	cyclic neutropenia	Blood	HP_0040289	Cyclic neutropenia	100.0
170.19	Neutropenia NOS	neutropenia	Blood	HP_0001875	Neutropenia	100.0
170.2	Lymphocytopenia	lymphocytopenia	Blood	HP_0001888	Lymphopenia	100.0
171	Increased white blood cell count	increased white blood cell count	Blood	HP_0020059	Increased red blood cell count	83.33
171.3	Plasmacytosis	plasmacytosis	Blood	HP_0030150	Plasmacytosis	100.0
171.5	Basophilia	basophilia	Blood	HP_0031807	Increased basophil count	100.0
171.7	Eosinophilia	eosinophilia	Blood	HP_0001880	Eosinophilia	100.0
171.9	Elevated white blood cell count [Leukocytosis] NOS	elevated white blood cell count leukocytosis	Blood	HP_0001974	Leukocytosis	93.33
174.2	Splenomegaly	splenomegaly	Blood	HP_0001744	Splenomegaly	100.0
174.21	Hypersplenism	hypersplenism	Blood	HP_0001971	Hypersplenism	100.0
174.5	Abscess of spleen*	abscess of spleen	Blood	HP_0025059	Splenic abscess	83.87
174.6	Cyst of spleen*	cyst of spleen	Blood	HP_0030423	Splenic cyst	100.0
175	Polycythemias	polycythemias	Blood	HP_0001901	Polycythemia	100.0
177	Abnormality of the lymph nodes	abnormality of the lymph nodes	Blood	HP_0002733	Abnormality of the lymph nodes	100.0
177.1	Lymphadenitis	lymphadenitis	Blood	HP_0002840	Lymphadenitis	100.0
177.13	Acute lymphadenitis	acute lymphadenitis	Blood	HP_0002840	Lymphadenitis	80.0
177.2	Enlargement of lymph nodes [Lymphadenopathy]	enlargement of lymph nodes lymphadenopathy	Blood	HP_0002716	Lymphadenopathy	81.16
177.4	Lymphedema	lymphedema	Blood	HP_0001004	Lymphedema	100.0
179	Immunodeficiencies	immunodeficiencies	Blood	HP_0002721	Immunodeficiency	100.0
179.1	Hypogammaglobulinemia NOS	hypogammaglobulinemia	Blood	HP_0004313	Decreased circulating antibody level	100.0
179.3	Combined immunity deficiency	combined immunity deficiency	Blood	HP_0005387	Combined immunodeficiency	90.0
179.4	Selective deficiency of immunoglobulin A [IgA]	selective deficiency of immunoglobulin a iga	Blood	HP_0008348	Decreased circulating IgG2 level	80.0
179.9	Immunodeficiency NOS	immunodeficiency	Blood	HP_0002721	Immunodeficiency	100.0
180.2	Polyclonal hypergammaglobulinemia	polyclonal hypergammaglobulinemia	Blood	HP_0031047	Paraproteinemia	84.38
180.3	Paraproteinemias	paraproteinemias	Blood	HP_0031047	Paraproteinemia	100.0
180.4	Cryoglobulinemia*	cryoglobulinemia	Blood	HP_0100778	Cryoglobulinemia	100.0
181	Autoimmune disease	autoimmune disease	Blood	HP_0002960	Autoimmunity	100.0
200.1	Hypothyroidism	hypothyroidism	Endo	HP_0000821	Hypothyroidism	100.0
200.11	Congenital hypohthyroidism	congenital hypohthyroidism	Endo	HP_0000851	Congenital hypothyroidism	93.02
200.14	Hypothyroidism, not specified as secondary	hypothyroidism not specified as secondary	Endo	HP_0008245	Pituitary hypothyroidism	84.62
200.2	Goiter	goiter	Endo	HP_0000853	Goiter	100.0
200.23	Multinodular goiter	multinodular goiter	Endo	HP_0005987	Multinodular goiter	100.0
200.24	Ectopic thyroid nodule	ectopic thyroid nodule	Endo	HP_0025388	Thyroid nodule	82.35
200.4	Thyroiditis	thyroiditis	Endo	HP_0100646	Thyroiditis	100.0
200.41	Hashimoto thyroiditis [Chronic lymphocytic thyroiditis]	hashimoto thyroiditis chronic lymphocytic thyroiditis	Endo	HP_0000872	Hashimoto thyroiditis	100.0
200.9	Abnormal thyroid function studies	abnormal thyroid function studies	Endo	HP_0002926	Abnormality of thyroid physiology	88.89
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0000819	Diabetes mellitus	100.0
202.1	Type 1 diabetes	type 1 diabetes	Endo	HP_0100651	Type I diabetes mellitus	100.0
202.2	Type 2 diabetes	type 2 diabetes	Endo	HP_0005978	Type II diabetes mellitus	100.0
204.2	Impaired glucose tolerance (oral)	impaired glucose tolerance oral	Endo	HP_0040270	Impaired glucose tolerance	88.89
205	Hypoglycemia	hypoglycemia	Endo	HP_0001943	Hypoglycemia	100.0
208.1	Hypoparathyroidism	hypoparathyroidism	Endo	HP_0000829	Hypoparathyroidism	100.0
208.2	Hyperparathyroidism	hyperparathyroidism	Endo	HP_0000843	Hyperparathyroidism	100.0
208.21	Primary hyperparathyroidism	primary hyperparathyroidism	Endo	HP_0008200	Primary hyperparathyroidism	100.0
208.22	Secondary hyperparathyroidism	secondary hyperparathyroidism	Endo	HP_0000867	Secondary hyperparathyroidism	100.0
209.12	Syndrome of inappropriate secretion of antidiuretic hormone	syndrome of inappropriate secretion of antidiuretic hormone	Endo	HP_0031218	Inappropriate antidiuretic hormone secretion	90.0
209.13	Hyperprolactinemia*	hyperprolactinemia	Endo	HP_0000870	Increased circulating prolactin concentration	100.0
209.2	Hypopituitarism	hypopituitarism	Endo	HP_0040075	Hypopituitarism	100.0
209.21	Diabetes insipidus	diabetes insipidus	Endo	HP_0000873	Diabetes insipidus	100.0
209.22	Hypopituitarism NOS	hypopituitarism	Endo	HP_0040075	Hypopituitarism	100.0
210	Cushing's syndrome	cushings syndrome	Endo	HP_0003118	Increased circulating cortisol level	100.0
211.11	Primary aldosteronism	primary aldosteronism	Endo	HP_0011736	Primary hyperaldosteronism	83.72
211.12	Secondary hyperaldosteronism	secondary hyperaldosteronism	Endo	HP_0011741	Secondary hyperaldosteronism	100.0
211.2	Adrenocortical insufficiency	adrenocortical insufficiency	Endo	HP_0008207	Primary adrenal insufficiency	100.0
211.21	Primary adrenocortical insufficiency	primary adrenocortical insufficiency	Endo	HP_0008207	Primary adrenal insufficiency	86.79
214.1	Primary ovarian failure	primary ovarian failure	Endo	HP_0001587	obsolete Primary ovarian failure	85.19
214.11	Premature menopause	premature menopause	Endo	HP_0008209	Premature ovarian insufficiency	100.0
215	Testicular dysfunction	testicular dysfunction	Endo	HP_0001751	Vestibular dysfunction	80.0
215.1	Testicular hypofunction	testicular hypofunction	Endo	HP_0001756	Vestibular hypofunction	80.95
217	Disorders of puberty	disorders of puberty	Endo	HP_0008373	Puberty and gonadal disorders	83.33
217.1	Delayed puberty	delayed puberty	Endo	HP_0000823	Delayed puberty	100.0
217.2	Precocious puberty	precocious puberty	Endo	HP_0000826	Precocious puberty	100.0
220.1	Persistent hyperplasia of thymus	persistent hyperplasia of thymus	Endo	HP_0010516	Thymus hyperplasia	81.82
230.3	Anorexia	anorexia	Metab	HP_0002039	Anorexia	100.0
230.4	Cachexia	cachexia	Metab	HP_0004326	Cachexia	100.0
230.7	Adult failure to thrive	adult failure to thrive	Metab	HP_0001508	Failure to thrive	82.35
232	Vitamin deficiencies	vitamin deficiencies	Metab	HP_0004905	Low levels of vitamin A	100.0
232.1	Vitamin A deficiency	vitamin a deficiency	Metab	HP_0004905	Low levels of vitamin A	100.0
232.21	Thiamine deficiency [Vitamin B1]	thiamine deficiency vitamin b1	Metab	HP_0100503	Low levels of vitamin B1	81.82
232.22	Riboflavin deficiency [Vitamin B2]	riboflavin deficiency vitamin b2	Metab	HP_0100504	Low levels of vitamin B2	89.23
232.23	Niacin deficiency [Vitamin B3]	niacin deficiency vitamin b3	Metab	HP_0100497	Vitamin B3 deficiency	83.72
232.27	Vitamin B12 deficiency	vitamin b12 deficiency	Metab	HP_0100502	Vitamin B12 deficiency	100.0
232.29	Folate deficiency [Vitamin B9]	folate deficiency vitamin b9	Metab	HP_0100507	Reduced blood folate concentration	87.27
232.4	Vitamin D deficiency	vitamin d deficiency	Metab	HP_0100512	Low levels of vitamin D	100.0
232.5	Vitamin E deficiency*	vitamin e deficiency	Metab	HP_0100513	Low levels of vitamin E	100.0
232.6	Vitamin K deficiency	vitamin k deficiency	Metab	HP_0004905	Low levels of vitamin A	93.75
236	Overweight and obesity	overweight and obesity	Metab	HP_0025502	Overweight	81.48
236.1	Obesity	obesity	Metab	HP_0001513	Obesity	100.0
239	Hyperlipidemia	hyperlipidemia	Metab	HP_0003077	Hyperlipidemia	100.0
239.1	Hypercholesterolemia	hypercholesterolemia	Metab	HP_0003124	Hypercholesterolemia	100.0
239.11	Pure hypercholesterolemia	pure hypercholesterolemia	Metab	HP_0003124	Hypercholesterolemia	89.36
239.12	Familial hypercholesterolemia*	familial hypercholesterolemia	Metab	HP_0003124	Hypercholesterolemia	85.71
239.2	Hyperglyceridemia	hyperglyceridemia	Metab	HP_0003074	Hyperglycemia	87.5
239.3	Mixed hyperlipidemia	mixed hyperlipidemia	Metab	HP_0003077	Hyperlipidemia	88.24
239.4	Hyperchylomicronemia	hyperchylomicronemia	Metab	HP_0012238	Increased circulating chylomicron concentration	100.0
240.11	Hyperphenylalaninemias	hyperphenylalaninemias	Metab	HP_0004923	Hyperphenylalaninemia	100.0
240.121	Tyrosinemia*	tyrosinemia	Metab	HP_0003231	Hypertyrosinemia	100.0
240.13	Albinism*	albinism	Metab	HP_0001022	Albinism	100.0
240.131	Ocular albinism*	ocular albinism	Metab	HP_0001107	Ocular albinism	100.0
240.141	Histidinemia*	histidinemia	Metab	HP_0010906	Hyperhistidinemia	100.0
240.22	Isovaleric acidemia*	isovaleric acidemia	Metab	HP_0033148	Increased circulating isovaleric acid concentration	86.49
240.23	3-methylglutaconic aciduria*	3-methylglutaconic aciduria	Metab	HP_0003535	3-Methylglutaconic aciduria	100.0
240.24	Methylmalonic acidemia*	methylmalonic acidemia	Metab	HP_0002912	Methylmalonic acidemia	100.0
240.25	Propionic acidemia*	propionic acidemia	Metab	HP_0003571	Propionic acidemia	100.0
240.34	Glutaric aciduria type II*	glutaric aciduria type ii	Metab	HP_0003150	Glutaric aciduria	80.0
240.41	Homocystinuria*	homocystinuria	Metab	HP_0002156	Homocystinuria	100.0
240.42	Cystinuria*	cystinuria	Metab	HP_0003131	Cystinuria	100.0
240.52	Arginosuccinic aciduria*	arginosuccinic aciduria	Metab	HP_0025630	Argininosuccinic aciduria	95.65
240.71	Trimethylaminuria*	trimethylaminuria	Metab	HP_0003614	Trimethylaminuria	100.0
241.33	Cori disease*	cori disease	Metab	HP_0001677	Coronary artery atherosclerosis	85.71
242.25	Metachromatic leukodystrophy*	metachromatic leukodystrophy	Metab	HP_0006926	Metachromatic leukodystrophy variant	87.1
