ICD10_code	ICD10_label	ICD10_simpleLabel	hpo_code	hpo_label	SORTA_score	phecode1.2_codeList	phecodeX_codeList
A78	Q fever	q fever	HP_0001945	Fever	85.71	['480', '480.1']	['041', '089', '089.1']
A81	Atypical virus infections of central nervous system	atypical virus infections of central nervous system	HP_0011450	Unusual CNS infection	85.29		['089', '089.2', '322']
A81.2	Progressive multifocal leukoencephalopathy	progressive multifocal leukoencephalopathy	HP_0006980	Progressive leukoencephalopathy	86.57	['324']	['069', '089', '089.2', '322', '322.2']
A81.8	Other atypical virus infections of central nervous system	other atypical virus infections of central nervous system	HP_0011450	Unusual CNS infection	85.29	['324']	['089', '089.2', '322']
A81.89	Other atypical virus infections of central nervous system	other atypical virus infections of central nervous system	HP_0011450	Unusual CNS infection	85.29	['324']	['089', '089.2', '322']
A81.9	Atypical virus infection of central nervous system, unspecified	atypical virus infection of central nervous system	HP_0011450	Unusual CNS infection	85.29	['324']	['089', '089.2', '322', '322.1']
A88.8	Other specified viral infections of central nervous system	other specified viral infections of central nervous system	HP_0011450	Unusual CNS infection	80.56	['323']	['089', '089.2', '322']
A89	Unspecified viral infection of central nervous system	viral infection of central nervous system	HP_0011450	Unusual CNS infection	90.62	['323']	['089', '089.2', '322']
A92.4	Rift Valley fever	rift valley fever	HP_0032249	Coccidioidomycosis	83.87	['079']	['069', '089', '089.2']
B07.0	Plantar wart	plantar wart	HP_0033005	Plantar warts	100.0	['078']	['056', '056.1', '089', '089.2']
B08.1	Molluscum contagiosum	molluscum contagiosum	HP_0032163	Molluscum contagiosum	100.0	['079']	['055', '055.1', '089', '089.2']
B15	Acute hepatitis A	acute hepatitis a	HP_0200119	Acute hepatitis	100.0		['054', '054.1', '089', '089.2', '540', '540.2', '540.3']
B16	Acute hepatitis B	acute hepatitis b	HP_0200119	Acute hepatitis	91.67	['070', '070.2']	['054', '054.2', '089', '089.2', '540', '540.2', '540.3']
B17	Other acute viral hepatitis	other acute viral hepatitis	HP_0006562	Viral hepatitis	82.76		['054', '089', '089.2', '540', '540.2', '540.3']
B17.1	Acute hepatitis C	acute hepatitis c	HP_0200119	Acute hepatitis	91.67	['070', '070.3']	['054', '054.3', '054.32', '089', '089.2', '540', '540.2', '540.3']
B17.2	Acute hepatitis E	acute hepatitis e	HP_0200119	Acute hepatitis	91.67	['070']	['054', '054.5', '089', '089.2', '540', '540.2', '540.3']
B17.9	Acute viral hepatitis, unspecified	acute viral hepatitis	HP_0006562	Viral hepatitis	82.76	['070']	['054', '089', '089.2', '540', '540.2', '540.3']
B19	Unspecified viral hepatitis	viral hepatitis	HP_0006562	Viral hepatitis	100.0	['070']	['054', '089', '089.2', '540', '540.3']
B19.1	Unspecified viral hepatitis B	viral hepatitis b	HP_0006562	Viral hepatitis	92.31	['070', '070.2']	['054', '054.2', '089', '089.2', '540', '540.3']
B19.2	Unspecified viral hepatitis C	viral hepatitis c	HP_0006562	Viral hepatitis	92.31	['070', '070.3']	['054', '054.3', '089', '089.2', '540', '540.3']
B26.84	Mumps polyneuropathy	mumps polyneuropathy	HP_0001271	Polyneuropathy	85.71	['079']	['066', '089', '089.2', '337', '337.5']
B27	Infectious mononucleosis	infectious mononucleosis	HP_0031693	Severe Epstein Barr virus infection	85.71	['079', '079.2']	['052', '052.4', '089', '089.2']
B27.8	Other infectious mononucleosis	other infectious mononucleosis	HP_0031693	Severe Epstein Barr virus infection	85.71	['079', '079.2']	['052', '052.4', '089', '089.2']
B27.9	Infectious mononucleosis, unspecified	infectious mononucleosis	HP_0031693	Severe Epstein Barr virus infection	85.71	['079', '079.2']	['052', '052.4', '089', '089.2']
B33.24	Viral cardiomyopathy	viral cardiomyopathy	HP_0001638	Cardiomyopathy	83.33	['079']	['089', '089.2', '414']
B34.0	Adenovirus infection, unspecified	adenovirus infection	HP_0031694	Severe adenovirus infection	85.0	['079']	['060', '089', '089.2']
B34.9	Viral infection, unspecified	viral infection	HP_0031691	Severe viral infection	81.25	['079', '079.9']	['089', '089.2']
B35	Dermatophytosis	dermatophytosis	HP_0032515	Deep dermatophytosis	85.71	['110', '110.1']	['089', '089.3', '660', '660.1', '660.12']
B35.9	Dermatophytosis, unspecified	dermatophytosis	HP_0032515	Deep dermatophytosis	85.71	['110', '110.1']	['089', '089.3', '660', '660.1', '660.12']
B37.81	Candidal esophagitis	candidal esophagitis	HP_0033351	Candida esophagitis	90.32	['112']	['070', '089', '089.3', '510', '510.2']
B37.84	Candidal otitis externa	candidal otitis externa	HP_0410017	Otitis externa	80.0	['112']	['070', '089', '089.3', '390', '390.1']
B38	Coccidioidomycosis	coccidioidomycosis	HP_0032249	Coccidioidomycosis	100.0	['117', '117.2']	['071', '089', '089.3']
B38.3	Cutaneous coccidioidomycosis	cutaneous coccidioidomycosis	HP_0032249	Coccidioidomycosis	85.71	['117', '117.2']	['071', '089', '089.3', '660', '660.1']
B38.7	Disseminated coccidioidomycosis	disseminated coccidioidomycosis	HP_0032249	Coccidioidomycosis	80.0	['117', '117.2']	['071', '089', '089.3']
B38.8	Other forms of coccidioidomycosis	other forms of coccidioidomycosis	HP_0032249	Coccidioidomycosis	87.8	['117', '117.2']	['071', '089', '089.3']
B38.81	Prostatic coccidioidomycosis	prostatic coccidioidomycosis	HP_0032249	Coccidioidomycosis	81.82	['117', '117.2']	['071', '089', '089.3']
B38.89	Other forms of coccidioidomycosis	other forms of coccidioidomycosis	HP_0032249	Coccidioidomycosis	87.8	['117', '117.2']	['071', '089', '089.3']
B38.9	Coccidioidomycosis, unspecified	coccidioidomycosis	HP_0032249	Coccidioidomycosis	100.0	['117', '117.2']	['071', '089', '089.3']
B39	Histoplasmosis	histoplasmosis	HP_0032256	Histoplasmosis	100.0	['117', '117.1']	['072', '089', '089.3']
B39.2	Pulmonary histoplasmosis capsulati, unspecified	pulmonary histoplasmosis capsulati	HP_0032258	Pulmonary histoplasmosis	82.76	['117', '117.1']	['072', '089', '089.3', '468', '468.5', '468.52']
B39.3	Disseminated histoplasmosis capsulati	disseminated histoplasmosis capsulati	HP_0032257	Disseminated histoplasmosis	82.14	['117', '117.1']	['072', '089', '089.3']
B39.9	Histoplasmosis, unspecified	histoplasmosis	HP_0032256	Histoplasmosis	100.0	['117', '117.1']	['072', '089', '089.3']
B41	Paracoccidioidomycosis	paracoccidioidomycosis	HP_0032249	Coccidioidomycosis	85.0	['117', '117.3']	['079', '089', '089.3']
B41.9	Paracoccidioidomycosis, unspecified	paracoccidioidomycosis	HP_0032249	Coccidioidomycosis	85.0	['117', '117.3']	['079', '089', '089.3']
B44.0	Invasive pulmonary aspergillosis	invasive pulmonary aspergillosis	HP_0020103	Invasive pulmonary aspergillosis	100.0	['117', '117.4', '480', '480.3']	['074', '089', '089.3', '468', '468.5', '468.51']
B44.1	Other pulmonary aspergillosis	other pulmonary aspergillosis	HP_0020103	Invasive pulmonary aspergillosis	88.46	['117', '117.4']	['074', '089', '089.3', '468', '468.5', '468.51']
B58	Toxoplasmosis	toxoplasmosis	HP_0020105	Severe toxoplasmosis	81.25	['131']	['084', '084.5']
B58.9	Toxoplasmosis, unspecified	toxoplasmosis	HP_0020105	Severe toxoplasmosis	81.25	['131']	['084', '084.5']
B69.0	Cysticercosis of central nervous system	cysticercosis of central nervous system	HP_0030724	Central nervous system cyst	83.87	['134', '134.1']	['084']
B79	Trichuriasis	trichuriasis	HP_0001128	Trichiasis	81.82	['134', '134.1']	['084']
C00	Malignant neoplasm of lip	malignant neoplasm of lip	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.1']	['100', '100.8', '130']
C00.9	Malignant neoplasm of lip, unspecified	malignant neoplasm of lip	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.1']	['100', '100.8', '130']
C03	Malignant neoplasm of gum	malignant neoplasm of gum	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.4']	['100', '100.1', '100.13', '130']
C03.9	Malignant neoplasm of gum, unspecified	malignant neoplasm of gum	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.4']	['100', '100.1', '100.13', '130']
C11	Malignant neoplasm of nasopharynx	malignant neoplasm of nasopharynx	HP_0100630	Neoplasia of the nasopharynx	85.71	['149', '149.2']	['100', '100.3', '130']
C11.9	Malignant neoplasm of nasopharynx, unspecified	malignant neoplasm of nasopharynx	HP_0100630	Neoplasia of the nasopharynx	85.71	['149', '149.2']	['100', '100.3', '130']
C14.0	Malignant neoplasm of pharynx, unspecified	malignant neoplasm of pharynx	HP_0100638	Neoplasm of the pharynx	82.93	['149']	['100', '100.7', '130']
C16	Malignant neoplasm of stomach	malignant neoplasm of stomach	HP_0006753	Neoplasm of the stomach	82.93	['151']	['101', '101.2', '130']
C16.0	Malignant neoplasm of cardia	malignant neoplasm of cardia	HP_0100836	Malignant neoplasm of the central nervous system	80.95	['151']	['101', '101.2', '101.21', '130']
C16.9	Malignant neoplasm of stomach, unspecified	malignant neoplasm of stomach	HP_0006753	Neoplasm of the stomach	82.93	['151']	['101', '101.2', '130']
C17	Malignant neoplasm of small intestine	malignant neoplasm of small intestine	HP_0100833	Neoplasm of the small intestine	87.27	['159', '159.2']	['101', '101.3', '130']
C17.3	Meckel's diverticulum, malignant	meckels diverticulum malignant	HP_0002245	Meckel diverticulum	85.11	['159', '159.2']	['101', '101.3', '130']
C17.9	Malignant neoplasm of small intestine, unspecified	malignant neoplasm of small intestine	HP_0100833	Neoplasm of the small intestine	87.27	['159', '159.2']	['101', '101.3', '130']
C18	Malignant neoplasm of colon	malignant neoplasm of colon	HP_0100836	Malignant neoplasm of the central nervous system	87.8	['153', '153.2']	['101', '101.4', '101.41', '130']
C18.0	Malignant neoplasm of cecum	malignant neoplasm of cecum	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['153', '153.2']	['101', '101.4', '101.41', '130']
C18.9	Malignant neoplasm of colon, unspecified	malignant neoplasm of colon	HP_0100836	Malignant neoplasm of the central nervous system	87.8	['153', '153.2']	['101', '101.4', '101.41', '130']
C20	Malignant neoplasm of rectum	malignant neoplasm of rectum	HP_0100743	Neoplasm of the rectum	82.05	['153', '153.3']	['101', '101.4', '101.42', '130']
C21.0	Malignant neoplasm of anus, unspecified	malignant neoplasm of anus	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['153', '153.3']	['101', '101.5', '130']
C21.1	Malignant neoplasm of anal canal	malignant neoplasm of anal canal	HP_0030437	Anal canal neoplasm	85.11	['153', '153.3']	['101', '101.5', '130']
C22.2	Hepatoblastoma	hepatoblastoma	HP_0002884	Hepatoblastoma	100.0	['155', '155.1']	['101', '101.6', '101.61', '130']
C22.3	Angiosarcoma of liver	angiosarcoma of liver	HP_0200058	Angiosarcoma	81.25	['155', '155.1']	['104', '130']
C23	Malignant neoplasm of gallbladder	malignant neoplasm of gallbladder	HP_0100575	Neoplasm of the gallbladder	84.44	['159', '159.3']	['101', '101.7', '101.71', '130']
C24.9	Malignant neoplasm of biliary tract, unspecified	malignant neoplasm of biliary tract	HP_0100574	Biliary tract neoplasm	86.79	['159', '159.3']	['101', '130']
C25	Malignant neoplasm of pancreas	malignant neoplasm of pancreas	HP_0002894	Neoplasm of the pancreas	82.93	['157']	['101', '101.8', '130']
C25.9	Malignant neoplasm of pancreas, unspecified	malignant neoplasm of pancreas	HP_0002894	Neoplasm of the pancreas	82.93	['157']	['101', '101.8', '130']
C26.1	Malignant neoplasm of spleen	malignant neoplasm of spleen	HP_0100836	Malignant neoplasm of the central nervous system	80.95	['159']	['120', '130']
C30.1	Malignant neoplasm of middle ear	malignant neoplasm of middle ear	HP_0100799	Neoplasm of the middle ear	84.44	['149', '149.9']	['100', '100.5', '130']
C32	Malignant neoplasm of larynx	malignant neoplasm of larynx	HP_0100605	Neoplasm of the larynx	82.05	['149', '149.4']	['100', '100.6', '130']
C32.9	Malignant neoplasm of larynx, unspecified	malignant neoplasm of larynx	HP_0100605	Neoplasm of the larynx	82.05	['149', '149.4']	['100', '100.6', '130']
C33	Malignant neoplasm of trachea	malignant neoplasm of trachea	HP_0100551	Neoplasm of the trachea	82.93	['165', '165.1']	['102', '102.3', '130']
C37	Malignant neoplasm of thymus	malignant neoplasm of thymus	HP_0100521	Neoplasm of the thymus	81.08	['164']	['102', '102.5', '102.54', '130']
C43	Malignant melanoma of skin	malignant melanoma of skin	HP_0002861	Melanoma	86.49	['172', '172.1', '172.11']	['103', '103.1', '130']
C43.0	Malignant melanoma of lip	malignant melanoma of lip	HP_0002861	Melanoma	88.89	['172', '172.1', '172.11']	['103', '103.1', '130']
C43.31	Malignant melanoma of nose	malignant melanoma of nose	HP_0002861	Melanoma	86.49	['172', '172.1', '172.11']	['103', '103.1', '130']
C43.5	Malignant melanoma of trunk	malignant melanoma of trunk	HP_0002861	Melanoma	84.21	['172', '172.1', '172.11']	['103', '103.1', '130']
C43.9	Malignant melanoma of skin, unspecified	malignant melanoma of skin	HP_0002861	Melanoma	86.49	['172', '172.1', '172.11']	['103', '103.1', '130']
C44.01	Basal cell carcinoma of skin of lip	basal cell carcinoma of skin of lip	HP_0002671	Basal cell carcinoma	82.35	['172', '172.2', '172.21']	['103', '103.2', '103.21']
C44.02	Squamous cell carcinoma of skin of lip	squamous cell carcinoma of skin of lip	HP_0006739	Squamous cell carcinoma of the skin	93.33	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.311	Basal cell carcinoma of skin of nose	basal cell carcinoma of skin of nose	HP_0002671	Basal cell carcinoma	80.77	['172', '172.2', '172.21']	['103', '103.2', '103.21']
C44.32	Squamous cell carcinoma of skin of other and unspecified parts of face	squamous cell carcinoma of skin of other andparts of face	HP_0006739	Squamous cell carcinoma of the skin	81.16		['103', '103.2', '103.22']
C44.320	Squamous cell carcinoma of skin of unspecified parts of face	squamous cell carcinoma of skin ofparts of face	HP_0006739	Squamous cell carcinoma of the skin	82.35	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.321	Squamous cell carcinoma of skin of nose	squamous cell carcinoma of skin of nose	HP_0006739	Squamous cell carcinoma of the skin	91.8	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.329	Squamous cell carcinoma of skin of other parts of face	squamous cell carcinoma of skin of other parts of face	HP_0006739	Squamous cell carcinoma of the skin	84.85	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.42	Squamous cell carcinoma of skin of scalp and neck	squamous cell carcinoma of skin of scalp and neck	HP_0006739	Squamous cell carcinoma of the skin	83.58	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.510	Basal cell carcinoma of anal skin	basal cell carcinoma of anal skin	HP_0030443	Anal margin basal cell carcinoma	87.5	['172', '172.2', '172.21']	['103', '103.2', '103.21']
C44.52	Squamous cell carcinoma of skin of trunk	squamous cell carcinoma of skin of trunk	HP_0006739	Squamous cell carcinoma of the skin	90.32	['172', '172.2']	['103', '103.2', '103.22']
C44.520	Squamous cell carcinoma of anal skin	squamous cell carcinoma of anal skin	HP_0030442	Anal margin squamous cell carcinoma	88.24	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.521	Squamous cell carcinoma of skin of breast	squamous cell carcinoma of skin of breast	HP_0006739	Squamous cell carcinoma of the skin	88.89	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.529	Squamous cell carcinoma of skin of other part of trunk	squamous cell carcinoma of skin of other part of trunk	HP_0006739	Squamous cell carcinoma of the skin	83.58	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.82	Squamous cell carcinoma of overlapping sites of skin	squamous cell carcinoma of overlapping sites of skin	HP_0006739	Squamous cell carcinoma of the skin	81.16	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C44.90	Unspecified malignant neoplasm of skin, unspecified	malignant neoplasm of skin	HP_0100836	Malignant neoplasm of the central nervous system	85.0	['172', '172.2']	['103']
C44.91	Basal cell carcinoma of skin, unspecified	basal cell carcinoma of skin	HP_0002671	Basal cell carcinoma	89.36	['172', '172.2', '172.21']	['103', '103.2', '103.21']
C44.92	Squamous cell carcinoma of skin, unspecified	squamous cell carcinoma of skin	HP_0006739	Squamous cell carcinoma of the skin	100.0	['172', '172.2', '172.22']	['103', '103.2', '103.22']
C45.0	Mesothelioma of pleura	mesothelioma of pleura	HP_0100002	Pleural mesothelioma	92.68	['165']	['112', '112.1', '130']
C45.1	Mesothelioma of peritoneum	mesothelioma of peritoneum	HP_0100003	Peritoneal mesothelioma	88.89	['159', '159.4']	['112', '112.1', '130']
C45.2	Mesothelioma of pericardium	mesothelioma of pericardium	HP_0100004	Pericardial mesothelioma	91.67	['164']	['112', '112.1', '130']
C46	Kaposi's sarcoma	kaposis sarcoma	HP_0100726	Kaposi's sarcoma	100.0	['230']	['104', '104.6']
C46.0	Kaposi's sarcoma of skin	kaposis sarcoma of skin	HP_0100726	Kaposi's sarcoma	85.71	['230']	['104', '104.6']
C46.2	Kaposi's sarcoma of palate	kaposis sarcoma of palate	HP_0100726	Kaposi's sarcoma	83.33	['230']	['104', '104.6']
C46.5	Kaposi's sarcoma of lung	kaposis sarcoma of lung	HP_0100726	Kaposi's sarcoma	85.71	['230']	['104', '104.6']
C46.50	Kaposi's sarcoma of unspecified lung	kaposis sarcoma oflung	HP_0100726	Kaposi's sarcoma	81.08	['230']	['104', '104.6']
C46.7	Kaposi's sarcoma of other sites	kaposis sarcoma of other sites	HP_0100726	Kaposi's sarcoma	85.71	['230']	['104', '104.6']
C46.9	Kaposi's sarcoma, unspecified	kaposis sarcoma	HP_0100726	Kaposi's sarcoma	100.0	['230']	['104', '104.6']
C49.A	Gastrointestinal stromal tumor	gastrointestinal stromal tumor	HP_0100723	Gastrointestinal stroma tumor	100.0	['170', '170.2']	['104', '104.5', '130']
C49.A0	Gastrointestinal stromal tumor, unspecified site	gastrointestinal stromal tumorsite	HP_0100723	Gastrointestinal stroma tumor	91.8	['170', '170.2']	['104', '104.5', '130']
C49.A1	Gastrointestinal stromal tumor of esophagus	gastrointestinal stromal tumor of esophagus	HP_0100723	Gastrointestinal stroma tumor	86.57	['170', '170.2']	['104', '104.5', '130']
C49.A2	Gastrointestinal stromal tumor of stomach	gastrointestinal stromal tumor of stomach	HP_0100723	Gastrointestinal stroma tumor	87.88	['170', '170.2']	['104', '104.5', '130']
C49.A4	Gastrointestinal stromal tumor of large intestine	gastrointestinal stromal tumor of large intestine	HP_0100723	Gastrointestinal stroma tumor	80.56	['170', '170.2']	['104', '104.5', '130']
C49.A5	Gastrointestinal stromal tumor of rectum	gastrointestinal stromal tumor of rectum	HP_0100723	Gastrointestinal stroma tumor	89.23	['170', '170.2']	['104', '104.5', '130']
C49.A9	Gastrointestinal stromal tumor of other sites	gastrointestinal stromal tumor of other sites	HP_0100723	Gastrointestinal stroma tumor	92.06	['170', '170.2']	['104', '104.5', '130']
C50	Malignant neoplasm of breast	malignant neoplasm of breast	HP_0100013	Neoplasm of the breast	82.05	['174', '174.1', '174.11']	['105', '130']
C51	Malignant neoplasm of vulva	malignant neoplasm of vulva	HP_0030416	Vulvar neoplasm	81.08	['184', '184.2']	['106', '106.1', '106.11', '130']
C51.9	Malignant neoplasm of vulva, unspecified	malignant neoplasm of vulva	HP_0030416	Vulvar neoplasm	81.08	['184', '184.2']	['106', '106.1', '106.11', '130']
C56	Malignant neoplasm of ovary	malignant neoplasm of ovary	HP_0100615	Ovarian neoplasm	81.08	['184', '184.1', '184.11']	['106', '106.3', '130']
C60	Malignant neoplasm of penis	malignant neoplasm of penis	HP_0100836	Malignant neoplasm of the central nervous system	80.0	['187', '187.1']	['107', '107.1', '130']
C60.9	Malignant neoplasm of penis, unspecified	malignant neoplasm of penis	HP_0100836	Malignant neoplasm of the central nervous system	80.0	['187', '187.1']	['107', '107.1', '130']
C61	Malignant neoplasm of prostate	malignant neoplasm of prostate	HP_0100787	Prostate neoplasm	82.93	['185']	['107', '107.2', '130']
C63.2	Malignant neoplasm of scrotum	malignant neoplasm of scrotum	HP_0100849	Neoplasm of the scrotum	82.93	['187', '187.1']	['107', '107.3', '107.32', '130']
C66	Malignant neoplasm of ureter	malignant neoplasm of ureter	HP_0100516	Neoplasm of the ureter	80.0	['189', '189.4']	['108', '108.7', '130']
C67	Malignant neoplasm of bladder	malignant neoplasm of bladder	HP_0009725	Bladder neoplasm	82.93	['189', '189.2', '189.21']	['108', '108.5', '130']
C67.9	Malignant neoplasm of bladder, unspecified	malignant neoplasm of bladder	HP_0009725	Bladder neoplasm	82.93	['189', '189.2', '189.21']	['108', '108.5', '130']
C68.0	Malignant neoplasm of urethra	malignant neoplasm of urethra	HP_0100517	Neoplasm of the urethra	82.93	['189', '189.4']	['108', '108.6', '130']
C69.1	Malignant neoplasm of cornea	malignant neoplasm of cornea	HP_0100836	Malignant neoplasm of the central nervous system	80.95	['190']	['109', '109.1', '109.14', '130']
C71	Malignant neoplasm of brain	malignant neoplasm of brain	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['191', '191.1', '191.11']	['109', '109.3', '130']
C71.9	Malignant neoplasm of brain, unspecified	malignant neoplasm of brain	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['191', '191.1', '191.11']	['109', '109.3', '130']
C72.9	Malignant neoplasm of central nervous system, unspecified	malignant neoplasm of central nervous system	HP_0100836	Malignant neoplasm of the central nervous system	100.0	['191', '191.1']	['109', '130']
C73	Malignant neoplasm of thyroid gland	malignant neoplasm of thyroid gland	HP_0100031	Neoplasm of the thyroid gland	86.79	['193']	['110', '110.1', '130']
C74	Malignant neoplasm of adrenal gland	malignant neoplasm of adrenal gland	HP_0100631	Neoplasm of the adrenal gland	85.71	['194']	['114', '114.6', '130']
C75.0	Malignant neoplasm of parathyroid gland	malignant neoplasm of parathyroid gland	HP_0100733	Neoplasm of the parathyroid gland	88.52	['194']	['110', '110.3', '130']
C75.1	Malignant neoplasm of pituitary gland	malignant neoplasm of pituitary gland	HP_0040277	Neoplasm of the pituitary gland	87.72	['194']	['110', '110.4', '130']
C7A	Malignant neuroendocrine tumors	malignant neuroendocrine tumors	HP_0030447	Merkel cell skin cancer	80.77		['114', '114.1', '130']
C7A.0	Malignant carcinoid tumors	malignant carcinoid tumors	HP_0100570	Carcinoid tumor	82.05	['151', '189', '189.1', '195', '195.1', '202']	['114', '114.1', '114.4', '130']
C7A.8	Other malignant neuroendocrine tumors	other malignant neuroendocrine tumors	HP_0030447	Merkel cell skin cancer	80.77	['195']	['114', '114.1']
C81	Hodgkin lymphoma	hodgkin lymphoma	HP_0012189	Hodgkin lymphoma	100.0	['201']	['120', '120.2', '122', '122.1']
C81.7	Other Hodgkin lymphoma	other hodgkin lymphoma	HP_0012189	Hodgkin lymphoma	100.0	['201']	['120', '120.2', '120.21', '122', '122.1']
C81.70	Other Hodgkin lymphoma, unspecified site	other hodgkin lymphomasite	HP_0012189	Hodgkin lymphoma	86.49	['201']	['120', '120.2', '120.21', '122', '122.1']
C81.77	Other Hodgkin lymphoma, spleen	other hodgkin lymphoma spleen	HP_0012189	Hodgkin lymphoma	82.93	['201']	['120', '120.2', '120.21', '122', '122.1']
C81.9	Hodgkin lymphoma, unspecified	hodgkin lymphoma	HP_0012189	Hodgkin lymphoma	100.0	['201']	['120', '120.2', '122', '122.1']
C81.97	Hodgkin lymphoma, unspecified, spleen	hodgkin lymphomaspleen	HP_0012189	Hodgkin lymphoma	80.0	['201']	['120', '120.2', '122', '122.1']
C82	Follicular lymphoma	follicular lymphoma	HP_0033125	Follicular lymphoma	100.0	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']
C82.0	Follicular lymphoma grade I	follicular lymphoma grade i	HP_0033125	Follicular lymphoma	86.96	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']
C82.1	Follicular lymphoma grade II	follicular lymphoma grade ii	HP_0033125	Follicular lymphoma	81.63	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2', '122.21']
C82.2	Follicular lymphoma grade III, unspecified	follicular lymphoma grade iii	HP_0033125	Follicular lymphoma	80.0	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']
C82.8	Other types of follicular lymphoma	other types of follicular lymphoma	HP_0033125	Follicular lymphoma	88.89	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']
C82.9	Follicular lymphoma, unspecified	follicular lymphoma	HP_0033125	Follicular lymphoma	100.0	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']
