CUI	ICD9_code	ICD9_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList	ICD9_simpleLabel	phecodeXupdated_codeList
C0003492	747.10	Coarctation of aorta (preductal) (postductal)	HP_0001680	Coarctation of aorta	['747', '747.1', '747.13']	['778', '778.4', '778.41']	coarctation of aorta preductal postductal	['CM_763.141']
C0003492	747.1	Coarctation of aorta	HP_0001680	Coarctation of aorta	['747', '747.1', '747.13']	['778', '778.4', '778.41']	coarctation of aorta	['CM_763.141']
C0003537	784.3	Aphasia	HP_0002381	Aphasia	['292', '292.1', '292.11']	['356', '356.2']	aphasia	['NS_356.2']
C0003564	784.41	Aphonia	HP_0001686	Loss of voice	['473', '473.4']	['494', '494.2']	aphonia	['RE_494.2']
C0003578	786.03	Apnea	HP_0002104	Apnea	['513', '513.3', '513.31']	['488', '488.7']	apnea	['RE_488.7']
C0003811	427	Cardiac dysrhythmias	HP_0011675	Arrhythmia	['427']	['416']	cardiac dysrhythmias	['CV_416']
C0003811	427.9	Cardiac dysrhythmia, unspecified	HP_0011675	Arrhythmia	['427', '427.5']	['416']	cardiac dysrhythmia	['CV_416']
C0003860	447.6	Arteritis, unspecified	HP_0012089	Arteritis	['446', '446.9']	['704']	arteritis	['BI_181', 'MS_704']
C0003862	719.4	Pain in joint	HP_0002829	Arthralgia	['745']	['713', '713.3']	pain in joint	['MS_713.3']
C0003862	719.40	Pain in joint, site unspecified	HP_0002829	Arthralgia	['745']	['713', '713.3']	pain in joint site	['MS_713.3']
C0003868	274.00	Gouty arthropathy, unspecified	HP_0001997	Gout	['274', '274.1', '274.11']	['703', '703.1', '703.11']	gouty arthropathy	['MS_703.1']
C0003868	274.0	Gouty arthropathy	HP_0001997	Gout	['274', '274.1', '274.11']	['703', '703.1', '703.11']	gouty arthropathy	['MS_703.1']
C0018099	274.9	Gout, unspecified	HP_0001997	Gout	['274', '274.1']	['703', '703.1', '703.11']	gout	['MS_703.1']
C0018099	274	Gout	HP_0001997	Gout	['274', '274.1']	['703', '703.1', '703.11']	gout	['MS_703.1']
C0003869	711.9	Unspecified infective arthritis	HP_0003095	Septic arthritis	['711']	['702']	infective arthritis	['MS_702']
C0003869	711.0	Pyogenic arthritis	HP_0003095	Septic arthritis	['711', '711.1']	['702', '702.1']	pyogenic arthritis	['MS_702.1']
C0003869	711.90	Unspecified infective arthritis, site unspecified	HP_0003095	Septic arthritis	['711']	['702']	infective arthritis site	['MS_702']
C0003873	714.0	Rheumatoid arthritis	HP_0001370	Rheumatoid arthritis	['714', '714.1']	['181', '705', '705.1']	rheumatoid arthritis	['BI_181', 'MS_705.1']
C0003892	713.5	Arthropathy associated with neurological disorders	HP_0002821	Neuropathic arthropathy	['713', '713.5']	['707', '707.4']	arthropathy associated with neurological disorders	['MS_707']
C0003962	789.5	Ascites	HP_0001541	Ascites	['572']	['555']	ascites	['GI_555']
C0003969	267	Ascorbic acid deficiency	HP_0100510	Low levels of vitamin C	['261', '261.3']	['232', '232.3']	ascorbic acid deficiency	['EM_232.3']
C0004045	768.9	Unspecified severity of birth asphyxia in liveborn infant	HP_0012768	Neonatal asphyxia	['661']	['882']	severity of birth asphyxia in liveborn infant	['NB_882']
C0004096	493.9	Asthma, unspecified	HP_0002099	Asthma	['495']	['475']	asthma	['RE_475']
C0004096	493	Asthma	HP_0002099	Asthma	['495']	['475']	asthma	['RE_475']
C0004106	367.20	Astigmatism, unspecified	HP_0000483	Astigmatism	['367', '367.2']	['387', '387.3']	astigmatism	['SO_387.3']
C0004106	367.2	Astigmatism	HP_0000483	Astigmatism	['367', '367.2']	['387', '387.3']	astigmatism	['SO_387.3']
C0004144	518.0	Pulmonary collapse	HP_0100750	Atelectasis	['508']	['479', '479.6']	pulmonary collapse	['RE_479.6']
C0004153	440	Atherosclerosis	HP_0002621	Atherosclerosis	['440']	['436']	atherosclerosis	['CV_436']
C0004153	440	Atherosclerosis	HP_0002635	Type IV atherosclerotic lesion	['440']	['436']	atherosclerosis	['CV_436']
C0004238	427.31	Atrial fibrillation	HP_0005110	Atrial fibrillation	['427', '427.2', '427.21']	['416', '416.2', '416.21']	atrial fibrillation	['CV_416.21']
C0004239	427.32	Atrial flutter	HP_0004749	Atrial flutter	['427', '427.2', '427.22']	['416', '416.2', '416.22']	atrial flutter	['CV_416.22']
C0004245	426.10	Atrioventricular block, unspecified	HP_0001678	Atrioventricular block	['426', '426.2']	['416', '416.4', '416.41']	atrioventricular block	['CV_416.41']
C0004352	299.0	Autistic disorder	HP_0000717	Autism	['313', '313.3']	['892', '892.4']	autistic disorder	['MB_301.1']
C0004509	606.0	Azoospermia	HP_0000027	Azoospermia	['609', '609.1', '609.11']	['609', '609.1']	azoospermia	['GU_609.1']
C0004604	724.5	Backache, unspecified	HP_0003418	Back pain	['760']	['718']	backache	['MS_718']
C0004610	790.7	Bacteremia	HP_0031864	Bacteremia	['038', '038.3']	['092', '092.8']	bacteremia	['ID_092.8']
C0004763	530.85	Barrett's esophagus	HP_0100580	Barrett esophagus	['530', '530.1', '530.13']	['510', '510.8']	barretts esophagus	['GI_510.8']
C0005411	751.61	Biliary atresia	HP_0005912	Biliary atresia	['750', '750.2', '750.22']	['766', '766.1']	biliary atresia	['CM_758.21']
C0005424	576.9	Unspecified disorder of biliary tract	HP_0001080	Biliary tract abnormality	['575', '575.8']	['552']	disorder of biliary tract	['GI_552']
C0005586	296.80	Bipolar disorder, unspecified	HP_0007302	Bipolar affective disorder	['296', '296.1']	['286', '286.1']	bipolar disorder	['MB_286.1']
C0005689	753.5	Exstrophy of urinary bladder	HP_0002836	Bladder exstrophy	['751', '751.2']	['775', '775.1']	exstrophy of urinary bladder	['CM_761.31']
C0005694	596.0	Bladder neck obstruction	HP_0041047	Bladder outlet obstruction	['596', '596.1']	['596', '596.1']	bladder neck obstruction	['GU_596.1']
C0005697	596.54	Neurogenic bladder NOS	HP_0000011	Neurogenic bladder	['596', '596.5']	['596', '596.5']	neurogenic bladder	['GU_596.5']
C0005741	373.00	Blepharitis, unspecified	HP_0000498	Blepharitis	['371', '371.3']	['360', '360.4']	blepharitis	['SO_360.4']
C0005741	373.9	Unspecified inflammation of eyelid	HP_0000498	Blepharitis	['371', '371.3']	['360']	inflammation of eyelid	['SO_360']
C0005741	373.0	Blepharitis	HP_0000498	Blepharitis	['371', '371.3']	['360', '360.4']	blepharitis	['SO_360.4']
C0005742	374.34	Blepharochalasis	HP_0010749	Blepharochalasis	['374', '374.3']	['361', '361.4']	blepharochalasis	['SO_361.4']
C0005744	374.46	Blepharophimosis	HP_0000581	Blepharophimosis	['374']	['361', '361.8']	blepharophimosis	['SO_361.8']
C0005745	374.30	Ptosis of eyelid, unspecified	HP_0000508	Ptosis	['374', '374.3']	['361', '361.3']	ptosis of eyelid	['SO_361.3']
C0005745	374.3	Ptosis of eyelid	HP_0000508	Ptosis	['374', '374.3']	['361', '361.3']	ptosis of eyelid	['SO_361.3']
C0005747	333.81	Blepharospasm	HP_0000643	Blepharospasm	['333', '333.4']	['324', '324.3', '324.36']	blepharospasm	['NS_324.316']
C0005779	286	Coagulation defects	HP_0003256	Abnormality of the coagulation cascade	['286']	['168']	coagulation defects	['BI_168']
C0005779	286	Coagulation defects	HP_0001928	Abnormality of coagulation	['286']	['168']	coagulation defects	['BI_168']
C0019087	287.9	Unspecified hemorrhagic conditions	HP_0001928	Abnormality of coagulation	['287']	['168', '168.1']	hemorrhagic conditions	['BI_168.1']
C0005937	733.21	Solitary bone cyst	HP_0012062	Bone cyst	['733', '733.2']	['727', '727.5']	solitary bone cyst	['MS_727.5']
C0005937	733.20	Cyst of bone (localized), unspecified	HP_0012062	Bone cyst	['733', '733.2']	['727', '727.5']	cyst of bone localized	['MS_727.5']
C0005937	733.2	Cyst of bone	HP_0012062	Bone cyst	['733', '733.2']	['727', '727.5']	cyst of bone	['MS_727.5']
C0006012	301.83	Borderline personality disorder	HP_0012076	Borderline personality disorder	['301', '301.2']	['296', '296.4']	borderline personality disorder	['MB_296.4']
C0006114	348.5	Cerebral edema	HP_0002181	Cerebral edema	['348', '348.2']	['346', '346.6']	cerebral edema	['NS_346.6']
C0006118	239.6	Neoplasm of unspecified nature of brain	HP_0030692	Brain neoplasm	['191']	['109', '109.3']	neoplasm ofnature of brain	['CA_109.3']
C0006123	362.32	Retinal arterial branch occlusion	HP_0020161	Branch retinal artery occlusion	['362', '362.4']	['374', '374.3', '374.37']	retinal arterial branch occlusion	['SO_374.9']
C0006131	744.42	Branchial cleft cyst	HP_0009796	Branchial cyst	['749']	['756', '756.1']	branchial cleft cyst	['CM_753.1']
C0006267	494	Bronchiectasis	HP_0002110	Bronchiectasis	['496', '496.3']	['476']	bronchiectasis	['RE_476']
C0006277	490	Bronchitis, not specified as acute or chronic	HP_0012387	Bronchitis	['497']	['469']	bronchitis not specified as acute or chronic	['RE_469']
C0006384	426.50	Bundle branch block, unspecified	HP_0011710	Bundle branch block	['426', '426.3']	['416', '416.4', '416.43']	bundle branch block	['CV_416.4']
C0006386	727.1	Bunion	HP_0001822	Hallux valgus	['735', '735.3']	['709', '709.2', '709.21']	bunion	['MS_709.21']
C0006413	200.2	Burkitt's tumor or lymphoma	HP_0030080	Burkitt lymphoma	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2', '122.23']	burkitts tumor or lymphoma	['CA_120.21', 'CA_122.23']
C0006625	799.4	Cachexia	HP_0004326	Cachexia	['260.1']	['230', '230.4']	cachexia	['EM_230.4']
C0006826	199	Malignant neoplasm without specification of site	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm without specification of site	['CA_112', 'CA_130']
C0027651	197.0	Secondary malignant neoplasm of lung	HP_0002664	Neoplasm	['198', '198.2']	['116', '116.2']	secondary malignant neoplasm of lung	['CA_116']
C0027651	183.2	Malignant neoplasm of fallopian tube	HP_0002664	Neoplasm	['184', '184.1']	['106', '106.4', '130']	malignant neoplasm of fallopian tube	['CA_106.4', 'CA_130']
C0027651	197.3	Secondary malignant neoplasm of other respiratory organs	HP_0002664	Neoplasm	['198', '198.2']	['116', '116.2']	secondary malignant neoplasm of other respiratory organs	['CA_116']
C0027651	197.2	Secondary malignant neoplasm of pleura	HP_0002664	Neoplasm	['198', '198.2']	['116', '116.2']	secondary malignant neoplasm of pleura	['CA_116']
C0027651	197.1	Secondary malignant neoplasm of mediastinum	HP_0002664	Neoplasm	['198', '198.2']	['116', '116.2']	secondary malignant neoplasm of mediastinum	['CA_116']
C0027651	195.8	Malignant neoplasm of other specified sites	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of other specified sites	['CA_112', 'CA_130']
C0027651	196	Secondary and unspecified malignant neoplasm of lymph nodes	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes	['CA_116']
C0027651	196.0	Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes of head face and neck	['CA_116']
C0027651	196.8	Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes of multiple sites	['CA_116']
C0027651	196.5	Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes of inguinal region and lower limb	['CA_116']
C0027651	210.3	Benign neoplasm of floor of mouth	HP_0002664	Neoplasm	['210']	['135', '135.1', '135.14']	benign neoplasm of floor of mouth	['CA_135.14']
C0027651	196.3	Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes of axilla and upper limb	['CA_116']
C0027651	197	Secondary malignant neoplasm of respiratory and digestive systems	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of respiratory and digestive systems	['CA_116']
C0027651	196.2	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of intra-abdominal lymph nodes	['CA_116']
C0027651	196.1	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of intrathoracic lymph nodes	['CA_116']
C0027651	196.6	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of intrapelvic lymph nodes	['CA_116']
C0027651	196.9	Secondary and unspecified malignant neoplasm of lymph nodes, site unspecified	HP_0002664	Neoplasm	['198', '198.1']	['116', '116.1']	secondary andmalignant neoplasm of lymph nodes site	['CA_116']
C0027651	188.3	Malignant neoplasm of anterior wall of urinary bladder	HP_0002664	Neoplasm	['189', '189.2', '189.21']	['108', '108.5', '130']	malignant neoplasm of anterior wall of urinary bladder	['CA_108.5', 'CA_130']
C0027651	183.3	Malignant neoplasm of broad ligament of uterus	HP_0002664	Neoplasm	['184', '184.1']	['106', '106.4', '130']	malignant neoplasm of broad ligament of uterus	['CA_106.4', 'CA_130']
C0027651	183.9	Malignant neoplasm of uterine adnexa, unspecified site	HP_0002664	Neoplasm	['184', '184.1']	['106', '106.4', '130']	malignant neoplasm of uterine adnexasite	['CA_106.4', 'CA_130']
C0027651	194.4	Malignant neoplasm of pineal gland	HP_0002664	Neoplasm	['194']	['110', '110.5', '130']	malignant neoplasm of pineal gland	['CA_110.5', 'CA_130']
C0027651	183.8	Malignant neoplasm of other specified sites of uterine adnexa	HP_0002664	Neoplasm	['184', '184.1']	['106', '106.4', '130']	malignant neoplasm of other specified sites of uterine adnexa	['CA_106.4', 'CA_130']
C0027651	194.5	Malignant neoplasm of carotid body	HP_0002664	Neoplasm	['194']	['114', '114.5', '130']	malignant neoplasm of carotid body	['CA_114.5', 'CA_130']
C0027651	183.5	Malignant neoplasm of round ligament of uterus	HP_0002664	Neoplasm	['184', '184.1']	['106', '106.4', '130']	malignant neoplasm of round ligament of uterus	['CA_106.4', 'CA_130']
C0027651	194.6	Malignant neoplasm of aortic body and other paraganglia	HP_0002664	Neoplasm	['194']	['114', '114.5', '130']	malignant neoplasm of aortic body and other paraganglia	['CA_114.5', 'CA_130']
C0027651	183.4	Malignant neoplasm of parametrium	HP_0002664	Neoplasm	['184', '184.1']	['106', '130']	malignant neoplasm of parametrium	['CA_106', 'CA_130']
C0027651	195.5	Malignant neoplasm of lower limb	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of lower limb	['CA_112', 'CA_130']
C0027651	194.8	Malignant neoplasm of other endocrine glands and related structures	HP_0002664	Neoplasm	['194']	['110', '130']	malignant neoplasm of other endocrine glands and related structures	['CA_110', 'CA_130']
C0027651	195	Malignant neoplasm of other and ill-defined sites	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of other and ill-defined sites	['CA_112', 'CA_130']
C0027651	195.0	Malignant neoplasm of head, face, and neck	HP_0002664	Neoplasm	['195', '195.3']	['100', '130']	malignant neoplasm of head face and neck	['CA_100', 'CA_130']
C0027651	195.1	Malignant neoplasm of thorax	HP_0002664	Neoplasm	['164']	['102', '130']	malignant neoplasm of thorax	['CA_102', 'CA_130']
C0027651	195.2	Malignant neoplasm of abdomen	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of abdomen	['CA_112', 'CA_130']
C0027651	195.3	Malignant neoplasm of pelvis	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of pelvis	['CA_112', 'CA_130']
C0027651	197.4	Secondary malignant neoplasm of small intestine including duodenum	HP_0002664	Neoplasm	['198', '198.3']	['116', '116.3']	secondary malignant neoplasm of small intestine including duodenum	['CA_116']
C0027651	195.4	Malignant neoplasm of upper limb	HP_0002664	Neoplasm	['195', '195.1']	['112', '130']	malignant neoplasm of upper limb	['CA_112', 'CA_130']
C0027651	194.9	Malignant neoplasm of endocrine gland, site unspecified	HP_0002664	Neoplasm	['194']	['110', '130']	malignant neoplasm of endocrine gland site	['CA_110', 'CA_130']
C0027651	197.5	Secondary malignant neoplasm of large intestine and rectum	HP_0002664	Neoplasm	['198', '198.3']	['116', '116.3']	secondary malignant neoplasm of large intestine and rectum	['CA_116']
C0027651	198.1	Secondary malignant neoplasm of other urinary organs	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of other urinary organs	['CA_116']
C0027651	197.6	Secondary malignant neoplasm of retroperitoneum and peritoneum	HP_0002664	Neoplasm	['198', '198.3']	['116', '116.3']	secondary malignant neoplasm of retroperitoneum and peritoneum	['CA_116']
C0027651	180.1	Malignant neoplasm of exocervix	HP_0002664	Neoplasm	['180', '180.1']	['106', '106.1', '106.13', '130']	malignant neoplasm of exocervix	['CA_106.13', 'CA_130']
C0027651	180.0	Malignant neoplasm of endocervix	HP_0002664	Neoplasm	['180', '180.1']	['106', '106.1', '106.13', '130']	malignant neoplasm of endocervix	['CA_106.13', 'CA_130']
C0027651	180	Malignant neoplasm of cervix uteri	HP_0002664	Neoplasm	['180']	['106', '106.1', '106.13', '130']	malignant neoplasm of cervix uteri	['CA_106.13', 'CA_130']
C0027651	198.8	Secondary malignant neoplasm of other specified sites	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of other specified sites	['CA_116']
C0027651	210.4	Benign neoplasm of other and unspecified parts of mouth	HP_0002664	Neoplasm	['210']	['135', '135.1']	benign neoplasm of other andparts of mouth	['CA_135.1']
C0027651	179	Malignant neoplasm of uterus, part unspecified	HP_0002664	Neoplasm	['182']	['106', '106.2', '130']	malignant neoplasm of uterus part	['CA_106.2', 'CA_130']
C0027651	176.9	Kaposi's sarcoma, unspecified site	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcomasite	['CA_104.6']
C0027651	176.8	Kaposi's sarcoma, other specified sites	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma other specified sites	['CA_104.6']
C0027651	176.5	Kaposi's sarcoma, lymph nodes	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma lymph nodes	['CA_104.6']
C0027651	198.81	Secondary malignant neoplasm of breast	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of breast	['CA_116']
C0027651	176.4	Kaposi's sarcoma, lung	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma lung	['CA_104.6']
C0027651	176.3	Kaposi's sarcoma, gastrointestinal sites	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma gastrointestinal sites	['CA_104.6']
C0027651	176.2	Kaposi's sarcoma, palate	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma palate	['CA_104.6']
C0027651	176.1	Kaposi's sarcoma, soft tissue	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma soft tissue	['CA_104.6']
C0027651	176.0	Kaposi's sarcoma, skin	HP_0002664	Neoplasm	['230']	['104', '104.6']	kaposis sarcoma skin	['CA_104.6']
C0027651	180.8	Malignant neoplasm of other specified sites of cervix	HP_0002664	Neoplasm	['180', '180.1']	['106', '106.1', '106.13', '130']	malignant neoplasm of other specified sites of cervix	['CA_106.13', 'CA_130']
C0027651	183.0	Malignant neoplasm of ovary	HP_0002664	Neoplasm	['184', '184.1', '184.11']	['106', '106.3', '130']	malignant neoplasm of ovary	['CA_106.3', 'CA_130']
C0027651	180.9	Malignant neoplasm of cervix uteri, unspecified site	HP_0002664	Neoplasm	['180', '180.1']	['106', '106.1', '106.13', '130']	malignant neoplasm of cervix uterisite	['CA_106.13', 'CA_130']
C0027651	182	Malignant neoplasm of body of uterus	HP_0002664	Neoplasm	['182']	['106', '106.2', '130']	malignant neoplasm of body of uterus	['CA_106.2', 'CA_130']
C0027651	183	Malignant neoplasm of ovary and other uterine adnexa	HP_0002664	Neoplasm	['184', '184.1']	['106', '130']	malignant neoplasm of ovary and other uterine adnexa	['CA_106', 'CA_130']
C0027651	197.7	Malignant neoplasm of liver, secondary	HP_0002664	Neoplasm	['198', '198.4']	['116', '116.4']	malignant neoplasm of liver secondary	['CA_116']
C0027651	182.8	Malignant neoplasm of other specified sites of body of uterus	HP_0002664	Neoplasm	['182']	['106', '106.2', '130']	malignant neoplasm of other specified sites of body of uterus	['CA_106.2', 'CA_130']
C0027651	197.8	Secondary malignant neoplasm of other digestive organs and spleen	HP_0002664	Neoplasm	['198', '198.3']	['116', '116.3']	secondary malignant neoplasm of other digestive organs and spleen	['CA_116']
C0027651	198	Secondary malignant neoplasm of other specified sites	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of other specified sites	['CA_116']
C0027651	198.0	Secondary malignant neoplasm of kidney	HP_0002664	Neoplasm	['198']	['116']	secondary malignant neoplasm of kidney	['CA_116']
C0027651	194.3	Malignant neoplasm of pituitary gland and craniopharyngeal duct	HP_0002664	Neoplasm	['194']	['110', '110.4', '130']	malignant neoplasm of pituitary gland and craniopharyngeal duct	['CA_110.4', 'CA_130']
