phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category	hpo_code	hpo_label	hpo_simpleLabel	hpo_original
417.1	Palpitations	palpitations	Cardio	HP_0001962	Palpitations	palpitations	True
416.1	Paroxysmal tachycardia	paroxysmal tachycardia	Cardio	HP_0006671	Paroxysmal atrial tachycardia	paroxysmal atrial tachycardia	True
416.1	Paroxysmal tachycardia	paroxysmal tachycardia	Cardio	HP_0006688	Paroxysmal tachycardia	paroxysmal tachycardia	True
424	Heart failure	heart failure	Cardio	HP_0001635	Heart failure	heart failure	False
438.43	Coronary artery dissection	coronary artery dissection	Cardio	HP_0006702	Coronary artery dissection	coronary artery dissection	True
444	Venous insufficiency	venous insufficiency	Cardio	HP_0005293	Venous insufficiency	venous insufficiency	True
439	Hemorrhoids	hemorrhoids	Cardio	HP_0032551	Hemorrhoids	hemorrhoids	True
439	Hemorrhoids	hemorrhoids	Cardio	HP_0032551	Haemorrhoids	hemorrhoids	False
465	Pharyngitis	pharyngitis	Resp	HP_0025439	Pharyngitis	pharyngitis	True
471.5	Nasal polyps	nasal polyps	Resp	HP_0100582	Nasal polyps	nasal polyps	False
475	Asthma	asthma	Resp	HP_0002099	Asthma	asthma	True
476	Bronchiectasis	bronchiectasis	Resp	HP_0002110	Bronchiectasis	bronchiectasis	True
232.5	Vitamin E deficiency*	vitamin e deficiency	Metab	HP_0100513	Vitamin E deficiency	vitamin e deficiency	False
520	Hernia	hernia	GI	HP_0100790	Hernia	hernia	True
507.3	Oral leukoplakia	oral leukoplakia	GI	HP_0002745	Oral leukoplakia	oral leukoplakia	True
507.3	Oral leukoplakia	oral leukoplakia	GI	HP_0025126	Oral hairy leukoplakia	oral hairy leukoplakia	True
766.1	Biliary atresia	biliary atresia	Cong	HP_0005912	Biliary atresia	biliary atresia	True
766.1	Biliary atresia	biliary atresia	Cong	HP_0005912	Biliary duct atresia	biliary duct atresia	False
765.7	Persistent cloaca*	persistent cloaca	Cong	HP_0012621	Persistent cloaca	persistent cloaca	True
540	Hepatitis	hepatitis	GI	HP_0012115	Hepatitis	hepatitis	True
751.2	Craniorachischisis	craniorachischisis	Cong	HP_0030770	Craniorachischisis	craniorachischisis	True
514.3	Ileus	ileus	GI	HP_0002595	Ileus	ileus	True
530.1	Anal fissure	anal fissure	GI	HP_0012390	Anal fissure	anal fissure	True
537	Abnormality of the peritoneum	abnormality of the peritoneum	GI	HP_0002585	Abnormality of the peritoneum	abnormality of the peritoneum	True
554.3	Exocrine pancreatic insufficiency*	exocrine pancreatic insufficiency	GI	HP_0001738	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	True
555	Ascites	ascites	GI	HP_0001541	Ascites	ascites	True
557	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	GI	HP_0002239	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	True
557	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	GI	HP_0002239	Gastrointestinal haemorrhage	gastrointestinal hemorrhage	False
593	Hematuria	hematuria	Genitourinary	HP_0000790	Hematuria	hematuria	True
600	Benign prostatic hyperplasia	benign prostatic hyperplasia	Genitourinary	HP_0008711	Benign prostatic hyperplasia	benign prostatic hyperplasia	True
615	Endometriosis	endometriosis	Genitourinary	HP_0030127	Endometriosis	endometriosis	True
628	Ovarian cyst	ovarian cyst	Genitourinary	HP_0000138	Ovarian cyst	ovarian cyst	True
666	Urticaria	urticaria	Derm	HP_0001025	Urticaria	urticaria	True
670	Seborrheic keratosis	seborrheic keratosis	Derm	HP_0031287	Seborrheic keratosis	seborrheic keratosis	True
680	Epidermal thickening	epidermal thickening	Derm	HP_0011368	Epidermal thickening	epidermal thickening	True
708	Osteoarthritis	osteoarthritis	Musc/Skel	HP_0002758	Osteoarthritis	osteoarthritis	True
708	Osteoarthritis	osteoarthritis	Musc/Skel	HP_0005086	Knee osteoarthritis	knee osteoarthritis	True
708	Osteoarthritis	osteoarthritis	Musc/Skel	HP_0008843	Hip osteoarthritis	hip osteoarthritis	True
807.21	Muscle weakness (generalized)	muscle weakness generalized	Signs/Symptoms	HP_0003324	Generalized muscle weakness	generalized muscle weakness	True
807.21	Muscle weakness (generalized)	muscle weakness generalized	Signs/Symptoms	HP_0003324	Generalised muscle weakness	generalized muscle weakness	False
807.21	Muscle weakness (generalized)	muscle weakness generalized	Signs/Symptoms	HP_0003324	Muscle weakness, generalised	muscle weakness generalized	False
807.21	Muscle weakness (generalized)	muscle weakness generalized	Signs/Symptoms	HP_0003324	Muscle weakness, generalized	muscle weakness generalized	False
757	Oral cleft	oral cleft	Cong	HP_0000202	Oral cleft	oral cleft	True
757.1	Cleft palate	cleft palate	Cong	HP_0000175	Cleft palate	cleft palate	True
757.1	Cleft palate	cleft palate	Cong	HP_0000175	Cleft of palate	cleft of palate	False
757.1	Cleft palate	cleft palate	Cong	HP_0000185	Cleft soft palate	cleft soft palate	True
757.1	Cleft palate	cleft palate	Cong	HP_0410005	Cleft hard palate	cleft hard palate	True
757.1	Cleft palate	cleft palate	Cong	HP_0410005	Cleft bony palate	cleft bony palate	False
463.2	Allergic rhinitis	allergic rhinitis	Resp	HP_0003193	Allergic rhinitis	allergic rhinitis	True
122.1	Hodgkin lymphoma	hodgkin lymphoma	Neoplasms	HP_0012189	Hodgkin lymphoma	hodgkin lymphoma	True
122.2	Non-Hodgkin lymphoma	non-hodgkin lymphoma	Neoplasms	HP_0012539	Non-Hodgkin lymphoma	non-hodgkin lymphoma	True
122	Lymphoma	lymphoma	Neoplasms	HP_0002665	Lymphoma	lymphoma	True
787.1	Klippel-Feil syndrome	klippel-feil syndrome	Cong	HP_0004602	Klippel-Feil syndrome	klippel-feil syndrome	False
832.4	Hemoglobinuria	hemoglobinuria	Signs/Symptoms	HP_0003641	Hemoglobinuria	hemoglobinuria	True
527	Abdominal pain	abdominal pain	GI	HP_0002027	Abdominal pain	abdominal pain	True
527	Abdominal pain	abdominal pain	GI	HP_0033400	Acute abdominal pain	acute abdominal pain	False
528	Nausea and vomiting	nausea and vomiting	GI	HP_0002017	Nausea and vomiting	nausea and vomiting	True
751.5	Hydromyelia	hydromyelia	Cong	HP_0100565	Hydromyelia	hydromyelia	True
831	Glycosuria	glycosuria	Signs/Symptoms	HP_0003076	Glycosuria	glycosuria	True
179.9	Immunodeficiency NOS	immunodeficiency	Blood	HP_0002721	Immunodeficiency	immunodeficiency	True
810	Shock	shock	Signs/Symptoms	HP_0031273	Shock	shock	True
T830	Dislocation	dislocation	Trauma	HP_0001083	Lens dislocation	lens dislocation	False
T830	Dislocation	dislocation	Trauma	HP_0002827	Hip dislocation	hip dislocation	True
T830	Dislocation	dislocation	Trauma	HP_0004976	Knee dislocation	knee dislocation	True
165.4	Methemoglobinemia	methemoglobinemia	Blood	HP_0012119	Methemoglobinemia	methemoglobinemia	True
840	Allergy	allergy	Signs/Symptoms	HP_0012393	Allergy	allergy	True
765.6	Ectopic anus*	ectopic anus	Cong	HP_0004397	Ectopic anus	ectopic anus	True
812	Edema	edema	Signs/Symptoms	HP_0000969	Edema	edema	True
684.1	Alopecia	alopecia	Derm	HP_0001596	Alopecia	alopecia	True
200.4	Thyroiditis	thyroiditis	Endo	HP_0100646	Thyroiditis	thyroiditis	True
328.3	Cerebral degeneration	cerebral degeneration	Neuro	HP_0007313	Cerebral degeneration	cerebral degeneration	True
387.1	Hypermetropia	hypermetropia	Eye	HP_0000540	Hypermetropia	hypermetropia	True
387.1	Hypermetropia	hypermetropia	Eye	HP_0008499	High hypermetropia	high hypermetropia	True
387.1	Hypermetropia	hypermetropia	Eye	HP_0031728	Mild hypermetropia	mild hypermetropia	True
387.2	Myopia	myopia	Eye	HP_0000545	Myopia	myopia	True
390.4	Impacted cerumen	impacted cerumen	Hearing	HP_0030788	Impacted cerumen	impacted cerumen	True
701.1	Osteomyelitis	osteomyelitis	Musc/Skel	HP_0001886	Foot osteomyelitis	foot osteomyelitis	True
701.1	Osteomyelitis	osteomyelitis	Musc/Skel	HP_0002754	Osteomyelitis	osteomyelitis	True
205	Hypoglycemia	hypoglycemia	Endo	HP_0001943	Hypoglycemia	hypoglycemia	True
239.4	Hyperchylomicronemia	hyperchylomicronemia	Metab	HP_0012238	Hyperchylomicronemia	hyperchylomicronemia	False
416.6	Long QT syndrome	long qt syndrome	Cardio	HP_0001657	Long QT syndrome	long qt syndrome	False
544	Biliary cirrhosis	biliary cirrhosis	GI	HP_0002613	Biliary cirrhosis	biliary cirrhosis	True
381.31	Alternating esotropia	alternating esotropia	Eye	HP_0001137	Alternating esotropia	alternating esotropia	True
440.4	Septic embolism	septic embolism	Cardio	HP_0033553	Septic embolism	septic embolism	True
420	Cardiac arrest	cardiac arrest	Cardio	HP_0001695	Cardiac arrest	cardiac arrest	True
417.3	Bradycardia*	bradycardia	Cardio	HP_0001662	Bradycardia	bradycardia	True
416.11	Supraventricular tachycardia	supraventricular tachycardia	Cardio	HP_0004755	Supraventricular tachycardia	supraventricular tachycardia	True
416.11	Supraventricular tachycardia	supraventricular tachycardia	Cardio	HP_0004763	Paroxysmal supraventricular tachycardia	paroxysmal supraventricular tachycardia	True
416.11	Supraventricular tachycardia	supraventricular tachycardia	Cardio	HP_0004763	Episodic supraventricular tachycardia	episodic supraventricular tachycardia	False
390.1	Otitis externa	otitis externa	Hearing	HP_0410017	Otitis externa	otitis externa	True
371.1	Cortical age-related cataract	cortical age-related cataract	Eye	HP_0011143	Age-related cortical cataract	age-related cortical cataract	True
682.1	Cutaneous cyst	cutaneous cyst	Derm	HP_0025245	Cutaneous cyst	cutaneous cyst	True
375.11	Open angle glaucoma	open angle glaucoma	Eye	HP_0012108	Open angle glaucoma	open angle glaucoma	True
386.1	Amblyopia	amblyopia	Eye	HP_0000646	Amblyopia	amblyopia	True
386.2	Diplopia	diplopia	Eye	HP_0000651	Diplopia	diplopia	True
700.4	Inflammatory myopathy	inflammatory myopathy	Musc/Skel	HP_0009071	Inflammatory myopathy	inflammatory myopathy	True
684.11	Alopecia Areata	alopecia areata	Derm	HP_0002232	Alopecia areata	alopecia areata	False
705.1	Rheumatoid arthritis	rheumatoid arthritis	Musc/Skel	HP_0001370	Rheumatoid arthritis	rheumatoid arthritis	True
705.1	Rheumatoid arthritis	rheumatoid arthritis	Musc/Skel	HP_0005681	Juvenile rheumatoid arthritis	juvenile rheumatoid arthritis	True
705.1	Rheumatoid arthritis	rheumatoid arthritis	Musc/Skel	HP_0005681	Rheumatoid arthritis, juvenile	rheumatoid arthritis juvenile	False
416.31	Ventricular fibrillation	ventricular fibrillation	Cardio	HP_0001663	Ventricular fibrillation	ventricular fibrillation	True
416.32	Ventricular flutter	ventricular flutter	Cardio	HP_0011841	Ventricular flutter	ventricular flutter	True
726.1	Osteoporosis	osteoporosis	Musc/Skel	HP_0000939	Osteoporosis	osteoporosis	True
726.2	Pathologic fracture	pathologic fracture	Musc/Skel	HP_0002756	Pathologic fracture	pathologic fracture	True
202.1	Type 1 diabetes	type 1 diabetes	Endo	HP_0100651	Type 1 diabetes	type 1 diabetes	False
256.31	Acidosis	acidosis	Metab	HP_0001941	Acidosis	acidosis	True
397.11	Pulsatile tinnitus*	pulsatile tinnitus	Hearing	HP_0008629	Pulsatile tinnitus	pulsatile tinnitus	True
361.36	Brow ptosis*	brow ptosis	Eye	HP_0031623	Brow ptosis	brow ptosis	True
380.1	Optic neuropathy	optic neuropathy	Eye	HP_0001138	Optic neuropathy	optic neuropathy	True
601.1	Prostatitis	prostatitis	Genitourinary	HP_0000024	Prostatitis	prostatitis	True
414.7	Endocardial fibroelastosis	endocardial fibroelastosis	Cardio	HP_0001706	Endocardial fibroelastosis	endocardial fibroelastosis	True
436.3	Atherosclerosis of aorta	atherosclerosis of aorta	Cardio	HP_0012397	Atherosclerosis of the aorta	atherosclerosis of the aorta	False
530.3	Rectal prolapse	rectal prolapse	GI	HP_0002035	Rectal prolapse	rectal prolapse	True
446	Hypotension	hypotension	Cardio	HP_0002615	Hypotension	hypotension	True
537.1	Peritonitis	peritonitis	GI	HP_0002586	Peritonitis	peritonitis	True
522.12	Ulcerative colitis	ulcerative colitis	GI	HP_0100279	Ulcerative colitis	ulcerative colitis	True
503.5	Periapical abscess	periapical abscess	GI	HP_0030758	Periapical tooth abscess	periapical tooth abscess	True
504.3	Periodontitis	periodontitis	GI	HP_0000704	Periodontitis	periodontitis	True
504.1	Gingivitis	gingivitis	GI	HP_0000230	Gingivitis	gingivitis	True
762.11	Esophageal web*	esophageal web	Cong	HP_0100594	Esophageal web	esophageal web	True
812.1	Generalized edema*	generalized edema	Signs/Symptoms	HP_0007430	Generalized edema	generalized edema	True
812.1	Generalized edema*	generalized edema	Signs/Symptoms	HP_0007430	Generalized tissue edema	generalized tissue edema	False
812.1	Generalized edema*	generalized edema	Signs/Symptoms	HP_0012050	Extreme generalized edema	extreme generalized edema	False
554.1	Pancreatitis	pancreatitis	GI	HP_0001733	Pancreatitis	pancreatitis	True
557.1	Hematemesis	hematemesis	GI	HP_0002248	Hematemesis	hematemesis	True
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0000819	Diabetes mellitus	diabetes mellitus	True
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0005978	Type II diabetes mellitus	type ii diabetes mellitus	True
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0005978	Diabetes mellitus Type II	diabetes mellitus type ii	False
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0005978	NIDDM diabetes mellitus	niddm diabetes mellitus	False
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0100651	Type I diabetes mellitus	type i diabetes mellitus	True
202	Diabetes mellitus	diabetes mellitus	Endo	HP_0100651	Diabetes mellitus Type I	diabetes mellitus type i	False
627.1	Postmenopausal bleeding	postmenopausal bleeding	Genitourinary	HP_0033840	Postmenopausal bleeding	postmenopausal bleeding	True
593.2	Microscopic hematuria	microscopic hematuria	Genitourinary	HP_0002907	Microscopic hematuria	microscopic hematuria	True
546.3	Hepatomegaly	hepatomegaly	GI	HP_0002240	Hepatomegaly	hepatomegaly	True
217.1	Delayed puberty	delayed puberty	Endo	HP_0000823	Delayed puberty	delayed puberty	True
209.2	Hypopituitarism	hypopituitarism	Endo	HP_0040075	Hypopituitarism	hypopituitarism	True
211.2	Adrenocortical insufficiency	adrenocortical insufficiency	Endo	HP_0008207	Adrenocortical insufficiency	adrenocortical insufficiency	False
211.12	Secondary hyperaldosteronism	secondary hyperaldosteronism	Endo	HP_0011741	Secondary hyperaldosteronism	secondary hyperaldosteronism	True
171.7	Eosinophilia	eosinophilia	Blood	HP_0001880	Eosinophilia	eosinophilia	True
171.7	Eosinophilia	eosinophilia	Blood	HP_0032064	GI eosinophilia	gi eosinophilia	False
247.51	Hypocalcemia	hypocalcemia	Metab	HP_0002901	Hypocalcemia	hypocalcemia	True
179.1	Hypogammaglobulinemia NOS	hypogammaglobulinemia	Blood	HP_0004313	Hypogammaglobulinemia	hypogammaglobulinemia	False
122.24	T-cell lymphoma	t-cell lymphoma	Neoplasms	HP_0012190	T-cell lymphoma	t-cell lymphoma	True
325.1	Abnormal involuntary movements	abnormal involuntary movements	Neuro	HP_0012547	Abnormal involuntary eye movements	abnormal involuntary eye movements	True
247.84	Molybdenum deficiency*	molybdenum deficiency	Metab	HP_0003570	Molybdenum cofactor deficiency	molybdenum cofactor deficiency	True
380.13	Optic nerve hypoplasia	optic nerve hypoplasia	Eye	HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True
381.7	Cyclotropia	cyclotropia	Eye	HP_0031776	Cyclotropia	cyclotropia	True
381.32	Accommodative esotropia	accommodative esotropia	Eye	HP_0020046	Accommodative esotropia	accommodative esotropia	True
384.3	Mydriasis	mydriasis	Eye	HP_0011499	Mydriasis	mydriasis	True
386.4	Visual field defects	visual field defects	Eye	HP_0001123	Visual field defects	visual field defects	False
360.1	Hordeolum	hordeolum	Eye	HP_0010606	Hordeolum	hordeolum	True
360.2	Chalazion	chalazion	Eye	HP_0010605	Chalazion	chalazion	True
391.1	Otitis media	otitis media	Hearing	HP_0000388	Otitis media	otitis media	True
391.11	Acute otitis media	acute otitis media	Hearing	HP_0000371	Acute otitis media	acute otitis media	True
481.4	Pulmonary fibrosis	pulmonary fibrosis	Resp	HP_0002206	Pulmonary fibrosis	pulmonary fibrosis	True
481.6	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	Resp	HP_0006527	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	False
481.2	Alveolar proteinosis	alveolar proteinosis	Resp	HP_0006517	Alveolar proteinosis	alveolar proteinosis	False
462.1	Acute sinusitis	acute sinusitis	Resp	HP_0000255	Acute sinusitis	acute sinusitis	True
498.2	Cyanosis	cyanosis	Resp	HP_0000961	Cyanosis	cyanosis	True
492	Tracheoesophageal fistula	tracheoesophageal fistula	Resp	HP_0002575	Tracheoesophageal fistula	tracheoesophageal fistula	True
486.5	Abnormal sputum	abnormal sputum	Resp	HP_0032016	Abnormal sputum	abnormal sputum	True
480	Pulmonary edema	pulmonary edema	Resp	HP_0100598	Pulmonary edema	pulmonary edema	True
247.12	Copper deficiency*	copper deficiency	Metab	HP_0011967	Copper deficiency	copper deficiency	False
474.1	Emphysema	emphysema	Resp	HP_0002097	Emphysema	emphysema	True
414.1	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	Cardio	HP_0001639	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	True
414.1	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	Cardio	HP_0001639	Cardiomyopathy, hypertrophic	cardiomyopathy hypertrophic	False
414.1	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	Cardio	HP_0005157	Concentric hypertrophic cardiomyopathy	concentric hypertrophic cardiomyopathy	True
414.1	Hypertrophic cardiomyopathy	hypertrophic cardiomyopathy	Cardio	HP_0031992	Apical hypertrophic cardiomyopathy	apical hypertrophic cardiomyopathy	True
414.2	Dilated cardiomyopathy*	dilated cardiomyopathy	Cardio	HP_0001644	Dilated cardiomyopathy	dilated cardiomyopathy	True
414.2	Dilated cardiomyopathy*	dilated cardiomyopathy	Cardio	HP_0001644	Cardiomyopathy, dilated	cardiomyopathy dilated	False
411.3	Cardiac tamponade	cardiac tamponade	Cardio	HP_0033415	Cardiac tamponade	cardiac tamponade	True
169.1	Thrombocytopenia	thrombocytopenia	Blood	HP_0001873	Thrombocytopenia	thrombocytopenia	True
169.1	Thrombocytopenia	thrombocytopenia	Blood	HP_0001973	Immune thrombocytopenia	immune thrombocytopenia	False
416.42	Left bundle branch block	left bundle branch block	Cardio	HP_0011713	Left bundle branch block	left bundle branch block	True
416.43	Right bundle branch block	right bundle branch block	Cardio	HP_0011712	Right bundle branch block	right bundle branch block	True
416.12	Ventricular tachycardia	ventricular tachycardia	Cardio	HP_0004751	Paroxysmal ventricular tachycardia	paroxysmal ventricular tachycardia	True
416.12	Ventricular tachycardia	ventricular tachycardia	Cardio	HP_0004756	Ventricular tachycardia	ventricular tachycardia	True
540.2	Acute hepatitis	acute hepatitis	GI	HP_0200119	Acute hepatitis	acute hepatitis	True
417.2	Tachycardia	tachycardia	Cardio	HP_0001649	Tachycardia	tachycardia	True
443.3	Arterial fibromuscular dysplasia*	arterial fibromuscular dysplasia	Cardio	HP_0005313	Arterial fibromuscular dysplasia	arterial fibromuscular dysplasia	True
433.21	Carotid artery stenosis	carotid artery stenosis	Cardio	HP_0100546	Carotid artery stenosis	carotid artery stenosis	True
431.1	Stroke	stroke	Cardio	HP_0001297	Stroke	stroke	True
537.2	Hemoperitoneum	hemoperitoneum	GI	HP_0011854	Hemoperitoneum	hemoperitoneum	True
438.4	Arterial dissection	arterial dissection	Cardio	HP_0005294	Arterial dissection	arterial dissection	True
444.13	Esophageal varix	esophageal varix	Cardio	HP_0002040	Esophageal varix	esophageal varix	True
438.42	Carotid artery dissection	carotid artery dissection	Cardio	HP_0012159	Internal carotid artery dissection	internal carotid artery dissection	True
438.42	Carotid artery dissection	carotid artery dissection	Cardio	HP_0012158	Carotid artery dissection	carotid artery dissection	True
438.42	Carotid artery dissection	carotid artery dissection	Cardio	HP_0012161	External carotid artery dissection	external carotid artery dissection	True
438.42	Carotid artery dissection	carotid artery dissection	Cardio	HP_0012162	Common carotid artery dissection	common carotid artery dissection	True
177.4	Lymphedema	lymphedema	Blood	HP_0001004	Lymphedema	lymphedema	True
440.14	Budd-Chiari syndrome	budd-chiari syndrome	Cardio	HP_0002639	Budd-Chiari syndrome	budd-chiari syndrome	True
520.1	Hernia of the abdominal wall	hernia of the abdominal wall	GI	HP_0004299	Hernia of the abdominal wall	hernia of the abdominal wall	True
522.11	Crohn's disease	crohns disease	GI	HP_0100280	Crohn's disease	crohns disease	True
751.3	Encephalocele	encephalocele	Cong	HP_0002084	Encephalocele	encephalocele	True
751.3	Encephalocele	encephalocele	Cong	HP_0011817	Basal encephalocele	basal encephalocele	True
734.9	Jaw pain	jaw pain	Musc/Skel	HP_0040264	Jaw pain	jaw pain	True
758.61	Choanal atresia	choanal atresia	Cong	HP_0000453	Choanal atresia	choanal atresia	True
767.1	Annular pancreas	annular pancreas	Cong	HP_0001734	Annular pancreas	annular pancreas	True
765.5	Intestinal duplication*	intestinal duplication	Cong	HP_0100668	Intestinal duplication	intestinal duplication	True
751.1	Spina bifida	spina bifida	Cong	HP_0002414	Spina bifida	spina bifida	True
540.1	Chronic hepatitis	chronic hepatitis	GI	HP_0200120	Chronic active hepatitis	chronic active hepatitis	True
540.1	Chronic hepatitis	chronic hepatitis	GI	HP_0200123	Chronic hepatitis	chronic hepatitis	True
542.3	Hepatic failure	hepatic failure	GI	HP_0001399	Hepatic failure	hepatic failure	True
542.3	Hepatic failure	hepatic failure	GI	HP_0006554	Acute hepatic failure	acute hepatic failure	True
750.12	Anencephaly	anencephaly	Cong	HP_0002323	Anencephaly	anencephaly	True
750.11	Microcephaly	microcephaly	Cong	HP_0000252	Microcephaly	microcephaly	True
750.11	Microcephaly	microcephaly	Cong	HP_0040196	Mild microcephaly	mild microcephaly	True
552.1	Cholangitis	cholangitis	GI	HP_0030151	Cholangitis	cholangitis	True
529.5	Constipation	constipation	GI	HP_0002019	Constipation	constipation	True
525	Intestinal malabsorption	intestinal malabsorption	GI	HP_0002024	Intestinal malabsorption	intestinal malabsorption	False
414.8	Restrictive cardiomyopathy*	restrictive cardiomyopathy	Cardio	HP_0001723	Restrictive cardiomyopathy	restrictive cardiomyopathy	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0003774	Stage 5 chronic kidney disease	stage 5 chronic kidney disease	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0012622	Chronic kidney disease	chronic kidney disease	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0012623	Stage 1 chronic kidney disease	stage 1 chronic kidney disease	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0012624	Stage 2 chronic kidney disease	stage 2 chronic kidney disease	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0012625	Stage 3 chronic kidney disease	stage 3 chronic kidney disease	True
583	Chronic kidney disease	chronic kidney disease	Genitourinary	HP_0012626	Stage 4 chronic kidney disease	stage 4 chronic kidney disease	True
581.1	Pyelonephritis	pyelonephritis	Genitourinary	HP_0012330	Pyelonephritis	pyelonephritis	True
581.31	Hydronephrosis	hydronephrosis	Genitourinary	HP_0000126	Hydronephrosis	hydronephrosis	True
581.32	Hydroureter	hydroureter	Genitourinary	HP_0000072	Hydroureter	hydroureter	True
584	Renal failure	renal failure	Genitourinary	HP_0000083	Renal failure	renal failure	False
584	Renal failure	renal failure	Genitourinary	HP_0001919	Acute renal failure	acute renal failure	False
580.3	Nephrotic syndrome	nephrotic syndrome	Genitourinary	HP_0000100	Nephrotic syndrome	nephrotic syndrome	True
582	Acute kidney failure	acute kidney failure	Genitourinary	HP_0001919	Acute kidney failure	acute kidney failure	False
