ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_codeList
C46.9	Kaposi's sarcoma, unspecified	kaposis sarcoma	['230']	['104', '104.6']	HP_0100726	Kaposi's sarcoma	kaposis sarcoma	True	['CA_104.6']
C49.A	Gastrointestinal stromal tumor	gastrointestinal stromal tumor	['170', '170.2']	['104', '104.5', '130']	HP_0100723	Gastrointestinal stromal tumor	gastrointestinal stromal tumor	False	['CA_104.5', 'CA_130']
C49.A	Gastrointestinal stromal tumor	gastrointestinal stromal tumor	['170', '170.2']	['104', '104.5', '130']	HP_0100723	Gastrointestinal stromal tumour	gastrointestinal stromal tumor	False	['CA_104.5', 'CA_130']
C72.9	Malignant neoplasm of central nervous system, unspecified	malignant neoplasm of central nervous system	['191', '191.1']	['109', '130']	HP_0100836	Malignant neoplasm of the central nervous system	malignant neoplasm of the central nervous system	True	['CA_109', 'CA_130']
C81	Hodgkin lymphoma	hodgkin lymphoma	['201']	['120', '120.2', '122', '122.1']	HP_0012189	Hodgkin lymphoma	hodgkin lymphoma	True	['CA_120.2', 'CA_122.1']
C81.9	Hodgkin lymphoma, unspecified	hodgkin lymphoma	['201']	['120', '120.2', '122', '122.1']	HP_0012189	Hodgkin lymphoma	hodgkin lymphoma	True	['CA_120.2', 'CA_122.1']
C82	Follicular lymphoma	follicular lymphoma	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']	HP_0033125	Follicular lymphoma	follicular lymphoma	True	['CA_120.21', 'CA_122.21']
C82.9	Follicular lymphoma, unspecified	follicular lymphoma	['202', '202.2', '202.21']	['120', '120.2', '120.21', '122', '122.2', '122.21']	HP_0033125	Follicular lymphoma	follicular lymphoma	True	['CA_120.21', 'CA_122.21']
C83.7	Burkitt lymphoma	burkitt lymphoma	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2', '122.23']	HP_0030080	Burkitt lymphoma	burkitt lymphoma	True	['CA_120.21', 'CA_122.23']
C84.A	Cutaneous T-cell lymphoma, unspecified	cutaneous t-cell lymphoma	['202', '202.2']	['120', '120.2', '120.22', '122', '122.2', '122.24']	HP_0012192	Cutaneous T-cell lymphoma	cutaneous t-cell lymphoma	True	['CA_120.22', 'CA_122.24']
C85.1	Unspecified B-cell lymphoma	b-cell lymphoma	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']	HP_0012191	B-cell lymphoma	b-cell lymphoma	True	['CA_120.21', 'CA_122.2']
C85.9	Non-Hodgkin lymphoma, unspecified	non-hodgkin lymphoma	['202', '202.2']	['120', '122', '122.2']	HP_0012539	Non-Hodgkin lymphoma	non-hodgkin lymphoma	True	['CA_120', 'CA_122.2']
C90.0	Multiple myeloma	multiple myeloma	['204', '204.4']	['120', '120.1', '123', '123.1']	HP_0006775	Multiple myeloma	multiple myeloma	True	['CA_120.1', 'CA_123.1']
C91	Lymphoid leukemia	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0006721	Acute lymphoid leukaemia	acute lymphoid leukemia	False	['CA_120.2', 'CA_121']
C91	Lymphoid leukemia	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0006721	Acute lymphoid leukemia	acute lymphoid leukemia	False	['CA_120.2', 'CA_121']
C91	Lymphoid leukemia	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0005526	Lymphoid leukemia	lymphoid leukemia	True	['CA_120.2', 'CA_121']
C91	Lymphoid leukemia	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0005526	Lymphoid leukaemia	lymphoid leukemia	False	['CA_120.2', 'CA_121']
C91.9	Lymphoid leukemia, unspecified	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0006721	Acute lymphoid leukaemia	acute lymphoid leukemia	False	['CA_120.2', 'CA_121']
C91.9	Lymphoid leukemia, unspecified	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0006721	Acute lymphoid leukemia	acute lymphoid leukemia	False	['CA_120.2', 'CA_121']
C91.9	Lymphoid leukemia, unspecified	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0005526	Lymphoid leukemia	lymphoid leukemia	True	['CA_120.2', 'CA_121']
C91.9	Lymphoid leukemia, unspecified	lymphoid leukemia	['204', '204.1']	['120', '120.2', '121']	HP_0005526	Lymphoid leukaemia	lymphoid leukemia	False	['CA_120.2', 'CA_121']
C92	Myeloid leukemia	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0004808	Acute myeloid leukemia	acute myeloid leukemia	True	['CA_120.1', 'CA_121']
C92	Myeloid leukemia	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0004808	Acute myeloid leukaemia	acute myeloid leukemia	False	['CA_120.1', 'CA_121']
C92	Myeloid leukemia	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0012324	Myeloid leukemia	myeloid leukemia	True	['CA_120.1', 'CA_121']
C92	Myeloid leukemia	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0012324	Myeloid leukaemia	myeloid leukemia	False	['CA_120.1', 'CA_121']
C92.0	Acute myeloblastic leukemia	acute myeloblastic leukemia	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']	HP_0004808	Acute myeloblastic leukaemia	acute myeloblastic leukemia	False	['CA_120.1', 'CA_121.12']
C92.0	Acute myeloblastic leukemia	acute myeloblastic leukemia	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']	HP_0004808	Acute myeloblastic leukemia	acute myeloblastic leukemia	False	['CA_120.1', 'CA_121.12']
C92.4	Acute promyelocytic leukemia	acute promyelocytic leukemia	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']	HP_0004836	Acute promyelocytic leukemia	acute promyelocytic leukemia	True	['CA_120.1', 'CA_121.12']
C92.4	Acute promyelocytic leukemia	acute promyelocytic leukemia	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']	HP_0004836	Acute promyelocytic leukaemia	acute promyelocytic leukemia	False	['CA_120.1', 'CA_121.12']
C92.5	Acute myelomonocytic leukemia	acute myelomonocytic leukemia	['204', '204.2', '204.21']	['120', '120.1', '120.12', '121', '121.1', '121.12']	HP_0004820	Acute myelomonocytic leukemia	acute myelomonocytic leukemia	True	['CA_120.12', 'CA_121.12']
C92.5	Acute myelomonocytic leukemia	acute myelomonocytic leukemia	['204', '204.2', '204.21']	['120', '120.1', '120.12', '121', '121.1', '121.12']	HP_0004820	Acute myelomonocytic leukaemia	acute myelomonocytic leukemia	False	['CA_120.12', 'CA_121.12']
C92.9	Myeloid leukemia, unspecified	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0004808	Acute myeloid leukemia	acute myeloid leukemia	True	['CA_120.1', 'CA_121']
C92.9	Myeloid leukemia, unspecified	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0004808	Acute myeloid leukaemia	acute myeloid leukemia	False	['CA_120.1', 'CA_121']
C92.9	Myeloid leukemia, unspecified	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0012324	Myeloid leukemia	myeloid leukemia	True	['CA_120.1', 'CA_121']
C92.9	Myeloid leukemia, unspecified	myeloid leukemia	['204', '204.2']	['120', '120.1', '121']	HP_0012324	Myeloid leukaemia	myeloid leukemia	False	['CA_120.1', 'CA_121']
C93	Monocytic leukemia	monocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121']	HP_0004845	Acute monocytic leukemia	acute monocytic leukemia	True	['CA_120.12', 'CA_121']
C93	Monocytic leukemia	monocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121']	HP_0004845	Acute monocytic leukaemia	acute monocytic leukemia	False	['CA_120.12', 'CA_121']
C93.1	Chronic myelomonocytic leukemia	chronic myelomonocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']	HP_0012325	Chronic myelomonocytic leukemia	chronic myelomonocytic leukemia	True	['CA_120.12', 'CA_121.23']
C93.1	Chronic myelomonocytic leukemia	chronic myelomonocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']	HP_0012325	Chronic myelomonocytic leukaemia	chronic myelomonocytic leukemia	False	['CA_120.12', 'CA_121.23']
C93.3	Juvenile myelomonocytic leukemia	juvenile myelomonocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']	HP_0012209	Juvenile myelomonocytic leukemia	juvenile myelomonocytic leukemia	True	['CA_120.12', 'CA_121.23']
C93.3	Juvenile myelomonocytic leukemia	juvenile myelomonocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']	HP_0012209	Juvenile myelomonocytic leukaemia	juvenile myelomonocytic leukemia	False	['CA_120.12', 'CA_121.23']
C93.9	Monocytic leukemia, unspecified	monocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121']	HP_0004845	Acute monocytic leukemia	acute monocytic leukemia	True	['CA_120.12', 'CA_121']
C93.9	Monocytic leukemia, unspecified	monocytic leukemia	['204', '204.3']	['120', '120.1', '120.12', '121']	HP_0004845	Acute monocytic leukaemia	acute monocytic leukemia	False	['CA_120.12', 'CA_121']
C95.9	Leukemia, unspecified	leukemia	['204']	['120', '121']	HP_0001909	Leukemia	leukemia	True	['CA_120', 'CA_121']
C95.9	Leukemia, unspecified	leukemia	['204']	['120', '121']	HP_0001909	Leukaemia	leukemia	False	['CA_120', 'CA_121']
D09.9	Carcinoma in situ, unspecified	carcinoma in situ	['195']	['112', '130']	HP_0030075	Ductal carcinoma in situ	ductal carcinoma in situ	True	['CA_112', 'CA_130']
D09.9	Carcinoma in situ, unspecified	carcinoma in situ	['195']	['112', '130']	HP_0030076	Lobular carcinoma in situ	lobular carcinoma in situ	True	['CA_112', 'CA_130']
D18.0	Hemangioma	hemangioma	['228']	['139', '139.6', '139.61']	HP_0001028	Hemangioma	hemangioma	True	['CA_139.61']
D22	Melanocytic nevi	melanocytic nevi	['216']	['138', '138.2']	HP_0000995	Melanocytic nevi	melanocytic nevi	False	['CA_138.2']
D22.9	Melanocytic nevi, unspecified	melanocytic nevi	['216']	['138', '138.2']	HP_0000995	Melanocytic nevi	melanocytic nevi	False	['CA_138.2']
D33.9	Benign neoplasm of central nervous system, unspecified	benign neoplasm of central nervous system	['225']	['148']	HP_0100835	Benign neoplasm of the central nervous system	benign neoplasm of the central nervous system	True	['CA_148']
D46.4	Refractory anemia, unspecified	refractory anemia	['200']	['120', '120.1', '124', '124.6']	HP_0005505	Refractory anemia	refractory anemia	True	['CA_120.1', 'CA_124.6']
D46.4	Refractory anemia, unspecified	refractory anemia	['200']	['120', '120.1', '124', '124.6']	HP_0005505	Refractory anaemia	refractory anemia	False	['CA_120.1', 'CA_124.6']
D46.9	Myelodysplastic syndrome, unspecified	myelodysplastic syndrome	['200']	['120', '120.1', '124', '124.6']	HP_0002863	Myelodysplastic syndrome	myelodysplastic syndrome	False	['CA_120.1', 'CA_124.6']
D47.01	Cutaneous mastocytosis	cutaneous mastocytosis	['200', '448', '947']	['120', '120.1', '120.15', '125', '125.1']	HP_0200151	Cutaneous mastocytosis	cutaneous mastocytosis	True	['CA_120.15', 'CA_125.1']
D50	Iron deficiency anemia	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']	HP_0001891	Iron deficiency anemia	iron deficiency anemia	True	['BI_160.1', 'BI_164.1', 'EM_247.88']
D50	Iron deficiency anemia	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']	HP_0001891	Iron deficiency anaemia	iron deficiency anemia	False	['BI_160.1', 'BI_164.1', 'EM_247.88']
D50.9	Iron deficiency anemia, unspecified	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']	HP_0001891	Iron deficiency anemia	iron deficiency anemia	True	['BI_160.1', 'BI_164.1', 'EM_247.88']
D50.9	Iron deficiency anemia, unspecified	iron deficiency anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']	HP_0001891	Iron deficiency anaemia	iron deficiency anemia	False	['BI_160.1', 'BI_164.1', 'EM_247.88']
D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']	HP_0001890	Autoimmune hemolytic anemia	autoimmune hemolytic anemia	True	['BI_161.21', 'BI_164', 'BI_181']
D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']	HP_0001890	Autoimmune hemolytic anaemia	autoimmune hemolytic anemia	False	['BI_161.21', 'BI_164', 'BI_181']
D59.10	Autoimmune hemolytic anemia, unspecified	autoimmune hemolytic anemia		['161', '161.2', '161.21', '164', '181']	HP_0001890	Hemolytic anemia, autoimmune	hemolytic anemia autoimmune	False	['BI_161.21', 'BI_164', 'BI_181']
D59.3	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	['283', '283.2', '283.21']	['161', '161.2', '161.22']	HP_0005575	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	True	['BI_161.22']
D61.81	Pancytopenia	pancytopenia	['284', '284.1']	['162', '162.8']	HP_0001876	Pancytopenia	pancytopenia	True	['BI_162.8']
D61.9	Aplastic anemia, unspecified	aplastic anemia	['284']	['162', '164']	HP_0001915	Aplastic anemia	aplastic anemia	True	['BI_162', 'BI_164']
D61.9	Aplastic anemia, unspecified	aplastic anemia	['284']	['162', '164']	HP_0001915	Aplastic anaemia	aplastic anemia	False	['BI_162', 'BI_164']
D64.4	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	['285']	['162', '162.7', '164']	HP_0004810	Congenital dyserythropoietic anaemia	congenital dyserythropoietic anemia	False	['BI_164', 'GE_970.7']
D64.4	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	['285']	['162', '162.7', '164']	HP_0004810	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	False	['BI_164', 'GE_970.7']
D64.9	Anemia, unspecified	anemia	['285']	['164']	HP_0001903	Anemia	anemia	True	['BI_164']
D64.9	Anemia, unspecified	anemia	['285']	['164']	HP_0001903	Anaemia	anemia	False	['BI_164']
D68.51	Activated protein C resistance	activated protein c resistance	['286', '286.8', '286.81']	['168', '168.2', '168.21', '168.211']	HP_0012175	Resistance to activated protein C	resistance to activated protein c	True	['BI_168.211']
D68.51	Activated protein C resistance	activated protein c resistance	['286', '286.8', '286.81']	['168', '168.2', '168.21', '168.211']	HP_0012175	Activated protein C resistance	activated protein c resistance	False	['BI_168.211']
D69.6	Thrombocytopenia, unspecified	thrombocytopenia	['287', '287.3']	['169', '169.1']	HP_0001873	Thrombocytopenia	thrombocytopenia	True	['BI_169.1']
D69.6	Thrombocytopenia, unspecified	thrombocytopenia	['287', '287.3']	['169', '169.1']	HP_0001973	Immune thrombocytopenia	immune thrombocytopenia	False	['BI_169.1']
D70	Neutropenia	neutropenia	['288', '288.1', '288.11']	['170', '170.1']	HP_0001875	Neutropenia	neutropenia	True	['BI_170.1']
D70.0	Congenital agranulocytosis	congenital agranulocytosis	['288', '288.1', '288.11']	['170', '170.1', '170.11']	HP_0005541	Congenital agranulocytosis	congenital agranulocytosis	True	['BI_170.1', 'GE_969.7']
D70.4	Cyclic neutropenia	cyclic neutropenia	['288', '288.1', '288.11']	['170', '170.1', '170.14']	HP_0040289	Cyclic neutropenia	cyclic neutropenia	True	['BI_170.14']
D70.9	Neutropenia, unspecified	neutropenia	['288', '288.1', '288.11']	['170', '170.1', '170.19']	HP_0001875	Neutropenia	neutropenia	True	['BI_170.1']
D72.1	Eosinophilia	eosinophilia	['288', '288.3']	['171', '171.7']	HP_0001880	Eosinophilia	eosinophilia	True	['BI_171.7']
D72.1	Eosinophilia	eosinophilia	['288', '288.3']	['171', '171.7']	HP_0032064	GI eosinophilia	gi eosinophilia	False	['BI_171.7']
D72.10	Eosinophilia, unspecified	eosinophilia		['171', '171.7']	HP_0001880	Eosinophilia	eosinophilia	True	['BI_171.7']
D72.10	Eosinophilia, unspecified	eosinophilia		['171', '171.7']	HP_0032064	GI eosinophilia	gi eosinophilia	False	['BI_171.7']
D72.810	Lymphocytopenia	lymphocytopenia	['288', '288.1']	['170', '170.2']	HP_0001888	Lymphocytopenia	lymphocytopenia	False	['BI_170.2']
D72.810	Lymphocytopenia	lymphocytopenia	['288', '288.1']	['170', '170.2']	HP_0010976	B lymphocytopenia	b lymphocytopenia	True	['BI_170.2']
D72.810	Lymphocytopenia	lymphocytopenia	['288', '288.1']	['170', '170.2']	HP_0005403	T lymphocytopenia	t lymphocytopenia	True	['BI_170.2']
D72.822	Plasmacytosis	plasmacytosis	['288', '288.2']	['171', '171.3']	HP_0030150	Plasmacytosis	plasmacytosis	True	['BI_171.3']
D72.824	Basophilia	basophilia	['288', '288.2']	['171', '171.5']	HP_0031807	Basophilia	basophilia	False	['BI_171.5']
D73.1	Hypersplenism	hypersplenism	['289', '289.5']	['174', '174.2', '174.21']	HP_0001971	Hypersplenism	hypersplenism	True	['BI_174.21']
D74	Methemoglobinemia	methemoglobinemia	['289', '289.9']	['165', '165.4']	HP_0012119	Methemoglobinemia	methemoglobinemia	True	['GE_970.4']
D74.9	Methemoglobinemia, unspecified	methemoglobinemia	['289', '289.9']	['165', '165.4']	HP_0012119	Methemoglobinemia	methemoglobinemia	True	['GE_970.4']
D75.81	Myelofibrosis	myelofibrosis	['289', '289.1']	['120', '120.1', '124', '124.8']	HP_0011974	Myelofibrosis	myelofibrosis	True	['CA_120.1', 'CA_124.8']
D80.7	Transient hypogammaglobulinemia of infancy	transient hypogammaglobulinemia of infancy	['279', '279.1', '279.11']	['860']	HP_0005432	Transient hypogammaglobulinemia of infancy	transient hypogammaglobulinemia of infancy	True	['NB_860']
D81.9	Combined immunodeficiency, unspecified	combined immunodeficiency	['279', '279.1']	['179', '179.3']	HP_0004430	Severe combined immunodeficiency	severe combined immunodeficiency	True	['GE_969.12']
D81.9	Combined immunodeficiency, unspecified	combined immunodeficiency	['279', '279.1']	['179', '179.3']	HP_0004430	Immunodeficiency, severe combined	immunodeficiency severe combined	False	['GE_969.12']
D81.9	Combined immunodeficiency, unspecified	combined immunodeficiency	['279', '279.1']	['179', '179.3']	HP_0005387	Combined immunodeficiency	combined immunodeficiency	True	['GE_969.12']
D84.9	Immunodeficiency, unspecified	immunodeficiency	['279', '279.1']	['179', '179.9']	HP_0002721	Immunodeficiency	immunodeficiency	True	['BI_179.9']
D89.1	Cryoglobulinemia	cryoglobulinemia	['270', '270.3', '270.32']	['180', '180.4']	HP_0100778	Cryoglobulinemia	cryoglobulinemia	True	['BI_180.4']
D89.2	Hypergammaglobulinemia, unspecified	hypergammaglobulinemia	['289']	['180']	HP_0010702	Hypergammaglobulinemia	hypergammaglobulinemia	False	['BI_180']
D89.2	Hypergammaglobulinemia, unspecified	hypergammaglobulinemia	['289']	['180']	HP_0003261	IgA hypergammaglobulinemia	iga hypergammaglobulinemia	False	['BI_180']
D89.2	Hypergammaglobulinemia, unspecified	hypergammaglobulinemia	['289']	['180']	HP_0410246	IgD hypergammaglobulinemia	igd hypergammaglobulinemia	False	['BI_180']
E03.9	Hypothyroidism, unspecified	hypothyroidism	['244', '244.4']	['200', '200.1', '200.14']	HP_0000821	Hypothyroidism	hypothyroidism	True	['EM_200.12']
E03.9	Hypothyroidism, unspecified	hypothyroidism	['244', '244.4']	['200', '200.1', '200.14']	HP_0008223	Mild hypothyroidism	mild hypothyroidism	False	['EM_200.12']
E05.0	Thyrotoxicosis with diffuse goiter	thyrotoxicosis with diffuse goiter	['242', '242.1']	['200', '200.2', '200.21', '200.3', '200.31']	HP_0011784	Thyrotoxicosis with diffuse goiter	thyrotoxicosis with diffuse goiter	True	['BI_181', 'EM_200.21', 'EM_200.31']
E05.0	Thyrotoxicosis with diffuse goiter	thyrotoxicosis with diffuse goiter	['242', '242.1']	['200', '200.2', '200.21', '200.3', '200.31']	HP_0011784	Thyrotoxicosis with diffuse goitre	thyrotoxicosis with diffuse goiter	False	['BI_181', 'EM_200.21', 'EM_200.31']
E05.1	Thyrotoxicosis with toxic single thyroid nodule	thyrotoxicosis with toxic single thyroid nodule	['242']	['200', '200.2', '200.22', '200.3']	HP_0011786	Thyrotoxicosis with toxic single thyroid nodule	thyrotoxicosis with toxic single thyroid nodule	True	['EM_200.22', 'EM_200.3']
E05.2	Thyrotoxicosis with toxic multinodular goiter	thyrotoxicosis with toxic multinodular goiter	['242', '242.2']	['200', '200.2', '200.23', '200.3']	HP_0011785	Thyrotoxicosis with toxic multinodular goiter	thyrotoxicosis with toxic multinodular goiter	True	['EM_200.23', 'EM_200.3']
E05.2	Thyrotoxicosis with toxic multinodular goiter	thyrotoxicosis with toxic multinodular goiter	['242', '242.2']	['200', '200.2', '200.23', '200.3']	HP_0011785	Thyrotoxicosis with toxic multinodular goitre	thyrotoxicosis with toxic multinodular goiter	False	['EM_200.23', 'EM_200.3']
E05.3	Thyrotoxicosis from ectopic thyroid tissue	thyrotoxicosis from ectopic thyroid tissue	['242']	['200', '200.2', '200.24', '200.3']	HP_0011783	Thyrotoxicosis from ectopic thyroid tissue	thyrotoxicosis from ectopic thyroid tissue	True	['EM_200.24', 'EM_200.3']
E06	Thyroiditis	thyroiditis	['245']	['200', '200.4']	HP_0100646	Thyroiditis	thyroiditis	True	['EM_200.4']
E06.9	Thyroiditis, unspecified	thyroiditis	['245']	['200', '200.4']	HP_0100646	Thyroiditis	thyroiditis	True	['EM_200.4']
E16.2	Hypoglycemia, unspecified	hypoglycemia	['251', '251.1']	['205']	HP_0001943	Hypoglycemia	hypoglycemia	True	['EM_204.3']
E20	Hypoparathyroidism	hypoparathyroidism	['252', '252.2']	['208', '208.1']	HP_0000829	Hypoparathyroidism	hypoparathyroidism	True	['EM_208.1']
E20.1	Pseudohypoparathyroidism	pseudohypoparathyroidism	['275', '275.5']	['208', '208.1']	HP_0000852	Pseudohypoparathyroidism	pseudohypoparathyroidism	True	['GE_981.4']
E20.9	Hypoparathyroidism, unspecified	hypoparathyroidism	['252', '252.2']	['208', '208.1']	HP_0000829	Hypoparathyroidism	hypoparathyroidism	True	['EM_208.1']
E21.0	Primary hyperparathyroidism	primary hyperparathyroidism	['252', '252.1']	['208', '208.2', '208.21']	HP_0008200	Primary hyperparathyroidism	primary hyperparathyroidism	True	['EM_208.2']
E21.3	Hyperparathyroidism, unspecified	hyperparathyroidism	['252', '252.1']	['208', '208.2']	HP_0000843	Hyperparathyroidism	hyperparathyroidism	True	['EM_208.2']
E21.3	Hyperparathyroidism, unspecified	hyperparathyroidism	['252', '252.1']	['208', '208.2']	HP_0008200	Primary hyperparathyroidism	primary hyperparathyroidism	True	['EM_208.2']
E21.3	Hyperparathyroidism, unspecified	hyperparathyroidism	['252', '252.1']	['208', '208.2']	HP_0011770	Tertiary hyperparathyroidism	tertiary hyperparathyroidism	True	['EM_208.2']
