hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList
HP_0000405	Conductive hearing loss	conductive hearing loss	False	H90.2	Conductive hearing loss, unspecified	conductive hearing loss	['389', '389.2']	['396', '396.1']
HP_0000405	Hearing loss, conductive	hearing loss conductive	False	H90.0	Conductive hearing loss, bilateral	conductive hearing loss bilateral	['389', '389.2']	['396', '396.1', '396.11']
HP_0000405	Hearing loss, conductive	hearing loss conductive	False	H90.2	Conductive hearing loss, unspecified	conductive hearing loss	['389', '389.2']	['396', '396.1']
HP_0000407	Hearing loss, sensorineural	hearing loss sensorineural	False	H90.3	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	['389', '389.1']	['396', '396.2', '396.21']
HP_0000407	Hearing loss, sensorineural	hearing loss sensorineural	False	H90.5	Unspecified sensorineural hearing loss	sensorineural hearing loss	['389', '389.1']	['396', '396.2']
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	H90.3	Sensorineural hearing loss, bilateral	sensorineural hearing loss bilateral	['389', '389.1']	['396', '396.2', '396.21']
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	H90.5	Unspecified sensorineural hearing loss	sensorineural hearing loss	['389', '389.1']	['396', '396.2']
HP_0000411	Prominent ear	prominent ear	False	Q17.5	Prominent ear	prominent ear	['749']	['755', '755.5']
HP_0000421	Epistaxis	epistaxis	True	R04.0	Epistaxis	epistaxis	['477']	['487', '487.1']
HP_0000453	Choanal atresia	choanal atresia	True	Q30.0	Choanal atresia	choanal atresia	['749']	['758', '758.6', '758.61']
HP_0000458	Anosmia	anosmia	True	R43.0	Anosmia	anosmia	['350', '350.6']	['352', '352.1']
HP_0000465	Neck webbing	neck webbing	False	Q18.3	Webbing of neck	webbing of neck	['749']	['756', '756.3']
HP_0000470	Cervical shortening	cervical shortening	False	O26.87	Cervical shortening	cervical shortening	['636', '636.8']	['911']
HP_0000473	Torticollis	torticollis	True	M43.6	Torticollis	torticollis	['723', '723.1']	['324', '324.3', '324.34']
HP_0000473	Spasmodic torticollis	spasmodic torticollis	False	G24.3	Spasmodic torticollis	spasmodic torticollis	['333', '333.4']	['324', '324.3', '324.34']
HP_0000483	Astigmatism	astigmatism	True	H52.2	Astigmatism	astigmatism	['367', '367.2']	['387', '387.3']
HP_0000483	Astigmatism	astigmatism	True	H52.20	Unspecified astigmatism	astigmatism	['367', '367.2']	['387', '387.3']
HP_0000486	Strabismus	strabismus	True	H50.9	Unspecified strabismus	strabismus	['378']	['381', '381.6']
HP_0000490	Enophthalmos	enophthalmos	False	H05.4	Enophthalmos	enophthalmos	['376']	['365', '365.1']
HP_0000490	Enophthalmos	enophthalmos	False	H05.40	Unspecified enophthalmos	enophthalmos	['376']	['365', '365.1']
HP_0000491	Keratitis	keratitis	True	H16	Keratitis	keratitis	['370']	['367', '367.2']
HP_0000491	Keratitis	keratitis	True	H16.9	Unspecified keratitis	keratitis	['370']	['367', '367.2']
HP_0000498	Blepharitis	blepharitis	True	H01.0	Blepharitis	blepharitis	['371', '371.3']	['360', '360.4']
HP_0000498	Blepharitis	blepharitis	True	H01.00	Unspecified blepharitis	blepharitis	['371', '371.3']	['360', '360.4']
HP_0000501	Glaucoma	glaucoma	True	H40	Glaucoma	glaucoma	['365']	['375']
HP_0000501	Glaucoma	glaucoma	True	H40.9	Unspecified glaucoma	glaucoma	['365']	['375', '375.1']
HP_0000508	Eyelid ptosis	eyelid ptosis	False	H02.4	Ptosis of eyelid	ptosis of eyelid	['374', '374.3']	['361', '361.3']
HP_0000508	Eyelid ptosis	eyelid ptosis	False	H02.40	Unspecified ptosis of eyelid	ptosis of eyelid	['374', '374.3']	['361', '361.3']
HP_0000509	Conjunctivitis	conjunctivitis	True	B30	Viral conjunctivitis	viral conjunctivitis	['369', '369.2']	['089', '089.2', '367', '367.2', '379', '379.2']
HP_0000509	Conjunctivitis	conjunctivitis	True	B30.9	Viral conjunctivitis, unspecified	viral conjunctivitis	['369', '369.2']	['089', '089.2', '367', '367.1', '379', '379.2']
HP_0000509	Conjunctivitis	conjunctivitis	True	H10	Conjunctivitis	conjunctivitis	['369', '369.5']	['367', '367.1']
HP_0000509	Conjunctivitis	conjunctivitis	True	H10.3	Unspecified acute conjunctivitis	acute conjunctivitis	['369', '369.5']	['367', '367.1']
HP_0000509	Conjunctivitis	conjunctivitis	True	H10.8	Other conjunctivitis	other conjunctivitis	['369', '369.5']	['367', '367.1']
HP_0000509	Conjunctivitis	conjunctivitis	True	H10.89	Other conjunctivitis	other conjunctivitis	['369', '369.5']	['367', '367.1']
HP_0000509	Conjunctivitis	conjunctivitis	True	H10.9	Unspecified conjunctivitis	conjunctivitis	['369', '369.5']	['367', '367.1']
HP_0000512	Abnormal electroretinogram	abnormal electroretinogram	True	R94.111	Abnormal electroretinogram [ERG]	abnormal electroretinogram erg	['346']	['385']
HP_0000518	Cataract	cataract	True	H26.9	Unspecified cataract	cataract	['366']	['371']
HP_0000519	Cataract, congenital	cataract congenital	False	Q12.0	Congenital cataract	congenital cataract	['753', '753.1']	['371', '753', '753.2', '753.23']
HP_0000519	Congenital cataract	congenital cataract	False	Q12.0	Congenital cataract	congenital cataract	['753', '753.1']	['371', '753', '753.2', '753.23']
HP_0000520	Exophthalmos	exophthalmos	False	H05.20	Unspecified exophthalmos	exophthalmos	['242', '242.3']	['365', '365.3']
HP_0000572	Visual loss	visual loss	True	H54.7	Unspecified visual loss	visual loss	['367', '367.9']	['388']
HP_0000540	Hypermetropia	hypermetropia	True	H52.0	Hypermetropia	hypermetropia	['367', '367.8']	['387', '387.1']
HP_0000541	Retinal detachment	retinal detachment	True	H33.05	Total retinal detachment	total retinal detachment	['361', '361.1']	['374', '374.1']
HP_0000541	Retinal detachment	retinal detachment	True	H33.2	Serous retinal detachment	serous retinal detachment	['361', '362', '362.3', '362.31']	['374', '374.1', '374.11']
HP_0000544	External ophthalmoplegia	external ophthalmoplegia	True	H49.3	Total (external) ophthalmoplegia	total external ophthalmoplegia	['378', '378.5']	['381', '381.1', '381.11']
HP_0000545	Myopia	myopia	True	H52.1	Myopia	myopia	['367', '367.1']	['387', '387.2']
HP_0000552	Tritanomaly	tritanomaly	True	H53.55	Tritanomaly	tritanomaly	['368', '368.5']	['386', '386.5']
HP_0000615	Pupillary abnormalities	pupillary abnormalities	False	H21.56	Pupillary abnormalities	pupillary abnormalities	['379', '379.5']	['370', '370.4', '370.41']
HP_0000615	Pupillary abnormality	pupillary abnormality	False	H21.561	Pupillary abnormality, right eye	pupillary abnormality right eye	['379', '379.5']	['370', '370.4', '370.41']
HP_0000615	Pupillary abnormality	pupillary abnormality	False	H21.562	Pupillary abnormality, left eye	pupillary abnormality left eye	['379', '379.5']	['370', '370.4', '370.41']
HP_0000615	Pupillary abnormality	pupillary abnormality	False	H21.563	Pupillary abnormality, bilateral	pupillary abnormality bilateral	['379', '379.5']	['370', '370.4', '370.41']
HP_0000563	Keratoconus	keratoconus	True	H18.6	Keratoconus	keratoconus	['364', '364.4', '364.41']	['369', '369.6', '369.62']
HP_0000563	Keratoconus	keratoconus	True	H18.60	Keratoconus, unspecified	keratoconus	['364', '364.4', '364.41']	['369', '369.6', '369.62']
HP_0000565	Esotropia	esotropia	True	H50.0	Esotropia	esotropia	['378', '378.1']	['381', '381.3']
HP_0000565	Esotropia	esotropia	True	H50.00	Unspecified esotropia	esotropia	['378', '378.1']	['381', '381.3']
HP_0032012	Heterotropia	heterotropia	True	H50.40	Unspecified heterotropia	heterotropia	['378', '378.1']	['381']
HP_0000568	Microphthalmos	microphthalmos	False	Q11.2	Microphthalmos	microphthalmos	['753']	['753', '753.1', '753.12']
HP_0000573	Retinal hemorrhage	retinal hemorrhage	True	H35.6	Retinal hemorrhage	retinal hemorrhage	['362', '362.8']	['377', '377.4']
HP_0000573	Retinal haemorrhage	retinal hemorrhage	False	H35.6	Retinal hemorrhage	retinal hemorrhage	['362', '362.8']	['377', '377.4']
HP_0001123	Visual field defects	visual field defects	False	H53.4	Visual field defects	visual field defects	['368', '368.4']	['386', '386.4']
HP_0001123	Visual field defects	visual field defects	False	H53.40	Unspecified visual field defects	visual field defects	['368', '368.4']	['386', '386.4']
HP_0000577	Exotropia	exotropia	True	H50.1	Exotropia	exotropia	['378', '378.1']	['381', '381.4']
HP_0000577	Exotropia	exotropia	True	H50.10	Unspecified exotropia	exotropia	['378', '378.1']	['381', '381.4']
HP_0000579	Nasolacrimal duct obstruction	nasolacrimal duct obstruction	True	H04.53	Neonatal obstruction of nasolacrimal duct	neonatal obstruction of nasolacrimal duct	['375']	['874']
HP_0000581	Blepharophimosis	blepharophimosis	True	H02.52	Blepharophimosis	blepharophimosis	['374']	['361', '361.8']
HP_0000585	Band keratopathy	band keratopathy	True	H18.42	Band keratopathy	band keratopathy	['364', '364.4']	['369', '369.4', '369.43']
HP_0000588	Optic disc coloboma	optic disk coloboma	True	H47.31	Coloboma of optic disc	coloboma of optic disk	['377']	['753', '753.4']
HP_0000588	Optic disk coloboma	optic disk coloboma	False	H47.31	Coloboma of optic disc	coloboma of optic disk	['377']	['753', '753.4']
HP_0000590	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	True	H49.4	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	['378']	['381', '381.1', '381.11']
HP_0000590	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	True	H49.41	Progressive external ophthalmoplegia, right eye	progressive external ophthalmoplegia right eye	['378', '378.5']	['381', '381.1', '381.11']
HP_0000590	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	True	H49.42	Progressive external ophthalmoplegia, left eye	progressive external ophthalmoplegia left eye	['378', '378.5']	['381', '381.1', '381.11']
HP_0000590	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	True	H49.43	Progressive external ophthalmoplegia, bilateral	progressive external ophthalmoplegia bilateral	['378', '378.5']	['381', '381.1', '381.11']
HP_0000590	External ophthalmoplegia, progressive	external ophthalmoplegia progressive	False	H49.4	Progressive external ophthalmoplegia	progressive external ophthalmoplegia	['378']	['381', '381.1', '381.11']
HP_0000590	External ophthalmoplegia, progressive	external ophthalmoplegia progressive	False	H49.41	Progressive external ophthalmoplegia, right eye	progressive external ophthalmoplegia right eye	['378', '378.5']	['381', '381.1', '381.11']
HP_0000590	External ophthalmoplegia, progressive	external ophthalmoplegia progressive	False	H49.42	Progressive external ophthalmoplegia, left eye	progressive external ophthalmoplegia left eye	['378', '378.5']	['381', '381.1', '381.11']
HP_0000590	External ophthalmoplegia, progressive	external ophthalmoplegia progressive	False	H49.43	Progressive external ophthalmoplegia, bilateral	progressive external ophthalmoplegia bilateral	['378', '378.5']	['381', '381.1', '381.11']
HP_0000592	Blue sclera	blue sclera	False	Q13.5	Blue sclera	blue sclera	['753']	['753', '753.7', '753.71']
HP_0000608	Macular degeneration	macular degeneration	True	H35.30	Unspecified macular degeneration	macular degeneration	['362', '362.2', '362.29']	['374', '374.5', '374.51']
HP_0000608	Macular degeneration	macular degeneration	True	H35.35	Cystoid macular degeneration	cystoid macular degeneration	['362', '362.2', '362.23']	['374', '374.5', '374.53']
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	H47.03	Optic nerve hypoplasia	optic nerve hypoplasia	['377', '377.3']	['380', '380.1', '380.13']
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	H47.031	Optic nerve hypoplasia, right eye	optic nerve hypoplasia right eye	['377', '377.3']	['380', '380.1', '380.13']
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	H47.032	Optic nerve hypoplasia, left eye	optic nerve hypoplasia left eye	['377', '377.3']	['380', '380.1', '380.13']
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	H47.033	Optic nerve hypoplasia, bilateral	optic nerve hypoplasia bilateral	['377', '377.3']	['380', '380.1', '380.13']
HP_0000612	Iris coloboma	iris coloboma	True	Q13.0	Coloboma of iris	coloboma of iris	['753']	['753', '753.4']
HP_0000612	Coloboma of iris	coloboma of iris	False	Q13.0	Coloboma of iris	coloboma of iris	['753']	['753', '753.4']
HP_0000616	Miosis	miosis	True	H57.03	Miosis	miosis	['379', '379.4']	['384', '384.2']
HP_0000618	Blindness	blindness	True	H53.11	Day blindness	day blindness	['368', '368.9']	['386']
HP_0000619	Convergence insufficiency	convergence insufficiency	False	H51.1	Convergence insufficiency and excess	convergence insufficiency and excess	['378']	['382', '382.1']
HP_0000619	Convergence insufficiency	convergence insufficiency	False	H51.11	Convergence insufficiency	convergence insufficiency	['378']	['382', '382.1']
HP_0000620	Dacryocystitis	dacryocystitis	True	H04.30	Unspecified dacryocystitis	dacryocystitis	['369']	['363', '363.6', '363.61']
HP_0000620	Dacryocystitis	dacryocystitis	True	H04.32	Acute dacryocystitis	acute dacryocystitis	['369']	['363', '363.6', '363.61']
HP_0005116	Arterial tortuosity	arterial tortuosity	True	Q87.82	Arterial tortuosity syndrome	arterial tortuosity syndrome	['759']	['781', '781.6']
HP_0000639	Nystagmus	nystagmus	True	H55.0	Nystagmus	nystagmus	['378', '378.2']	['383', '383.1']
HP_0000639	Nystagmus	nystagmus	True	H55.00	Unspecified nystagmus	nystagmus	['378', '378.2']	['383', '383.1']
HP_0000643	Blepharospasm	blepharospasm	True	G24.5	Blepharospasm	blepharospasm	['333', '333.4']	['324', '324.3', '324.36']
HP_0000646	Amblyopia	amblyopia	True	H53.00	Unspecified amblyopia	amblyopia	['368', '368.1']	['386', '386.1']
HP_0000648	Optic atrophy	optic atrophy	True	H47.2	Optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']
HP_0000648	Optic atrophy	optic atrophy	True	H47.20	Unspecified optic atrophy	optic atrophy	['377', '377.1']	['380', '380.3']
HP_0000648	Optic atrophy	optic atrophy	True	H47.29	Other optic atrophy	other optic atrophy	['377', '377.1']	['380', '380.3']
HP_0000651	Diplopia	diplopia	True	H53.2	Diplopia	diplopia	['368', '368.2']	['386', '386.2']
HP_0002186	Apraxia	apraxia	True	R48.2	Apraxia	apraxia	['292', '292.1', '292.12']	['894', '894.2']
HP_0000662	Night blindness	night blindness	False	H53.6	Night blindness	night blindness	['368']	['386', '386.6']
HP_0000662	Night blindness	night blindness	False	H53.60	Unspecified night blindness	night blindness	['368']	['386', '386.6']
HP_0000662	Night blindness	night blindness	False	H53.69	Other night blindness	other night blindness	['368']	['386', '386.6']
HP_0000670	Dental caries	dental caries	False	K02	Dental caries	dental caries	['521', '521.1']	['501']
HP_0000670	Dental caries	dental caries	False	K02.7	Dental root caries	dental root caries	['521', '521.1']	['501']
HP_0000670	Dental caries	dental caries	False	K02.9	Dental caries, unspecified	dental caries	['521', '521.1']	['501']
HP_0000674	Anodontia	anodontia	True	K00.0	Anodontia	anodontia	['520', '520.1']	['500', '500.1']
HP_0000689	Malocclusion	malocclusion	False	M26.4	Malocclusion, unspecified	malocclusion	['524', '524.3']	['733', '733.2']
HP_0000712	Emotional lability	emotional lability	True	R45.86	Emotional lability	emotional lability	['1004']	['308', '308.3']
HP_0000729	Pervasive developmental disorder	pervasive developmental disorder	False	F84.9	Pervasive developmental disorder, unspecified	pervasive developmental disorder	['313', '313.3']	['892']
HP_0000722	Obsessive-compulsive behavior	obsessive-compulsive behavior	True	R46.81	Obsessive-compulsive behavior	obsessive-compulsive behavior	['1019']	['289']
HP_0000722	Obsessive-compulsive behaviour	obsessive-compulsive behavior	False	R46.81	Obsessive-compulsive behavior	obsessive-compulsive behavior	['1019']	['289']
HP_0000726	Dementia	dementia	True	F03	Unspecified dementia	dementia	['290', '290.1', '290.13']	['328']
HP_0000726	Dementia	dementia	True	F03.9	Unspecified dementia	dementia	['290', '290.1']	['328']
HP_0004305	Involuntary movements	involuntary movements	True	R25	Abnormal involuntary movements	abnormal involuntary movements	['350', '350.1']	['325', '325.1']
HP_0004305	Involuntary movements	involuntary movements	True	R25.9	Unspecified abnormal involuntary movements	abnormal involuntary movements	['350', '350.1']	['325', '325.1']
HP_0000738	Hallucinations	hallucinations	True	R44.2	Other hallucinations	other hallucinations	['292', '292.6']	['353', '353.1']
HP_0000738	Hallucinations	hallucinations	True	R44.3	Hallucinations, unspecified	hallucinations	['292', '292.6']	['353', '353.1']
HP_0000756	Agoraphobia	agoraphobia	True	F40.0	Agoraphobia	agoraphobia	['300', '300.1', '300.12']	['288', '288.4', '288.41']
HP_0000756	Agoraphobia	agoraphobia	True	F40.00	Agoraphobia, unspecified	agoraphobia	['300', '300.1', '300.12']	['288', '288.4', '288.41']
HP_0000767	Pectus excavatum	pectus excavatum	True	Q67.6	Pectus excavatum	pectus excavatum	['756', '756.2', '756.21']	['786', '786.1']
HP_0000768	Pectus carinatum	pectus carinatum	True	Q67.7	Pectus carinatum	pectus carinatum	['756', '756.2', '756.22']	['786', '786.2']
