hpo_code	hpo_label	hpo_simpleLabel	hpo_original	ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	phecodeXupdated_codeList
HP_0000175	Palatoschisis	palatoschisis	False	Q35	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
HP_0410030	Cleft lip	cleft lip	True	Q35	Cleft palate	cleft palate	['749', '749.1']	['757', '757.1']	['CM_754.11']
HP_0000204	Harelip	harelip	False	Q37	Cleft palate with cleft lip	cleft palate with cleft lip	['749', '749.1']	['757', '757.1', '757.2']	['CM_754.111']
HP_0000175	Cleft palate	cleft palate	True	Q37	Cleft palate with cleft lip	cleft palate with cleft lip	['749', '749.1']	['757', '757.1', '757.2']	['CM_754.111']
HP_0000175	Palatoschisis	palatoschisis	False	Q37	Cleft palate with cleft lip	cleft palate with cleft lip	['749', '749.1']	['757', '757.1', '757.2']	['CM_754.111']
HP_0410030	Cleft lip	cleft lip	True	Q37	Cleft palate with cleft lip	cleft palate with cleft lip	['749', '749.1']	['757', '757.1', '757.2']	['CM_754.111']
HP_0000704	Periodontitis	periodontitis	True	K05.4	Periodontosis	periodontosis	['523', '523.3']	['504', '504.3']	['GI_504.3']
HP_0000704	Pyorrhea	pyorrhea	False	K05.4	Periodontosis	periodontosis	['523', '523.3']	['504', '504.3']	['GI_504.3']
HP_0000171	Hypoglossia	hypoglossia	False	Q38.3	Other congenital malformations of tongue	other congenital malformations of tongue	['750', '750.1', '750.13']	['759']	['CM_754.5']
HP_0000206	Glossitis	glossitis	True	K14.0	Glossitis	glossitis	['529', '529.1']	['509', '509.1']	['GI_509.1']
HP_0000211	Trismus	trismus	True	R25.2	Cramp and spasm	cramp and spasm	['350', '350.1']	['719', '719.1']	['MS_719.1']
HP_0000217	Xerostomia	xerostomia	True	K11.7	Disturbances of salivary secretion	disturbances of salivary secretion	['527', '527.7']	['506', '506.5']	['GI_506.5']
HP_0000217	Dry mouth	dry mouth	False	K11.7	Disturbances of salivary secretion	disturbances of salivary secretion	['527', '527.7']	['506', '506.5']	['GI_506.5']
HP_0000217	Dry mouth syndrome	dry mouth syndrome	False	K11.7	Disturbances of salivary secretion	disturbances of salivary secretion	['527', '527.7']	['506', '506.5']	['GI_506.5']
HP_0000217	Xerostomia	xerostomia	True	R68.2	Dry mouth, unspecified	dry mouth	['527', '527.7']	['506', '506.5', '506.51']	['GI_506.51']
HP_0000217	Dry mouth	dry mouth	False	R68.2	Dry mouth, unspecified	dry mouth	['527', '527.7']	['506', '506.5', '506.51']	['GI_506.51']
HP_0000217	Dry mouth syndrome	dry mouth syndrome	False	R68.2	Dry mouth, unspecified	dry mouth	['527', '527.7']	['506', '506.5', '506.51']	['GI_506.51']
HP_0000221	Furrowed tongue	furrowed tongue	True	K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	['GI_509.5']
HP_0000221	Fissured tongue	fissured tongue	False	K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	['GI_509.5']
HP_0000221	Plicated tongue	plicated tongue	False	K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	['GI_509.5']
HP_0000221	Scrotal tongue	scrotal tongue	False	K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	['GI_509.5']
HP_0000962	Hyperkeratosis	hyperkeratosis	True	L85.9	Epidermal thickening, unspecified	epidermal thickening	['701']	['680']	['DE_680']
HP_0000230	Gingivitis	gingivitis	True	K05.0	Acute gingivitis	acute gingivitis	['523', '523.1']	['504', '504.1']	['GI_504.1']
HP_0000230	Gingival inflammation	gingival inflammation	False	K05.0	Acute gingivitis	acute gingivitis	['523', '523.1']	['504', '504.1']	['GI_504.1']
HP_0000230	Gingivitis	gingivitis	True	K05.1	Chronic gingivitis	chronic gingivitis	['523', '523.1']	['504', '504.1']	['GI_504.1']
HP_0000230	Gingival inflammation	gingival inflammation	False	K05.1	Chronic gingivitis	chronic gingivitis	['523', '523.1']	['504', '504.1']	['GI_504.1']
HP_0000238	Hydrocephalus	hydrocephalus	True	G91	Hydrocephalus	hydrocephalus	['331', '331.1']	['344', '344.1']	['NS_344.1']
HP_0000238	Hydrocephaly	hydrocephaly	False	G91	Hydrocephalus	hydrocephalus	['331', '331.1']	['344', '344.1']	['NS_344.1']
HP_0000238	Hydrocephalus	hydrocephalus	True	Q03	Congenital hydrocephalus	congenital hydrocephalus	['752', '752.2']	['750', '750.6']	['NS_344.1', 'CM_750.15']
HP_0000238	Hydrocephaly	hydrocephaly	False	Q03	Congenital hydrocephalus	congenital hydrocephalus	['752', '752.2']	['750', '750.6']	['NS_344.1', 'CM_750.15']
HP_0000243	Trigonocephaly	trigonocephaly	True	Q75.0	Craniosynostosis	craniosynostosis	['749', '749.2']	['758', '758.2', '758.23']	['CM_755.23']
HP_0000262	Turricephaly	turricephaly	True	Q75.0	Craniosynostosis	craniosynostosis	['749', '749.2']	['758', '758.2', '758.23']	['CM_755.23']
HP_0000263	Oxycephaly	oxycephaly	True	Q75.0	Craniosynostosis	craniosynostosis	['749', '749.2']	['758', '758.2', '758.23']	['CM_755.23']
HP_0000246	Sinusitis	sinusitis	True	J01	Acute sinusitis	acute sinusitis	['464']	['462', '462.1']	['RE_462.1']
HP_0000255	Acute sinusitis	acute sinusitis	True	J01	Acute sinusitis	acute sinusitis	['464']	['462', '462.1']	['RE_462.1']
HP_0000246	Sinusitis	sinusitis	True	J32	Chronic sinusitis	chronic sinusitis	['475']	['462', '462.2']	['RE_462.2']
HP_0000255	Acute sinusitis	acute sinusitis	True	J32	Chronic sinusitis	chronic sinusitis	['475']	['462', '462.2']	['RE_462.2']
HP_0000252	Microcephaly	microcephaly	True	Q02	Microcephaly	microcephaly	['752', '752.2']	['750', '750.1', '750.11']	['CM_750.111']
HP_0000256	Macrocephaly	macrocephaly	True	Q75.3	Macrocephaly	macrocephaly	['749', '749.2']	['758', '758.4']	['CM_755.4']
HP_0000256	Large head	large head	False	Q75.3	Macrocephaly	macrocephaly	['749', '749.2']	['758', '758.4']	['CM_755.4']
HP_0000256	Megacephaly	megacephaly	False	Q04.5	Megalencephaly	megalencephaly	['752', '752.2']	['750', '750.3']	['CM_750.13']
HP_0000265	Mastoiditis	mastoiditis	True	H70	Mastoiditis and related conditions	mastoiditis and related conditions	['381', '381.3']	['393']	['SO_393']
HP_0000268	Dolichocephaly	dolichocephaly	True	Q67.2	Dolichocephaly	dolichocephaly	['749']	['758', '758.2', '758.21']	['CM_755.21']
HP_0000969	Edema	edema	True	R60.9	Edema, unspecified	edema	['782', '782.3']	['812']	['SS_812']
HP_0000969	Dropsy	dropsy	False	R60.9	Edema, unspecified	edema	['782', '782.3']	['812']	['SS_812']
HP_0000969	Oedema	oedema	False	R60.9	Edema, unspecified	edema	['782', '782.3']	['812']	['SS_812']
HP_0001252	Hypotonia	hypotonia	True	P94.2	Congenital hypotonia	congenital hypotonia	['656']	['872', '872.1', '872.12']	['NB_872.12']
HP_0001252	Low muscle tone	low muscle tone	False	P94.2	Congenital hypotonia	congenital hypotonia	['656']	['872', '872.1', '872.12']	['NB_872.12']
HP_0001252	Muscle hypotonia	muscle hypotonia	False	P94.2	Congenital hypotonia	congenital hypotonia	['656']	['872', '872.1', '872.12']	['NB_872.12']
HP_0000303	Mandibular prognathism	mandibular prognathism	False	M26.10	Unspecified anomaly of jaw-cranial base relationship	anomaly of jaw-cranial base relationship	['526', '526.3']	['733', '733.7']	['MS_733.7']
HP_0000303	Prognathia	prognathia	False	M26.10	Unspecified anomaly of jaw-cranial base relationship	anomaly of jaw-cranial base relationship	['526', '526.3']	['733', '733.7']	['MS_733.7']
HP_0000303	Prognathism	prognathism	False	M26.10	Unspecified anomaly of jaw-cranial base relationship	anomaly of jaw-cranial base relationship	['526', '526.3']	['733', '733.7']	['MS_733.7']
HP_0000316	Hypertelorism	hypertelorism	True	Q75.2	Hypertelorism	hypertelorism	['749', '749.2']	['758', '758.5']	['CM_755.5']
HP_0000316	Ocular hypertelorism	ocular hypertelorism	False	Q75.2	Hypertelorism	hypertelorism	['749', '749.2']	['758', '758.5']	['CM_755.5']
HP_0000316	Wide-set eyes	wide-set eyes	False	Q75.2	Hypertelorism	hypertelorism	['749', '749.2']	['758', '758.5']	['CM_755.5']
HP_0000317	Facial myokymia	facial myokymia	True	G51.4	Facial myokymia	facial myokymia	['352', '352.2']	['334', '334.2', '334.25']	['NS_334.25']
HP_0002411	Myokymia	myokymia	True	G51.4	Facial myokymia	facial myokymia	['352', '352.2']	['334', '334.2', '334.25']	['NS_334.25']
HP_0001028	Strawberry mark	strawberry mark	False	D18.0	Hemangioma	hemangioma	['228']	['139', '139.6', '139.61']	['CA_139.61']
HP_0000360	Tinnitus	tinnitus	True	H93.1	Tinnitus	tinnitus	['389', '389.4']	['397', '397.1']	['SO_397.1']
HP_0000360	Ringing in the ears	ringing in the ears	False	H93.1	Tinnitus	tinnitus	['389', '389.4']	['397', '397.1']	['SO_397.1']
HP_0000362	Otosclerosis	otosclerosis	True	H80	Otosclerosis	otosclerosis	['383']	['391', '391.8']	['SO_391.8']
HP_0000365	Hearing impairment	hearing impairment	True	H90	Conductive and sensorineural hearing loss	conductive and sensorineural hearing loss	['389']	['396']	['SO_396']
HP_0000365	Hearing impairment	hearing impairment	True	H91	Other and unspecified hearing loss	other andhearing loss	['389']	['396']	['SO_396']
HP_0000369	Low-set ears	low-set ears	True	Q17.4	Misplaced ear	misplaced ear	['749']	['755', '755.4']	['CM_752.4']
HP_0000369	Low set ears	low set ears	False	Q17.4	Misplaced ear	misplaced ear	['749']	['755', '755.4']	['CM_752.4']
HP_0000371	Acute otitis media	acute otitis media	True	H65	Nonsuppurative otitis media	nonsuppurative otitis media	['381', '381.1']	['391', '391.1']	['SO_391.1']
HP_0000388	Otitis media	otitis media	True	H65	Nonsuppurative otitis media	nonsuppurative otitis media	['381', '381.1']	['391', '391.1']	['SO_391.1']
