CUI	ICD10_code	ICD10_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList
C0001818	F40.0	Agoraphobia	HP_0000756	Agoraphobia	['300', '300.1', '300.12']	['288', '288.4', '288.41']
C0001824	D70	Neutropenia	HP_0012234	Agranulocytosis	['288', '288.1', '288.11']	['170', '170.1']
C0001860	L94.6	Ainhum	HP_0031009	Ainhum	['136']	['680', '680.4']
C0001916	E70.30	Albinism, unspecified	HP_0001022	Albinism	['270', '270.1']	['240', '240.1', '240.13']
C0001916	E70.3	Albinism	HP_0001022	Albinism	['270', '270.1']	['240', '240.1', '240.13']
C0001925	R80.9	Proteinuria, unspecified	HP_0012592	Albuminuria	['269']	['830']
C0001973	F10.2	Alcohol dependence	HP_0030955	Alcoholism	['317']	['280', '280.1', '280.12', '281', '281.2']
C0002063	E87.3	Alkalosis	HP_0001948	Alkalosis	['276', '276.4', '276.42']	['256', '256.3', '256.32']
C0002064	E87.3	Alkalosis	HP_0001950	Respiratory alkalosis	['276', '276.4', '276.42']	['256', '256.3', '256.32']
C0002170	L65.9	Nonscarring hair loss, unspecified	HP_0001596	Alopecia	['704', '704.1']	['684', '684.1']
C0002170	L65.9	Nonscarring hair loss, unspecified	HP_0002293	Alopecia of scalp	['704', '704.1']	['684', '684.1']
C0002171	L63.9	Alopecia areata, unspecified	HP_0002229	obsolete Alopecia areata	['704', '704.1', '704.11']	['684', '684.1', '684.11']
C0002171	L63	Alopecia areata	HP_0002229	obsolete Alopecia areata	['704', '704.1', '704.11']	['684', '684.1', '684.11']
C0002390	J67.9	Hypersensitivity pneumonitis due to unspecified organic dust	HP_0006516	Hypersensitivity pneumonitis	['500', '500.1']	['477', '477.2', '840', '840.8']
C0002395	G30.9	Alzheimer's disease, unspecified	HP_0002511	Alzheimer disease	['290', '290.1', '290.11']	['328', '328.1']
C0002395	G30	Alzheimer's disease	HP_0002511	Alzheimer disease	['290', '290.1', '290.11']	['328', '328.1']
C0002418	H53.00	Unspecified amblyopia	HP_0000646	Amblyopia	['368', '368.1']	['386', '386.1']
C0002447	Q73.0	Congenital absence of unspecified limb(s)	HP_0009827	Amelia	['755', '755.4']	['785', '785.2']
C0002452	K00.5	Hereditary disturbances in tooth structure, not elsewhere classified	HP_0000705	Amelogenesis imperfecta	['520', '520.1']	['500', '500.2']
C0002453	N91.2	Amenorrhea, unspecified	HP_0000141	Amenorrhea	['626', '626.1', '626.11']	['626', '626.1', '626.11']
C0002624	R41.2	Retrograde amnesia	HP_0033690	Retrograde memory impairment	['292', '292.3']	['329', '329.1']
C0002726	E85	Amyloidosis	HP_0011034	Amyloidosis	['270', '270.3', '270.33']	['249']
C0002726	E85.9	Amyloidosis, unspecified	HP_0011034	Amyloidosis	['270', '270.3', '270.33']	['249']
C0002736	G12.21	Amyotrophic lateral sclerosis	HP_0007354	Amyotrophic lateral sclerosis	['334', '334.2', '334.21']	['323', '323.3', '323.31']
C0002871	D64.9	Anemia, unspecified	HP_0001903	Anemia	['285']	['164']
C0002874	D61.9	Aplastic anemia, unspecified	HP_0001915	Aplastic anemia	['284']	['162', '164']
C0002876	D64.4	Congenital dyserythropoietic anemia	HP_0004810	Congenital hypoplastic anemia	['285']	['162', '162.7', '164']
C1260899	D61.01	Constitutional (pure) red blood cell aplasia	HP_0004810	Congenital hypoplastic anemia	['284', '284.2']	['162', '162.1']
C0002878	D57.419	Sickle-cell thalassemia, unspecified, with crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.14']
C0002878	D57.42	Sickle-cell thalassemia beta zero without crisis	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.43	Sickle-cell thalassemia beta zero with crisis	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.418	Sickle-cell thalassemia, unspecified, with crisis with other specified complication	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.80	Other sickle-cell disorders without crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1']
C0002878	D57.411	Sickle-cell thalassemia, unspecified, with acute chest syndrome	HP_0001878	Hemolytic anemia	['282', '282.5', '509']	['165', '165.1', '165.14', '499', '499.1']
C0002878	D57.412	Sickle-cell thalassemia, unspecified, with splenic sequestration	HP_0001878	Hemolytic anemia	['282', '282.5', '289', '289.5']	['165', '165.1', '165.14']
C0002878	D57.431	Sickle-cell thalassemia beta zero with acute chest syndrome	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14', '499', '499.1']
C0002878	D57.41	Sickle-cell thalassemia, unspecified, with crisis	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.40	Sickle-cell thalassemia without crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.14']
C0002878	D57.4	Sickle-cell thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.1', '165.14']
C0002878	D57.3	Sickle-cell trait	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.3']
C0002878	D57.219	Sickle-cell/Hb-C disease with crisis, unspecified	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.12']
C0002878	D57.218	Sickle-cell/Hb-C disease with crisis with other specified complication	HP_0001878	Hemolytic anemia		['165', '165.1', '165.12']
C0002878	D57.213	Sickle-cell/Hb-C disease with cerebral vascular involvement	HP_0001878	Hemolytic anemia		['165', '165.1', '165.12']
C0002878	D57.212	Sickle-cell/Hb-C disease with splenic sequestration	HP_0001878	Hemolytic anemia	['282', '282.5', '289', '289.5']	['165', '165.1', '165.12']
C0002878	D57.211	Sickle-cell/Hb-C disease with acute chest syndrome	HP_0001878	Hemolytic anemia	['282', '282.5', '509']	['165', '165.1', '165.12', '499', '499.1']
C0002878	D57.413	Sickle-cell thalassemia, unspecified, with cerebral vascular involvement	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.432	Sickle-cell thalassemia beta zero with splenic sequestration	HP_0001878	Hemolytic anemia		['499', '499.1']
C0002878	D57.451	Sickle-cell thalassemia beta plus with acute chest syndrome	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14', '499', '499.1']
C0002878	D57.438	Sickle-cell thalassemia beta zero with crisis with other specified complication	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.811	Other sickle-cell disorders with acute chest syndrome	HP_0001878	Hemolytic anemia	['282', '282.5', '509']	['165', '165.1', '499', '499.1']
C0002878	D57.812	Other sickle-cell disorders with splenic sequestration	HP_0001878	Hemolytic anemia	['282', '282.5', '289', '289.5']	['165', '165.1']
C0002878	D57.819	Other sickle-cell disorders with crisis, unspecified	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1']
C0002878	D57.8	Other sickle-cell disorders	HP_0001878	Hemolytic anemia		['165', '165.1']
C0002878	D58	Other hereditary hemolytic anemias	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '164']
C0002878	D58.0	Hereditary spherocytosis	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.11']
C0002878	D58.1	Hereditary elliptocytosis	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.12']
C0002878	D58.9	Hereditary hemolytic anemia, unspecified	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '164']
C0002878	D57.21	Sickle-cell/Hb-C disease with crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.12']
C0002878	D57.459	Sickle-cell thalassemia beta plus with crisis, unspecified	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.458	Sickle-cell thalassemia beta plus with crisis with other specified complication	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.453	Sickle-cell thalassemia beta plus with cerebral vascular involvement	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.452	Sickle-cell thalassemia beta plus with splenic sequestration	HP_0001878	Hemolytic anemia		['499', '499.1']
C0002878	D57.81	Other sickle-cell disorders with crisis	HP_0001878	Hemolytic anemia		['165', '165.1']
C0002878	D57.45	Sickle-cell thalassemia beta plus with crisis	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.44	Sickle-cell thalassemia beta plus without crisis	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.439	Sickle-cell thalassemia beta zero with crisis, unspecified	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.433	Sickle-cell thalassemia beta zero with cerebral vascular involvement	HP_0001878	Hemolytic anemia		['165', '165.1', '165.14']
C0002878	D57.20	Sickle-cell/Hb-C disease without crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.12']
C0002878	D55.1	Anemia due to other disorders of glutathione metabolism	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.13', '164']
C0002878	D57.1	Sickle-cell disease without crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.11']
C0002878	D55.0	Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.13', '161.131', '164']
C0002878	D55	Anemia due to enzyme disorders	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '164']
C0002878	D59	Acquired hemolytic anemia	HP_0001878	Hemolytic anemia	['283']	['161', '161.2', '164']
C0002878	D59.0	Drug-induced autoimmune hemolytic anemia	HP_0001878	Hemolytic anemia	['283', '283.1']	['161', '161.2', '161.22', '164', '181']
C0002878	D59.1	Other autoimmune hemolytic anemias	HP_0001878	Hemolytic anemia	['283', '283.1']	['161', '161.2', '161.21', '164', '181']
C0002878	D59.10	Autoimmune hemolytic anemia, unspecified	HP_0001878	Hemolytic anemia		['161', '161.2', '161.21', '164', '181']
C0002878	D59.11	Warm autoimmune hemolytic anemia	HP_0001878	Hemolytic anemia		['161', '161.2', '161.21', '164', '181']
C0002878	D59.12	Cold autoimmune hemolytic anemia	HP_0001878	Hemolytic anemia		['161', '161.2', '161.21', '164', '181']
C0002878	D59.13	Mixed type autoimmune hemolytic anemia	HP_0001878	Hemolytic anemia		['161', '161.2', '161.21', '164', '181']
C0002878	D59.19	Other autoimmune hemolytic anemia	HP_0001878	Hemolytic anemia		['161', '161.2', '161.21', '164', '181']
C0002878	D59.2	Drug-induced nonautoimmune hemolytic anemia	HP_0001878	Hemolytic anemia	['283', '283.2']	['161', '161.2', '161.23', '164', '181']
C0002878	D59.3	Hemolytic-uremic syndrome	HP_0001878	Hemolytic anemia	['283', '283.2', '283.21']	['161', '161.2', '161.22']
C0002878	D59.4	Other nonautoimmune hemolytic anemias	HP_0001878	Hemolytic anemia	['283', '283.2']	['161', '161.2', '164', '181']
C0002878	D59.5	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]	HP_0001878	Hemolytic anemia	['285', '285.8']	['161', '161.2', '161.24']
C0002878	D59.6	Hemoglobinuria due to hemolysis from other external causes	HP_0001878	Hemolytic anemia	['285', '285.8']	['161', '161.2']
C0002878	D59.8	Other acquired hemolytic anemias	HP_0001878	Hemolytic anemia	['285', '285.8']	['161', '161.2', '164']
C0002878	D59.9	Acquired hemolytic anemia, unspecified	HP_0001878	Hemolytic anemia	['283']	['161', '161.2', '164']
C0002878	D58.2	Other hemoglobinopathies	HP_0001878	Hemolytic anemia	['282', '282.8']	['165']
C0002878	D57.2	Sickle-cell/Hb-C disease	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.12']
C0002878	D55.2	Anemia due to disorders of glycolytic enzymes	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.16', '164']
C0002878	D55.8	Other anemias due to enzyme disorders	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.16', '164']
C0002878	D57.09	Hb-SS disease with crisis with other specified complication	HP_0001878	Hemolytic anemia		['165', '165.1', '165.11']
C0002878	D57.03	Hb-SS disease with cerebral vascular involvement	HP_0001878	Hemolytic anemia		['165', '165.1', '165.11']
C0002878	D57.02	Hb-SS disease with splenic sequestration	HP_0001878	Hemolytic anemia	['282', '282.5', '289', '289.5']	['165', '165.1', '165.11']
C0002878	D57.01	Hb-SS disease with acute chest syndrome	HP_0001878	Hemolytic anemia	['282', '282.5', '509']	['165', '165.1', '165.11', '499', '499.1']
C0002878	D57.00	Hb-SS disease with crisis, unspecified	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.11']
C0002878	D57.0	Hb-SS disease with crisis	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1', '165.11']
C0002878	D57	Sickle-cell disorders	HP_0001878	Hemolytic anemia	['282', '282.5']	['165', '165.1']
C0002878	D56.9	Thalassemia, unspecified	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2']
C0002878	D55.3	Anemia due to disorders of nucleotide metabolism	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.16', '164']
C0002878	D56.8	Other thalassemias	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2']
C0002878	D56.4	Hereditary persistence of fetal hemoglobin [HPFH]	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.5']
C0002878	D56.3	Thalassemia minor	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2', '165.25']
C0002878	D56.2	Delta-beta thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2', '165.23']
C0002878	D56.1	Beta thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2', '165.22']
C0002878	D56.0	Alpha thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2', '165.21']
C0002878	D56	Thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2']
C0002878	D55.9	Anemia due to enzyme disorder, unspecified	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '161.16', '164']
C0002878	D56.5	Hemoglobin E-beta thalassemia	HP_0001878	Hemolytic anemia	['282', '282.8']	['165', '165.2', '165.24']
C0002878	D58.8	Other specified hereditary hemolytic anemias	HP_0001878	Hemolytic anemia	['282', '282.9']	['161', '161.1', '164']
C0002881	D58.9	Hereditary hemolytic anemia, unspecified	HP_0004804	Congenital hemolytic anemia	['282', '282.9']	['161', '161.1', '164']
C0002884	D50	Iron deficiency anemia	HP_0001931	Hypochromic anemia	['280', '280.1']	['160', '160.1', '164', '164.1', '247', '247.7', '247.72']
C0002888	D53.1	Other megaloblastic anemias, not elsewhere classified	HP_0001889	Megaloblastic anemia	['281', '281.1']	['160', '160.2', '164', '164.2']
C0002896	D64.3	Other sideroblastic anemias	HP_0001924	Sideroblastic anemia	['285', '285.3']	['162', '162.6', '164', '164.1']
C0002902	Q00.0	Anencephaly	HP_0002323	Anencephaly	['752', '752.1']	['750', '750.1', '750.12']
C0002940	I72.9	Aneurysm of unspecified site	HP_0002617	Vascular dilatation	['442']	['438']
C0002962	I20.9	Angina pectoris, unspecified	HP_0001681	Angina pectoris	['411', '411.3']	['403']
C0002962	I20.8	Other forms of angina pectoris	HP_0001681	Angina pectoris	['411', '411.3']	['403']
C0002962	I20	Angina pectoris	HP_0001681	Angina pectoris	['411', '411.3']	['403']
C0002986	E75.21	Fabry (-Anderson) disease	HP_0001071	Angiokeratoma corporis diffusum	['277', '277.5', '277.51']	['242', '242.2', '242.21']
C0002994	T78.3	Angioneurotic edema	HP_0100665	Angioedema	['949']	['812', '812.2']
C0003028	L74.4	Anhidrosis	HP_0000970	Anhidrosis	['705']	['685', '685.5']
C0003076	Q13.1	Absence of iris	HP_0000526	Aniridia	['753']	['753', '753.5', '753.51']
C0003079	H57.02	Anisocoria	HP_0009916	Anisocoria	['379', '379.4']	['384', '384.1']
C0003081	H52.31	Anisometropia	HP_0012803	Anisometropia	['368', '368.3']	['387', '387.5']
C0003090	M24.6	Ankylosis of joint	HP_0031013	Ankylosis	['741', '741.1']	['712', '712.4']
C0003119	Q11.1	Other anophthalmos	HP_0000528	Anophthalmia	['753']	['753', '753.1']
C0003123	R63.0	Anorexia	HP_0002039	Anorexia	['260', '260.6']	['230', '230.3']
C0003126	R43.0	Anosmia	HP_0000458	Anosmia	['350', '350.6']	['352', '352.1']
C0003165	J60	Coalworker's pneumoconiosis	HP_0033375	Anthracosis	['500', '500.2']	['477', '477.1']
C0003466	Q42.3	Congenital absence, atresia and stenosis of anus without fistula	HP_0002023	Anal atresia	['750', '750.2', '750.21']	['765', '765.8']
C0003467	F41.1	Generalized anxiety disorder	HP_0000739	Anxiety	['300', '300.1', '300.11']	['288', '288.3']
C0003486	I71.9	Aortic aneurysm of unspecified site, without rupture	HP_0004942	Aortic aneurysm	['442', '442.1']	['438', '438.1']
C0265004	I71.9	Aortic aneurysm of unspecified site, without rupture	HP_0004942	Aortic aneurysm	['442', '442.1']	['438', '438.1']
C0265004	I77.81	Aortic ectasia	HP_0004942	Aortic aneurysm	['447', '447.7']	['438', '438.1']
C0003492	Q25.1	Coarctation of aorta	HP_0001680	Coarctation of aorta	['747', '747.1', '747.13']	['778', '778.4', '778.41']
C0003499	Q25.3	Supravalvular aortic stenosis	HP_0004381	Supravalvular aortic stenosis	['747', '747.1', '747.13']	['413', '413.2', '413.21', '778', '778.4', '778.43']
C0003504	I35.1	Nonrheumatic aortic (valve) insufficiency	HP_0001659	Aortic regurgitation	['395', '395.2']	['413', '413.2', '413.22']
C0003507	Q25.1	Coarctation of aorta	HP_0001650	Aortic valve stenosis	['747', '747.1', '747.13']	['778', '778.4', '778.41']
C0003507	Q25.3	Supravalvular aortic stenosis	HP_0001650	Aortic valve stenosis	['747', '747.1', '747.13']	['413', '413.2', '413.21', '778', '778.4', '778.43']
C0003507	I35.0	Nonrheumatic aortic (valve) stenosis	HP_0001650	Aortic valve stenosis	['395', '395.2']	['413', '413.2', '413.21']
C0003516	Q21.4	Aortopulmonary septal defect	HP_0011604	Aortopulmonary window	['747', '747.1', '747.11']	['780', '780.4', '780.45']
C0003537	R47.01	Aphasia	HP_0002381	Aphasia	['292', '292.1', '292.11']	['356', '356.2']
C0003564	R49.1	Aphonia	HP_0001686	Loss of voice	['473', '473.4']	['494', '494.2']
C0003578	R06.81	Apnea, not elsewhere classified	HP_0002104	Apnea	['513', '513.3', '513.31']	['488', '488.7']
C0003635	R48.2	Apraxia	HP_0002186	Apraxia	['292', '292.1', '292.12']	['894', '894.2']
C0003742	H18.41	Arcus senilis	HP_0001084	Corneal arcus	['364', '364.4']	['369', '369.4', '369.44']
C0003803	Q07.0	Arnold-Chiari syndrome	HP_0002308	Chiari malformation	['747', '747.1', '752', '752.1', '752.11']	['752', '752.1']
C0003811	I49.9	Cardiac arrhythmia, unspecified	HP_0011675	Arrhythmia	['427', '427.5']	['416']
C1744601	R00	Abnormalities of heart beat	HP_0011675	Arrhythmia	['429', '429.3']	['417']
C1744601	R00.9	Unspecified abnormalities of heart beat	HP_0011675	Arrhythmia	['396']	['417']
C0003850	I70	Atherosclerosis	HP_0002634	Arteriosclerosis	['440']	['436']
C0003860	I77.6	Arteritis, unspecified	HP_0012089	Arteritis	['446', '446.9']	['704']
C0003862	M25.5	Pain in joint	HP_0002829	Arthralgia	['745']	['713', '713.3']
C0003864	M19.90	Unspecified osteoarthritis, unspecified site	HP_0001369	Arthritis	['740', '740.9']	['708']
C0003869	M00	Pyogenic arthritis	HP_0003095	Septic arthritis	['711', '711.1']	['702', '702.1']
C0003869	M00.9	Pyogenic arthritis, unspecified	HP_0003095	Septic arthritis	['711', '711.1']	['702', '702.1']
C0003873	M06.9	Rheumatoid arthritis, unspecified	HP_0001370	Rheumatoid arthritis	['714', '714.1']	['181', '705', '705.1']
C0003886	Q74.3	Arthrogryposis multiplex congenita	HP_0002804	Arthrogryposis multiplex congenita	['756']	['789', '789.4']
C0003892	M14.6	Charcôt's joint	HP_0002821	Neuropathic arthropathy	['713', '713.5']	['707', '707.4']
C0003962	R18.8	Other ascites	HP_0001541	Ascites	['572']	['555']
C0003962	R18	Ascites	HP_0001541	Ascites	['572']	['555']
C0003969	E54	Ascorbic acid deficiency	HP_0100510	Low levels of vitamin C	['261', '261.3']	['232', '232.3']
C0004045	P84	Other problems with newborn	HP_0012768	Neonatal asphyxia	['661']	
C0004093	R53.1	Weakness	HP_0025406	Asthenia	['798']	['807', '807.2']
C0004095	H53.14	Visual discomfort	HP_0031590	Asthenopia	['368', '368.9']	['386', '386.3']
C0004096	J45	Asthma	HP_0002099	Asthma	['495']	['475']
C0004096	J45.9	Other and unspecified asthma	HP_0002099	Asthma		['475']
C0004096	J45.90	Unspecified asthma	HP_0002099	Asthma	['495']	['475']
C0004096	J45.909	Unspecified asthma, uncomplicated	HP_0002099	Asthma	['495']	['475']
C0004106	H52.2	Astigmatism	HP_0000483	Astigmatism	['367', '367.2']	['387', '387.3']
C0004106	H52.20	Unspecified astigmatism	HP_0000483	Astigmatism	['367', '367.2']	['387', '387.3']
C0004134	R27.0	Ataxia, unspecified	HP_0010867	Dyssynergia	['350', '350.3']	['325', '325.3']
C0004144	J98.11	Atelectasis	HP_0100750	Atelectasis	['508']	['479', '479.6']
C0004144	J98.1	Pulmonary collapse	HP_0100750	Atelectasis	['508']	['479', '479.6']
C0004153	I70	Atherosclerosis	HP_0002635	Type IV atherosclerotic lesion	['440']	['436']
C0004153	I25.1	Atherosclerotic heart disease of native coronary artery	HP_0002635	Type IV atherosclerotic lesion	['411', '411.4']	['404', '404.2', '436']
C0004153	I70	Atherosclerosis	HP_0002621	Atherosclerosis	['440']	['436']
C0004153	I25.1	Atherosclerotic heart disease of native coronary artery	HP_0002621	Atherosclerosis	['411', '411.4']	['404', '404.2', '436']
C0004245	I44.3	Other and unspecified atrioventricular block	HP_0001678	Atrioventricular block	['426', '426.2']	['416', '416.4', '416.41']
C0004245	I44.30	Unspecified atrioventricular block	HP_0001678	Atrioventricular block	['426', '426.2']	['416', '416.4', '416.41']
C0004331	I45.89	Other specified conduction disorders	HP_0011709	Atrioventricular dissociation	['426', '426.8']	['416']
C0004352	F84.0	Autistic disorder	HP_0000717	Autism	['313', '313.3']	['892', '892.4']
C0004364	M31	Other necrotizing vasculopathies	HP_0002960	Autoimmunity		['704']
C0004364	M31.6	Other giant cell arteritis	HP_0002960	Autoimmunity	['446', '446.5']	['704', '704.5']
C0004364	M30.3	Mucocutaneous lymph node syndrome [Kawasaki]	HP_0002960	Autoimmunity	['446', '446.2']	['704', '704.1', '704.12']
C0004364	M31.1	Thrombotic microangiopathy	HP_0002960	Autoimmunity	['446', '446.8']	['704', '704.3']
C0004364	M31.5	Giant cell arteritis with polymyalgia rheumatica	HP_0002960	Autoimmunity	['446', '446.5']	['704', '704.5', '705', '705.3']
C0004364	M31.4	Aortic arch syndrome [Takayasu]	HP_0002960	Autoimmunity	['446', '446.7']	['704', '704.6']
C0004364	M31.2	Lethal midline granuloma	HP_0002960	Autoimmunity	['446']	['120', '120.2', '120.22']
C0004364	M31.0	Hypersensitivity angiitis	HP_0002960	Autoimmunity	['446', '446.3']	['704', '704.4']
C0004364	M31.3	Wegener's granulomatosis	HP_0002960	Autoimmunity	['446', '446.4']	['181', '704', '704.2']
C0004364	M30.8	Other conditions related to polyarteritis nodosa	HP_0002960	Autoimmunity	['446', '446.6']	['704', '704.1']
C0004364	M31.30	Wegener's granulomatosis without renal involvement	HP_0002960	Autoimmunity	['446', '446.4']	['181', '704', '704.2']
C0004364	M31.31	Wegener's granulomatosis with renal involvement	HP_0002960	Autoimmunity	['446', '446.4']	['181', '704', '704.2']
C0004364	M31.7	Microscopic polyangiitis	HP_0002960	Autoimmunity	['446', '446.6']	['704']
C0004364	M36.3	Arthropathy in other blood disorders	HP_0002960	Autoimmunity	['713']	['707', '707.7']
C0004364	M31.9	Necrotizing vasculopathy, unspecified	HP_0002960	Autoimmunity	['447']	['704']
C0004364	M33.03	Juvenile dermatomyositis without myopathy	HP_0002960	Autoimmunity		['700', '700.4', '700.42']
C0004364	M33.09	Juvenile dermatomyositis with other organ involvement	HP_0002960	Autoimmunity	['709', '709.5']	['700', '700.4', '700.42']
C0004364	M33.1	Other dermatomyositis	HP_0002960	Autoimmunity	['709', '709.5']	['700', '700.4', '700.42']
C0004364	M33.10	Other dermatomyositis, organ involvement unspecified	HP_0002960	Autoimmunity	['709', '709.5']	['700', '700.4', '700.42', '700.43']
C0004364	M33.11	Other dermatomyositis with respiratory involvement	HP_0002960	Autoimmunity	['510', '709', '709.5']	['700', '700.4', '700.42', '700.43']
C0004364	M33.12	Other dermatomyositis with myopathy	HP_0002960	Autoimmunity	['359', '359.2', '709', '709.5']	['340', '700', '700.4', '700.42', '700.43']
C0004364	M33.13	Other dermatomyositis without myopathy	HP_0002960	Autoimmunity	['709', '709.5']	['700', '700.4', '700.42']
C0004364	M33.19	Other dermatomyositis with other organ involvement	HP_0002960	Autoimmunity	['709', '709.5']	['700', '700.4', '700.42', '700.43']
C0004364	M33.2	Polymyositis	HP_0002960	Autoimmunity	['709', '709.4']	['700', '700.4', '700.43']
C0004364	M33.20	Polymyositis, organ involvement unspecified	HP_0002960	Autoimmunity	['709', '709.4']	['700', '700.4', '700.43']
C0004364	M33.21	Polymyositis with respiratory involvement	HP_0002960	Autoimmunity	['510', '709', '709.4']	['700', '700.4', '700.43']
