hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
HP_0001045	Vitiligo	vitiligo	True	694.1	Vitiligo	vitiligo	dermatologic
HP_0001051	Seborrheic dermatitis	seborrheic dermatitis	True	690.1	Seborrheic dermatitis	seborrheic dermatitis	dermatologic
HP_0001051	Seborrhea	seborrhea	False	706.3	Seborrhea	seborrhea	dermatologic
HP_0001061	Acne	acne	True	706.1	Acne	acne	dermatologic
HP_0001067	Neurofibromatosis	neurofibromatosis	False	199.4	Neurofibromatosis	neurofibromatosis	neoplasms
HP_0001081	Cholelithiasis	cholelithiasis	True	574.1	Cholelithiasis	cholelithiasis	digestive
HP_0001096	Keratoconjunctivitis	keratoconjunctivitis	True	370.3	Keratoconjunctivitis	keratoconjunctivitis	sense organs
HP_0001097	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	True	370.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	sense organs
HP_0001097	Dry eyes	dry eyes	False	375.1	Dry eyes	dry eyes	sense organs
HP_0001131	Corneal dystrophy	corneal dystrophy	True	364.5	Corneal dystrophy	corneal dystrophy	sense organs
HP_0001249	Mental retardation	mental retardation	False	315.3	Mental retardation	mental retardation	mental disorders
HP_0001259	Coma	coma	True	348.7	Coma	coma	neurological
HP_0001263	Delayed milestones	delayed milestones	False	264.3	Delayed milestones	delayed milestones	endocrine/metabolic
HP_0001278	Orthostatic hypotension	orthostatic hypotension	True	458.1	Orthostatic hypotension	orthostatic hypotension	circulatory system
HP_0002615	Hypotension	hypotension	True	458	Hypotension	hypotension	circulatory system
HP_0002615	Hypotension	hypotension	True	458.9	Hypotension NOS	hypotension	circulatory system
HP_0001287	Meningitis	meningitis	True	320	Meningitis	meningitis	neurological
HP_0001304	Torsion dystonia	torsion dystonia	True	333.4	Torsion dystonia	torsion dystonia	neurological
HP_0031826	Abnormal reflex	abnormal reflex	True	350.5	Abnormal reflex	abnormal reflex	neurological
HP_0001336	Myoclonus	myoclonus	True	333.2	Myoclonus	myoclonus	neurological
HP_0001342	Intracerebral haemorrhage	intracerebral hemorrhage	False	430.2	Intracerebral hemorrhage	intracerebral hemorrhage	circulatory system
HP_0001342	Intracerebral hemorrhage	intracerebral hemorrhage	False	430.2	Intracerebral hemorrhage	intracerebral hemorrhage	circulatory system
HP_0002170	Intracranial hemorrhage	intracranial hemorrhage	True	430	Intracranial hemorrhage	intracranial hemorrhage	circulatory system
HP_0002170	Intracranial haemorrhage	intracranial hemorrhage	False	430	Intracranial hemorrhage	intracranial hemorrhage	circulatory system
HP_0001370	Rheumatoid arthritis	rheumatoid arthritis	True	714.1	Rheumatoid arthritis	rheumatoid arthritis	musculoskeletal
HP_0001409	Portal hypertension	portal hypertension	True	571.81	Portal hypertension	portal hypertension	digestive
HP_0006562	Viral hepatitis	viral hepatitis	True	070	Viral hepatitis	viral hepatitis	infectious diseases
HP_0001744	Splenomegaly	splenomegaly	True	579.2	Splenomegaly	splenomegaly	digestive
HP_0002240	Hepatomegaly	hepatomegaly	True	573.3	Hepatomegaly	hepatomegaly	digestive
HP_0001513	Obesity	obesity	True	278.1	Obesity	obesity	endocrine/metabolic
HP_0001537	Umbilical hernia	umbilical hernia	True	550.4	Umbilical hernia	umbilical hernia	digestive
HP_0001596	Alopecia	alopecia	True	704.1	Alopecia	alopecia	dermatologic
HP_0001635	Heart failure	heart failure	False	428.2	Heart failure NOS	heart failure	circulatory system
HP_0001638	Cardiomyopathy	cardiomyopathy	True	425	Cardiomyopathy	cardiomyopathy	circulatory system
HP_0001640	Cardiomegaly	cardiomegaly	True	416	Cardiomegaly	cardiomegaly	circulatory system
HP_0001695	Cardiac arrest	cardiac arrest	True	427.42	Cardiac arrest	cardiac arrest	circulatory system
HP_0001699	Sudden death	sudden death	True	1003	Sudden death	sudden death	
HP_0001649	Tachycardia	tachycardia	True	427.7	Tachycardia NOS	tachycardia	circulatory system
HP_0001658	Myocardial infarction	myocardial infarction	True	411.2	Myocardial infarction	myocardial infarction	circulatory system
HP_0001677	Coronary atherosclerosis	coronary atherosclerosis	False	411.4	Coronary atherosclerosis	coronary atherosclerosis	circulatory system
HP_0002621	Atherosclerosis	atherosclerosis	True	440	Atherosclerosis	atherosclerosis	circulatory system
HP_0001681	Angina pectoris	angina pectoris	True	411.3	Angina pectoris	angina pectoris	circulatory system
HP_0001701	Pericarditis	pericarditis	True	420.2	Pericarditis	pericarditis	circulatory system
HP_0001735	Acute pancreatitis	acute pancreatitis	True	577.1	Acute pancreatitis	acute pancreatitis	digestive
HP_0001763	Flat foot	flat foot	False	735.1	Flat foot	flat foot	musculoskeletal
HP_0001997	Gout	gout	True	274.1	Gout	gout	endocrine/metabolic
HP_0001873	Thrombocytopenia	thrombocytopenia	True	287.3	Thrombocytopenia	thrombocytopenia	hematopoietic
HP_0001875	Neutropenia	neutropenia	True	288.11	Neutropenia	neutropenia	hematopoietic
HP_0001876	Pancytopenia	pancytopenia	True	284.1	Pancytopenia	pancytopenia	hematopoietic
HP_0001877	Abnormality of red blood cells	abnormality of red blood cells	False	289.9	Abnormality of red blood cells	abnormality of red blood cells	hematopoietic
HP_0001880	Eosinophilia	eosinophilia	True	288.3	Eosinophilia	eosinophilia	hematopoietic
HP_0002754	Osteomyelitis	osteomyelitis	True	710.1	Osteomyelitis	osteomyelitis	musculoskeletal
HP_0002754	Osteomyelitis	osteomyelitis	True	710.19	Unspecified osteomyelitis	osteomyelitis	musculoskeletal
HP_0001889	Megaloblastic anemia	megaloblastic anemia	True	281.1	Megaloblastic anemia	megaloblastic anemia	hematopoietic
HP_0001889	Megaloblastic anaemia	megaloblastic anemia	False	281.1	Megaloblastic anemia	megaloblastic anemia	hematopoietic
HP_0001909	Leukemia	leukemia	True	204	Leukemia	leukemia	neoplasms
HP_0001909	Leukaemia	leukemia	False	204	Leukemia	leukemia	neoplasms
HP_0001915	Aplastic anemia	aplastic anemia	True	284	Aplastic anemia	aplastic anemia	hematopoietic
HP_0001915	Aplastic anaemia	aplastic anemia	False	284	Aplastic anemia	aplastic anemia	hematopoietic
HP_0011034	Amyloidosis	amyloidosis	True	270.33	Amyloidosis	amyloidosis	endocrine/metabolic
HP_0001919	Acute renal failure	acute renal failure	False	585.1	Acute renal failure	acute renal failure	genitourinary
HP_0001924	Sideroblastic anemia	sideroblastic anemia	True	285.3	Sideroblastic anemia	sideroblastic anemia	hematopoietic
HP_0001924	Sideroblastic anaemia	sideroblastic anemia	False	285.3	Sideroblastic anemia	sideroblastic anemia	hematopoietic
HP_0001941	Acidosis	acidosis	True	276.41	Acidosis	acidosis	endocrine/metabolic
HP_0001948	Alkalosis	alkalosis	True	276.42	Alkalosis	alkalosis	endocrine/metabolic
HP_0001959	Polydipsia	polydipsia	True	276.8	Polydipsia	polydipsia	endocrine/metabolic
HP_0001962	Palpitations	palpitations	True	427.9	Palpitations	palpitations	circulatory system
HP_0002017	Nausea and vomiting	nausea and vomiting	True	789	Nausea and vomiting	nausea and vomiting	symptoms
HP_0002014	Diarrhea	diarrhea	True	561.1	Diarrhea	diarrhea	digestive
HP_0002014	Diarrhoea	diarrhea	False	561.1	Diarrhea	diarrhea	digestive
HP_0002015	Dysphagia	dysphagia	True	532	Dysphagia	dysphagia	digestive
HP_0002019	Constipation	constipation	True	563	Constipation	constipation	digestive
HP_0002020	GERD	gerd	False	530.11	GERD	gerd	digestive
HP_0002020	Heartburn	heartburn	False	530.9	Heartburn	heartburn	digestive
HP_0002027	Abdominal pain	abdominal pain	True	785	Abdominal pain	abdominal pain	symptoms
HP_0012531	Pain	pain	True	338	Pain	pain	neurological
HP_0002039	Anorexia	anorexia	True	260.6	Anorexia	anorexia	endocrine/metabolic
HP_0002076	Migraine	migraine	True	340	Migraine	migraine	neurological
HP_0030186	Essential tremor	essential tremor	False	333.1	Essential tremor	essential tremor	neurological
HP_0002090	Pneumonia	pneumonia	True	480	Pneumonia	pneumonia	respiratory
HP_0002093	Respiratory insufficiency	respiratory insufficiency	True	509.2	Respiratory insufficiency	respiratory insufficiency	respiratory
HP_0002094	Shortness of breath	shortness of breath	False	512.7	Shortness of breath	shortness of breath	respiratory
HP_0002097	Emphysema	emphysema	True	496.1	Emphysema	emphysema	respiratory
HP_0002099	Asthma	asthma	True	495	Asthma	asthma	respiratory
HP_0002104	Apnea	apnea	True	513.31	Apnea	apnea	respiratory
HP_0002105	Hemoptysis	hemoptysis	True	516.1	Hemoptysis	hemoptysis	respiratory
HP_0032016	Abnormal sputum	abnormal sputum	True	516	Abnormal sputum	abnormal sputum	respiratory
HP_0002110	Bronchiectasis	bronchiectasis	True	496.3	Bronchiectasis	bronchiectasis	respiratory
HP_0002138	Subarachnoid hemorrhage	subarachnoid hemorrhage	True	430.1	Subarachnoid hemorrhage	subarachnoid hemorrhage	circulatory system
HP_0002138	Subarachnoid haemorrhage	subarachnoid hemorrhage	False	430.1	Subarachnoid hemorrhage	subarachnoid hemorrhage	circulatory system
HP_0002637	Cerebral ischemia	cerebral ischemia	True	433.3	Cerebral ischemia	cerebral ischemia	circulatory system
HP_0003077	Hyperlipidemia	hyperlipidemia	True	272.1	Hyperlipidemia	hyperlipidemia	endocrine/metabolic
HP_0002901	Hypocalcemia	hypocalcemia	True	275.51	Hypocalcemia	hypocalcemia	endocrine/metabolic
HP_0002232	Alopecia areata	alopecia areata	False	704.11	Alopecia Areata	alopecia areata	dermatologic
HP_0002239	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	True	578	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	digestive
HP_0002239	Gastrointestinal haemorrhage	gastrointestinal hemorrhage	False	578	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	digestive
HP_0002248	Hematemesis	hematemesis	True	578.1	Hematemesis	hematemesis	digestive
HP_0002301	Hemiplegia	hemiplegia	True	342	Hemiplegia	hemiplegia	neurological
HP_0002354	Memory loss	memory loss	False	292.3	Memory loss	memory loss	mental disorders
HP_0002355	Difficulty in walking	difficulty in walking	False	741.3	Difficulty in walking	difficulty in walking	musculoskeletal
HP_0002381	Aphasia	aphasia	True	292.11	Aphasia	aphasia	mental disorders
HP_0006802	Anterior horn cell disease	anterior horn cell disease	False	334.2	Anterior horn cell disease	anterior horn cell disease	neurological
HP_0002414	Spina bifida	spina bifida	True	752.11	Spina bifida	spina bifida	congenital anomalies
HP_0002578	Gastroparesis	gastroparesis	True	536.3	Gastroparesis	gastroparesis	digestive
HP_0002582	Atrophic gastritis	atrophic gastritis	True	535.2	Atrophic gastritis	atrophic gastritis	digestive
HP_0002588	Duodenal ulcer	duodenal ulcer	True	531.3	Duodenal ulcer	duodenal ulcer	digestive
HP_0002590	Paralytic ileus	paralytic ileus	True	560.1	Paralytic ileus	paralytic ileus	digestive
HP_0002591	Polyphagia	polyphagia	True	260.7	Polyphagia	polyphagia	endocrine/metabolic
HP_0002592	Gastric ulcer	gastric ulcer	True	531.2	Gastric ulcer	gastric ulcer	digestive
HP_0002608	Celiac disease	celiac disease	True	557.1	Celiac disease	celiac disease	digestive
HP_0002619	Varicose veins	varicose veins	True	454	Varicose veins	varicose veins	circulatory system
HP_0010674	Curvature of spine	curvature of spine	False	737	Curvature of spine	curvature of spine	musculoskeletal
HP_0100242	Cancer of connective tissue	cancer of connective tissue	False	170.2	Cancer of connective tissue	cancer of connective tissue	neoplasms
HP_0002671	Basal cell carcinoma	basal cell carcinoma	True	172.21	Basal cell carcinoma	basal cell carcinoma	neoplasms
HP_0002725	Systemic lupus erythematosus	systemic lupus erythematosus	True	695.42	Systemic lupus erythematosus	systemic lupus erythematosus	dermatologic
HP_0002756	Pathologic fracture	pathologic fracture	True	743.2	Pathologic fracture	pathologic fracture	musculoskeletal
HP_0002791	Hypoventilation	hypoventilation	True	513.3	Hypoventilation	hypoventilation	respiratory
HP_0003040	Arthropathy	arthropathy	True	716.9	Arthropathy NOS	arthropathy	musculoskeletal
HP_0012387	Bronchitis	bronchitis	True	497	Bronchitis	bronchitis	respiratory
HP_0002840	Lymphadenitis	lymphadenitis	True	289.4	Lymphadenitis	lymphadenitis	hematopoietic
HP_0002860	Squamous cell carcinoma	squamous cell carcinoma	True	172.22	Squamous cell carcinoma	squamous cell carcinoma	neoplasms
HP_0002870	Obstructive sleep apnea	obstructive sleep apnea	True	327.32	Obstructive sleep apnea	obstructive sleep apnea	neurological
HP_0010535	Sleep apnea	sleep apnea	True	327.3	Sleep apnea	sleep apnea	neurological
HP_0002878	Respiratory failure	respiratory failure	True	509.1	Respiratory failure	respiratory failure	respiratory
HP_0002883	Hyperventilation	hyperventilation	True	513.4	Hyperventilation	hyperventilation	respiratory
HP_0002907	Microscopic hematuria	microscopic hematuria	True	593.2	Microscopic hematuria	microscopic hematuria	genitourinary
HP_0002933	Ventral hernia	ventral hernia	True	550.5	Ventral hernia	ventral hernia	digestive
HP_0003002	Breast cancer	breast cancer	False	174	Breast cancer	breast cancer	neoplasms
HP_0003003	Colon cancer	colon cancer	True	153.2	Colon cancer	colon cancer	neoplasms
HP_0003072	Hypercalcemia	hypercalcemia	True	275.6	Hypercalcemia	hypercalcemia	endocrine/metabolic
HP_0003124	Hypercholesterolemia	hypercholesterolemia	True	272.11	Hypercholesterolemia	hypercholesterolemia	endocrine/metabolic
HP_0003193	Allergic rhinitis	allergic rhinitis	True	476	Allergic rhinitis	allergic rhinitis	respiratory
HP_0003198	Myopathy	myopathy	True	359.2	Myopathy	myopathy	neurological
HP_0003201	Rhabdomyolysis	rhabdomyolysis	True	772.4	Rhabdomyolysis	rhabdomyolysis	symptoms
HP_0003416	Spinal stenosis	spinal stenosis	False	720	Spinal stenosis	spinal stenosis	musculoskeletal
HP_0003418	Back pain	back pain	True	760	Back pain	back pain	symptoms
HP_0003565	Elevated sedimentation rate	elevated sedimentation rate	False	790.1	Elevated sedimentation rate	elevated sedimentation rate	symptoms
HP_0003641	Hemoglobinuria	hemoglobinuria	True	285.8	Hemoglobinuria	hemoglobinuria	hematopoietic
HP_0003765	Psoriasis	psoriasis	False	696.4	Psoriasis	psoriasis	dermatologic
HP_0003774	End stage renal disease	end stage renal disease	False	585.32	End stage renal disease	end stage renal disease	genitourinary
HP_0004326	Cachexia	cachexia	True	260.1	Cachexia	cachexia	endocrine/metabolic
HP_0004469	Chronic bronchitis	chronic bronchitis	True	496.2	Chronic bronchitis	chronic bronchitis	respiratory
HP_0004749	Atrial flutter	atrial flutter	True	427.22	Atrial flutter	atrial flutter	circulatory system
HP_0004751	Paroxysmal ventricular tachycardia	paroxysmal ventricular tachycardia	True	427.12	Paroxysmal ventricular tachycardia	paroxysmal ventricular tachycardia	circulatory system
HP_0005110	Atrial fibrillation	atrial fibrillation	True	427.21	Atrial fibrillation	atrial fibrillation	circulatory system
HP_0004763	Paroxysmal supraventricular tachycardia	paroxysmal supraventricular tachycardia	True	427.11	Paroxysmal supraventricular tachycardia	paroxysmal supraventricular tachycardia	circulatory system
HP_0012115	Hepatitis	hepatitis	True	070.9	Hepatitis NOS	hepatitis	infectious diseases
HP_0012324	Myeloid leukemia	myeloid leukemia	True	204.2	Myeloid leukemia	myeloid leukemia	neoplasms
HP_0012324	Myeloid leukaemia	myeloid leukemia	False	204.2	Myeloid leukemia	myeloid leukemia	neoplasms
HP_0004872	Incisional hernia	incisional hernia	True	550.6	Incisional hernia	incisional hernia	digestive
HP_0004905	Vitamin A deficiency	vitamin a deficiency	False	261.1	Vitamin A deficiency	vitamin a deficiency	endocrine/metabolic
HP_0004942	Aortic aneurysm	aortic aneurysm	True	442.1	Aortic aneurysm	aortic aneurysm	circulatory system
HP_0005294	Arterial dissection	arterial dissection	True	442.4	Arterial dissection	arterial dissection	circulatory system
HP_0005112	Abdominal aortic aneurysm	abdominal aortic aneurysm	True	442.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	circulatory system
HP_0011713	Left bundle branch block	left bundle branch block	True	426.32	Left bundle branch block	left bundle branch block	circulatory system
HP_0005261	Hemarthrosis	hemarthrosis	False	741.5	Hemarthrosis	hemarthrosis	musculoskeletal
HP_0031047	Paraproteinemia	paraproteinemia	True	270.32	Paraproteinemia	paraproteinemia	endocrine/metabolic
HP_0005526	Lymphoid leukemia	lymphoid leukemia	True	204.1	Lymphoid leukemia	lymphoid leukemia	neoplasms
HP_0005526	Lymphoid leukaemia	lymphoid leukemia	False	204.1	Lymphoid leukemia	lymphoid leukemia	neoplasms
HP_0005575	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	True	283.21	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	hematopoietic
HP_0005681	Juvenile rheumatoid arthritis	juvenile rheumatoid arthritis	True	714.2	Juvenile rheumatoid arthritis	juvenile rheumatoid arthritis	musculoskeletal
HP_0005943	Respiratory arrest	respiratory arrest	True	509.5	Respiratory arrest	respiratory arrest	respiratory
HP_0005978	Type 2 diabetes	type 2 diabetes	False	250.2	Type 2 diabetes	type 2 diabetes	endocrine/metabolic
HP_0006280	Chronic pancreatitis	chronic pancreatitis	True	577.2	Chronic pancreatitis	chronic pancreatitis	digestive
HP_0012089	Arteritis	arteritis	True	446.9	Arteritis NOS	arteritis	circulatory system
HP_0006688	Paroxysmal tachycardia	paroxysmal tachycardia	True	427.1	Paroxysmal tachycardia, unspecified	paroxysmal tachycardia	circulatory system
HP_0100584	Endocarditis	endocarditis	True	420.3	Endocarditis	endocarditis	circulatory system
HP_0006775	Multiple myeloma	multiple myeloma	True	204.4	Multiple myeloma	multiple myeloma	neoplasms
HP_0007018	Attention deficit hyperactivity disorder	attention deficit hyperactivity disorder	True	313.1	Attention deficit hyperactivity disorder	attention deficit hyperactivity disorder	mental disorders
HP_0100786	Hypersomnia	hypersomnia	True	327.1	Hypersomnia	hypersomnia	neurological
HP_0030319	Facial weakness	facial weakness	False	772.6	Facial weakness	facial weakness	symptoms
HP_0007313	Cerebral degeneration	cerebral degeneration	True	331.9	Cerebral degeneration, unspecified	cerebral degeneration	neurological
HP_0007354	Amyotrophic lateral sclerosis	amyotrophic lateral sclerosis	True	334.21	Amyotrophic Lateral Sclerosis	amyotrophic lateral sclerosis	neurological
HP_0012032	Lipoma	lipoma	True	214	Lipoma	lipoma	neoplasms
HP_0012804	Corneal ulcer	corneal ulcer	False	370.1	Corneal ulcer	corneal ulcer	sense organs
HP_0007879	Allergic conjunctivitis	allergic conjunctivitis	True	371.21	Allergic conjunctivitis	allergic conjunctivitis	sense organs
HP_0008066	Blister	blister	False	911	Blister	blister	injuries & poisonings
HP_0008245	Secondary hypothyroidism	secondary hypothyroidism	False	244.1	Secondary hypothyroidism	secondary hypothyroidism	endocrine/metabolic
HP_0009797	Cholesteatoma	cholesteatoma	True	385.3	Cholesteatoma	cholesteatoma	sense organs
HP_0009926	Epiphora	epiphora	True	375.2	Epiphora	epiphora	sense organs
HP_0010619	Fibroadenosis of breast	fibroadenosis of breast	False	610.2	Fibroadenosis of breast	fibroadenosis of breast	genitourinary
HP_0010750	Dermatochalasis	dermatochalasis	True	374.6	Dermatochalasis	dermatochalasis	sense organs
HP_0010769	Pilonidal cyst	pilonidal cyst	False	686.3	Pilonidal cyst	pilonidal cyst	dermatologic
HP_0010886	Osteochondritis dissecans	osteochondritis dissecans	True	732.7	Osteochondritis dissecans	osteochondritis dissecans	musculoskeletal
HP_0011106	Hypovolemia	hypovolemia	True	276.5	Hypovolemia	hypovolemia	endocrine/metabolic
HP_0011109	Chronic sinusitis	chronic sinusitis	True	475	Chronic sinusitis	chronic sinusitis	respiratory
HP_0011710	Bundle branch block	bundle branch block	True	426.3	Bundle branch block	bundle branch block	circulatory system
HP_0011712	Right bundle branch block	right bundle branch block	True	426.31	Right bundle branch block	right bundle branch block	circulatory system
HP_0011868	Sciatica	sciatica	True	764	Sciatica	sciatica	symptoms
HP_0011974	Myelofibrosis	myelofibrosis	True	289.1	Myelofibrosis	myelofibrosis	hematopoietic
HP_0012188	Hyperemesis gravidarum	hyperemesis gravidarum	True	643.1	Hyperemesis gravidarum	hyperemesis gravidarum	pregnancy complications
HP_0012219	Erythema nodosum	erythema nodosum	True	695.81	Erythema nodosum	erythema nodosum	dermatologic
HP_0012238	Hyperchylomicronemia	hyperchylomicronemia	False	272.14	Hyperchylomicronemia	hyperchylomicronemia	endocrine/metabolic
HP_0012330	Pyelonephritis	pyelonephritis	True	590	Pyelonephritis	pyelonephritis	genitourinary
HP_0012399	Decubitus Ulcer	decubitus ulcer	False	707.1	Decubitus ulcer	decubitus ulcer	dermatologic
HP_0012490	Panniculitis	panniculitis	True	729.3	Panniculitis	panniculitis	musculoskeletal
HP_0012532	Chronic pain	chronic pain	True	338.2	Chronic pain	chronic pain	neurological
HP_0012587	Gross hematuria	gross hematuria	False	593.1	Gross hematuria	gross hematuria	genitourinary
