hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
HP_0000317	Facial myokymia	facial myokymia	True	NS_334.25	Facial myokymia*	facial myokymia	Neurological
HP_0000327	Maxillary hypoplasia	maxillary hypoplasia	False	MS_733.121	Maxillary hypoplasia	maxillary hypoplasia	Muscloskeletal
HP_0001028	Hemangioma	hemangioma	True	CA_139.61	Hemangioma	hemangioma	Neoplasms
HP_0000360	Tinnitus	tinnitus	True	SO_397.1	Tinnitus	tinnitus	Sense organs
HP_0000364	Hearing abnormality	hearing abnormality	True	SO_397	Other hearing abnormality	other hearing abnormality	Sense organs
HP_0000362	Otosclerosis	otosclerosis	True	SO_391.8	Otosclerosis	otosclerosis	Sense organs
HP_0000365	Hearing impairment	hearing impairment	True	SO_396	Hearing impairment	hearing impairment	Sense organs
HP_0000388	Otitis media	otitis media	True	SO_391.1	Otitis media	otitis media	Sense organs
HP_0000400	Macrotia	macrotia	True	CM_752.2	Macrotia	macrotia	Congenital
HP_0000405	Conductive hearing loss	conductive hearing loss	False	SO_396.1	Conductive hearing loss	conductive hearing loss	Sense organs
HP_0000407	Sensorineural hearing loss	sensorineural hearing loss	False	SO_396.2	Sensorineural hearing loss	sensorineural hearing loss	Sense organs
HP_0000421	Epistaxis	epistaxis	True	RE_487.1	Epistaxis	epistaxis	Respiratory
HP_0000453	Choanal atresia	choanal atresia	True	CM_755.61	Choanal atresia	choanal atresia	Congenital
HP_0000471	Gastrointestinal angiodysplasia	gastrointestinal angiodysplasia	True	GI_517.4	Gastrointestinal angiodysplasia	gastrointestinal angiodysplasia	Gastrointestinal
HP_0000473	Torticollis	torticollis	True	NS_324.314	Torticollis	torticollis	Neurological
HP_0000589	Coloboma	coloboma	True	CM_751.5	Coloboma	coloboma	Congenital
HP_0000483	Astigmatism	astigmatism	True	SO_387.3	Astigmatism	astigmatism	Sense organs
HP_0000486	Strabismus	strabismus	True	SO_381	Strabismus	strabismus	Sense organs
HP_0000488	Retinopathy	retinopathy	True	SO_374.4	Retinopathy	retinopathy	Sense organs
HP_0000490	Enophthalmos	enophthalmos	False	SO_365.1	Enophthalmos	enophthalmos	Sense organs
HP_0000491	Keratitis	keratitis	True	SO_367.2	Keratitis	keratitis	Sense organs
HP_0000498	Blepharitis	blepharitis	True	SO_360.4	Blepharitis	blepharitis	Sense organs
HP_0000498	Inflammation of eyelids	inflammation of eyelids	False	SO_360	Inflammation of eyelids	inflammation of eyelids	Sense organs
HP_0000501	Glaucoma	glaucoma	True	SO_375.1	Glaucoma	glaucoma	Sense organs
HP_0000509	Conjunctivitis	conjunctivitis	True	SO_367.1	Conjunctivitis	conjunctivitis	Sense organs
HP_0000518	Cataract	cataract	True	SO_371	Cataract	cataract	Sense organs
HP_0000519	Congenital cataract	congenital cataract	False	CM_751.213	Congenital cataract	congenital cataract	Congenital
HP_0008056	Aplasia/Hypoplasia affecting the eye	aplasiahypoplasia affecting the eye	True	CM_751.11	Aplasia/Hypoplasia affecting the eye	aplasiahypoplasia affecting the eye	Congenital
HP_0000531	Corneal deposits	corneal deposits	False	SO_369.15	Corneal deposits	corneal deposits	Sense organs
HP_0000540	Hypermetropia	hypermetropia	True	SO_387.1	Hypermetropia	hypermetropia	Sense organs
HP_0000541	Retinal detachment	retinal detachment	True	SO_374.11	Serous retinal detachment	serous retinal detachment	Sense organs
HP_0000602	Ophthalmoplegia	ophthalmoplegia	True	SO_381.11	Ophthalmoplegia	ophthalmoplegia	Sense organs
HP_0000545	Myopia	myopia	True	SO_387.2	Myopia	myopia	Sense organs
HP_0000554	Uveitis	uveitis	True	SO_367.5	Uveitis	uveitis	Sense organs
HP_0000615	Pupillary abnormalities	pupillary abnormalities	False	SO_370.41	Pupillary abnormalities	pupillary abnormalities	Sense organs
HP_0000563	Keratoconus	keratoconus	True	SO_369.62	Keratoconus	keratoconus	Sense organs
HP_0000565	Esotropia	esotropia	True	SO_381.3	Esotropia	esotropia	Sense organs
HP_0000568	Microphthalmos	microphthalmos	False	CM_751.112	Microphthalmos	microphthalmos	Congenital
HP_0000573	Retinal hemorrhage	retinal hemorrhage	True	SO_377.4	Retinal hemorrhage	retinal hemorrhage	Sense organs
HP_0000573	Retinal haemorrhage	retinal hemorrhage	False	SO_377.4	Retinal hemorrhage	retinal hemorrhage	Sense organs
HP_0011885	Hemorrhage of the eye	hemorrhage of the eye	True	SO_377	Hemorrhage of the eye	hemorrhage of the eye	Sense organs
HP_0011885	Haemorrhage of the eye	hemorrhage of the eye	False	SO_377	Hemorrhage of the eye	hemorrhage of the eye	Sense organs
HP_0000575	Scotoma	scotoma	True	SO_386.41	Scotoma	scotoma	Sense organs
HP_0001123	Visual field defects	visual field defects	False	SO_386.4	Visual field defects	visual field defects	Sense organs
HP_0000577	Exotropia	exotropia	True	SO_381.4	Exotropia	exotropia	Sense organs
HP_0000581	Blepharophimosis	blepharophimosis	True	SO_361.8	Blepharophimosis	blepharophimosis	Sense organs
HP_0000585	Band keratopathy	band keratopathy	True	SO_369.43	Band keratopathy	band keratopathy	Sense organs
HP_0000592	Blue sclera	blue sclera	False	CM_751.241	Blue sclera*	blue sclera	Congenital
HP_0000608	Macular degeneration	macular degeneration	True	SO_374.5	Macular degeneration	macular degeneration	Sense organs
HP_0000608	Macular degeneration	macular degeneration	True	SO_374.53	Cystoid macular degeneration	cystoid macular degeneration	Sense organs
HP_0000609	Optic nerve hypoplasia	optic nerve hypoplasia	True	SO_380.23	Optic nerve hypoplasia	optic nerve hypoplasia	Sense organs
HP_0000616	Miosis	miosis	True	SO_384.2	Miosis	miosis	Sense organs
HP_0000619	Impaired convergence	impaired convergence	True	SO_382.1	Impaired convergence	impaired convergence	Sense organs
HP_0000620	Dacryocystitis	dacryocystitis	True	SO_363.61	Dacryocystitis	dacryocystitis	Sense organs
HP_0005116	Arterial tortuosity	arterial tortuosity	True	GE_975.3	Arterial tortuosity syndrome*	arterial tortuosity syndrome	Genetic
HP_0000639	Nystagmus	nystagmus	True	SO_383.1	Nystagmus	nystagmus	Sense organs
HP_0000643	Blepharospasm	blepharospasm	True	NS_324.316	Blepharospasm	blepharospasm	Neurological
HP_0000646	Amblyopia	amblyopia	True	SO_386.1	Amblyopia	amblyopia	Sense organs
HP_0000648	Optic atrophy	optic atrophy	True	SO_380.3	Optic atrophy	optic atrophy	Sense organs
HP_0000651	Diplopia	diplopia	True	SO_386.2	Diplopia	diplopia	Sense organs
HP_0000662	Night blindness	night blindness	False	SO_386.6	Night blindness	night blindness	Sense organs
HP_0000670	Dental caries	dental caries	False	GI_502.11	Dental caries	dental caries	Gastrointestinal
HP_0000674	Anodontia	anodontia	True	GI_500.1	Anodontia	anodontia	Gastrointestinal
HP_0000712	Emotional lability	emotional lability	True	MB_309.3	Emotional lability	emotional lability	Mental
HP_0000717	Autism	autism	True	MB_301.1	Autism	autism	Mental
HP_0004305	Involuntary movements	involuntary movements	True	NS_324.3	Abnormal involuntary movements	abnormal involuntary movements	Neurological
HP_0000737	Irritability	irritability	True	MB_309.1	Irritability	irritability	Mental
HP_0000738	Hallucinations	hallucinations	True	MB_308.3	Hallucinations	hallucinations	Mental
HP_0002666	Pheochromocytoma	pheochromocytoma	True	CA_114.6	Pheochromocytoma	pheochromocytoma	Neoplasms
HP_0000746	Delusions	delusions	True	MB_308.2	Delusions	delusions	Mental
HP_0000756	Agoraphobia	agoraphobia	True	MB_288.41	Agoraphobia	agoraphobia	Mental
HP_0000767	Pectus excavatum	pectus excavatum	True	CM_768.11	Pectus excavatum	pectus excavatum	Congenital
HP_0000768	Pectus carinatum	pectus carinatum	True	CM_768.12	Pectus carinatum	pectus carinatum	Congenital
HP_0000776	Congenital diaphragmatic hernia	congenital diaphragmatic hernia	True	CM_770.11	Congenital diaphragmatic hernia*	congenital diaphragmatic hernia	Congenital
HP_0000776	Diaphragmatic hernia	diaphragmatic hernia	False	GI_520.2	Diaphragmatic hernia	diaphragmatic hernia	Gastrointestinal
HP_0100790	Hernia	hernia	True	GI_520	Hernia	hernia	Gastrointestinal
HP_0000789	Infertility	infertility	True	GU_609	Male infertility	male infertility	Genitourinary
HP_0000790	Hematuria	hematuria	True	GU_593	Hematuria	hematuria	Genitourinary
HP_0000793	Mesangiocapillary glomerulonephritis	mesangiocapillary glomerulonephritis	False	GU_580.55	Diffuse mesangiocapillary glomerulonephritis*	diffuse mesangiocapillary glomerulonephritis	Genitourinary
HP_0000798	Oligospermia	oligospermia	True	GU_609.2	Oligospermia	oligospermia	Genitourinary
HP_0100639	Erectile dysfunction	erectile dysfunction	True	GU_605.1	Male erectile dysfunction*	male erectile dysfunction	Genitourinary
HP_0000819	Diabetes mellitus	diabetes mellitus	True	EM_202	Diabetes mellitus	diabetes mellitus	Endocrine/Metab
HP_0000821	Hypothyroidism	hypothyroidism	True	EM_200.1	Hypothyroidism	hypothyroidism	Endocrine/Metab
HP_0002926	Abnormal thyroid function	abnormal thyroid function	False	EM_200.9	Abnormal thyroid function studies	abnormal thyroid function studies	Endocrine/Metab
HP_0000822	Hypertension	hypertension	True	CV_401	Hypertension	hypertension	Cardiovascular
HP_0000823	Delayed puberty	delayed puberty	True	EM_217.1	Delayed puberty	delayed puberty	Endocrine/Metab
HP_0001943	Hypoglycemia	hypoglycemia	True	EM_204.3	Hypoglycemia	hypoglycemia	Endocrine/Metab
HP_0000826	Precocious puberty	precocious puberty	True	EM_217.2	Precocious puberty	precocious puberty	Endocrine/Metab
HP_0000829	Hypoparathyroidism	hypoparathyroidism	True	EM_208.1	Hypoparathyroidism	hypoparathyroidism	Endocrine/Metab
HP_0040075	Hypopituitarism	hypopituitarism	True	EM_209.2	Hypopituitarism	hypopituitarism	Endocrine/Metab
HP_0004322	Short stature	short stature	True	SS_849.3	Short stature	short stature	Symptoms
HP_0000843	Hyperparathyroidism	hyperparathyroidism	True	EM_208.2	Hyperparathyroidism	hyperparathyroidism	Endocrine/Metab
HP_0000851	Congenital hypothyroidism	congenital hypothyroidism	True	CM_772.2	Congenital hypothyroidism	congenital hypothyroidism	Congenital
HP_0000852	Pseudohypoparathyroidism	pseudohypoparathyroidism	True	GE_981.4	Pseudohypoparathyroidism*	pseudohypoparathyroidism	Genetic
HP_0000853	Goiter	goiter	True	EM_200.2	Goiter	goiter	Endocrine/Metab
HP_0000853	Goitre	goiter	False	EM_200.2	Goiter	goiter	Endocrine/Metab
HP_0000859	Hyperaldosteronism	hyperaldosteronism	True	EM_211.11	Hyperaldosteronism	hyperaldosteronism	Endocrine/Metab
HP_0000873	Diabetes insipidus	diabetes insipidus	True	EM_209.4	Diabetes insipidus	diabetes insipidus	Endocrine/Metab
HP_0000867	Secondary hyperparathyroidism	secondary hyperparathyroidism	True	EM_208.22	Secondary hyperparathyroidism	secondary hyperparathyroidism	Endocrine/Metab
HP_0000870	Hyperprolactinemia	hyperprolactinemia	False	EM_209.13	Hyperprolactinemia*	hyperprolactinemia	Endocrine/Metab
HP_0002960	Autoimmune disease	autoimmune disease	False	BI_181	Autoimmune disease	autoimmune disease	Blood/Immune
HP_0100646	Thyroiditis	thyroiditis	True	EM_200.4	Thyroiditis	thyroiditis	Endocrine/Metab
HP_0000876	Oligomenorrhea	oligomenorrhea	True	GU_626.11	Oligomenorrhea	oligomenorrhea	Genitourinary
HP_0002797	Osteolysis	osteolysis	True	MS_726.6	Osteolysis*	osteolysis	Muscloskeletal
HP_0000934	Chondrocalcinosis	chondrocalcinosis	True	MS_703.2	Chondrocalcinosis	chondrocalcinosis	Muscloskeletal
HP_0000939	Osteoporosis	osteoporosis	True	MS_726.1	Osteoporosis	osteoporosis	Muscloskeletal
HP_0000952	Jaundice	jaundice	True	SS_814	Jaundice	jaundice	Symptoms
HP_0000956	Acanthosis nigricans	acanthosis nigricans	True	DE_680.5	Acanthosis nigricans	acanthosis nigricans	Dermatological
HP_0011368	Epidermal thickening	epidermal thickening	True	DE_680	Epidermal thickening	epidermal thickening	Dermatological
HP_0000957	Cafe au lait spots	cafe au lait spots	False	DE_674.21	Cafe au lait spots*	cafe au lait spots	Dermatological
HP_0000961	Cyanosis	cyanosis	True	RE_498.2	Cyanosis	cyanosis	Respiratory
HP_0000968	Ectodermal dysplasia	ectodermal dysplasia	True	GE_977.5	Ectodermal dysplasia	ectodermal dysplasia	Genetic
HP_0000970	Anhidrosis	anhidrosis	True	DE_685.5	Anhidrosis	anhidrosis	Dermatological
HP_0000975	Hyperhidrosis	hyperhidrosis	True	DE_685.8	Hyperhidrosis	hyperhidrosis	Dermatological
HP_0000980	Pallor	pallor	True	DE_679.2	Pallor	pallor	Dermatological
HP_0000989	Pruritus	pruritus	True	DE_679.4	Pruritus	pruritus	Dermatological
HP_0000995	Melanocytic nevi	melanocytic nevi	False	CA_138.2	Melanocytic nevi*	melanocytic nevi	Neoplasms
HP_0000999	Pyoderma	pyoderma	True	DE_679.5	Pyoderma	pyoderma	Dermatological
HP_0001004	Lymphedema	lymphedema	True	BI_177.4	Lymphedema	lymphedema	Blood/Immune
HP_0001007	Hirsutism	hirsutism	True	DE_684.21	Hirsutism*	hirsutism	Dermatological
HP_0001010	Hypopigmentation	hypopigmentation	False	DE_674.1	Hypopigmentation	hypopigmentation	Dermatological
HP_0001903	Anemia	anemia	True	BI_164	Anemia	anemia	Blood/Immune
HP_0001903	Anaemia	anemia	False	BI_164	Anemia	anemia	Blood/Immune
HP_0001022	Albinism	albinism	True	GE_962.13	Albinism*	albinism	Genetic
HP_0001025	Urticaria	urticaria	True	DE_666	Urticaria	urticaria	Dermatological
HP_0008069	Neoplasm of the skin	neoplasm of the skin	True	CA_138	Benign neoplasm of the skin	benign neoplasm of the skin	Neoplasms
HP_0031284	Flushing	flushing	True	DE_679.3	Flushing	flushing	Dermatological
HP_0001045	Vitiligo	vitiligo	True	DE_674.11	Vitiligo	vitiligo	Dermatological
HP_0001047	Atopic dermatitis	atopic dermatitis	True	DE_668.1	Atopic dermatitis	atopic dermatitis	Dermatological
HP_0001051	Seborrheic dermatitis	seborrheic dermatitis	True	DE_668.2	Seborrheic dermatitis	seborrheic dermatitis	Dermatological
HP_0001061	Acne	acne	True	DE_682.4	Acne	acne	Dermatological
HP_0001065	Striae atrophicae	striae atrophicae	False	DE_675.2	Striae atrophicae	striae atrophicae	Dermatological
HP_0001067	Neurofibromatosis	neurofibromatosis	False	GE_961.11	Neurofibromatosis	neurofibromatosis	Genetic
HP_0001067	Neurofibromatosis	neurofibromatosis	False	GE_961.111	Neurofibromatosis, type 1	neurofibromatosis type 1	Genetic
HP_0001067	Neurofibromatosis	neurofibromatosis	False	GE_961.112	Neurofibromatosis, type 2	neurofibromatosis type 2	Genetic
HP_0001082	Cholecystitis	cholecystitis	True	GI_550.2	Cholecystitis	cholecystitis	Gastrointestinal
HP_0001082	Cholecystitis	cholecystitis	True	GI_550.21	Acute cholecystitis	acute cholecystitis	Gastrointestinal
HP_0001085	Papilledema	papilledema	True	SO_380.21	Papilledema	papilledema	Sense organs
HP_0001094	Iridocyclitis	iridocyclitis	True	SO_367.52	Iridocyclitis	iridocyclitis	Sense organs
HP_0001095	Hypertensive retinopathy	hypertensive retinopathy	True	SO_374.41	Hypertensive retinopathy	hypertensive retinopathy	Sense organs
HP_0001096	Keratoconjunctivitis	keratoconjunctivitis	True	SO_367.3	Keratoconjunctivitis	keratoconjunctivitis	Sense organs
HP_0001096	Keratoconjunctivitis	keratoconjunctivitis	True	SO_367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Sense organs
HP_0001097	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	True	SO_367.31	Keratoconjunctivitis sicca	keratoconjunctivitis sicca	Sense organs
HP_0001107	Ocular albinism	ocular albinism	True	GE_962.131	Ocular albinism*	ocular albinism	Genetic
HP_0001131	Corneal dystrophy	corneal dystrophy	True	GE_974.22	Lattice corneal dystrophy	lattice corneal dystrophy	Genetic
HP_0001131	Corneal dystrophy	corneal dystrophy	True	GE_974.25	Macular corneal dystrophy*	macular corneal dystrophy	Genetic
HP_0001137	Alternating esotropia	alternating esotropia	True	SO_381.31	Alternating esotropia	alternating esotropia	Sense organs
HP_0001138	Optic neuropathy	optic neuropathy	True	SO_380.1	Optic neuropathy	optic neuropathy	Sense organs
HP_0001139	Choroideremia	choroideremia	True	GE_974.31	Choroideremia	choroideremia	Genetic
HP_0001144	Orbital cysts	orbital cysts	False	SO_365.4	Orbital cysts	orbital cysts	Sense organs
HP_0001149	Lattice corneal dystrophy	lattice corneal dystrophy	True	GE_974.22	Lattice corneal dystrophy	lattice corneal dystrophy	Genetic
HP_0001159	Syndactyly	syndactyly	True	CM_767.12	Syndactyly	syndactyly	Congenital
HP_0011297	Abnormal digit morphology	abnormal digit morphology	True	CM_767.1	Abnormal digit morphology	abnormal digit morphology	Congenital
HP_0010442	Polydactyly	polydactyly	True	CM_767.11	Polydactyly	polydactyly	Congenital
HP_0100021	Cerebral palsy	cerebral palsy	True	NS_341.1	Cerebral palsy	cerebral palsy	Neurological
HP_0001259	Coma	coma	True	NS_355.1	Coma	coma	Neurological
HP_0001260	Dysarthria	dysarthria	True	NS_356.1	Dysarthria	dysarthria	Neurological
HP_0002360	Sleep disturbances	sleep disturbances	False	NS_333.8	Sleep disturbances	sleep disturbances	Neurological
HP_0001263	Delayed milestones	delayed milestones	False	MB_302.4	Delayed milestones	delayed milestones	Mental
HP_0002072	Chorea	chorea	True	NS_324.9	Chorea	chorea	Neurological
HP_0100543	Cognitive impairment	cognitive impairment	True	NS_329.5	Mild cognitive impairment	mild cognitive impairment	Neurological
HP_0001271	Polyneuropathy	polyneuropathy	True	NS_337.3	Toxic polyneuropathy	toxic polyneuropathy	Neurological
HP_0001278	Orthostatic hypotension	orthostatic hypotension	True	CV_446.2	Orthostatic hypotension	orthostatic hypotension	Cardiovascular
HP_0002615	Hypotension	hypotension	True	CV_446	Hypotension	hypotension	Cardiovascular
HP_0001281	Tetany	tetany	True	NS_324.6	Tetany	tetany	Neurological
HP_0001287	Meningitis	meningitis	True	NS_320	Meningitis	meningitis	Neurological
HP_0001298	Encephalopathy	encephalopathy	True	NS_345	Encephalopathy	encephalopathy	Neurological
HP_0001298	Encephalopathy	encephalopathy	True	NS_345.1	Toxic encephalopathy	toxic encephalopathy	Neurological
HP_0001300	Parkinsonism	parkinsonism	True	NS_324.1	Parkinsonism	parkinsonism	Neurological
HP_0001332	Dystonia	dystonia	True	NS_324.31	Dystonia	dystonia	Neurological
HP_0002380	Fasciculation	fasciculation	False	NS_324.33	Fasciculation*	fasciculation	Neurological
HP_0031826	Abnormal reflex	abnormal reflex	True	NS_350.3	Abnormal reflex	abnormal reflex	Neurological
HP_0001325	Hypoglycemic coma	hypoglycemic coma	True	EM_204.31	Hypoglycemic coma	hypoglycemic coma	Endocrine/Metab
HP_0001334	Communicating hydrocephalus	communicating hydrocephalus	True	NS_344.11	Communicating hydrocephalus	communicating hydrocephalus	Neurological
HP_0001336	Myoclonus	myoclonus	True	NS_324.35	Myoclonus	myoclonus	Neurological
HP_0001337	Tremor	tremor	True	NS_324.34	Tremor	tremor	Neurological
HP_0010628	Bell's palsy	bells palsy	False	NS_334.21	Bell's palsy	bells palsy	Neurological
HP_0001350	Slurred speech	slurred speech	True	NS_356.4	Slurred speech*	slurred speech	Neurological
HP_0001355	Megalencephaly	megalencephaly	True	CM_750.13	Megalencephaly*	megalencephaly	Congenital
HP_0001357	Plagiocephaly	plagiocephaly	True	CM_755.22	Plagiocephaly*	plagiocephaly	Congenital
HP_0001360	Holoprosencephaly	holoprosencephaly	True	CM_750.115	Holoprosencephaly*	holoprosencephaly	Congenital
HP_0001363	Craniosynostosis	craniosynostosis	True	CM_755.23	Craniosynostosis*	craniosynostosis	Congenital
HP_0001370	Rheumatoid arthritis	rheumatoid arthritis	True	MS_705.1	Rheumatoid arthritis	rheumatoid arthritis	Muscloskeletal
HP_0002827	Dislocation of hip	dislocation of hip	False	MS_740.6	Dislocation of hip	dislocation of hip	Muscloskeletal
HP_0001399	Hepatic failure	hepatic failure	True	GI_542.3	Hepatic failure	hepatic failure	Gastrointestinal
HP_0002896	Neoplasm of the liver	neoplasm of the liver	True	CA_101.61	Malignant neoplasm of the liver	malignant neoplasm of the liver	Neoplasms
HP_0002896	Neoplasm of the liver	neoplasm of the liver	True	CA_136.61	Benign neoplasm of the liver*	benign neoplasm of the liver	Neoplasms
HP_0002605	Hepatic necrosis	hepatic necrosis	True	GI_542.9	Hepatic necrosis	hepatic necrosis	Gastrointestinal
HP_0006706	Cystic liver disease	cystic liver disease	True	CM_758.22	Cystic liver disease	cystic liver disease	Congenital
HP_0001409	Portal hypertension	portal hypertension	True	GI_542.4	Portal hypertension	portal hypertension	Gastrointestinal
HP_0001433	Hepatosplenomegaly	hepatosplenomegaly	True	GI_546.31	Hepatosplenomegaly*	hepatosplenomegaly	Gastrointestinal
HP_0001744	Splenomegaly	splenomegaly	True	BI_174.2	Splenomegaly	splenomegaly	Blood/Immune
HP_0002240	Hepatomegaly	hepatomegaly	True	GI_546.3	Hepatomegaly	hepatomegaly	Gastrointestinal
HP_0001508	Failure to thrive	failure to thrive	True	EM_230.7	Failure to thrive	failure to thrive	Endocrine/Metab
HP_0001513	Obesity	obesity	True	EM_236.1	Obesity	obesity	Endocrine/Metab
HP_0001537	Umbilical hernia	umbilical hernia	True	GI_520.13	Umbilical hernia	umbilical hernia	Gastrointestinal
HP_0001541	Ascites	ascites	True	GI_555	Ascites	ascites	Gastrointestinal
HP_0001543	Gastroschisis	gastroschisis	True	CM_770.22	Gastroschisis	gastroschisis	Congenital
HP_0004397	Ectopic anus	ectopic anus	True	CM_758.16	Ectopic anus*	ectopic anus	Congenital
HP_0001561	Polyhydramnios	polyhydramnios	True	PP_920.1	Polyhydramnios	polyhydramnios	Pregnancy
HP_0001562	Oligohydramnios	oligohydramnios	True	PP_920.2	Oligohydramnios	oligohydramnios	Pregnancy
HP_0001571	Impacted teeth	impacted teeth	False	GI_500.41	Impacted teeth*	impacted teeth	Gastrointestinal
HP_0001596	Alopecia	alopecia	True	DE_684.1	Alopecia	alopecia	Dermatological
HP_0001618	Dysphonia	dysphonia	True	RE_494.1	Dysphonia	dysphonia	Respiratory
HP_0001629	Ventricular septal defect	ventricular septal defect	True	CM_763.31	Ventricular septal defect	ventricular septal defect	Congenital
HP_0001631	Atrial septal defect	atrial septal defect	True	CM_763.32	Atrial septal defect	atrial septal defect	Congenital
HP_0001634	Mitral valve prolapse	mitral valve prolapse	True	CV_413.12	Mitral valve prolapse*	mitral valve prolapse	Cardiovascular
HP_0001635	Heart failure	heart failure	False	CV_424	Heart failure	heart failure	Cardiovascular
