phecode1.2_code	phecode1.2_label	phecode1.2_category	CUI	hpo_code	hpo_label	PheMap_score
170.1	Bone cancer	neoplasms	C0008479	HP_0006765	Chondrosarcoma	37.90255485513122
170.1	Bone cancer	neoplasms	C0029440	HP_0100246	Osteoma	14.468149290456614
170.2	Cancer of connective tissue	neoplasms	C1261473	HP_0100242	Sarcoma	30.917184350121016
170.2	Cancer of connective tissue	neoplasms	C0023827	HP_0012034	Liposarcoma	23.20432519674522
170.2	Cancer of connective tissue	neoplasms	C0238198	HP_0100723	Gastrointestinal stroma tumor	35.401703494534274
172.1	Melanomas of skin, dx or hx	neoplasms	C0027960	HP_0003764	Nevus	20.490219954640924
172.1	Melanomas of skin, dx or hx	neoplasms	C0025202	HP_0002861	Melanoma	89.56927467353762
172.11	Melanomas of skin	neoplasms	C0025202	HP_0002861	Melanoma	89.02561267294695
172.11	Melanomas of skin	neoplasms	C0027960	HP_0003764	Nevus	19.766565871654137
172.2	Other non-epithelial cancer of skin	neoplasms	C0007114	HP_0008069	Neoplasm of the skin	28.00631447040216
172.2	Other non-epithelial cancer of skin	neoplasms	C0007129	HP_0030447	Merkel cell skin cancer	27.937609217220768
172.22	Squamous cell carcinoma	neoplasms	C0553723	HP_0006739	Squamous cell carcinoma of the skin	38.124865190423506
172.22	Squamous cell carcinoma	neoplasms	C0007137	HP_0002860	Squamous cell carcinoma	47.46779365241967
172.22	Squamous cell carcinoma	neoplasms	C0007114	HP_0008069	Neoplasm of the skin	26.30977118515405
174	Breast cancer	neoplasms	C0678222	HP_0003002	Breast carcinoma	63.786433590006645
174.1	Breast cancer [female]	neoplasms	C0007124	HP_0030075	Ductal carcinoma in situ	93.59074333769152
174.1	Breast cancer [female]	neoplasms	C0279563	HP_0030076	Lobular carcinoma in situ	79.58787953708745
174.11	Malignant neoplasm of female breast	neoplasms	C0678222	HP_0003002	Breast carcinoma	55.950612142890215
174.2	Breast cancer [male]	neoplasms	C0678222	HP_0003002	Breast carcinoma	19.929099896560174
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	neoplasms	C0206708	HP_0032242	Cervical intraepithelial neoplasia	36.45914979680881
182	Malignant neoplasm of uterus	neoplasms	C0153567	HP_0010784	Uterine neoplasm	16.77123385291748
182	Malignant neoplasm of uterus	neoplasms	C0476089	HP_0012114	Endometrial carcinoma	85.68383622247545
184.1	Malignant neoplasm of ovary and other uterine adnexa	neoplasms	C1140680	HP_0100615	Ovarian neoplasm	23.792610904665647
184.1	Malignant neoplasm of ovary and other uterine adnexa	neoplasms	C0008497	HP_0100768	Choriocarcinoma	18.516085884176274
184.11	Malignant neoplasm of ovary	neoplasms	C1140680	HP_0100615	Ovarian neoplasm	29.970663776083608
185	Cancer of prostate	neoplasms	C0376358	HP_0012125	Prostate cancer	56.00939061240923
187.2	Malignant neoplasm of testis	neoplasms	C0153594	HP_0010788	Testicular neoplasm	72.02220387514137
187.8	Neoplasm of uncertain behavior of male genital organs	neoplasms	C0376358	HP_0012125	Prostate cancer	16.360434351428726
189.1	Cancer of kidney and renal pelvis	neoplasms	C0007134	HP_0005584	Renal cell carcinoma	28.277296615506373
189.1	Cancer of kidney and renal pelvis	neoplasms	C1378703	HP_0009726	Renal neoplasm	85.8690211732474
189.11	Malignant neoplasm of kidney, except pelvis	neoplasms	C0027708	HP_0002667	Nephroblastoma	35.50353887177957
189.11	Malignant neoplasm of kidney, except pelvis	neoplasms	C1378703	HP_0009726	Renal neoplasm	34.14998517611757
189.11	Malignant neoplasm of kidney, except pelvis	neoplasms	C0007134	HP_0005584	Renal cell carcinoma	27.97718218068127
189.12	Malignant neoplasm of renal pelvis	neoplasms	C1378703	HP_0009726	Renal neoplasm	85.8690211732474
189.12	Malignant neoplasm of renal pelvis	neoplasms	C0007134	HP_0005584	Renal cell carcinoma	28.277296615506373
189.2	Cancer of bladder	neoplasms	C0005695	HP_0009725	Bladder neoplasm	76.09606225710519
189.21	Malignant neoplasm of bladder	neoplasms	C0005695	HP_0009725	Bladder neoplasm	71.39271815177223
189.4	Malignant neoplasm of other urinary organs	neoplasms	C0007134	HP_0005584	Renal cell carcinoma	14.305711639255907
189.4	Malignant neoplasm of other urinary organs	neoplasms	C0153619	HP_0100516	Neoplasm of the ureter	18.78955471731333
189.4	Malignant neoplasm of other urinary organs	neoplasms	C1378703	HP_0009726	Renal neoplasm	43.04690228298342
190	Cancer of eye	neoplasms	C0035335	HP_0009919	Retinoblastoma	28.38302621214613
191	Manlignant and unknown neoplasms of brain and nervous system	neoplasms	C0006118	HP_0030692	Brain neoplasm	49.065507613629656
191.1	Cancer of brain and nervous system	neoplasms	C2973725	HP_0002092	Pulmonary arterial hypertension	20.368048714793048
191.11	Cancer of brain	neoplasms	C2973725	HP_0002092	Pulmonary arterial hypertension	20.368048714793048
193	Thyroid cancer	neoplasms	C0040136	HP_0100031	Neoplasm of the thyroid gland	48.31180092880979
193	Thyroid cancer	neoplasms	C0206682	HP_0006731	Follicular thyroid carcinoma	15.494843636490078
194	Cancer of other endocrine glands	neoplasms	C0687150	HP_0006780	Parathyroid carcinoma	38.94512148887997
194	Cancer of other endocrine glands	neoplasms	C0031511	HP_0002666	Pheochromocytoma	41.25340219881189
195	Cancer, suspected or other	neoplasms	C0007095	HP_0100570	Carcinoid tumor	31.718918939213342
195	Cancer, suspected or other	neoplasms	C0007129	HP_0030447	Merkel cell skin cancer	37.89464225320195
195	Cancer, suspected or other	neoplasms	C0684337	HP_0030067	Peripheral primitive neuroectodermal neoplasm	36.33122020255096
195.1	Malignant neoplasm, other	neoplasms	C1261473	HP_0100242	Sarcoma	20.487971332541093
198	Secondary malignant neoplasm	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	26.235795016496745
198.1	Secondary malignancy of lymph nodes	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	42.834126219424526
198.1	Secondary malignancy of lymph nodes	neoplasms	C0007095	HP_0100570	Carcinoid tumor	17.694567378678
198.2	Secondary malignancy of respiratory organs	neoplasms	C1378703	HP_0009726	Renal neoplasm	14.859130198014267
198.2	Secondary malignancy of respiratory organs	neoplasms	C0005695	HP_0009725	Bladder neoplasm	13.863627629833582
198.2	Secondary malignancy of respiratory organs	neoplasms	C0019079	HP_0002105	Hemoptysis	24.952404642696
198.2	Secondary malignancy of respiratory organs	neoplasms	C0024121	HP_0100526	Neoplasm of the lung	15.457051787369544
198.3	Secondary malignant neoplasm of digestive systems	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	42.834126219424526
198.3	Secondary malignant neoplasm of digestive systems	neoplasms	C0007095	HP_0100570	Carcinoid tumor	17.694567378678
198.4	Secondary malignant neoplasm of liver	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	32.35627812300364
198.4	Secondary malignant neoplasm of liver	neoplasms	C0023903	HP_0002896	Neoplasm of the liver	14.575418854258757
198.6	Secondary malignancy of bone	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	25.930620240518056
200	Myeloproliferative disease	neoplasms	C3463824	HP_0002863	Myelodysplasia	34.64143421790615
200.1	Polycythemia vera	neoplasms	C0032131	HP_0006775	Multiple myeloma	22.254088911626443
200.1	Polycythemia vera	neoplasms	C0032131	HP_0011857	Plasmacytoma	22.254088911626443
200.1	Polycythemia vera	neoplasms	C0032461	HP_0001901	Polycythemia	30.290395631800443
201	Hodgkin's disease	neoplasms	C0019829	HP_0012189	Hodgkin lymphoma	71.58937317281185
202	Cancer of other lymphoid, histiocytic tissue	neoplasms	C0024305	HP_0012539	Non-Hodgkin lymphoma	67.90135868396739
202	Cancer of other lymphoid, histiocytic tissue	neoplasms	C0024299	HP_0002665	Lymphoma	17.952626771839316
202.2	Non-Hodgkins lymphoma	neoplasms	C0024305	HP_0012539	Non-Hodgkin lymphoma	19.370360998475988
202.2	Non-Hodgkins lymphoma	neoplasms	C0024299	HP_0002665	Lymphoma	22.996930427489318
202.21	Nodular lymphoma	neoplasms	C0024301	HP_0033125	Follicular lymphoma	43.719487021544666
202.22	Reticulosarcoma	neoplasms	C0024299	HP_0002665	Lymphoma	27.390169875952648
202.22	Reticulosarcoma	neoplasms	C0024305	HP_0012539	Non-Hodgkin lymphoma	64.94719057490062
202.23	Lymphosarcoma	neoplasms	C0024305	HP_0012539	Non-Hodgkin lymphoma	55.376551293286184
202.23	Lymphosarcoma	neoplasms	C0024299	HP_0002665	Lymphoma	41.85001349297051
202.24	Large cell lymphoma	neoplasms	C0206180	HP_0012193	Anaplastic large-cell lymphoma	45.030021643830175
204	Leukemia	neoplasms	C0023418	HP_0001909	Leukemia	35.829569330414834
204.1	Lymphoid leukemia	neoplasms	C0023418	HP_0001909	Leukemia	58.0559124744137
204.1	Lymphoid leukemia	neoplasms	C1279296	HP_0005558	Chronic leukemia	14.497913622349444
204.11	Lymphoid leukemia, acute	neoplasms	C0023449	HP_0006721	Acute lymphoblastic leukemia	21.071755604627747
204.12	Lymphoid leukemia, chronic	neoplasms	C0023434	HP_0005550	Chronic lymphatic leukemia	136.12319853762352
204.2	Myeloid leukemia	neoplasms	C3463824	HP_0002863	Myelodysplasia	79.9914287858265
204.21	Myeloid leukemia, acute	neoplasms	C0023487	HP_0004836	Acute promyelocytic leukemia	26.94332238419127
204.21	Myeloid leukemia, acute	neoplasms	C0023418	HP_0001909	Leukemia	37.44893474579969
204.21	Myeloid leukemia, acute	neoplasms	C0023467	HP_0004808	Acute myeloid leukemia	34.17954840361973
204.22	Myeloid leukemia, chronic	neoplasms	C0023473	HP_0005506	Chronic myelogenous leukemia	105.47906697488057
204.3	Monocytic leukemia	neoplasms	C0023448	HP_0005526	Lymphoid leukemia	20.127572596869193
204.4	Multiple myeloma	neoplasms	C0032131	HP_0006775	Multiple myeloma	17.58335244984092
204.4	Multiple myeloma	neoplasms	C0032131	HP_0011857	Plasmacytoma	17.58335244984092
204.4	Multiple myeloma	neoplasms	C0026764	HP_0006775	Multiple myeloma	67.60659620001182
209	Neuroendocrine tumors	neoplasms	C0007095	HP_0100570	Carcinoid tumor	58.7489092916725
209	Neuroendocrine tumors	neoplasms	C0206754	HP_0100634	Neuroendocrine neoplasm	23.77620940761989
213	Benign neoplasm of bone and articular cartilage	neoplasms	C0015306	HP_0002762	Multiple exostoses	19.761113561925203
213	Benign neoplasm of bone and articular cartilage	neoplasms	C0029423	HP_0030431	Osteochondroma	51.1351444093013
213	Benign neoplasm of bone and articular cartilage	neoplasms	C0029441	HP_0030433	Osteoid osteoma	33.61800669088305
213	Benign neoplasm of bone and articular cartilage	neoplasms	C0029440	HP_0100246	Osteoma	37.047082662134116
214	Lipoma	neoplasms	C0023798	HP_0001012	Multiple lipomas	154.80976205943892
214	Lipoma	neoplasms	C0023798	HP_0012032	Lipoma	154.80976205943892
214	Lipoma	neoplasms	C0023827	HP_0012034	Liposarcoma	30.176455685772773
215	Other benign neoplasm of connective and other soft tissue	neoplasms	C0079218	HP_0100245	Desmoid tumors	19.410412407410995
215	Other benign neoplasm of connective and other soft tissue	neoplasms	C0027859	HP_0009588	Vestibular Schwannoma	17.528742701634386
216	Benign neoplasm of skin	neoplasms	C0027960	HP_0003764	Nevus	52.205473172619456
216	Benign neoplasm of skin	neoplasms	C0025202	HP_0002861	Melanoma	27.970854973544174
216	Benign neoplasm of skin	neoplasms	C3665596	HP_0200043	Verrucae	38.51680467581925
216	Benign neoplasm of skin	neoplasms	C0027962	HP_0000995	Melanocytic nevus	15.7939032476533
216	Benign neoplasm of skin	neoplasms	C0027962	HP_0003764	Nevus	15.7939032476533
216	Benign neoplasm of skin	neoplasms	C0205748	HP_0001062	Atypical nevus	37.96835259284449
216	Benign neoplasm of skin	neoplasms	C0037293	HP_0010609	Skin tags	31.43437960815793
217	Vascular hamartomas and non-neoplastic nevi	neoplasms	C0206733	HP_0005306	Capillary hemangioma	46.57233136176075
217	Vascular hamartomas and non-neoplastic nevi	neoplasms	C0018916	HP_0001028	Hemangioma	43.143243131858505
217	Vascular hamartomas and non-neoplastic nevi	neoplasms	C0235752	HP_0001052	Nevus flammeus	27.95217066727341
218.1	Uterine leiomyoma	neoplasms	C0042133	HP_0000131	Uterine leiomyoma	165.53279666950186
225.1	Benign neoplasm of brain, cranial nerves, meninges	neoplasms	C0027859	HP_0009588	Vestibular Schwannoma	54.30883652752164
225.1	Benign neoplasm of brain, cranial nerves, meninges	neoplasms	C0025286	HP_0002858	Meningioma	53.93987788393743
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	neoplasms	C0032000	HP_0002893	Pituitary adenoma	49.31057321464991
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	neoplasms	C0032019	HP_0040277	Neoplasm of the pituitary gland	21.608896897039017
228	Hemangioma and lymphangioma, any site	neoplasms	C0917804	HP_0002408	Cerebral arteriovenous malformation	19.163152808792905
228	Hemangioma and lymphangioma, any site	neoplasms	C0003857	HP_0100026	Arteriovenous malformation	54.56827167578185
228	Hemangioma and lymphangioma, any site	neoplasms	C0018916	HP_0001028	Hemangioma	62.70423113804004
228	Hemangioma and lymphangioma, any site	neoplasms	C0024221	HP_0100764	Lymphangioma	40.27536543749018
229	Benign neoplasm of unspecified sites	neoplasms	C0018552	HP_0010566	Hamartoma	14.110431313841708
229	Benign neoplasm of unspecified sites	neoplasms	C0006826	HP_0002664	Neoplasm	17.94741648921423
230	Kaposi's sarcoma	neoplasms	C0036220	HP_0100726	Kaposi's sarcoma	158.4797305183787
240	Simple and unspecified goiter	endocrine/metabolic	C0040137	HP_0025388	Thyroid nodule	33.81361900587381
240	Simple and unspecified goiter	endocrine/metabolic	C0018021	HP_0000853	Goiter	42.75399481414284
241	Nontoxic nodular goiter	endocrine/metabolic	C0018021	HP_0000853	Goiter	104.4873291103143
241.1	Nontoxic uninodular goiter	endocrine/metabolic	C0040136	HP_0100031	Neoplasm of the thyroid gland	19.474827365319747
241.1	Nontoxic uninodular goiter	endocrine/metabolic	C0040137	HP_0025388	Thyroid nodule	89.74142081367525
242	Thyrotoxicosis with or without goiter	endocrine/metabolic	C0040127	HP_0011782	Thyroid crisis	20.3573394194323
242	Thyrotoxicosis with or without goiter	endocrine/metabolic	C0018213	HP_0100647	Graves disease	42.377378893421415
242	Thyrotoxicosis with or without goiter	endocrine/metabolic	C0020550	HP_0000836	Hyperthyroidism	30.738960869626275
242.1	Graves' disease	endocrine/metabolic	C0018213	HP_0100647	Graves disease	50.05246938428253
242.1	Graves' disease	endocrine/metabolic	C0020550	HP_0000836	Hyperthyroidism	29.98308599559833
242.2	Toxic multinodular goiter	endocrine/metabolic	C0020550	HP_0000836	Hyperthyroidism	38.86327009955088
242.2	Toxic multinodular goiter	endocrine/metabolic	C0342208	HP_0005987	Multinodular goiter	19.23531912945626
242.2	Toxic multinodular goiter	endocrine/metabolic	C0018213	HP_0100647	Graves disease	16.224853286674097
242.2	Toxic multinodular goiter	endocrine/metabolic	C0018021	HP_0000853	Goiter	44.73972933503882
242.2	Toxic multinodular goiter	endocrine/metabolic	C0154143	HP_0011785	Thyrotoxicosis with toxic multinodular goiter	33.36318533233239
242.2	Toxic multinodular goiter	endocrine/metabolic	C0040127	HP_0011782	Thyroid crisis	25.61404611459239
242.3	Exophthalmos	endocrine/metabolic	C0014306	HP_0000490	Deeply set eye	36.68505266856294
242.3	Exophthalmos	endocrine/metabolic	C0015300	HP_0000520	Proptosis	66.42909834047452
244.2	Acquired hypothyroidism	endocrine/metabolic	C0020676	HP_0000821	Hypothyroidism	48.13504565165826
244.4	Hypothyroidism NOS	endocrine/metabolic	C0020676	HP_0000821	Hypothyroidism	37.238854346279204
244.4	Hypothyroidism NOS	endocrine/metabolic	C0010308	HP_0000851	Congenital hypothyroidism	27.576362108317362
244.5	Congenital hypothyroidism	endocrine/metabolic	C0010308	HP_0000851	Congenital hypothyroidism	27.44789581772399
244.5	Congenital hypothyroidism	endocrine/metabolic	C0020676	HP_0000821	Hypothyroidism	36.70644688389377
245	Thyroiditis	endocrine/metabolic	C0040147	HP_0100646	Thyroiditis	65.15025987134138
245	Thyroiditis	endocrine/metabolic	C0677607	HP_0000872	Hashimoto thyroiditis	62.58843471319143
245.2	Chronic thyroiditis	endocrine/metabolic	C0020676	HP_0000821	Hypothyroidism	23.776731170226423
245.2	Chronic thyroiditis	endocrine/metabolic	C0677607	HP_0000872	Hashimoto thyroiditis	65.65675114688071
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic	C0018021	HP_0000853	Goiter	17.15844206466502
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic	C0020676	HP_0000821	Hypothyroidism	28.824276259841277
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic	C0677607	HP_0000872	Hashimoto thyroiditis	81.25320408828874
246	Other disorders of thyroid	endocrine/metabolic	C0018021	HP_0000853	Goiter	50.28710273980756
249	Secondary diabetes mellitus	endocrine/metabolic	C0011880	HP_0001953	Diabetic ketoacidosis	65.64800126108248
250	Diabetes mellitus	endocrine/metabolic	C0011880	HP_0001953	Diabetic ketoacidosis	23.762396518683964
250	Diabetes mellitus	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	14.10161930210842
250.1	Type 1 diabetes	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.1	Type 1 diabetes	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.14	Type 1 diabetes with neurological manifestations	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.14	Type 1 diabetes with neurological manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.15	Diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	50.99080669452144
250.15	Diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	17.051203467928165
250.2	Type 2 diabetes	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	31.20068104491789
250.2	Type 2 diabetes	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	20.954363376630628
250.21	Type 2 diabetes with ketoacidosis	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	28.55764417288129
250.21	Type 2 diabetes with ketoacidosis	endocrine/metabolic	C0011880	HP_0001953	Diabetic ketoacidosis	23.757786031237803
250.21	Type 2 diabetes with ketoacidosis	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	18.689946524891308
250.22	Type 2 diabetes with renal manifestations	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	29.488917027187014
250.22	Type 2 diabetes with renal manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	20.260198506837252
250.23	Type 2 diabetes with ophthalmic manifestations	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	28.540599545807172
250.23	Type 2 diabetes with ophthalmic manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	19.68222992061977
250.24	Type 2 diabetes with neurological manifestations	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	28.306951435671483
250.24	Type 2 diabetes with neurological manifestations	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	19.441517736809487
250.25	Diabetes type 2 with peripheral circulatory disorders	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	21.657652888865265
250.25	Diabetes type 2 with peripheral circulatory disorders	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	33.70728697976807
250.42	Other abnormal glucose	endocrine/metabolic	C0011880	HP_0001953	Diabetic ketoacidosis	19.188082790396926
250.42	Other abnormal glucose	endocrine/metabolic	C0011849	HP_0000819	Diabetes mellitus	19.53774018979326
250.42	Other abnormal glucose	endocrine/metabolic	C0020456	HP_0003074	Hyperglycemia	115.2467212728505
250.42	Other abnormal glucose	endocrine/metabolic	C0011860	HP_0005978	Type II diabetes mellitus	24.19784136035207
250.42	Other abnormal glucose	endocrine/metabolic	C0011854	HP_0100651	Type I diabetes mellitus	22.393591363460803
250.6	Polyneuropathy in diabetes	endocrine/metabolic	C0442874	HP_0009830	Peripheral neuropathy	15.375913178516786
251.1	Hypoglycemia	endocrine/metabolic	C0021670	HP_0012197	Insulinoma	22.919955491055468
251.1	Hypoglycemia	endocrine/metabolic	C0020459	HP_0000842	Hyperinsulinemia	17.56807472831896
251.1	Hypoglycemia	endocrine/metabolic	C0020615	HP_0001943	Hypoglycemia	68.12974892613946
251.8	Abnormality of secretion of glucagon or gastrin	endocrine/metabolic	C0030297	HP_0002894	Neoplasm of the pancreas	14.83550714150242
251.8	Abnormality of secretion of glucagon or gastrin	endocrine/metabolic	C0027651	HP_0002664	Neoplasm	16.787239949794937
252.1	Hyperparathyroidism	endocrine/metabolic	C0020502	HP_0000843	Hyperparathyroidism	29.451706077404534
252.1	Hyperparathyroidism	endocrine/metabolic	C0020503	HP_0000867	Secondary hyperparathyroidism	32.478229580190856
252.1	Hyperparathyroidism	endocrine/metabolic	C0221002	HP_0008200	Primary hyperparathyroidism	24.91687042945147
