ICD9_code	ICD9_label	ICD9_simpleLabel	hpo_code	hpo_label	SORTA_score	phecode1.2_codeList	phecodeX_codeList
115.9	Histoplasmosis, unspecified	histoplasmosis	HP_0032256	Histoplasmosis	100.0	['117', '117.1']	['072', '089', '089.3']
115.99	Histoplasmosis, unspecified, other	histoplasmosisother	HP_0032256	Histoplasmosis	81.25	['117', '117.1']	['072', '089', '089.3']
116.1	Paracoccidioidomycosis	paracoccidioidomycosis	HP_0032249	Coccidioidomycosis	85.0	['117', '117.3']	['073', '089', '089.3']
127.3	Trichuriasis	trichuriasis	HP_0001128	Trichiasis	81.82	['134', '134.1']	['084']
128.9	Helminth infection, unspecified	helminth infection	HP_0020107	Unusual helminthic infection	84.21	['134']	['084']
130	Toxoplasmosis	toxoplasmosis	HP_0020105	Severe toxoplasmosis	81.25	['131']	['084', '084.5']
130.9	Toxoplasmosis, unspecified	toxoplasmosis	HP_0020105	Severe toxoplasmosis	81.25	['131']	['084', '084.5']
136.0	Ainhum	ainhum	HP_0031009	Ainhum	100.0	['136']	['680', '680.4']
140	Malignant neoplasm of lip	malignant neoplasm of lip	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.1']	['100', '100.8', '130']
142.9	Malignant neoplasm of salivary gland, unspecified	malignant neoplasm of salivary gland	HP_0100684	Salivary gland neoplasm	87.27	['145', '145.3']	['100', '100.9', '130']
143	Malignant neoplasm of gum	malignant neoplasm of gum	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.4']	['100', '100.1', '100.13', '130']
143.9	Malignant neoplasm of gum, unspecified	malignant neoplasm of gum	HP_0100836	Malignant neoplasm of the central nervous system	82.05	['145', '145.4']	['100', '100.1', '100.13', '130']
147	Malignant neoplasm of nasopharynx	malignant neoplasm of nasopharynx	HP_0100630	Neoplasia of the nasopharynx	85.71	['149', '149.2']	['100', '100.3', '130']
149.0	Malignant neoplasm of pharynx, unspecified	malignant neoplasm of pharynx	HP_0100638	Neoplasm of the pharynx	82.93	['149']	['100', '100.7', '130']
151	Malignant neoplasm of stomach	malignant neoplasm of stomach	HP_0006753	Neoplasm of the stomach	82.93	['151']	['101', '101.2', '130']
151.0	Malignant neoplasm of cardia	malignant neoplasm of cardia	HP_0100836	Malignant neoplasm of the central nervous system	80.95	['151']	['101', '101.2', '101.21', '130']
152.9	Malignant neoplasm of small intestine, unspecified site	malignant neoplasm of small intestinesite	HP_0100833	Neoplasm of the small intestine	81.36	['159', '159.2']	['101', '101.3', '130']
153	Malignant neoplasm of colon	malignant neoplasm of colon	HP_0100836	Malignant neoplasm of the central nervous system	87.8	['153', '153.2']	['101', '101.4', '101.41', '130']
153.4	Malignant neoplasm of cecum	malignant neoplasm of cecum	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['153', '153.2']	['101', '101.4', '101.41', '130']
154.1	Malignant neoplasm of rectum	malignant neoplasm of rectum	HP_0100743	Neoplasm of the rectum	82.05	['153', '153.3']	['101', '101.4', '101.42', '130']
154.2	Malignant neoplasm of anal canal	malignant neoplasm of anal canal	HP_0030437	Anal canal neoplasm	85.11	['153', '153.3']	['101', '101.4', '130']
156.0	Malignant neoplasm of gallbladder	malignant neoplasm of gallbladder	HP_0100575	Neoplasm of the gallbladder	84.44	['159', '159.3']	['101', '101.7', '101.71', '130']
157	Malignant neoplasm of pancreas	malignant neoplasm of pancreas	HP_0002894	Neoplasm of the pancreas	82.93	['157']	['101', '101.8', '130']
161	Malignant neoplasm of larynx	malignant neoplasm of larynx	HP_0100605	Neoplasm of the larynx	82.05	['149', '149.4']	['100', '100.6', '130']
161.9	Malignant neoplasm of larynx, unspecified	malignant neoplasm of larynx	HP_0100605	Neoplasm of the larynx	82.05	['149', '149.4']	['100', '100.6', '130']
162.0	Malignant neoplasm of trachea	malignant neoplasm of trachea	HP_0100551	Neoplasm of the trachea	82.93	['165', '165.1']	['102', '102.3', '130']
164.0	Malignant neoplasm of thymus	malignant neoplasm of thymus	HP_0100521	Neoplasm of the thymus	81.08	['164']	['102', '102.5', '102.54', '130']
172	Malignant melanoma of skin	malignant melanoma of skin	HP_0002861	Melanoma	86.49	['172', '172.1', '172.11']	['103', '103.1', '130']
173.01	Basal cell carcinoma of skin of lip	basal cell carcinoma of skin of lip	HP_0002671	Basal cell carcinoma	82.35	['172', '172.2', '172.21']	['103', '103.2', '103.21']
173.02	Squamous cell carcinoma of skin of lip	squamous cell carcinoma of skin of lip	HP_0006739	Squamous cell carcinoma of the skin	93.33	['172', '172.2', '172.22']	['103', '103.2', '103.22']
173.32	Squamous cell carcinoma of skin of other and unspecified parts of face	squamous cell carcinoma of skin of other andparts of face	HP_0006739	Squamous cell carcinoma of the skin	81.16	['172', '172.2', '172.22']	['103', '103.2', '103.22']
173.42	Squamous cell carcinoma of scalp and skin of neck	squamous cell carcinoma of scalp and skin of neck	HP_0006739	Squamous cell carcinoma of the skin	83.58	['172', '172.2', '172.22']	['103', '103.2', '103.22']
173.82	Squamous cell carcinoma of other specified sites of skin	squamous cell carcinoma of other specified sites of skin	HP_0006739	Squamous cell carcinoma of the skin	81.16	['172', '172.2', '172.22']	['103', '103.2', '103.22']
173.91	Basal cell carcinoma of skin, site unspecified	basal cell carcinoma of skin site	HP_0002671	Basal cell carcinoma	80.77	['172', '172.2', '172.21']	['103', '103.2', '103.21']
173.92	Squamous cell carcinoma of skin, site unspecified	squamous cell carcinoma of skin site	HP_0006739	Squamous cell carcinoma of the skin	91.8	['172', '172.2', '172.22']	['103', '103.2', '103.22']
176	Kaposi's sarcoma	kaposis sarcoma	HP_0100726	Kaposi's sarcoma	100.0	['230']	['104', '104.6']
176.0	Kaposi's sarcoma, skin	kaposis sarcoma skin	HP_0100726	Kaposi's sarcoma	85.71	['230']	['104', '104.6']
176.2	Kaposi's sarcoma, palate	kaposis sarcoma palate	HP_0100726	Kaposi's sarcoma	83.33	['230']	['104', '104.6']
176.4	Kaposi's sarcoma, lung	kaposis sarcoma lung	HP_0100726	Kaposi's sarcoma	85.71	['230']	['104', '104.6']
176.9	Kaposi's sarcoma, unspecified site	kaposis sarcomasite	HP_0100726	Kaposi's sarcoma	84.85	['230']	['104', '104.6']
183.0	Malignant neoplasm of ovary	malignant neoplasm of ovary	HP_0100615	Ovarian neoplasm	81.08	['184', '184.1', '184.11']	['106', '106.3', '130']
185	Malignant neoplasm of prostate	malignant neoplasm of prostate	HP_0100787	Prostate neoplasm	82.93	['185']	['107', '107.2', '130']
187.7	Malignant neoplasm of scrotum	malignant neoplasm of scrotum	HP_0100849	Neoplasm of the scrotum	82.93	['187', '187.1']	['107', '107.3', '107.32', '130']
188	Malignant neoplasm of bladder	malignant neoplasm of bladder	HP_0009725	Bladder neoplasm	82.93	['189', '189.2', '189.21']	['108', '108.5', '130']
189.2	Malignant neoplasm of ureter	malignant neoplasm of ureter	HP_0100516	Neoplasm of the ureter	80.0	['189', '189.4']	['108', '108.7', '130']
189.3	Malignant neoplasm of urethra	malignant neoplasm of urethra	HP_0100517	Neoplasm of the urethra	82.93	['189', '189.4']	['108', '108.6', '130']
190	Malignant neoplasm of eye	malignant neoplasm of eye	HP_0100836	Malignant neoplasm of the central nervous system	84.21	['190']	['109', '109.1', '130']
190.4	Malignant neoplasm of cornea	malignant neoplasm of cornea	HP_0100836	Malignant neoplasm of the central nervous system	80.95	['190']	['109', '109.1', '109.14', '130']
191	Malignant neoplasm of brain	malignant neoplasm of brain	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['191', '191.1', '191.11']	['109', '109.3', '130']
191.9	Malignant neoplasm of brain, unspecified	malignant neoplasm of brain	HP_0100836	Malignant neoplasm of the central nervous system	82.93	['191', '191.1', '191.11']	['109', '109.3', '130']
192.9	Malignant neoplasm of nervous system, part unspecified	malignant neoplasm of nervous system part	HP_0100836	Malignant neoplasm of the central nervous system	82.19	['191', '191.1']	['109', '130']
193	Malignant neoplasm of thyroid gland	malignant neoplasm of thyroid gland	HP_0100031	Neoplasm of the thyroid gland	86.79	['193']	['110', '110.1', '130']
194.0	Malignant neoplasm of adrenal gland	malignant neoplasm of adrenal gland	HP_0100631	Neoplasm of the adrenal gland	85.71	['194']	['114', '114.6', '130']
194.1	Malignant neoplasm of parathyroid gland	malignant neoplasm of parathyroid gland	HP_0100733	Neoplasm of the parathyroid gland	88.52	['194']	['110', '110.3', '130']
200.2	Burkitt's tumor or lymphoma	burkitts tumor or lymphoma	HP_0030080	Burkitt lymphoma	85.0	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2', '122.23']
200.5	Primary central nervous system lymphoma	primary central nervous system lymphoma	HP_0030069	Primary central nervous system lymphoma	100.0	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
200.57	Primary central nervous system lymphoma, spleen	primary central nervous system lymphoma spleen	HP_0030069	Primary central nervous system lymphoma	91.76	['202', '202.2']	['120', '120.2', '120.21', '122', '122.2']
200.6	Anaplastic large cell lymphoma	anaplastic large cell lymphoma	HP_0012193	Anaplastic large-cell lymphoma	100.0	['202', '202.2', '202.24']	['120', '120.2', '120.22', '122', '122.2', '122.25']
200.67	Anaplastic large cell lymphoma, spleen	anaplastic large cell lymphoma spleen	HP_0012193	Anaplastic large-cell lymphoma	88.89	['202', '202.2', '202.24']	['120', '120.2', '120.22', '122', '122.2', '122.25']
200.7	Large cell lymphoma	large cell lymphoma	HP_0012193	Anaplastic large-cell lymphoma	80.85	['202', '202.2', '202.24']	['120', '120.2', '122', '122.2']
201	Hodgkin's disease	hodgkins disease	HP_0012189	Hodgkin lymphoma	100.0	['201']	['120', '120.2', '122', '122.1']
201.9	Hodgkin's disease, unspecified type	hodgkins diseasetype	HP_0012189	Hodgkin lymphoma	82.35	['201']	['120', '120.2', '122', '122.1']
203.0	Multiple myeloma	multiple myeloma	HP_0006775	Multiple myeloma	100.0	['204', '204.4']	['120', '120.1', '123', '123.1']
203.01	Multiple myeloma, in remission	multiple myeloma in remission	HP_0006775	Multiple myeloma	82.05	['204', '204.4']	['120', '120.1', '123', '123.1']
203.02	Multiple myeloma, in relapse	multiple myeloma in relapse	HP_0006775	Multiple myeloma	82.05	['204', '204.4']	['120', '120.1', '123', '123.1']
204	Lymphoid leukemia	lymphoid leukemia	HP_0005526	Lymphoid leukemia	100.0	['204', '204.1']	['120', '120.2', '121']
204.0	Lymphoid leukemia, acute	lymphoid leukemia acute	HP_0006721	Acute lymphoblastic leukemia	100.0	['204', '204.1', '204.11']	['120', '120.2', '121', '121.1', '121.11']
204.01	Acute lymphoid leukemia, in remission	acute lymphoid leukemia in remission	HP_0006721	Acute lymphoblastic leukemia	86.79	['204', '204.1', '204.11']	['120', '120.2', '121', '121.1', '121.11']
204.02	Acute lymphoid leukemia, in relapse	acute lymphoid leukemia in relapse	HP_0006721	Acute lymphoblastic leukemia	86.79	['204', '204.1', '204.11']	['120', '120.2', '121', '121.1', '121.11']
204.1	Lymphoid leukemia, chronic	lymphoid leukemia chronic	HP_0005526	Lymphoid leukemia	81.82	['204', '204.1', '204.12']	['120', '120.2', '121', '121.2', '121.21']
204.2	Lymphoid leukemia, subacute	lymphoid leukemia subacute	HP_0006721	Acute lymphoblastic leukemia	89.8	['204', '204.1']	['120', '120.2', '121']
204.8	Other lymphoid leukemia	other lymphoid leukemia	HP_0005526	Lymphoid leukemia	100.0	['204', '204.1']	['120', '120.2', '121']
204.81	Other lymphoid leukemia, in remission	other lymphoid leukemia in remission	HP_0005526	Lymphoid leukemia	83.72	['204', '204.1']	['120', '120.2', '121']
204.82	Other lymphoid leukemia, in relapse	other lymphoid leukemia in relapse	HP_0005526	Lymphoid leukemia	83.72	['204', '204.1']	['120', '120.2', '121']
204.9	Unspecified lymphoid leukemia	lymphoid leukemia	HP_0005526	Lymphoid leukemia	100.0	['204', '204.1']	['120', '120.2', '121']
204.91	Unspecified lymphoid leukemia, in remission	lymphoid leukemia in remission	HP_0005526	Lymphoid leukemia	83.72	['204', '204.1']	['120', '120.2', '121']
204.92	Unspecified lymphoid leukemia, in relapse	lymphoid leukemia in relapse	HP_0005526	Lymphoid leukemia	83.72	['204', '204.1']	['120', '120.2', '121']
205	Myeloid leukemia	myeloid leukemia	HP_0012324	Myeloid leukemia	100.0	['204', '204.2']	['120', '120.1', '121']
205.0	Myeloid leukemia, acute	myeloid leukemia acute	HP_0004808	Acute myeloid leukemia	100.0	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
205.01	Acute myeloid leukemia, in remission	acute myeloid leukemia in remission	HP_0004808	Acute myeloid leukemia	86.27	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
205.02	Acute myeloid leukemia, in relapse	acute myeloid leukemia in relapse	HP_0004808	Acute myeloid leukemia	86.27	['204', '204.2', '204.21']	['120', '120.1', '121', '121.1', '121.12']
205.1	Myeloid leukemia, chronic	myeloid leukemia chronic	HP_0005506	Chronic myelogenous leukemia	100.0	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
205.11	Chronic myeloid leukemia, in remission	chronic myeloid leukemia in remission	HP_0005506	Chronic myelogenous leukemia	87.72	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
205.12	Chronic myeloid leukemia, in relapse	chronic myeloid leukemia in relapse	HP_0005506	Chronic myelogenous leukemia	87.72	['204', '204.2', '204.22']	['120', '120.1', '121', '121.2', '121.22', '124']
205.2	Myeloid leukemia, subacute	myeloid leukemia subacute	HP_0004808	Acute myeloid leukemia	89.36	['204', '204.2']	['120', '120.1', '121']
205.8	Other myeloid leukemia	other myeloid leukemia	HP_0012324	Myeloid leukemia	100.0	['204', '204.2']	['120', '120.1', '121']
205.81	Other myeloid leukemia, in remission	other myeloid leukemia in remission	HP_0012324	Myeloid leukemia	82.93	['204', '204.2']	['120', '120.1', '121']
205.82	Other myeloid leukemia, in relapse	other myeloid leukemia in relapse	HP_0012324	Myeloid leukemia	82.93	['204', '204.2']	['120', '120.1', '121']
205.9	Unspecified myeloid leukemia	myeloid leukemia	HP_0012324	Myeloid leukemia	100.0	['204', '204.2']	['120', '120.1', '121']
205.91	Unspecified myeloid leukemia, in remission	myeloid leukemia in remission	HP_0012324	Myeloid leukemia	82.93	['204', '204.2']	['120', '120.1', '121']
205.92	Unspecified myeloid leukemia, in relapse	myeloid leukemia in relapse	HP_0012324	Myeloid leukemia	82.93	['204', '204.2']	['120', '120.1', '121']
206	Monocytic leukemia	monocytic leukemia	HP_0004845	Acute monocytic leukemia	87.18	['204', '204.3']	['120', '120.1', '120.12', '121']
206.0	Monocytic leukemia, acute	monocytic leukemia acute	HP_0004845	Acute monocytic leukemia	100.0	['204', '204.3']	['120', '120.1', '120.12', '121', '121.1']
206.02	Acute monocytic leukemia, in relapse	acute monocytic leukemia in relapse	HP_0004845	Acute monocytic leukemia	86.27	['204', '204.3']	['120', '120.1', '120.12', '121', '121.1']
206.1	Monocytic leukemia, chronic	monocytic leukemia chronic	HP_0012325	Chronic myelomonocytic leukemia	90.91	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']
206.11	Chronic monocytic leukemia, in remission	chronic monocytic leukemia in remission	HP_0012325	Chronic myelomonocytic leukemia	80.65	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']
206.12	Chronic monocytic leukemia, in relapse	chronic monocytic leukemia in relapse	HP_0012325	Chronic myelomonocytic leukemia	83.87	['204', '204.3']	['120', '120.1', '120.12', '121', '121.2', '121.23']
206.2	Monocytic leukemia, subacute	monocytic leukemia subacute	HP_0004845	Acute monocytic leukemia	89.36	['204', '204.3']	['120', '120.1', '120.12', '121']
206.8	Other monocytic leukemia	other monocytic leukemia	HP_0004845	Acute monocytic leukemia	87.18	['204', '204.3']	['120', '120.1', '120.12', '121']
206.9	Unspecified monocytic leukemia	monocytic leukemia	HP_0004845	Acute monocytic leukemia	87.18	['204', '204.3']	['120', '120.1', '120.12', '121']
207.2	Megakaryocytic leukemia	megakaryocytic leukemia	HP_0006733	Acute megakaryocytic leukemia	89.8	['204']	['120', '120.1', '120.14', '121', '121.1']
208.9	Unspecified leukemia	leukemia	HP_0001909	Leukemia	100.0	['204']	['120', '121']
209	Neuroendocrine tumors	neuroendocrine tumors	HP_0030447	Merkel cell skin cancer	88.89	['199']	['114', '130']
210.0	Benign neoplasm of lip	benign neoplasm of lip	HP_0100835	Benign neoplasm of the central nervous system	82.05	['210']	['135', '135.1', '135.11']
210.1	Benign neoplasm of tongue	benign neoplasm of tongue	HP_0006778	Benign genitourinary tract neoplasm	80.85	['210']	['135', '135.1', '135.12']
210.7	Benign neoplasm of nasopharynx	benign neoplasm of nasopharynx	HP_0100630	Neoplasia of the nasopharynx	85.71	['210']	['135', '135.3']
210.9	Benign neoplasm of pharynx, unspecified	benign neoplasm of pharynx	HP_0100638	Neoplasm of the pharynx	82.93	['210']	['135', '135.5']
211.1	Benign neoplasm of stomach	benign neoplasm of stomach	HP_0006753	Neoplasm of the stomach	82.93	['211']	['136', '136.2']
211.3	Benign neoplasm of colon	benign neoplasm of colon	HP_0100835	Benign neoplasm of the central nervous system	87.8	['208']	['136', '136.4', '136.41']
212.1	Benign neoplasm of larynx	benign neoplasm of larynx	HP_0100605	Neoplasm of the larynx	82.05	['212']	['135', '135.6']
212.2	Benign neoplasm of trachea	benign neoplasm of trachea	HP_0100551	Neoplasm of the trachea	82.93	['212']	['137', '137.3']
214	Lipoma	lipoma	HP_0012032	Lipoma	100.0	['214']	['139', '139.5']
216	Benign neoplasm of skin	benign neoplasm of skin	HP_0100835	Benign neoplasm of the central nervous system	85.0	['216']	['138']
217	Benign neoplasm of breast	benign neoplasm of breast	HP_0100013	Neoplasm of the breast	82.05	['610', '610.4']	['140']
218	Uterine leiomyoma	uterine leiomyoma	HP_0000131	Uterine leiomyoma	100.0	['218', '218.1']	['144', '144.2', '144.21']
218.9	Leiomyoma of uterus, unspecified	leiomyoma of uterus	HP_0000131	Uterine leiomyoma	84.85	['218', '218.1']	['144', '144.2', '144.21']
220	Benign neoplasm of ovary	benign neoplasm of ovary	HP_0100615	Ovarian neoplasm	81.08	['220']	['144', '144.3']
221.2	Benign neoplasm of vulva	benign neoplasm of vulva	HP_0030416	Vulvar neoplasm	81.08	['221']	['144', '144.1', '144.11']
222.1	Benign neoplasm of penis	benign neoplasm of penis	HP_0100835	Benign neoplasm of the central nervous system	80.0	['222']	['146', '146.1']
222.2	Benign neoplasm of prostate	benign neoplasm of prostate	HP_0100787	Prostate neoplasm	82.93	['222']	['146', '146.2']
222.4	Benign neoplasm of scrotum	benign neoplasm of scrotum	HP_0100849	Neoplasm of the scrotum	82.93	['222']	['146', '146.3', '146.32']
223.2	Benign neoplasm of ureter	benign neoplasm of ureter	HP_0100835	Benign neoplasm of the central nervous system	80.0	['223']	['146', '146.5', '146.52']
223.3	Benign neoplasm of bladder	benign neoplasm of bladder	HP_0009725	Bladder neoplasm	82.93	['223']	['146', '146.5']
223.81	Benign neoplasm of urethra	benign neoplasm of urethra	HP_0100517	Neoplasm of the urethra	82.93	['223']	['146', '146.5', '146.51']
224	Benign neoplasm of eye	benign neoplasm of eye	HP_0100835	Benign neoplasm of the central nervous system	84.21	['224']	['148', '148.1']
224.4	Benign neoplasm of cornea	benign neoplasm of cornea	HP_0100835	Benign neoplasm of the central nervous system	80.95	['224', '224.1']	['148', '148.1', '148.14']
225.0	Benign neoplasm of brain	benign neoplasm of brain	HP_0100835	Benign neoplasm of the central nervous system	82.93	['225', '225.1']	['148', '148.3']
225.9	Benign neoplasm of nervous system, part unspecified	benign neoplasm of nervous system part	HP_0100835	Benign neoplasm of the central nervous system	82.19	['225']	['148']
226	Benign neoplasm of thyroid glands	benign neoplasm of thyroid glands	HP_0100031	Neoplasm of the thyroid gland	86.79	['226']	['149', '149.1']
227.0	Benign neoplasm of adrenal gland	benign neoplasm of adrenal gland	HP_0100631	Neoplasm of the adrenal gland	85.71	['227', '227.1']	['114', '114.6']
227.1	Benign neoplasm of parathyroid gland	benign neoplasm of parathyroid gland	HP_0100733	Neoplasm of the parathyroid gland	88.52	['227', '227.2']	['149', '149.3']
228.0	Hemangioma, any site	hemangioma any site	HP_0001028	Hemangioma	81.48	['228']	['139', '139.6', '139.61']
228.09	Hemangioma of other sites	hemangioma of other sites	HP_0001028	Hemangioma	81.48	['228']	['139', '139.6', '139.61']
228.1	Lymphangioma, any site	lymphangioma any site	HP_0100764	Lymphangioma	83.87	['228']	['139', '139.6', '139.62']
230.1	Carcinoma in situ of esophagus	carcinoma in situ of esophagus	HP_0011459	Esophageal carcinoma	80.95	['150']	['101', '101.1', '130']
230.5	Carcinoma in situ of anal canal	carcinoma in situ of anal canal	HP_0006763	Anal canal squamous carcinoma	83.64	['153', '153.3']	['101', '101.5', '130']
231.0	Carcinoma in situ of larynx	carcinoma in situ of larynx	HP_0030076	Lobular carcinoma in situ	80.0	['149', '149.4']	['100', '100.6', '130']
233.0	Carcinoma in situ of breast	carcinoma in situ of breast	HP_0003002	Breast carcinoma	87.18	['174', '174.1']	['105', '130']
233.7	Carcinoma in situ of bladder	carcinoma in situ of bladder	HP_0002862	Bladder carcinoma	87.8	['189', '189.2']	['108', '108.5', '130']
237.7	Neurofibromatosis	neurofibromatosis	HP_0001067	Neurofibromas	100.0	['199', '199.4']	['158']
237.70	Neurofibromatosis, unspecified	neurofibromatosis	HP_0001067	Neurofibromas	100.0	['199', '199.4']	['158']
237.79	Other neurofibromatosis	other neurofibromatosis	HP_0001067	Neurofibromas	100.0	['199', '199.4']	['158']
238.4	Polycythemia vera	polycythemia vera	HP_0001901	Polycythemia	83.87	['200', '200.1']	['120', '120.1', '120.13', '124', '124.3', '175']
238.74	Myelodysplastic syndrome with 5q deletion	myelodysplastic syndrome with 5q deletion	HP_0002863	Myelodysplasia	83.02	['200']	['120', '124', '124.6']
238.75	Myelodysplastic syndrome, unspecified	myelodysplastic syndrome	HP_0002863	Myelodysplasia	100.0	['200']	['120', '124', '124.6']
239.1	Neoplasm of unspecified nature of respiratory system	neoplasm ofnature of respiratory system	HP_0100606	Neoplasm of the respiratory system	87.5	['199']	['102']
239.3	Neoplasm of unspecified nature of breast	neoplasm ofnature of breast	HP_0100013	Neoplasm of the breast	80.0	['174', '174.3']	['105']
239.4	Neoplasm of unspecified nature of bladder	neoplasm ofnature of bladder	HP_0009725	Bladder neoplasm	80.95	['189', '189.2']	['108', '108.5']
240.9	Goiter, unspecified	goiter	HP_0000853	Goiter	100.0	['240']	['200', '200.2']
241	Nontoxic nodular goiter	nontoxic nodular goiter	HP_0005994	Nodular goiter	81.08	['241']	['200', '200.2']
